frequency,raw
2.711,80.8972
2.745,80.9829
2.780,81.1205
2.815,81.2625
2.850,81.4059
2.886,81.5505
2.923,81.6963
2.959,81.8435
2.997,81.9920
3.034,82.1416
3.073,82.2925
3.111,82.4445
3.150,82.5977
3.190,82.7520
3.230,82.9074
3.271,83.0640
3.312,83.2216
3.354,83.3802
3.396,83.5398
3.439,83.7003
3.482,83.8618
3.526,84.0241
3.570,84.1872
3.615,84.3511
3.661,84.5156
3.707,84.6809
3.754,84.8468
3.801,85.0131
3.849,85.1800
3.897,85.3471
3.946,85.5147
3.996,85.6824
4.046,85.8503
4.097,86.0182
4.149,86.1862
4.201,86.3539
4.254,86.5215
4.307,86.6886
4.362,86.8552
4.417,87.0213
4.472,87.1866
4.528,87.3511
4.585,87.5145
4.643,87.6767
4.702,87.8376
4.761,87.9969
4.821,88.1547
4.882,88.3105
4.943,88.4642
5.005,88.6157
5.068,88.7647
5.132,88.9109
5.197,89.0542
5.262,89.1943
5.328,89.3310
5.395,89.4648
5.463,89.5970
5.532,89.7288
5.602,89.8607
5.672,89.9924
5.744,90.1240
5.816,90.2553
5.889,90.3864
5.964,90.5174
6.039,90.6480
6.115,90.7781
6.192,90.9079
6.270,91.0371
6.349,91.1659
6.428,91.2939
6.509,91.4213
6.591,91.5480
6.674,91.6739
6.758,91.7987
6.843,91.9228
6.930,92.0457
7.017,92.1675
7.105,92.2881
7.195,92.4075
7.285,92.5254
7.377,92.6419
7.470,92.7569
7.564,92.8701
7.659,92.9817
7.756,93.0914
7.853,93.1990
7.952,93.3047
8.052,93.4081
8.154,93.5093
8.256,93.6095
8.360,93.7096
8.466,93.8094
8.572,93.9091
8.680,94.0087
8.789,94.1080
8.900,94.2070
9.012,94.3057
9.126,94.4040
9.241,94.5020
9.357,94.5995
9.475,94.6965
9.594,94.7929
9.715,94.8888
9.837,94.9840
9.961,95.0785
10.086,95.1722
10.213,95.2651
10.342,95.3571
10.472,95.4483
10.604,95.5383
10.738,95.6291
10.873,95.7218
