frequency,raw
2.711,69.0679
2.745,69.1602
2.780,69.3081
2.815,69.4607
2.850,69.6148
2.886,69.7703
2.923,69.9271
2.959,70.0852
2.997,70.2446
3.034,70.4053
3.073,70.5671
3.111,70.7302
3.150,70.8945
3.190,71.0598
3.230,71.2262
3.271,71.3937
3.312,71.5620
3.354,71.7313
3.396,71.9015
3.439,72.0724
3.482,72.2440
3.526,72.4162
3.570,72.5889
3.615,72.7621
3.661,72.9357
3.707,73.1095
3.754,73.2835
3.801,73.4577
3.849,73.6317
3.897,73.8056
3.946,73.9793
3.996,74.1524
4.046,74.3250
4.097,74.4968
4.149,74.6678
4.201,74.8377
4.254,75.0064
4.307,75.1737
4.362,75.3393
4.417,75.5032
4.472,75.6651
4.528,75.8246
4.585,75.9817
4.643,76.1360
4.702,76.2873
4.761,76.4352
4.821,76.5796
4.882,76.7201
4.943,76.8563
5.005,76.9881
5.068,77.1148
5.132,77.2364
5.197,77.3522
5.262,77.4620
5.328,77.5652
5.395,77.6628
5.463,77.7561
5.532,77.8468
5.602,77.9355
5.672,78.0222
5.744,78.1069
5.816,78.1898
5.889,78.2708
5.964,78.3500
6.039,78.4275
6.115,78.5035
6.192,78.5780
6.270,78.6509
6.349,78.7226
6.428,78.7932
6.509,78.8627
6.591,78.9314
6.674,78.9994
6.758,79.0669
6.843,79.1341
6.930,79.2013
7.017,79.2686
7.105,79.3363
7.195,79.4048
7.285,79.4743
7.377,79.5452
7.470,79.6176
7.564,79.6923
7.659,79.7693
7.756,79.8492
7.853,79.9326
7.952,80.0195
8.052,80.1039
8.154,80.1805
8.256,80.2518
8.360,80.3246
8.466,80.4008
8.572,80.4804
8.680,80.5633
8.789,80.6490
8.900,80.7375
9.012,80.8286
9.126,80.9220
9.241,81.0173
9.357,81.1142
9.475,81.2125
9.594,81.3118
9.715,81.4116
9.837,81.5115
9.961,81.6112
10.086,81.7101
10.213,81.8076
10.342,81.9033
10.472,81.9965
10.604,82.0864
10.738,82.1698
10.873,82.2451
11.010,82.3153
11.148,82.3850
11.289,82.4553
11.431,82.5260
11.575,82.5974
11.720,82.6694
11.868,82.7420
12.017,82.8150
12.169,82.8888
12.322,82.9630
12.477,83.0378
12.634,83.1131
12.793,83.1891
12.954,83.2656
13.118,83.3427
13.283,83.4200
13.450,83.4906
13.619,83.5502
13.791,83.6025
13.964,83.6541
14.140,83.7058
14.318,83.7578
14.499,83.8098
14.681,83.8621
14.866,83.9148
15.053,83.9677
15.243,84.0212
15.435,84.0751
15.629,84.1295
15.826,84.1848
16.025,84.2407
16.227,84.2980
16.431,84.3566
16.638,84.4166
16.847,84.4777
17.060,84.5396
17.274,84.6023
17.492,84.6655
17.712,84.7293
17.935,84.7932
18.161,84.8572
18.390,84.9209
18.621,84.9837
18.856,85.0403
19.093,85.0880
19.333,85.1292
19.577,85.1683
19.823,85.2053
20.073,85.2401
20.326,85.2728
20.582,85.3030
20.841,85.3308
21.103,85.3561
21.369,85.3783
21.638,85.3966
21.910,85.4110
22.186,85.4226
22.466,85.4323
22.748,85.4406
23.035,85.4480
23.325,85.4554
23.619,85.4632
23.916,85.4721
24.217,85.4823
24.522,85.4940
24.831,85.5075
25.143,85.5230
25.460,85.5395
25.781,85.5563
26.105,85.5722
26.434,85.5861
26.767,85.5952
27.104,85.5965
27.445,85.5901
27.791,85.5794
28.140,85.5665
28.495,85.5526
28.854,85.5387
29.217,85.5259
29.585,85.5127
29.957,85.4981
30.334,85.4823
30.716,85.4669
31.103,85.4506
31.495,85.4320
31.891,85.4094
32.293,85.3782
32.699,85.3342
33.111,85.2779
33.528,85.2137
33.950,85.1459
34.378,85.0796
34.811,85.0200
35.249,84.9692
35.693,84.9238
36.142,84.8801
36.597,84.8388
37.058,84.8024
37.525,84.7751
37.997,84.7626
38.475,84.7668
38.960,84.7825
39.450,84.7997
39.947,84.8066
40.450,84.7910
40.959,84.7504
41.475,84.6921
41.997,84.6247
42.526,84.5515
43.062,84.4749
43.604,84.3932
44.153,84.3041
44.709,84.2108
45.272,84.1229
