frequency,raw
2.951,81.2832
2.988,81.3691
3.026,81.5070
3.064,81.6495
3.102,81.7934
3.141,81.9386
3.181,82.0851
3.221,82.2330
3.262,82.3821
3.303,82.5326
3.344,82.6842
3.386,82.8370
3.429,82.9911
3.472,83.1462
3.516,83.3025
3.560,83.4599
3.605,83.6184
3.650,83.7779
3.696,83.9383
3.743,84.0997
3.790,84.2620
3.838,84.4249
3.886,84.5887
3.935,84.7532
3.985,84.9183
4.035,85.0839
4.085,85.2500
4.137,85.4165
4.189,85.5832
4.242,85.7503
4.295,85.9174
4.349,86.0846
4.404,86.2516
4.459,86.4185
4.516,86.5850
4.572,86.7510
4.630,86.9166
4.688,87.0813
4.747,87.2452
4.807,87.4080
4.868,87.5697
4.929,87.7300
4.991,87.8886
5.054,88.0456
5.117,88.2006
5.182,88.3534
5.247,88.5038
5.313,88.6516
5.380,88.7965
5.448,88.9383
5.516,89.0766
5.586,89.2113
5.656,89.3420
5.727,89.4683
5.800,89.5900
5.873,89.7079
5.947,89.8238
6.021,89.9392
6.097,90.0546
6.174,90.1699
6.252,90.2852
6.330,90.4005
6.410,90.5155
6.491,90.6304
6.573,90.7451
6.655,90.8595
6.739,90.9736
6.824,91.0874
6.910,91.2008
6.997,91.3137
7.085,91.4261
7.174,91.5379
7.265,91.6491
7.356,91.7596
7.449,91.8694
7.542,91.9784
7.637,92.0864
7.734,92.1936
7.831,92.2997
7.930,92.4048
8.029,92.5087
8.131,92.6114
8.233,92.7127
8.337,92.8126
8.442,92.9111
8.548,93.0080
8.655,93.1033
8.764,93.1984
8.875,93.2951
8.987,93.3931
9.100,93.4914
9.214,93.5892
9.330,93.6868
9.448,93.7839
9.567,93.8804
9.687,93.9766
9.809,94.0721
9.933,94.1670
10.058,94.2612
10.184,94.3548
10.313,94.4475
10.442,94.5394
10.574,94.6303
10.707,94.7203
10.842,94.8093
10.978,94.8972
11.117,94.9839
11.257,95.0694
11.398,95.1534
11.542,95.2361
11.687,95.3163
11.834,95.3932
11.983,95.4673
12.134,95.5398
12.287,95.6111
12.442,95.6814
12.598,95.7510
12.757,95.8198
12.918,95.8882
13.080,95.9565
13.245,96.0249
13.412,96.0936
13.581,96.1629
13.752,96.2332
13.925,96.3049
14.100,96.3781
14.278,96.4534
14.457,96.5311
14.639,96.6113
14.824,96.6942
15.010,96.7798
15.199,96.8682
15.391,96.9592
15.584,97.0525
15.781,97.1474
15.979,97.2437
16.181,97.3407
16.384,97.4381
16.591,97.5352
16.800,97.6315
17.011,97.7261
17.225,97.8185
17.442,97.9062
17.662,97.9862
17.884,98.0585
18.109,98.1267
18.337,98.1934
18.568,98.2587
18.802,98.3224
19.039,98.3843
19.278,98.4447
19.521,98.5032
19.767,98.5598
20.016,98.6144
20.268,98.6668
20.523,98.7158
20.781,98.7613
21.043,98.8045
21.308,98.8473
21.576,98.8898
21.848,98.9323
22.123,98.9750
22.402,99.0179
22.684,99.0615
22.969,99.1060
23.259,99.1516
23.551,99.1985
23.848,99.2468
24.148,99.2961
24.452,99.3460
24.760,99.3965
25.072,99.4474
25.388,99.4983
25.707,99.5491
26.031,99.5994
26.359,99.6454
26.691,99.6848
27.027,99.7191
27.367,99.7516
27.712,99.7825
28.060,99.8117
28.414,99.8392
28.772,99.8649
29.134,99.8871
29.501,99.9027
29.872,99.9112
30.248,99.9141
30.629,99.9133
31.015,99.9100
31.405,99.9055
31.801,99.9009
32.201,99.9007
32.607,99.9083
33.017,99.9236
33.433,99.9424
33.854,99.9613
34.280,99.9771
34.712,99.9861
35.149,99.9843
35.591,99.9713
36.039,99.9501
36.493,99.9236
36.953,99.8915
37.418,99.8538
37.889,99.8090
38.366,99.7548
38.849,99.6908
39.338,99.6197
39.834,99.5460
40.335,99.4741
40.843,99.4134
41.357,99.3758
41.878,99.3638
42.405,99.3674
42.939,99.3725
43.480,99.3650
44.027,99.3317
44.582,99.2729
45.143,99.1996
45.711,99.1216
46.287,99.0410
46.870,98.9561
47.460,98.8650
48.058,98.7677
48.663,98.6644
49.275,98.5508
49.896,98.4108
50.524,98.2360
51.160,98.0362
51.804,97.8316
52.457,97.6325
53.117,97.4440
53.786,97.2654
54.463,97.0950
55.149,96.9325
55.843,96.7790
56.546,96.6365
57.258,96.5079
57.979,96.3960
58.709,96.3119
59.449,96.2660
60.197,96.2536
