frequency,raw
2.951,81.6592
2.988,81.7402
3.026,81.8704
3.064,82.0049
3.102,82.1406
3.141,82.2776
3.181,82.4158
3.221,82.5553
3.262,82.6959
3.303,82.8377
3.344,82.9808
3.386,83.1249
3.429,83.2702
3.472,83.4167
3.516,83.5641
3.560,83.7126
3.605,83.8620
3.650,84.0125
3.696,84.1639
3.743,84.3162
3.790,84.4694
3.838,84.6234
3.886,84.7781
3.935,84.9336
3.985,85.0897
4.035,85.2465
4.085,85.4036
4.137,85.5613
4.189,85.7194
4.242,85.8778
4.295,86.0365
4.349,86.1953
4.404,86.3542
4.459,86.5129
4.516,86.6717
4.572,86.8302
4.630,86.9883
4.688,87.1460
4.747,87.3030
4.807,87.4595
4.868,87.6149
4.929,87.7695
4.991,87.9229
5.054,88.0748
5.117,88.2254
5.182,88.3743
5.247,88.5215
5.313,88.6664
5.380,88.8093
5.448,88.9496
5.516,89.0873
5.586,89.2220
5.656,89.3535
5.727,89.4817
5.800,89.6062
5.873,89.7277
5.947,89.8474
6.021,89.9668
6.097,90.0863
6.174,90.2057
6.252,90.3252
6.330,90.4445
6.410,90.5638
6.491,90.6829
6.573,90.8017
6.655,90.9204
6.739,91.0387
6.824,91.1567
6.910,91.2743
6.997,91.3914
7.085,91.5081
7.174,91.6243
7.265,91.7397
7.356,91.8545
7.449,91.9685
7.542,92.0818
7.637,92.1942
7.734,92.3056
7.831,92.4161
7.930,92.5255
8.029,92.6337
8.131,92.7406
8.233,92.8462
8.337,92.9505
8.442,93.0532
8.548,93.1544
8.655,93.2539
8.764,93.3528
8.875,93.4524
8.987,93.5530
9.100,93.6537
9.214,93.7542
9.330,93.8544
9.448,93.9543
9.567,94.0539
9.687,94.1532
9.809,94.2520
9.933,94.3503
10.058,94.4481
10.184,94.5453
10.313,94.6420
10.442,94.7380
10.574,94.8332
10.707,94.9277
10.842,95.0213
10.978,95.1140
11.117,95.2057
11.257,95.2964
11.398,95.3860
11.542,95.4743
11.687,95.5611
11.834,95.6466
11.983,95.7311
12.134,95.8152
12.287,95.8992
12.442,95.9830
12.598,96.0664
12.757,96.1496
12.918,96.2323
13.080,96.3146
13.245,96.3965
13.412,96.4779
13.581,96.5589
13.752,96.6392
13.925,96.7188
14.100,96.7979
14.278,96.8761
14.457,96.9536
14.639,97.0277
14.824,97.0974
15.010,97.1643
15.199,97.2311
15.391,97.2979
15.584,97.3648
15.781,97.4317
15.979,97.4990
16.181,97.5665
16.384,97.6341
16.591,97.7021
16.800,97.7704
17.011,97.8392
17.225,97.9084
17.442,97.9773
17.662,98.0445
17.884,98.1097
18.109,98.1743
18.337,98.2391
18.568,98.3042
18.802,98.3695
19.039,98.4350
19.278,98.5003
19.521,98.5657
19.767,98.6308
20.016,98.6957
20.268,98.7601
20.523,98.8235
20.781,98.8859
21.043,98.9472
21.308,99.0078
21.576,99.0676
21.848,99.1265
22.123,99.1846
22.402,99.2416
22.684,99.2976
22.969,99.3526
23.259,99.4063
23.551,99.4583
23.848,99.5087
24.148,99.5575
24.452,99.6048
24.760,99.6508
25.072,99.6951
25.388,99.7379
25.707,99.7791
26.031,99.8183
26.359,99.8555
26.691,99.8902
27.027,99.9223
27.367,99.9520
27.712,99.9793
28.060,100.0038
28.414,100.0257
28.772,100.0448
29.134,100.0614
29.501,100.0743
29.872,100.0820
30.248,100.0832
30.629,100.0797
31.015,100.0738
31.405,100.0682
31.801,100.0658
32.201,100.0713
32.607,100.0863
33.017,100.1079
33.433,100.1312
33.854,100.1538
34.280,100.1731
34.712,100.1867
35.149,100.1947
35.591,100.1987
36.039,100.1989
36.493,100.1940
36.953,100.1835
37.418,100.1672
37.889,100.1388
38.366,100.0896
38.849,100.0196
39.338,99.9381
39.834,99.8534
40.335,99.7707
40.843,99.6959
41.357,99.6324
41.878,99.5784
42.405,99.5297
42.939,99.4853
43.480,99.4451
44.027,99.4093
44.582,99.3787
45.143,99.3531
45.711,99.3296
46.287,99.3026
46.870,99.2661
47.460,99.2163
48.058,99.1541
48.663,99.0838
49.275,99.0095
49.896,98.9326
50.524,98.8520
51.160,98.7653
51.804,98.6704
52.457,98.5658
53.117,98.4514
53.786,98.3275
54.463,98.1933
55.149,98.0456
55.843,97.8722
56.546,97.6629
57.258,97.4270
57.979,97.1925
58.709,96.9800
59.449,96.7961
60.197,96.6401
60.955,96.5178
61.722,96.4477
62.500,96.4340
63.287,96.4571
64.083,96.4935
64.890,96.5372
65.707,96.5849
66.535,96.6345
67.372,96.6841
68.221,96.7333
69.080,96.7840
69.949,96.8475
70.830,96.9393
71.722,97.0577
72.625,97.1816
73.540,97.2916
74.465,97.3843
75.403,97.4640
76.352,97.5340
77.314,97.5953
78.287,97.6483
79.273,97.6906
80.271,97.7216
81.282,97.7454
82.305,97.7666
83.342,97.7875
84.391,97.8101
85.454,97.8358
86.530,97.8648
87.619,97.8961
88.722,97.9299
89.839,97.9654
90.971,98.0015
92.116,98.0380
93.276,98.0757
94.450,98.1166
95.639,98.1586
96.844,98.1923
98.063,98.2121
99.298,98.2239
100.548,98.2352
101.814,98.2429
103.096,98.2383
104.394,98.2157
105.708,98.1748
107.039,98.1180
108.387,98.0458
109.752,97.9611
111.134,97.8691
112.533,97.7739
113.950,97.6711
115.385,97.5545
116.838,97.4219
118.309,97.2750
119.798,97.1152
121.307,96.9448
122.834,96.7632
124.381,96.5700
125.947,96.3706
127.533,96.1706
129.138,95.9605
130.764,95.7365
132.411,95.5144
134.078,95.2912
135.766,95.0410
137.476,94.7580
139.207,94.4648
140.959,94.1683
142.734,93.8565
144.531,93.5178
146.351,93.1848
148.194,92.9096
150.060,92.7035
151.949,92.5268
153.863,92.3544
155.800,92.1739
157.762,92.0104
159.748,91.8958
161.759,91.8229
163.796,91.7373
165.858,91.6240
167.947,91.5100
170.061,91.4251
172.203,91.3513
174.371,91.2665
176.566,91.1767
178.790,91.0991
181.041,91.0285
183.320,90.9661
185.628,90.9287
187.966,90.9032
190.332,90.8554
192.729,90.7972
195.156,90.7629
197.613,90.7439
200.101,90.7148
202.620,90.6940
205.172,90.7126
207.755,90.7232
210.371,90.7093
213.020,90.7303
215.702,90.7943
218.418,90.8371
221.168,90.8674
223.952,90.9166
226.772,90.9706
229.628,90.9982
232.519,91.0124
235.447,91.0446
238.411,91.0712
241.413,91.0879
244.453,91.1062
247.531,91.1346
250.647,91.1504
253.803,91.1853
256.999,91.2358
260.235,91.2857
263.511,91.3213
266.829,91.3612
270.189,91.4032
273.591,91.4334
277.036,91.4560
280.524,91.4783
284.056,91.4881
287.632,91.4956
291.254,91.5068
294.921,91.5123
298.635,91.5015
302.395,91.4911
306.202,91.4768
310.058,91.4736
313.962,91.4756
317.915,91.4849
321.918,91.4753
325.971,91.4634
330.075,91.4594
334.231,91.4762
338.440,91.4907
342.701,91.5052
347.016,91.5339
351.385,91.5843
355.810,91.6501
360.290,91.7333
364.826,91.8204
369.420,91.9111
374.071,92.0199
378.781,92.1465
383.550,92.2501
388.380,92.3585
393.270,92.4767
398.221,92.5811
403.235,92.6406
408.313,92.7000
413.454,92.7805
418.660,92.8720
423.931,92.9526
429.269,93.0350
434.674,93.1206
440.147,93.2188
445.689,93.3315
451.300,93.4418
456.983,93.5468
462.737,93.6308
468.563,93.6986
474.463,93.7833
480.437,93.8960
486.486,93.9955
492.611,94.0779
498.814,94.1477
505.094,94.1903
511.454,94.2040
517.894,94.1968
524.415,94.1719
531.018,94.1314
537.704,94.0800
544.474,94.0310
551.329,94.0007
558.271,93.9959
565.301,94.0108
572.418,94.0395
579.626,94.0799
586.924,94.1255
594.314,94.1623
601.797,94.1842
609.374,94.1918
617.047,94.1891
624.816,94.1716
632.683,94.1418
640.649,94.1030
648.716,94.0730
656.884,94.0549
665.155,94.0547
673.530,94.0669
682.010,94.0846
690.597,94.0968
699.293,94.1089
708.098,94.1286
717.013,94.1569
726.041,94.1867
735.183,94.2138
744.440,94.2403
753.813,94.2703
763.304,94.2975
772.915,94.3177
782.647,94.3406
792.502,94.3712
802.480,94.3961
812.584,94.4149
822.815,94.4327
833.176,94.4509
843.666,94.4743
854.289,94.5016
865.045,94.5273
875.937,94.5504
886.966,94.5758
898.134,94.6024
909.442,94.6311
920.893,94.6608
932.488,94.6885
944.229,94.7146
956.118,94.7383
968.157,94.7613
980.347,94.7880
992.691,94.8132
1005.190,94.8300
1017.846,94.8395
1030.662,94.8490
1043.639,94.8543
1056.780,94.8566
1070.086,94.8591
1083.559,94.8624
1097.202,94.8715
1111.017,94.8945
1125.006,94.9317
1139.171,94.9747
1153.515,95.0204
1168.039,95.0691
1182.746,95.1170
1197.638,95.1602
1212.717,95.2025
1227.987,95.2409
1243.448,95.2755
1259.105,95.3051
1274.958,95.3333
1291.011,95.3572
1307.266,95.3811
1323.726,95.4075
1340.394,95.4376
1357.271,95.4693
1374.360,95.5022
1391.665,95.5341
1409.187,95.5597
1426.931,95.5793
1444.897,95.5913
1463.090,95.5905
1481.512,95.5803
1500.166,95.5663
1519.054,95.5499
1538.181,95.5314
1557.548,95.5126
1577.160,95.4918
1597.018,95.4707
1617.126,95.4506
1637.487,95.4327
1658.105,95.4164
1678.982,95.4029
1700.123,95.3886
1721.529,95.3802
1743.205,95.3894
1765.154,95.4214
1787.379,95.4690
1809.884,95.5305
1832.672,95.6075
1855.748,95.6962
1879.114,95.7960
1902.774,95.9108
1926.732,96.0460
1950.991,96.2087
1975.557,96.4043
2000.431,96.6183
2025.619,96.8427
2051.123,97.0786
2076.949,97.3251
2103.100,97.5786
2129.581,97.8562
2156.394,98.1851
2183.546,98.5361
2211.039,98.8321
2238.878,99.0325
2267.068,99.1753
2295.613,99.3260
2324.517,99.5294
2353.785,99.7515
2383.422,99.9218
2413.432,100.0185
2443.820,100.0806
2474.590,100.1453
2505.748,100.2228
2537.298,100.3110
2569.245,100.4104
2601.595,100.5296
2634.352,100.6795
2667.521,100.8629
2701.108,101.0831
2735.118,101.3424
2769.556,101.6287
2804.428,101.9239
2839.739,102.2192
2875.494,102.5128
2911.700,102.7869
2948.361,103.0428
2985.484,103.2801
3023.075,103.4862
3061.139,103.6379
3099.682,103.7216
3138.710,103.7382
3178.230,103.6804
