frequency,raw
2.951,82.4409
2.988,82.5149
3.026,82.6338
3.064,82.7567
3.102,82.8809
3.141,83.0063
3.181,83.1329
3.221,83.2606
3.262,83.3896
3.303,83.5197
3.344,83.6509
3.386,83.7833
3.429,83.9168
3.472,84.0513
3.516,84.1869
3.560,84.3235
3.605,84.4611
3.650,84.5996
3.696,84.7390
3.743,84.8794
3.790,85.0205
3.838,85.1624
3.886,85.3051
3.935,85.4484
3.985,85.5924
4.035,85.7370
4.085,85.8820
4.137,86.0275
4.189,86.1734
4.242,86.3195
4.295,86.4659
4.349,86.6123
4.404,86.7589
4.459,86.9053
4.516,87.0516
4.572,87.1976
4.630,87.3432
4.688,87.4883
4.747,87.6328
4.807,87.7766
4.868,87.9194
4.929,88.0611
4.991,88.2016
5.054,88.3407
5.117,88.4784
5.182,88.6142
5.247,88.7481
5.313,88.8800
5.380,89.0094
5.448,89.1362
5.516,89.2603
5.586,89.3813
5.656,89.4991
5.727,89.6132
5.800,89.7236
5.873,89.8307
5.947,89.9364
6.021,90.0419
6.097,90.1477
6.174,90.2538
6.252,90.3602
6.330,90.4668
6.410,90.5737
6.491,90.6808
6.573,90.7880
6.655,90.8954
6.739,91.0028
6.824,91.1105
6.910,91.2181
6.997,91.3258
7.085,91.4335
7.174,91.5411
7.265,91.6487
7.356,91.7561
7.449,91.8634
7.542,91.9704
7.637,92.0773
7.734,92.1839
7.831,92.2901
7.930,92.3960
8.029,92.5015
8.131,92.6065
8.233,92.7110
8.337,92.8149
8.442,92.9182
8.548,93.0208
8.655,93.1227
8.764,93.2258
8.875,93.3317
8.987,93.4401
9.100,93.5493
9.214,93.6586
9.330,93.7680
9.448,93.8777
9.567,93.9874
9.687,94.0971
9.809,94.2069
9.933,94.3167
10.058,94.4265
10.184,94.5361
10.313,94.6457
10.442,94.7552
10.574,94.8644
10.707,94.9733
10.842,95.0820
10.978,95.1904
11.117,95.2984
11.257,95.4060
11.398,95.5131
11.542,95.6195
11.687,95.7218
11.834,95.8171
11.983,95.9070
12.134,95.9952
12.287,96.0826
12.442,96.1692
12.598,96.2549
12.757,96.3397
12.918,96.4235
13.080,96.5062
13.245,96.5879
13.412,96.6684
13.581,96.7476
13.752,96.8255
13.925,96.9020
14.100,96.9770
14.278,97.0505
14.457,97.1223
14.639,97.1909
14.824,97.2555
15.010,97.3174
15.199,97.3779
15.391,97.4376
15.584,97.4965
15.781,97.5547
15.979,97.6127
16.181,97.6703
16.384,97.7281
16.591,97.7862
16.800,97.8449
17.011,97.9044
17.225,97.9651
17.442,98.0272
17.662,98.0909
17.884,98.1561
18.109,98.2228
18.337,98.2910
18.568,98.3603
18.802,98.4303
19.039,98.5008
19.278,98.5715
19.521,98.6419
19.767,98.7116
20.016,98.7802
20.268,98.8471
20.523,98.9111
20.781,98.9719
21.043,99.0303
21.308,99.0875
21.576,99.1434
21.848,99.1979
22.123,99.2509
22.402,99.3024
22.684,99.3522
22.969,99.4005
23.259,99.4466
23.551,99.4899
23.848,99.5303
24.148,99.5687
24.452,99.6058
24.760,99.6418
25.072,99.6773
25.388,99.7125
25.707,99.7480
26.031,99.7840
26.359,99.8196
26.691,99.8543
27.027,99.8893
27.367,99.9258
27.712,99.9633
28.060,100.0014
28.414,100.0393
28.772,100.0761
29.134,100.1090
29.501,100.1324
29.872,100.1434
30.248,100.1444
30.629,100.1397
31.015,100.1335
31.405,100.1298
31.801,100.1327
32.201,100.1420
32.607,100.1561
33.017,100.1757
33.433,100.2017
33.854,100.2302
34.280,100.2568
34.712,100.2768
35.149,100.2875
35.591,100.2901
36.039,100.2870
36.493,100.2797
36.953,100.2679
37.418,100.2515
37.889,100.2310
38.366,100.2067
38.849,100.1774
39.338,100.1410
39.834,100.0964
40.335,100.0431
40.843,99.9745
41.357,99.8835
41.878,99.7714
42.405,99.6457
42.939,99.5100
43.480,99.3632
44.027,99.2034
44.582,99.0312
45.143,98.8504
45.711,98.6642
46.287,98.4725
46.870,98.2762
47.460,98.0750
48.058,97.8681
48.663,97.6569
49.275,97.4474
49.896,97.2546
50.524,97.0877
51.160,96.9418
51.804,96.8076
52.457,96.6834
53.117,96.5679
53.786,96.4631
54.463,96.3728
55.149,96.3027
55.843,96.2639
56.546,96.2603
57.258,96.2844
57.979,96.3296
58.709,96.4047
59.449,96.5110
60.197,96.6356
60.955,96.7591
61.722,96.8671
62.500,96.9559
63.287,97.0316
64.083,97.1016
64.890,97.1672
65.707,97.2304
66.535,97.2966
67.372,97.3771
68.221,97.4755
69.080,97.5847
69.949,97.6942
70.830,97.8013
71.722,97.9057
72.625,98.0093
73.540,98.1176
74.465,98.2330
75.403,98.3493
76.352,98.4560
77.314,98.5491
78.287,98.6285
79.273,98.6924
80.271,98.7423
81.282,98.7851
82.305,98.8268
83.342,98.8680
84.391,98.9069
85.454,98.9404
86.530,98.9677
87.619,98.9892
88.722,99.0044
89.839,99.0122
90.971,99.0113
92.116,98.9991
93.276,98.9730
94.450,98.9304
95.639,98.8690
96.844,98.7871
98.063,98.6852
99.298,98.5654
100.548,98.4300
101.814,98.2759
103.096,98.0991
104.394,97.9044
105.708,97.7059
107.039,97.5136
108.387,97.3258
109.752,97.1415
111.134,96.9853
112.533,96.8828
113.950,96.8322
115.385,96.8118
116.838,96.8014
118.309,96.7841
119.798,96.7533
121.307,96.7142
122.834,96.6626
124.381,96.5921
125.947,96.4851
127.533,96.3405
129.138,96.1762
130.764,96.0085
132.411,95.8259
134.078,95.6195
135.766,95.3936
137.476,95.1475
139.207,94.8723
140.959,94.5619
142.734,94.2412
144.531,93.9515
146.351,93.7229
148.194,93.5464
150.060,93.4002
151.949,93.2681
153.863,93.1397
155.800,92.9847
157.762,92.7989
159.748,92.6145
161.759,92.4479
163.796,92.2846
165.858,92.1344
167.947,92.0093
170.061,91.8762
172.203,91.7178
174.371,91.5588
176.566,91.4365
178.790,91.3427
181.041,91.2647
183.320,91.1926
185.628,91.1258
187.966,91.0626
190.332,90.9972
192.729,90.9556
195.156,90.9434
197.613,90.9222
200.101,90.8730
202.620,90.8350
205.172,90.8492
207.755,90.8544
210.371,90.8680
213.020,90.9426
215.702,91.0516
218.418,91.1020
221.168,91.1180
223.952,91.1214
226.772,91.1146
229.628,91.1131
232.519,91.1221
235.447,91.1249
238.411,91.1303
241.413,91.1577
244.453,91.2006
247.531,91.2403
250.647,91.2873
253.803,91.3422
256.999,91.3909
260.235,91.4337
263.511,91.4697
266.829,91.4980
270.189,91.5174
273.591,91.5412
277.036,91.5595
280.524,91.5714
284.056,91.5713
287.632,91.5692
291.254,91.5684
294.921,91.5815
298.635,91.5966
302.395,91.6103
306.202,91.6276
310.058,91.6518
313.962,91.6695
317.915,91.6831
321.918,91.6957
325.971,91.7089
330.075,91.7148
334.231,91.7305
338.440,91.7599
342.701,91.8022
347.016,91.8560
351.385,91.9249
355.810,92.0002
360.290,92.0867
364.826,92.1775
369.420,92.2755
374.071,92.3698
378.781,92.4519
383.550,92.5268
388.380,92.6195
393.270,92.7091
398.221,92.8100
403.235,92.9184
408.313,93.0165
413.454,93.0998
418.660,93.1885
423.931,93.2884
429.269,93.3937
434.674,93.5124
440.147,93.6299
445.689,93.7330
451.300,93.8200
456.983,93.9100
462.737,94.0008
468.563,94.0830
474.463,94.1632
480.437,94.2401
486.486,94.3014
492.611,94.3552
498.814,94.4129
505.094,94.4681
511.454,94.4975
517.894,94.5171
524.415,94.5174
531.018,94.4796
537.704,94.4136
544.474,94.3577
551.329,94.3270
558.271,94.3195
565.301,94.3342
572.418,94.3642
579.626,94.4035
586.924,94.4442
594.314,94.4774
601.797,94.5050
609.374,94.5198
617.047,94.5237
624.816,94.5130
632.683,94.4948
640.649,94.4720
648.716,94.4484
656.884,94.4307
665.155,94.4256
673.530,94.4358
682.010,94.4537
690.597,94.4744
699.293,94.4993
708.098,94.5313
717.013,94.5661
726.041,94.6030
735.183,94.6476
744.440,94.6902
753.813,94.7269
763.304,94.7549
772.915,94.7822
782.647,94.8154
792.502,94.8534
802.480,94.8905
812.584,94.9253
822.815,94.9564
833.176,94.9826
843.666,95.0133
854.289,95.0494
865.045,95.0847
875.937,95.1180
886.966,95.1501
898.134,95.1820
909.442,95.2104
920.893,95.2390
932.488,95.2683
944.229,95.3005
956.118,95.3349
968.157,95.3726
980.347,95.4155
992.691,95.4514
1005.190,95.4773
1017.846,95.4939
1030.662,95.5047
1043.639,95.5027
1056.780,95.4961
1070.086,95.4873
1083.559,95.4831
1097.202,95.4920
1111.017,95.5189
1125.006,95.5607
1139.171,95.6096
1153.515,95.6656
1168.039,95.7250
1182.746,95.7829
1197.638,95.8384
1212.717,95.8965
1227.987,95.9577
1243.448,96.0168
1259.105,96.0666
1274.958,96.1095
1291.011,96.1526
1307.266,96.2011
1323.726,96.2535
1340.394,96.3085
1357.271,96.3600
1374.360,96.4074
1391.665,96.4539
1409.187,96.4999
1426.931,96.5408
1444.897,96.5743
1463.090,96.5984
1481.512,96.6126
1500.166,96.6190
1519.054,96.6208
1538.181,96.6161
1557.548,96.6080
1577.160,96.6046
1597.018,96.6132
1617.126,96.6320
1637.487,96.6565
1658.105,96.6850
1678.982,96.7126
1700.123,96.7450
1721.529,96.7902
1743.205,96.8627
1765.154,96.9569
1787.379,97.0687
1809.884,97.1971
1832.672,97.3378
1855.748,97.4860
1879.114,97.6515
1902.774,97.8431
1926.732,98.0477
1950.991,98.2657
1975.557,98.5050
2000.431,98.7566
2025.619,99.0087
2051.123,99.2622
2076.949,99.5080
2103.100,99.7431
2129.581,99.9847
2156.394,100.2625
2183.546,100.5590
2211.039,100.8135
2238.878,100.9819
2267.068,101.0867
2295.613,101.1940
2324.517,101.3646
2353.785,101.5666
2383.422,101.7196
2413.432,101.7918
2443.820,101.8188
2474.590,101.8328
2505.748,101.8525
2537.298,101.8813
2569.245,101.9173
2601.595,101.9582
2634.352,102.0178
2667.521,102.1094
2701.108,102.2426
2735.118,102.4189
2769.556,102.6354
2804.428,102.8856
2839.739,103.1492
2875.494,103.4074
2911.700,103.6619
2948.361,103.9222
2985.484,104.1834
3023.075,104.4360
3061.139,104.6624
3099.682,104.8414
3138.710,104.9603
3178.230,105.0229
3218.247,105.0242
3258.769,104.9688
3299.800,104.8534
3341.348,104.6643
3383.419,104.4126
3426.020,104.1259
3469.157,103.8256
3512.838,103.5222
3557.068,103.2056
3601.856,102.8060
3647.207,102.2844
3693.129,101.6640
3739.630,100.9762
3786.716,100.2303
3834.395,99.4498
3882.674,98.7065
3931.561,98.1051
3981.064,97.7321
4031.190,97.6048
4081.947,97.6679
4133.343,97.8484
4185.386,98.0864
4238.084,98.3543
4291.447,98.6296
4345.481,98.8687
4400.195,99.0260
4455.598,99.0953
4511.699,99.1025
4568.506,99.0858
4626.029,99.0800
4684.275,99.0919
4743.256,99.0990
4802.979,99.0713
4863.453,99.0068
4924.689,98.9313
4986.696,98.8675
5049.484,98.8270
5113.063,98.8142
5177.442,98.8433
5242.632,98.9297
5308.642,99.0768
5375.484,99.2754
5443.167,99.5182
5511.702,99.7842
5581.101,100.0669
5651.373,100.3589
5722.530,100.6482
5794.583,100.9137
5867.542,101.1578
5941.421,101.3871
6016.230,101.6116
6091.981,101.8376
6168.686,102.0691
6246.356,102.2897
6325.005,102.5130
6404.644,102.7483
6485.285,102.9716
6566.942,103.1422
6649.626,103.2538
6733.353,103.3007
6818.133,103.2767
6903.980,103.1868
6990.909,103.0530
7078.933,102.9044
7168.064,102.7768
7258.317,102.6971
7349.708,102.6726
7442.249,102.7022
7535.955,102.7947
7630.840,102.9440
7726.921,103.1276
7824.211,103.3175
7922.727,103.4745
8022.482,103.5404
8123.494,103.4544
8225.778,103.1658
8329.350,102.6491
8434.225,101.9200
8540.421,101.0362
8647.954,100.0803
8756.842,99.1227
8867.100,98.2052
8978.746,97.3569
9091.798,96.5946
9206.273,95.9314
9322.190,95.3998
9439.567,95.0478
9558.422,94.9193
9678.772,95.0335
9800.639,95.3621
9924.040,95.8348
10048.994,96.3517
10175.521,96.8047
10303.643,97.0959
10433.377,97.1296
10564.744,96.8514
10697.766,96.2793
10832.463,95.4972
10968.855,94.5945
11106.965,93.6659
11246.813,92.8428
11388.423,92.2490
11531.815,91.8958
11677.014,91.7204
11824.040,91.6791
11972.918,91.7303
12123.670,91.8251
12276.320,91.9205
12430.893,91.9984
12587.411,92.0570
12745.900,92.0831
12906.385,92.0410
