frequency,raw
2.951,81.5454
2.988,81.6301
3.026,81.7661
3.064,81.9066
3.102,82.0485
3.141,82.1916
3.181,82.3360
3.221,82.4817
3.262,82.6286
3.303,82.7769
3.344,82.9264
3.386,83.0770
3.429,83.2288
3.472,83.3817
3.516,83.5358
3.560,83.6908
3.605,83.8470
3.650,84.0042
3.696,84.1623
3.743,84.3213
3.790,84.4811
3.838,84.6419
3.886,84.8033
3.935,84.9655
3.985,85.1282
4.035,85.2916
4.085,85.4554
4.137,85.6197
4.189,85.7843
4.242,85.9491
4.295,86.1140
4.349,86.2792
4.404,86.4442
4.459,86.6091
4.516,86.7738
4.572,86.9380
4.630,87.1018
4.688,87.2649
4.747,87.4273
4.807,87.5888
4.868,87.7491
4.929,87.9083
4.991,88.0660
5.054,88.2220
5.117,88.3764
5.182,88.5288
5.247,88.6789
5.313,88.8267
5.380,88.9717
5.448,89.1139
5.516,89.2529
5.586,89.3886
5.656,89.5206
5.727,89.6484
5.800,89.7722
5.873,89.8923
5.947,90.0104
6.021,90.1282
6.097,90.2459
6.174,90.3637
6.252,90.4813
6.330,90.5988
6.410,90.7162
6.491,90.8333
6.573,90.9503
6.655,91.0670
6.739,91.1833
6.824,91.2993
6.910,91.4147
6.997,91.5298
7.085,91.6443
7.174,91.7582
7.265,91.8714
7.356,91.9838
7.449,92.0956
7.542,92.2065
7.637,92.3163
7.734,92.4254
7.831,92.5332
7.930,92.6399
8.029,92.7455
8.131,92.8498
8.233,92.9526
8.337,93.0540
8.442,93.1539
8.548,93.2521
8.655,93.3486
8.764,93.4449
8.875,93.5423
8.987,93.6410
9.100,93.7399
9.214,93.8387
9.330,93.9371
9.448,94.0352
9.567,94.1330
9.687,94.2304
9.809,94.3272
9.933,94.4237
10.058,94.5195
10.184,94.6147
10.313,94.7094
10.442,94.8032
10.574,94.8964
10.707,94.9886
10.842,95.0799
10.978,95.1705
11.117,95.2598
11.257,95.3482
11.398,95.4353
11.542,95.5213
11.687,95.6057
11.834,95.6885
11.983,95.7705
12.134,95.8522
12.287,95.9339
12.442,96.0153
12.598,96.0965
12.757,96.1775
12.918,96.2582
13.080,96.3385
13.245,96.4186
13.412,96.4982
13.581,96.5775
13.752,96.6563
13.925,96.7345
14.100,96.8123
14.278,96.8893
14.457,96.9659
14.639,97.0430
14.824,97.1217
15.010,97.2013
15.199,97.2807
15.391,97.3595
