frequency,raw
2.711,79.8795
2.745,79.9797
2.780,80.1406
2.815,80.3066
2.850,80.4743
2.886,80.6436
2.923,80.8144
2.959,80.9869
2.997,81.1607
3.034,81.3361
3.073,81.5129
3.111,81.6912
3.150,81.8709
3.190,82.0519
3.230,82.2342
3.271,82.4178
3.312,82.6026
3.354,82.7885
3.396,82.9755
3.439,83.1636
3.482,83.3527
3.526,83.5426
3.570,83.7334
3.615,83.9249
3.661,84.1171
3.707,84.3098
3.754,84.5031
3.801,84.6966
3.849,84.8905
3.897,85.0845
3.946,85.2784
3.996,85.4723
4.046,85.6660
4.097,85.8591
4.149,86.0519
4.201,86.2438
4.254,86.4349
4.307,86.6249
4.362,86.8136
4.417,87.0009
4.472,87.1865
4.528,87.3702
4.585,87.5519
4.643,87.7311
4.702,87.9077
4.761,88.0812
4.821,88.2517
4.882,88.4186
4.943,88.5817
5.005,88.7407
5.068,88.8952
5.132,89.0447
5.197,89.1891
5.262,89.3277
5.328,89.4604
5.395,89.5880
5.463,89.7129
5.532,89.8372
5.602,89.9614
5.672,90.0857
5.744,90.2099
5.816,90.3340
5.889,90.4580
5.964,90.5817
6.039,90.7053
6.115,90.8286
6.192,90.9515
6.270,91.0740
6.349,91.1962
6.428,91.3178
6.509,91.4389
6.591,91.5593
6.674,91.6792
6.758,91.7982
6.843,91.9166
6.930,92.0339
7.017,92.1504
7.105,92.2659
7.195,92.3803
7.285,92.4934
7.377,92.6054
7.470,92.7160
7.564,92.8252
7.659,92.9330
7.756,93.0391
7.853,93.1435
7.952,93.2462
8.052,93.3483
8.154,93.4515
8.256,93.5559
8.360,93.6606
8.466,93.7652
8.572,93.8696
8.680,93.9738
8.789,94.0779
8.900,94.1817
9.012,94.2853
9.126,94.3885
9.241,94.4913
9.357,94.5937
9.475,94.6955
9.594,94.7969
9.715,94.8978
9.837,94.9978
9.961,95.0974
10.086,95.1961
10.213,95.2939
10.342,95.3910
10.472,95.4870
10.604,95.5823
10.738,95.6774
10.873,95.7735
11.010,95.8705
11.148,95.9673
11.289,96.0637
11.431,96.1595
11.575,96.2548
11.720,96.3494
11.868,96.4433
12.017,96.5364
12.169,96.6288
12.322,96.7202
12.477,96.8109
12.634,96.9005
12.793,96.9889
12.954,97.0764
13.118,97.1625
13.283,97.2473
13.450,97.3280
13.619,97.4035
13.791,97.4757
13.964,97.5477
14.140,97.6197
14.318,97.6917
14.499,97.7637
14.681,97.8355
14.866,97.9074
15.053,97.9792
15.243,98.0508
15.435,98.1223
15.629,98.1936
15.826,98.2646
16.025,98.3359
16.227,98.4083
16.431,98.4820
16.638,98.5561
16.847,98.6302
17.060,98.7040
17.274,98.7777
17.492,98.8511
17.712,98.9243
17.935,98.9971
18.161,99.0696
18.390,99.1418
18.621,99.2131
18.856,99.2812
19.093,99.3444
19.333,99.4044
19.577,99.4636
19.823,99.5219
20.073,99.5794
20.326,99.6359
20.582,99.6915
20.841,99.7460
21.103,99.7996
21.369,99.8520
21.638,99.9032
21.910,99.9532
22.186,100.0022
22.466,100.0503
22.748,100.0977
23.035,100.1450
23.325,100.1924
23.619,100.2404
23.916,100.2892
24.217,100.3370
24.522,100.3828
24.831,100.4279
25.143,100.4741
25.460,100.5209
25.781,100.5679
26.105,100.6146
26.434,100.6600
26.767,100.7030
27.104,100.7420
27.445,100.7768
27.791,100.8084
28.140,100.8372
28.495,100.8632
28.854,100.8860
29.217,100.9058
29.585,100.9210
29.957,100.9303
30.334,100.9335
30.716,100.9310
31.103,100.9228
31.495,100.9086
31.891,100.8881
32.293,100.8586
32.699,100.8169
33.111,100.7629
33.528,100.7011
33.950,100.6370
34.378,100.5765
34.811,100.5247
35.249,100.4830
35.693,100.4493
36.142,100.4215
36.597,100.3999
37.058,100.3846
37.525,100.3765
37.997,100.3787
38.475,100.3939
38.960,100.4190
39.450,100.4456
39.947,100.4634
40.450,100.4641
40.959,100.4460
41.475,100.4124
41.997,100.3655
42.526,100.3049
43.062,100.2324
43.604,100.1472
44.153,100.0456
44.709,99.9233
45.272,99.7788
45.842,99.5973
46.419,99.3576
47.003,99.0617
47.595,98.7516
48.195,98.5127
48.801,98.4331
49.416,98.5160
50.038,98.6668
50.668,98.7794
51.306,98.8016
51.952,98.7401
52.606,98.6275
53.268,98.4767
53.939,98.2805
54.618,98.0387
55.306,97.7657
56.002,97.4839
56.708,97.2043
57.422,96.9285
58.145,96.6598
58.877,96.4281
59.618,96.2716
60.369,96.1902
61.129,96.1502
61.898,96.1255
62.678,96.1106
63.467,96.1101
64.266,96.1465
65.075,96.2395
65.895,96.3800
66.724,96.5354
67.564,96.6870
68.415,96.8322
69.277,96.9676
70.149,97.0769
71.032,97.1551
71.926,97.2191
72.832,97.2924
73.749,97.3798
74.678,97.4676
75.618,97.5312
76.570,97.5633
77.534,97.5792
78.510,97.5960
79.499,97.6154
80.500,97.6390
81.514,97.6697
82.540,97.7082
83.579,97.7515
84.632,97.7982
85.697,97.8509
86.776,97.9115
87.869,97.9772
88.975,98.0349
90.095,98.0777
91.230,98.1164
92.378,98.1663
93.542,98.2142
94.719,98.2315
95.912,98.2167
97.120,98.1989
98.343,98.1917
99.581,98.1708
100.835,98.1154
102.104,98.0289
103.390,97.9254
104.692,97.8164
106.010,97.7103
107.345,97.5888
108.696,97.4279
110.065,97.2335
111.451,97.0314
112.854,96.8135
114.275,96.5601
115.714,96.2723
117.171,95.9698
118.646,95.6705
120.140,95.3883
121.653,95.1225
123.184,94.8565
124.735,94.5763
126.306,94.2930
127.896,94.0270
129.507,93.7693
131.137,93.5097
132.788,93.2688
134.460,93.0444
136.153,92.8155
137.868,92.5866
139.603,92.3758
141.361,92.1873
143.141,92.0307
144.943,91.8941
146.768,91.7555
148.616,91.6195
150.488,91.5006
152.382,91.3879
154.301,91.2732
156.244,91.1535
158.211,91.0345
160.203,90.9297
162.220,90.8439
164.263,90.7644
166.331,90.7005
168.425,90.6516
170.546,90.5930
172.693,90.5355
174.868,90.5057
177.070,90.5053
179.299,90.5216
181.557,90.5567
183.843,90.5917
186.157,90.6321
188.501,90.6911
190.875,90.7626
193.278,90.8269
195.712,90.8931
198.176,90.9691
200.671,91.0510
203.198,91.1342
205.756,91.2231
208.347,91.3153
210.970,91.4089
213.627,91.5027
216.317,91.5927
219.040,91.6700
221.798,91.7292
224.591,91.7840
227.419,91.8406
230.282,91.8971
233.182,91.9500
236.118,92.0136
239.091,92.0776
242.101,92.1320
245.149,92.1804
248.236,92.2251
251.362,92.2563
254.527,92.2806
257.731,92.3096
260.976,92.3388
264.262,92.3670
267.590,92.3888
270.959,92.4117
274.371,92.4291
277.825,92.4355
281.323,92.4300
284.866,92.4274
288.452,92.4254
292.084,92.4224
295.762,92.4239
299.486,92.4184
303.257,92.4094
307.075,92.3995
310.941,92.4082
314.857,92.4226
318.821,92.4314
322.835,92.4362
326.900,92.4553
331.016,92.4795
335.184,92.5007
339.404,92.5261
343.678,92.5564
348.005,92.5925
352.387,92.6358
356.824,92.6897
361.317,92.7562
365.866,92.8342
370.473,92.9181
375.137,93.0085
379.861,93.1098
384.643,93.2211
389.487,93.3389
394.391,93.4583
399.356,93.5761
404.385,93.6904
409.476,93.8013
414.632,93.9123
419.853,94.0203
425.139,94.1094
430.492,94.1831
435.913,94.2529
441.401,94.3255
446.959,94.3973
452.587,94.4666
458.285,94.5277
464.055,94.5837
469.898,94.6396
475.815,94.6904
481.806,94.7341
487.872,94.7641
494.015,94.7773
500.235,94.7719
506.534,94.7484
512.912,94.6970
519.370,94.6205
525.909,94.5292
532.531,94.4434
539.236,94.3740
546.026,94.3224
552.901,94.2747
559.862,94.2338
566.912,94.2174
574.050,94.2390
581.278,94.2902
588.597,94.3560
596.008,94.4280
603.512,94.5010
611.111,94.5656
618.806,94.6175
626.597,94.6576
634.487,94.6893
642.475,94.7137
650.565,94.7360
658.756,94.7568
667.051,94.7784
675.449,94.8014
683.954,94.8311
692.566,94.8670
701.286,94.9026
710.116,94.9324
719.057,94.9617
728.111,94.9932
737.279,95.0272
746.562,95.0608
755.962,95.0949
765.480,95.1262
775.118,95.1559
784.878,95.1841
794.760,95.2107
804.767,95.2346
814.900,95.2575
825.161,95.2784
835.550,95.2972
846.071,95.3160
856.724,95.3354
867.511,95.3532
878.434,95.3714
889.494,95.3937
900.694,95.4194
912.035,95.4459
923.518,95.4707
935.146,95.4942
946.921,95.5146
958.843,95.5312
970.916,95.5429
983.141,95.5474
995.520,95.5408
1008.055,95.5169
1020.747,95.4754
1033.600,95.4233
1046.614,95.3728
