frequency,raw
20.02,81.719
20.16,81.741
20.31,81.757
20.46,81.767
20.60,81.774
20.75,81.781
20.90,81.785
21.06,81.788
21.21,81.793
21.36,81.798
21.52,81.803
21.67,81.809
21.83,81.816
21.99,81.825
22.15,81.832
22.31,81.838
22.47,81.844
22.63,81.846
22.80,81.845
22.96,81.839
23.13,81.828
23.30,81.814
23.46,81.794
23.63,81.772
23.81,81.748
23.98,81.725
24.15,81.705
24.33,81.691
24.50,81.684
24.68,81.687
24.86,81.700
25.04,81.721
25.22,81.751
25.40,81.787
25.59,81.827
25.77,81.869
25.96,81.911
26.15,81.951
26.34,81.989
26.53,82.023
26.72,82.053
26.91,82.080
27.11,82.104
27.31,82.125
27.50,82.144
27.70,82.160
27.90,82.174
28.11,82.185
28.31,82.195
28.51,82.203
28.72,82.210
28.93,82.219
29.14,82.227
29.35,82.238
29.56,82.249
29.78,82.261
29.99,82.274
30.21,82.285
30.43,82.293
30.65,82.299
30.87,82.303
31.10,82.303
31.32,82.302
31.55,82.302
31.78,82.302
32.01,82.303
32.24,82.308
32.47,82.313
32.71,82.319
32.94,82.324
33.18,82.328
33.42,82.330
33.67,82.329
33.91,82.328
34.16,82.325
34.40,82.323
34.65,82.320
34.90,82.319
35.16,82.318
35.41,82.317
35.67,82.316
35.93,82.315
36.19,82.314
36.45,82.311
36.71,82.308
36.98,82.305
37.25,82.299
37.52,82.292
37.79,82.283
38.06,82.272
38.34,82.257
38.62,82.239
38.90,82.219
39.18,82.197
39.46,82.173
39.75,82.147
40.04,82.118
40.33,82.088
40.62,82.056
40.91,82.025
41.21,81.991
41.51,81.957
41.81,81.923
42.11,81.888
42.42,81.855
42.72,81.821
43.03,81.787
43.34,81.753
43.66,81.716
43.98,81.675
44.29,81.627
44.62,81.571
44.94,81.505
45.26,81.431
45.59,81.350
45.92,81.263
46.26,81.174
46.59,81.084
46.93,80.994
47.27,80.904
47.61,80.814
47.96,80.721
48.30,80.624
48.65,80.519
49.01,80.407
49.36,80.285
49.72,80.153
50.08,80.016
50.44,79.876
50.81,79.738
51.18,79.606
51.55,79.484
51.92,79.375
52.30,79.279
52.67,79.195
53.06,79.120
53.44,79.049
53.83,78.978
54.22,78.907
54.61,78.837
55.01,78.767
55.41,78.704
55.81,78.650
56.21,78.609
56.62,78.585
57.03,78.580
57.44,78.596
57.86,78.632
58.28,78.690
58.70,78.767
59.13,78.860
59.55,78.966
59.99,79.082
60.42,79.198
60.86,79.310
61.30,79.412
61.74,79.497
62.19,79.562
62.64,79.604
63.10,79.619
63.55,79.606
64.01,79.563
64.48,79.491
64.94,79.391
65.41,79.267
65.89,79.124
66.37,78.970
66.85,78.812
67.33,78.660
67.82,78.525
68.31,78.415
68.81,78.340
69.30,78.309
69.81,78.320
70.31,78.375
70.82,78.466
71.34,78.588
71.85,78.731
72.37,78.886
72.90,79.045
73.43,79.202
73.96,79.356
74.49,79.508
75.03,79.663
75.58,79.823
76.12,79.987
76.68,80.147
77.23,80.296
77.79,80.428
78.36,80.543
78.92,80.643
79.50,80.728
80.07,80.802
80.65,80.866
81.24,80.922
81.82,80.971
82.42,81.012
83.01,81.049
83.62,81.078
84.22,81.099
84.83,81.113
85.45,81.123
86.07,81.131
86.69,81.141
87.32,81.153
87.95,81.163
88.59,81.168
89.23,81.167
89.88,81.157
90.53,81.141
91.18,81.117
91.84,81.082
92.51,81.035
93.18,80.973
93.86,80.892
94.54,80.791
95.22,80.672
95.91,80.536
96.61,80.388
97.31,80.228
98.01,80.062
98.72,79.901
99.44,79.762
100.16,79.662
100.88,79.612
101.61,79.612
102.35,79.654
103.09,79.724
103.84,79.809
104.59,79.899
105.35,79.987
106.11,80.069
106.88,80.141
107.66,80.203
108.44,80.254
109.22,80.294
110.01,80.322
110.81,80.340
111.61,80.347
112.42,80.346
113.24,80.335
114.06,80.319
114.88,80.298
115.72,80.275
116.56,80.248
117.40,80.221
118.25,80.193
119.11,80.165
119.97,80.134
120.84,80.102
121.72,80.067
122.60,80.030
123.49,79.990
124.38,79.948
125.28,79.903
126.19,79.856
127.10,79.806
128.03,79.756
128.95,79.703
129.89,79.650
130.83,79.596
131.78,79.541
132.73,79.483
133.69,79.420
134.66,79.353
135.64,79.283
136.62,79.209
137.61,79.133
138.61,79.057
139.61,78.983
140.62,78.909
141.64,78.835
142.67,78.763
143.70,78.692
144.75,78.620
145.79,78.549
146.85,78.475
147.92,78.397
148.99,78.316
150.07,78.228
151.15,78.136
152.25,78.037
153.35,77.934
154.46,77.825
155.58,77.710
156.71,77.590
157.85,77.465
158.99,77.334
160.14,77.198
161.30,77.058
162.47,76.912
163.65,76.761
164.83,76.604
166.03,76.439
167.23,76.264
168.44,76.082
169.66,75.892
170.89,75.697
172.13,75.502
173.38,75.314
174.64,75.138
175.90,74.978
177.18,74.829
178.46,74.691
179.75,74.554
181.06,74.418
182.37,74.279
183.69,74.136
185.02,73.988
186.36,73.835
187.71,73.677
189.07,73.513
190.44,73.341
191.82,73.165
193.21,72.983
194.61,72.800
196.02,72.615
197.44,72.430
198.87,72.246
200.31,72.064
201.77,71.882
203.23,71.704
204.70,71.530
206.18,71.358
207.68,71.189
209.18,71.022
210.70,70.859
212.23,70.702
213.76,70.550
215.31,70.409
216.87,70.278
218.44,70.160
220.03,70.056
221.62,69.966
223.23,69.892
224.85,69.833
226.48,69.793
228.12,69.771
229.77,69.766
231.43,69.778
233.11,69.804
234.80,69.846
236.50,69.899
238.22,69.964
239.94,70.037
241.68,70.118
243.43,70.202
245.20,70.289
246.97,70.381
248.76,70.476
250.57,70.577
252.38,70.679
254.21,70.785
256.05,70.892
257.91,71.001
259.78,71.109
261.66,71.220
263.55,71.331
265.46,71.443
267.39,71.558
269.33,71.677
271.28,71.801
273.24,71.929
275.22,72.062
277.22,72.197
279.23,72.332
281.25,72.466
283.29,72.597
285.34,72.722
287.41,72.841
289.49,72.953
291.59,73.056
293.70,73.153
295.83,73.242
297.97,73.326
300.13,73.404
302.31,73.477
304.50,73.547
306.71,73.612
308.93,73.673
311.17,73.732
313.42,73.788
315.69,73.844
317.98,73.898
320.28,73.950
322.61,74.001
324.94,74.049
327.30,74.095
329.67,74.138
332.06,74.180
334.46,74.221
336.89,74.263
339.33,74.305
341.79,74.349
344.27,74.392
346.76,74.436
349.27,74.480
351.80,74.523
354.35,74.564
356.92,74.606
359.51,74.644
362.11,74.683
364.74,74.719
367.38,74.754
370.04,74.786
372.72,74.816
375.42,74.844
378.14,74.870
380.88,74.894
383.64,74.916
386.42,74.938
389.22,74.959
392.05,74.979
394.89,74.999
397.75,75.017
400.63,75.035
403.53,75.051
406.46,75.067
409.40,75.084
412.37,75.105
415.36,75.127
418.37,75.151
421.40,75.176
424.45,75.201
427.53,75.227
430.63,75.252
433.75,75.279
436.89,75.305
440.06,75.332
443.24,75.359
446.46,75.386
449.69,75.412
452.95,75.439
456.23,75.463
459.54,75.487
462.87,75.508
466.22,75.529
469.60,75.546
473.00,75.561
476.43,75.575
479.88,75.586
483.36,75.594
486.86,75.600
490.39,75.600
493.95,75.599
497.53,75.594
501.13,75.587
504.76,75.578
508.42,75.567
512.10,75.556
515.81,75.543
519.55,75.528
523.32,75.513
527.11,75.499
530.93,75.484
534.78,75.471
538.65,75.458
542.56,75.446
546.49,75.434
550.45,75.422
554.44,75.410
558.45,75.397
562.50,75.382
566.58,75.367
570.68,75.352
574.82,75.337
578.98,75.323
583.18,75.311
587.40,75.299
591.66,75.288
595.95,75.279
600.27,75.269
604.62,75.259
609.00,75.249
613.41,75.239
617.86,75.228
622.33,75.219
626.84,75.211
631.38,75.206
635.96,75.203
640.57,75.202
645.21,75.203
649.89,75.202
654.60,75.200
659.34,75.197
664.12,75.192
668.93,75.188
673.78,75.185
678.66,75.184
683.58,75.186
688.53,75.191
693.52,75.198
698.55,75.209
703.61,75.225
708.71,75.244
713.84,75.269
719.01,75.297
724.22,75.329
729.47,75.364
734.76,75.401
740.08,75.442
745.45,75.484
750.85,75.528
756.29,75.572
761.77,75.615
767.29,75.659
772.85,75.701
778.45,75.742
784.09,75.781
789.77,75.820
795.50,75.855
801.26,75.888
807.07,75.917
812.91,75.941
818.80,75.962
824.74,75.978
830.71,75.989
836.73,75.998
842.80,76.004
848.90,76.008
855.06,76.011
861.25,76.014
867.49,76.017
873.78,76.019
880.11,76.019
886.49,76.017
892.91,76.011
899.38,76.002
905.90,75.993
912.47,75.981
919.08,75.966
925.74,75.949
932.45,75.930
939.20,75.909
946.01,75.889
952.86,75.871
959.77,75.853
966.72,75.837
973.73,75.818
980.78,75.798
987.89,75.779
995.05,75.760
1002.26,75.742
1009.52,75.725
1016.84,75.711
1024.21,75.698
1031.63,75.688
1039.11,75.678
1046.63,75.670
1054.22,75.663
1061.86,75.659
1069.55,75.657
1077.30,75.656
1085.11,75.660
1092.97,75.665
1100.89,75.674
1108.87,75.689
1116.91,75.708
1125.00,75.732
1133.15,75.760
1141.36,75.792
1149.63,75.829
1157.97,75.871
1166.36,75.916
1174.81,75.965
1183.32,76.019
1191.90,76.076
1200.53,76.138
1209.23,76.201
1218.00,76.268
1226.82,76.336
1235.71,76.406
1244.67,76.477
1253.69,76.551
1262.77,76.626
1271.92,76.705
1281.14,76.787
1290.42,76.870
1299.77,76.958
1309.19,77.047
1318.68,77.141
1328.23,77.235
1337.86,77.331
1347.55,77.428
1357.32,77.524
1367.15,77.621
1377.06,77.716
1387.04,77.810
1397.09,77.903
1407.21,77.993
1417.41,78.080
1427.68,78.166
1438.03,78.250
1448.45,78.334
1458.94,78.413
1469.52,78.490
1480.17,78.562
1490.89,78.630
1501.69,78.694
1512.58,78.755
1523.54,78.815
1534.58,78.873
1545.70,78.930
