frequency,raw
20.00,81.34
20.30,81.42
20.60,81.47
20.90,81.52
21.20,81.57
21.40,81.60
21.80,81.66
22.00,81.69
22.40,81.75
22.70,81.79
23.00,81.83
23.30,81.87
23.60,81.90
24.00,81.95
24.30,81.98
24.70,82.03
25.00,82.06
25.40,82.11
25.80,82.15
26.20,82.20
26.50,82.22
26.90,82.26
27.20,82.29
27.60,82.32
28.00,82.36
28.50,82.41
29.00,82.45
29.50,82.49
30.00,82.54
30.40,82.57
30.70,82.59
31.10,82.62
31.50,82.66
32.00,82.69
32.50,82.74
33.00,82.78
33.50,82.83
34.00,82.87
34.50,82.91
35.00,82.95
35.50,82.98
36.00,83.01
36.50,83.04
37.00,83.07
37.50,83.10
38.20,83.14
38.70,83.16
39.50,83.20
40.00,83.22
40.60,83.24
41.20,83.26
41.80,83.28
42.50,83.30
43.10,83.32
43.70,83.34
44.40,83.36
45.00,83.37
45.50,83.37
46.20,83.37
46.80,83.37
47.50,83.38
48.20,83.39
48.70,83.39
49.40,83.40
50.00,83.40
50.80,83.40
51.50,83.40
52.20,83.40
53.00,83.39
53.80,83.38
54.50,83.36
55.20,83.34
56.00,83.32
57.00,83.29
58.00,83.25
59.00,83.22
60.00,83.18
60.80,83.15
61.50,83.12
62.20,83.08
63.00,83.04
64.00,82.99
65.00,82.93
66.00,82.87
67.00,82.80
68.00,82.72
69.00,82.64
70.00,82.56
71.00,82.47
72.00,82.39
73.00,82.31
74.00,82.24
75.00,82.18
76.20,82.10
77.50,82.04
78.80,81.99
80.00,81.94
81.20,81.88
82.50,81.81
83.80,81.71
85.00,81.60
86.20,81.46
87.50,81.27
88.50,81.11
90.00,80.86
91.20,80.65
92.50,80.42
93.80,80.19
95.00,79.98
96.20,79.77
97.50,79.55
98.80,79.35
100.00,79.18
101.50,78.99
103.00,78.83
104.40,78.71
106.00,78.61
107.50,78.55
109.00,78.53
110.60,78.55
112.00,78.59
113.80,78.66
115.00,78.71
117.20,78.78
118.00,78.80
120.60,78.75
122.00,78.66
124.10,78.49
125.00,78.40
126.50,78.26
128.00,78.15
131.50,78.03
132.00,78.03
134.00,78.06
136.00,78.12
138.00,78.21
140.00,78.30
143.00,78.42
145.00,78.48
147.50,78.55
150.00,78.58
152.50,78.59
155.00,78.57
157.50,78.52
160.00,78.44
162.50,78.33
165.00,78.19
167.50,78.03
170.00,77.84
172.50,77.62
175.00,77.38
177.50,77.11
180.00,76.82
182.50,76.52
185.00,76.20
187.50,75.87
190.00,75.54
192.50,75.20
195.00,74.86
197.50,74.51
200.00,74.16
203.00,73.74
206.00,73.32
209.00,72.91
212.00,72.53
214.00,72.30
218.00,71.89
220.00,71.72
224.00,71.42
227.00,71.25
230.00,71.11
233.00,71.02
236.00,70.96
240.00,70.93
243.00,70.94
247.00,70.99
250.00,71.04
254.00,71.13
258.00,71.25
262.00,71.39
265.00,71.50
269.00,71.64
272.00,71.75
276.00,71.89
280.00,72.03
285.00,72.22
290.00,72.41
295.00,72.60
300.00,72.78
304.00,72.92
307.00,73.02
311.00,73.13
315.00,73.22
320.00,73.33
325.00,73.43
330.00,73.52
335.00,73.60
340.00,73.68
345.00,73.76
350.00,73.82
355.00,73.88
360.00,73.93
365.00,73.98
370.00,74.02
375.00,74.06
382.00,74.12
387.00,74.15
395.00,74.20
400.00,74.23
406.00,74.25
412.00,74.27
418.00,74.28
425.00,74.29
431.00,74.29
437.00,74.29
444.00,74.29
450.00,74.32
455.00,74.38
462.00,74.49
468.00,74.60
475.00,74.70
482.00,74.75
487.00,74.76
494.00,74.77
500.00,74.77
508.00,74.76
515.00,74.76
522.00,74.76
530.00,74.76
538.00,74.76
545.00,74.76
552.00,74.76
560.00,74.77
570.00,74.78
580.00,74.79
590.00,74.81
600.00,74.82
608.00,74.82
615.00,74.83
622.00,74.83
630.00,74.84
640.00,74.85
650.00,74.86
660.00,74.88
670.00,74.90
680.00,74.93
690.00,74.97
700.00,75.02
710.00,75.06
720.00,75.11
730.00,75.16
740.00,75.22
750.00,75.27
762.00,75.34
775.00,75.42
788.00,75.51
800.00,75.60
812.00,75.69
825.00,75.79
838.00,75.89
850.00,75.97
862.00,76.06
875.00,76.14
885.00,76.19
900.00,76.27
912.00,76.31
925.00,76.34
938.00,76.38
950.00,76.41
962.00,76.44
975.00,76.47
988.00,76.51
1000.00,76.54
1015.00,76.58
1030.00,76.63
1044.00,76.70
1060.00,76.78
1075.00,76.86
1090.00,76.94
1106.00,77.02
1120.00,77.08
1138.00,77.16
1150.00,77.22
1172.00,77.31
1180.00,77.34
1206.00,77.39
1220.00,77.41
1241.00,77.42
1250.00,77.43
1265.00,77.43
1280.00,77.44
1315.00,77.47
1320.00,77.47
1340.00,77.51
1360.00,77.56
1380.00,77.62
1400.00,77.69
1430.00,77.82
1450.00,77.92
1475.00,78.06
1500.00,78.21
1525.00,78.39
1550.00,78.57
1575.00,78.77
1600.00,78.97
1625.00,79.18
1650.00,79.40
1675.00,79.61
1700.00,79.83
1725.00,80.04
1750.00,80.25
1775.00,80.46
1800.00,80.66
1825.00,80.86
1850.00,81.04
1875.00,81.21
1900.00,81.37
1925.00,81.53
1950.00,81.68
1975.00,81.82
2000.00,81.96
2030.00,82.12
2060.00,82.26
2090.00,82.40
2120.00,82.54
2140.00,82.62
2180.00,82.79
2200.00,82.87
2240.00,83.03
2270.00,83.14
2300.00,83.24
2330.00,83.33
2360.00,83.42
2400.00,83.52
2430.00,83.58
2470.00,83.64
2500.00,83.69
2540.00,83.73
2580.00,83.77
2620.00,83.78
2650.00,83.76
2690.00,83.72
2720.00,83.68
2760.00,83.59
2800.00,83.50
2850.00,83.38
2900.00,83.30
2950.00,83.25
3000.00,83.22
3040.00,83.19
3070.00,83.17
3110.00,83.08
3150.00,82.91
3200.00,82.56
3250.00,82.05
3300.00,81.43
3350.00,80.72
3400.00,79.97
3450.00,79.19
3500.00,78.37
3550.00,77.52
3600.00,76.65
3650.00,75.76
3700.00,74.87
3750.00,73.99
3820.00,72.87
3870.00,72.24
3950.00,71.69
4000.00,71.67
4060.00,71.88
4120.00,72.22
4180.00,72.59
4250.00,72.92
4310.00,73.11
4370.00,73.27
4440.00,73.51
4500.00,73.80
4550.00,74.12
4620.00,74.67
