frequency,raw
20.00,102.35
20.30,102.37
20.60,102.40
20.90,102.45
21.20,102.51
21.40,102.56
21.80,102.68
22.00,102.74
22.40,102.87
22.70,102.96
23.00,103.03
23.30,103.10
23.60,103.15
24.00,103.20
24.30,103.22
24.70,103.24
25.00,103.24
25.40,103.23
25.80,103.23
26.20,103.24
26.50,103.25
26.90,103.26
27.20,103.27
27.60,103.28
28.00,103.30
28.50,103.32
29.00,103.34
29.50,103.36
30.00,103.37
30.40,103.38
30.70,103.39
31.10,103.41
31.50,103.42
32.00,103.43
32.50,103.44
33.00,103.45
33.50,103.46
34.00,103.47
34.50,103.47
35.00,103.47
35.50,103.46
36.00,103.45
36.50,103.44
37.00,103.43
37.50,103.43
38.20,103.42
38.70,103.42
39.50,103.41
40.00,103.39
40.60,103.39
41.20,103.38
41.80,103.38
42.50,103.37
43.10,103.36
43.70,103.35
44.40,103.33
45.00,103.32
45.50,103.30
46.20,103.27
46.80,103.25
47.50,103.23
48.20,103.21
48.70,103.19
49.40,103.17
50.00,103.14
50.80,103.09
51.50,103.05
52.20,103.00
53.00,102.96
53.80,102.91
54.50,102.87
55.20,102.82
56.00,102.76
57.00,102.68
58.00,102.60
59.00,102.54
60.00,102.49
60.80,102.46
61.50,102.44
62.20,102.42
63.00,102.40
64.00,102.39
65.00,102.39
66.00,102.41
67.00,102.45
68.00,102.50
69.00,102.56
70.00,102.64
71.00,102.73
72.00,102.83
73.00,102.94
74.00,103.05
75.00,103.14
76.20,103.23
77.50,103.26
78.80,103.21
80.00,103.09
81.20,102.92
82.50,102.75
83.80,102.67
85.00,102.69
86.20,102.77
87.50,102.88
88.50,102.93
90.00,102.93
91.20,102.87
92.50,102.76
93.80,102.61
95.00,102.45
96.20,102.28
97.50,102.10
98.80,101.92
100.00,101.77
101.50,101.61
103.00,101.49
104.40,101.40
106.00,101.33
107.50,101.29
109.00,101.28
110.60,101.30
112.00,101.34
113.80,101.41
115.00,101.46
117.20,101.57
118.00,101.61
120.60,101.69
122.00,101.71
124.10,101.68
125.00,101.65
126.50,101.58
128.00,101.48
131.50,101.21
132.00,101.17
134.00,101.03
136.00,100.93
138.00,100.87
140.00,100.86
143.00,100.89
145.00,100.94
147.50,101.01
150.00,101.08
152.50,101.14
155.00,101.19
157.50,101.23
160.00,101.27
162.50,101.29
165.00,101.28
167.50,101.24
170.00,101.17
172.50,101.07
175.00,100.94
177.50,100.79
180.00,100.62
182.50,100.43
185.00,100.21
187.50,99.96
190.00,99.69
192.50,99.41
195.00,99.13
197.50,98.88
200.00,98.64
203.00,98.39
206.00,98.17
209.00,97.96
212.00,97.77
214.00,97.64
218.00,97.39
220.00,97.27
224.00,97.06
227.00,96.94
230.00,96.83
233.00,96.74
236.00,96.68
240.00,96.63
243.00,96.62
247.00,96.64
250.00,96.67
254.00,96.74
258.00,96.82
262.00,96.90
265.00,96.97
269.00,97.05
272.00,97.12
276.00,97.23
280.00,97.34
285.00,97.48
290.00,97.61
295.00,97.73
300.00,97.85
304.00,97.95
307.00,98.02
311.00,98.11
315.00,98.21
320.00,98.32
325.00,98.43
330.00,98.53
335.00,98.63
340.00,98.74
345.00,98.83
350.00,98.92
355.00,99.01
360.00,99.08
365.00,99.15
370.00,99.21
375.00,99.27
382.00,99.34
387.00,99.39
395.00,99.47
400.00,99.51
406.00,99.56
412.00,99.60
418.00,99.64
425.00,99.68
431.00,99.70
437.00,99.72
444.00,99.75
450.00,99.77
455.00,99.78
462.00,99.81
468.00,99.82
475.00,99.84
482.00,99.86
487.00,99.87
494.00,99.89
500.00,99.90
508.00,99.91
515.00,99.92
522.00,99.92
530.00,99.93
538.00,99.93
545.00,99.93
552.00,99.93
560.00,99.93
570.00,99.93
580.00,99.94
590.00,99.93
600.00,99.93
608.00,99.92
615.00,99.92
622.00,99.92
630.00,99.91
640.00,99.91
650.00,99.91
660.00,99.90
670.00,99.89
680.00,99.89
690.00,99.88
700.00,99.88
710.00,99.88
720.00,99.88
730.00,99.88
740.00,99.88
750.00,99.89
762.00,99.89
775.00,99.90
788.00,99.90
800.00,99.91
812.00,99.91
825.00,99.92
838.00,99.93
850.00,99.94
862.00,99.94
875.00,99.95
885.00,99.95
900.00,99.95
912.00,99.95
925.00,99.95
938.00,99.95
950.00,99.95
962.00,99.96
975.00,99.97
988.00,99.98
1000.00,100.00
1015.00,100.03
1030.00,100.06
1044.00,100.09
1060.00,100.11
1075.00,100.11
1090.00,100.11
1106.00,100.11
1120.00,100.12
1138.00,100.14
1150.00,100.15
1172.00,100.19
1180.00,100.20
1206.00,100.23
1220.00,100.24
1241.00,100.25
1250.00,100.25
1265.00,100.25
1280.00,100.26
1315.00,100.28
1320.00,100.28
1340.00,100.31
1360.00,100.34
1380.00,100.39
1400.00,100.44
1430.00,100.54
1450.00,100.62
1475.00,100.73
1500.00,100.85
1525.00,100.98
1550.00,101.12
1575.00,101.26
1600.00,101.42
1625.00,101.59
1650.00,101.76
1675.00,101.94
1700.00,102.12
1725.00,102.30
1750.00,102.48
1775.00,102.65
1800.00,102.82
1825.00,102.98
1850.00,103.14
1875.00,103.29
1900.00,103.44
1925.00,103.57
1950.00,103.70
1975.00,103.83
2000.00,103.95
2030.00,104.09
2060.00,104.22
2090.00,104.34
2120.00,104.47
2140.00,104.54
2180.00,104.69
2200.00,104.77
2240.00,104.90
2270.00,104.99
2300.00,105.07
2330.00,105.16
2360.00,105.24
2400.00,105.35
2430.00,105.43
2470.00,105.53
2500.00,105.60
2540.00,105.68
2580.00,105.75
2620.00,105.81
2650.00,105.85
2690.00,105.90
2720.00,105.94
2760.00,105.98
2800.00,106.03
2850.00,106.14
2900.00,106.31
2950.00,106.52
3000.00,106.70
3040.00,106.78
3070.00,106.78
3110.00,106.69
3150.00,106.47
3200.00,106.05
3250.00,105.47
3300.00,104.80
3350.00,104.08
3400.00,103.38
3450.00,102.72
3500.00,102.13
3550.00,101.61
3600.00,101.17
3650.00,100.81
3700.00,100.56
3750.00,100.45
3820.00,100.53
3870.00,100.75
3950.00,101.30
4000.00,101.72
4060.00,102.24
4120.00,102.75
4180.00,103.20
4250.00,103.63
4310.00,103.91
4370.00,104.13
4440.00,104.32
4500.00,104.46
4550.00,104.57
4620.00,104.69
4680.00,104.77
4750.00,104.79
4820.00,104.70
4870.00,104.56
4940.00,104.24
5000.00,103.83
5080.00,103.16
5150.00,102.53
5220.00,101.95
5300.00,101.47
5380.00,101.21
5450.00,101.11
5520.00,101.08
5600.00,101.10
5700.00,101.17
5800.00,101.25
5900.00,101.32
6000.00,101.34
6080.00,101.31
6150.00,101.25
6220.00,101.15
6300.00,101.01
6400.00,100.83
6500.00,100.68
6600.00,100.59
6700.00,100.63
6800.00,100.79
6900.00,101.07
7000.00,101.39
7100.00,101.68
7200.00,101.89
7300.00,102.00
7400.00,102.02
7500.00,101.98
7620.00,101.93
7750.00,101.95
7880.00,102.08
8000.00,102.23
8120.00,102.33
8250.00,102.34
