frequency,raw
20.02,100.83
20.27,100.84
20.52,100.87
20.78,100.93
21.04,101.00
21.31,101.09
21.58,101.20
21.85,101.31
22.12,101.43
22.40,101.55
22.68,101.66
22.97,101.75
23.26,101.82
23.55,101.86
23.85,101.86
24.15,101.83
24.45,101.78
24.76,101.72
25.07,101.66
25.39,101.60
25.71,101.55
26.03,101.52
26.36,101.52
26.69,101.56
27.03,101.61
27.37,101.68
27.71,101.75
28.06,101.83
28.41,101.90
28.77,101.97
29.13,102.02
29.50,102.07
29.87,102.10
30.25,102.14
30.63,102.16
31.02,102.19
31.41,102.21
31.80,102.22
32.20,102.23
32.61,102.23
33.02,102.22
33.43,102.22
33.85,102.21
34.28,102.21
34.71,102.20
35.15,102.19
35.59,102.18
36.04,102.17
36.49,102.17
36.95,102.16
37.42,102.15
37.89,102.12
38.37,102.06
38.85,101.95
39.34,101.81
39.83,101.65
40.34,101.50
40.84,101.40
41.36,101.34
41.88,101.33
42.41,101.33
42.94,101.35
43.48,101.39
44.03,101.44
44.58,101.50
45.14,101.59
45.71,101.68
46.29,101.77
46.87,101.81
47.46,101.80
48.06,101.75
48.66,101.66
49.27,101.54
49.90,101.38
50.52,101.17
51.16,100.95
51.80,100.72
52.46,100.49
53.12,100.25
53.79,100.01
54.46,99.76
55.15,99.52
55.84,99.26
56.55,99.00
57.26,98.74
57.98,98.48
58.71,98.23
59.45,98.00
60.20,97.79
60.95,97.59
61.72,97.40
62.50,97.21
63.29,97.03
64.08,96.86
64.89,96.70
65.71,96.54
66.53,96.41
67.37,96.35
68.22,96.43
69.08,96.63
69.95,96.93
70.83,97.30
71.72,97.72
72.62,98.16
73.54,98.60
74.47,99.03
75.40,99.45
76.35,99.84
77.31,100.19
78.29,100.51
79.27,100.79
80.27,101.05
81.28,101.27
82.31,101.45
83.34,101.60
84.39,101.73
85.45,101.85
86.53,101.96
87.62,102.03
88.72,102.05
89.84,102.03
90.97,102.02
92.12,102.04
93.28,102.05
94.45,102.06
95.64,102.04
96.84,102.02
98.06,102.00
99.30,101.96
100.55,101.87
101.81,101.76
103.10,101.66
104.39,101.59
105.71,101.51
107.04,101.40
108.39,101.26
109.75,101.10
111.13,100.95
112.53,100.80
113.95,100.63
115.39,100.42
116.84,100.19
118.31,99.97
119.80,99.77
121.31,99.56
122.83,99.34
124.38,99.13
125.95,98.91
127.53,98.65
129.14,98.39
130.76,98.16
132.41,97.90
134.08,97.61
135.77,97.34
137.48,97.11
139.21,96.90
140.96,96.68
142.73,96.44
144.53,96.16
146.35,95.86
148.19,95.61
150.06,95.35
151.95,95.04
153.86,94.68
155.80,94.31
157.76,93.94
159.75,93.59
161.76,93.24
163.80,92.89
165.86,92.55
167.95,92.15
170.06,91.66
172.20,91.21
174.37,90.86
176.57,90.55
178.79,90.18
181.04,89.76
183.32,89.34
185.63,88.95
187.97,88.63
190.33,88.34
192.73,88.02
195.16,87.74
197.61,87.55
200.10,87.39
202.62,87.20
205.17,87.03
207.75,87.01
210.37,87.10
213.02,87.21
215.70,87.36
218.42,87.57
221.17,87.81
223.95,88.09
226.77,88.38
229.63,88.69
232.52,89.06
235.45,89.45
238.41,89.77
241.41,90.04
244.45,90.33
247.53,90.61
250.65,90.85
253.80,91.07
257.00,91.28
260.24,91.50
263.51,91.71
266.83,91.90
270.19,92.07
273.59,92.23
277.04,92.36
280.52,92.51
284.06,92.67
287.63,92.82
291.25,92.94
294.92,93.07
298.63,93.18
302.39,93.27
306.20,93.31
310.06,93.35
313.96,93.40
317.92,93.45
321.92,93.48
325.97,93.50
330.07,93.52
334.23,93.55
338.44,93.58
342.70,93.62
347.02,93.65
351.38,93.67
355.81,93.69
360.29,93.70
364.83,93.71
369.42,93.73
374.07,93.75
378.78,93.77
383.55,93.80
388.38,93.84
393.27,93.89
398.22,93.95
403.24,94.03
408.31,94.11
413.45,94.20
418.66,94.30
423.93,94.39
429.27,94.50
434.67,94.64
440.15,94.79
445.69,94.94
451.30,95.10
456.98,95.25
462.74,95.38
468.56,95.51
474.46,95.62
480.44,95.71
486.49,95.79
492.61,95.85
498.81,95.89
505.09,95.91
511.45,95.93
517.89,95.94
524.41,95.96
531.02,95.98
537.70,96.00
544.47,96.03
551.33,96.07
558.27,96.09
565.30,96.11
572.42,96.14
579.63,96.16
586.92,96.17
594.31,96.17
601.80,96.17
609.37,96.17
617.05,96.15
624.82,96.13
632.68,96.12
640.65,96.10
648.72,96.07
656.88,96.03
665.15,95.99
673.53,95.96
682.01,95.91
690.60,95.87
699.29,95.82
708.10,95.78
717.01,95.73
726.04,95.68
735.18,95.63
744.44,95.57
753.81,95.52
763.30,95.47
772.91,95.42
782.65,95.37
792.50,95.34
802.48,95.31
812.58,95.29
822.82,95.28
833.18,95.28
843.67,95.29
854.29,95.31
865.04,95.33
875.94,95.36
886.97,95.41
898.13,95.45
909.44,95.50
920.89,95.54
932.49,95.58
944.23,95.64
956.12,95.71
968.16,95.78
980.35,95.86
992.69,95.94
1005.19,96.02
1017.85,96.10
1030.66,96.18
1043.64,96.25
1056.78,96.29
1070.09,96.34
1083.56,96.37
1097.20,96.41
1111.02,96.43
1125.01,96.46
1139.17,96.49
1153.52,96.52
1168.04,96.55
1182.75,96.59
1197.64,96.62
1212.72,96.66
1227.99,96.70
1243.45,96.75
1259.11,96.79
1274.96,96.84
1291.01,96.91
1307.27,96.98
1323.73,97.05
1340.39,97.14
1357.27,97.24
1374.36,97.36
1391.66,97.48
1409.19,97.60
1426.93,97.72
1444.90,97.85
1463.09,98.00
1481.51,98.14
1500.17,98.29
1519.05,98.44
1538.18,98.58
1557.55,98.74
1577.16,98.91
1597.02,99.09
1617.13,99.27
1637.49,99.45
1658.11,99.64
1678.98,99.83
1700.12,100.01
1721.53,100.19
1743.20,100.37
1765.15,100.54
1787.38,100.69
1809.88,100.83
1832.67,100.96
1855.75,101.08
1879.11,101.19
1902.77,101.29
1926.73,101.39
1950.99,101.48
1975.56,101.56
2000.43,101.63
2025.62,101.70
2051.12,101.75
2076.95,101.78
2103.10,101.80
2129.58,101.81
2156.39,101.80
2183.55,101.76
2211.04,101.71
2238.88,101.63
2267.07,101.52
2295.61,101.39
2324.52,101.24
2353.78,101.04
