frequency,raw
20.02,99.22
20.27,99.27
20.52,99.31
20.78,99.35
21.04,99.39
21.31,99.42
21.58,99.45
21.85,99.48
22.12,99.51
22.40,99.53
22.68,99.57
22.97,99.60
23.26,99.64
23.55,99.68
23.85,99.72
24.15,99.76
24.45,99.80
24.76,99.85
25.07,99.89
25.39,99.94
25.71,99.98
26.03,100.03
26.36,100.07
26.69,100.12
27.03,100.17
27.37,100.21
27.71,100.26
28.06,100.31
28.41,100.36
28.77,100.40
29.13,100.43
29.50,100.44
29.87,100.43
30.25,100.41
30.63,100.39
31.02,100.37
31.41,100.34
31.80,100.31
32.20,100.28
32.61,100.24
33.02,100.20
33.43,100.16
33.85,100.11
34.28,100.06
34.71,100.01
35.15,99.97
35.59,99.93
36.04,99.91
36.49,99.89
36.95,99.87
37.42,99.85
37.89,99.81
38.37,99.76
38.85,99.70
39.34,99.61
39.83,99.51
40.34,99.39
40.84,99.25
41.36,99.09
41.88,98.88
42.41,98.63
42.94,98.38
43.48,98.15
44.03,98.02
44.58,97.99
45.14,98.01
45.71,98.03
46.29,98.06
46.87,98.08
47.46,98.07
48.06,98.03
48.66,97.98
49.27,97.89
49.90,97.71
50.52,97.40
51.16,96.97
51.80,96.52
52.46,96.18
53.12,96.04
53.79,96.07
54.46,96.19
55.15,96.35
55.84,96.55
56.55,96.77
57.26,97.03
57.98,97.31
58.71,97.58
59.45,97.86
60.20,98.14
60.95,98.37
61.72,98.51
62.50,98.55
63.29,98.52
64.08,98.46
64.89,98.35
65.71,98.20
66.53,98.05
67.37,97.99
68.22,98.11
69.08,98.34
69.95,98.60
70.83,98.87
71.72,99.14
72.62,99.39
73.54,99.59
74.47,99.74
75.40,99.86
76.35,99.98
77.31,100.11
78.29,100.23
79.27,100.34
80.27,100.45
81.28,100.54
82.31,100.62
83.34,100.68
84.39,100.73
85.45,100.77
86.53,100.80
87.62,100.82
88.72,100.83
89.84,100.84
90.97,100.83
92.12,100.80
93.28,100.75
94.45,100.70
95.64,100.67
96.84,100.67
98.06,100.71
99.30,100.74
100.55,100.70
101.81,100.62
103.10,100.54
104.39,100.48
105.71,100.43
107.04,100.40
108.39,100.36
109.75,100.29
111.13,100.20
112.53,100.09
113.95,99.96
115.39,99.82
116.84,99.70
118.31,99.58
119.80,99.46
121.31,99.34
122.83,99.18
124.38,98.98
125.95,98.76
127.53,98.55
129.14,98.35
130.76,98.13
132.41,97.88
134.08,97.60
135.77,97.30
137.48,97.02
139.21,96.79
140.96,96.61
142.73,96.45
144.53,96.29
146.35,96.12
148.19,95.90
150.06,95.63
151.95,95.35
153.86,95.11
155.80,94.86
157.76,94.55
159.75,94.21
161.76,93.84
163.80,93.45
165.86,93.04
167.95,92.67
170.06,92.28
172.20,91.84
174.37,91.38
176.57,90.98
178.79,90.57
181.04,90.09
183.32,89.53
185.63,88.97
187.97,88.45
190.33,87.94
192.73,87.47
195.16,87.03
197.61,86.61
200.10,86.17
202.62,85.74
205.17,85.37
207.75,85.05
210.37,84.77
213.02,84.59
215.70,84.50
218.42,84.52
221.17,84.64
223.95,84.84
226.77,85.15
229.63,85.54
232.52,85.98
235.45,86.39
238.41,86.80
241.41,87.25
244.45,87.71
247.53,88.12
250.65,88.48
253.80,88.82
257.00,89.15
260.24,89.42
263.51,89.66
266.83,89.91
270.19,90.11
273.59,90.25
277.04,90.38
280.52,90.52
284.06,90.68
287.63,90.85
291.25,91.01
294.92,91.14
298.63,91.26
302.39,91.37
306.20,91.47
310.06,91.56
313.96,91.63
317.92,91.70
321.92,91.77
325.97,91.84
330.07,91.88
334.23,91.94
338.44,92.00
342.70,92.07
347.02,92.14
351.38,92.23
355.81,92.31
360.29,92.40
364.83,92.50
369.42,92.62
374.07,92.73
378.78,92.86
383.55,93.00
388.38,93.12
393.27,93.24
398.22,93.34
403.24,93.43
408.31,93.50
413.45,93.57
418.66,93.63
423.93,93.68
429.27,93.72
434.67,93.76
440.15,93.80
445.69,93.84
451.30,93.88
456.98,93.93
462.74,93.97
468.56,94.02
474.46,94.07
480.44,94.13
486.49,94.19
492.61,94.25
498.81,94.31
505.09,94.37
511.45,94.43
517.89,94.50
524.41,94.57
531.02,94.64
537.70,94.72
544.47,94.81
551.33,94.89
558.27,94.97
565.30,95.06
572.42,95.15
579.63,95.22
586.92,95.28
594.31,95.32
601.80,95.35
609.37,95.37
617.05,95.38
624.82,95.38
632.68,95.38
640.65,95.37
648.72,95.37
656.88,95.36
665.15,95.35
673.53,95.34
682.01,95.33
690.60,95.31
699.29,95.29
708.10,95.27
717.01,95.25
726.04,95.22
735.18,95.18
744.44,95.15
753.81,95.12
763.30,95.09
772.91,95.06
782.65,95.04
792.50,95.02
802.48,95.00
812.58,94.99
822.82,94.97
833.18,94.95
843.67,94.93
854.29,94.90
865.04,94.87
875.94,94.85
886.97,94.83
898.13,94.83
909.44,94.82
920.89,94.80
932.49,94.77
944.23,94.76
956.12,94.74
968.16,94.73
980.35,94.71
992.69,94.70
1005.19,94.69
1017.85,94.70
1030.66,94.72
1043.64,94.75
1056.78,94.79
1070.09,94.84
1083.56,94.90
1097.20,94.97
1111.02,95.05
1125.01,95.14
1139.17,95.24
1153.52,95.35
1168.04,95.46
1182.75,95.58
1197.64,95.70
1212.72,95.83
1227.99,95.96
1243.45,96.10
1259.11,96.22
1274.96,96.35
1291.01,96.49
1307.27,96.62
1323.73,96.75
1340.39,96.88
1357.27,97.01
1374.36,97.14
1391.66,97.26
1409.19,97.38
1426.93,97.50
1444.90,97.61
1463.09,97.73
1481.51,97.84
1500.17,97.96
1519.05,98.07
1538.18,98.17
1557.55,98.28
1577.16,98.38
1597.02,98.49
1617.13,98.59
1637.49,98.68
1658.11,98.79
1678.98,98.89
1700.12,99.00
1721.53,99.10
1743.20,99.21
1765.15,99.34
1787.38,99.46
1809.88,99.58
1832.67,99.69
1855.75,99.81
1879.11,99.93
1902.77,100.05
1926.73,100.16
1950.99,100.27
1975.56,100.38
2000.43,100.48
2025.62,100.56
2051.12,100.64
2076.95,100.70
2103.10,100.75
2129.58,100.77
2156.39,100.77
2183.55,100.74
2211.04,100.67
2238.88,100.56
2267.07,100.40
2295.61,100.18
2324.52,99.93
2353.78,99.66
2383.42,99.41
2413.43,99.21
2443.82,99.12
2474.59,99.16
2505.75,99.31
2537.30,99.52
2569.24,99.73
2601.59,99.96
2634.35,100.18
2667.52,100.38
2701.11,100.55
2735.12,100.71
2769.56,100.85
2804.43,100.96
2839.74,101.06
2875.49,101.12
2911.70,101.13
2948.36,101.13
2985.48,101.11
3023.07,101.04
3061.14,100.92
3099.68,100.81
3138.71,100.72
3178.23,100.65
3218.25,100.61
3258.77,100.65
3299.80,100.73
3341.35,100.84
3383.42,100.96
3426.02,101.08
3469.16,101.21
3512.84,101.34
3557.07,101.47
3601.86,101.60
3647.21,101.75
3693.13,101.88
3739.63,102.00
3786.72,102.11
3834.39,102.23
3882.67,102.35
3931.56,102.45
3981.06,102.50
4031.19,102.49
4081.95,102.43
4133.34,102.31
4185.39,102.09
4238.08,101.73
4291.45,101.21
4345.48,100.75
4400.19,100.58
4455.60,100.81
4511.70,101.26
4568.51,101.78
4626.03,102.26
4684.27,102.73
4743.26,103.20
4802.98,103.62
4863.45,103.90
4924.69,104.08
4986.70,104.21
5049.48,104.32
5113.06,104.40
5177.44,104.44
5242.63,104.46
5308.64,104.47
5375.48,104.49
5443.17,104.52
5511.70,104.56
5581.10,104.62
5651.37,104.69
5722.53,104.75
5794.58,104.78
5867.54,104.76
5941.42,104.68
6016.23,104.52
6091.98,104.27
6168.69,103.90
6246.36,103.35
6325.01,102.62
6404.64,101.74
6485.28,100.76
6566.94,99.75
6649.63,98.68
6733.35,97.47
6818.13,96.18
6903.98,95.25
6990.91,95.21
7078.93,96.40
7168.06,98.70
7258.32,101.29
7349.71,103.76
7442.25,105.95
7535.95,107.77
7630.84,109.13
7726.92,110.01
7824.21,110.40
7922.73,110.34
8022.48,109.93
8123.49,109.29
8225.78,108.53
8329.35,107.71
8434.23,106.74
8540.42,105.54
8647.95,104.12
8756.84,102.56
8867.10,101.06
8978.75,99.88
9091.80,99.19
9206.27,98.83
9322.19,98.59
9439.57,98.35
9558.42,98.13
9678.77,98.09
9800.64,98.46
