frequency,raw
20.02,83.69
20.16,83.72
20.31,83.75
20.46,83.76
20.60,83.77
20.75,83.77
20.90,83.77
21.06,83.76
21.21,83.75
21.36,83.75
21.52,83.74
21.67,83.74
21.83,83.75
21.99,83.76
22.15,83.78
22.31,83.80
22.47,83.83
22.63,83.86
22.80,83.89
22.96,83.92
23.13,83.94
23.30,83.95
23.46,83.95
23.63,83.95
23.81,83.94
23.98,83.93
24.15,83.91
24.33,83.90
24.50,83.88
24.68,83.88
24.86,83.88
25.04,83.88
25.22,83.89
25.40,83.91
25.59,83.93
25.77,83.95
25.96,83.96
26.15,83.98
26.34,83.99
26.53,84.00
26.72,84.01
26.91,84.02
27.11,84.02
27.31,84.03
27.50,84.03
27.70,84.04
27.90,84.04
28.11,84.05
28.31,84.06
28.51,84.07
28.72,84.08
28.93,84.09
29.14,84.09
29.35,84.10
29.56,84.11
29.78,84.11
29.99,84.12
30.21,84.12
30.43,84.12
30.65,84.12
30.87,84.12
31.10,84.12
31.32,84.11
31.55,84.11
31.78,84.10
32.01,84.10
32.24,84.09
32.47,84.09
32.71,84.09
32.94,84.08
33.18,84.08
33.42,84.07
33.67,84.07
33.91,84.06
34.16,84.06
34.40,84.06
34.65,84.05
34.90,84.05
35.16,84.04
35.41,84.04
35.67,84.03
35.93,84.03
36.19,84.02
36.45,84.01
36.71,84.00
36.98,83.99
37.25,83.98
37.52,83.96
37.79,83.95
38.06,83.93
38.34,83.91
38.62,83.90
38.90,83.88
39.18,83.87
39.46,83.86
39.75,83.85
40.04,83.84
40.33,83.83
40.62,83.83
40.91,83.82
41.21,83.82
41.51,83.81
41.81,83.80
42.11,83.78
42.42,83.76
42.72,83.73
43.03,83.71
43.34,83.69
43.66,83.66
43.98,83.63
44.29,83.60
44.62,83.56
44.94,83.50
45.26,83.44
45.59,83.37
45.92,83.30
46.26,83.22
46.59,83.14
46.93,83.05
47.27,82.96
47.61,82.87
47.96,82.78
48.30,82.70
48.65,82.64
49.01,82.60
49.36,82.58
49.72,82.58
50.08,82.60
50.44,82.63
50.81,82.68
51.18,82.73
51.55,82.77
51.92,82.80
52.30,82.82
52.67,82.82
53.06,82.81
53.44,82.77
53.83,82.72
54.22,82.65
54.61,82.56
55.01,82.46
55.41,82.35
55.81,82.23
56.21,82.11
56.62,81.98
57.03,81.85
57.44,81.72
57.86,81.60
58.28,81.50
58.70,81.41
59.13,81.34
59.55,81.30
59.99,81.28
60.42,81.29
60.86,81.31
61.30,81.35
61.74,81.40
62.19,81.45
62.64,81.50
63.10,81.55
63.55,81.59
64.01,81.62
64.48,81.63
64.94,81.63
65.41,81.61
65.89,81.57
66.37,81.51
66.85,81.45
67.33,81.38
67.82,81.31
68.31,81.23
68.81,81.16
69.30,81.11
69.81,81.06
70.31,81.04
70.82,81.05
71.34,81.08
71.85,81.12
72.37,81.19
72.90,81.26
73.43,81.34
73.96,81.43
74.49,81.53
75.03,81.65
75.58,81.79
76.12,81.94
76.68,82.11
77.23,82.27
77.79,82.42
78.36,82.57
78.92,82.70
79.50,82.82
80.07,82.94
80.65,83.04
81.24,83.13
81.82,83.22
82.42,83.30
83.01,83.37
83.62,83.43
84.22,83.48
84.83,83.52
85.45,83.55
86.07,83.58
86.69,83.61
87.32,83.64
87.95,83.68
88.59,83.71
89.23,83.74
89.88,83.76
90.53,83.77
91.18,83.78
91.84,83.77
92.51,83.73
93.18,83.68
93.86,83.60
94.54,83.49
95.22,83.35
95.91,83.20
96.61,83.05
97.31,82.91
98.01,82.80
98.72,82.73
99.44,82.70
100.16,82.71
100.88,82.77
101.61,82.84
102.35,82.93
103.09,83.03
103.84,83.13
104.59,83.23
105.35,83.32
106.11,83.41
106.88,83.50
107.66,83.58
108.44,83.65
109.22,83.71
110.01,83.77
110.81,83.81
111.61,83.84
112.42,83.87
113.24,83.89
114.06,83.91
114.88,83.93
115.72,83.94
116.56,83.95
117.40,83.97
118.25,83.98
119.11,83.99
119.97,83.99
120.84,83.99
121.72,83.98
122.60,83.97
123.49,83.94
124.38,83.92
125.28,83.88
126.19,83.84
127.10,83.80
128.03,83.76
128.95,83.72
129.89,83.68
130.83,83.65
131.78,83.63
132.73,83.62
133.69,83.62
134.66,83.62
135.64,83.63
136.62,83.63
137.61,83.63
138.61,83.63
139.61,83.62
140.62,83.61
141.64,83.58
142.67,83.55
143.70,83.51
144.75,83.47
145.79,83.42
146.85,83.36
147.92,83.30
148.99,83.24
150.07,83.17
151.15,83.10
152.25,83.03
153.35,82.95
154.46,82.87
155.58,82.79
156.71,82.70
157.85,82.60
158.99,82.49
160.14,82.38
161.30,82.25
162.47,82.12
163.65,81.98
164.83,81.82
166.03,81.65
167.23,81.47
168.44,81.28
169.66,81.08
170.89,80.88
172.13,80.67
173.38,80.48
174.64,80.28
175.90,80.10
177.18,79.92
178.46,79.74
179.75,79.57
181.06,79.40
182.37,79.24
183.69,79.08
185.02,78.91
186.36,78.74
187.71,78.55
189.07,78.34
190.44,78.13
191.82,77.90
193.21,77.66
194.61,77.41
196.02,77.16
197.44,76.90
198.87,76.64
200.31,76.38
201.77,76.11
203.23,75.85
204.70,75.58
206.18,75.31
207.68,75.05
209.18,74.79
210.70,74.53
212.23,74.29
213.76,74.06
215.31,73.83
216.87,73.62
218.44,73.42
220.03,73.23
221.62,73.06
223.23,72.91
224.85,72.77
226.48,72.65
228.12,72.55
229.77,72.46
231.43,72.38
233.11,72.32
234.80,72.27
236.50,72.23
238.22,72.21
239.94,72.20
241.68,72.19
243.43,72.20
245.20,72.22
246.97,72.24
248.76,72.27
250.57,72.30
252.38,72.34
254.21,72.38
256.05,72.43
257.91,72.48
259.78,72.53
261.66,72.58
263.55,72.64
265.46,72.70
267.39,72.77
269.33,72.84
271.28,72.91
273.24,73.00
275.22,73.08
277.22,73.17
279.23,73.27
