frequency,raw
20.00,87.289
20.30,87.309
20.60,87.311
20.90,87.306
21.20,87.297
21.40,87.291
21.80,87.277
22.00,87.269
22.40,87.250
22.70,87.233
23.00,87.215
23.30,87.197
23.60,87.181
24.00,87.162
24.30,87.151
24.70,87.141
25.00,87.135
25.40,87.126
25.80,87.110
26.20,87.087
26.50,87.064
26.90,87.031
27.20,87.006
27.60,86.977
28.00,86.951
28.50,86.921
29.00,86.885
29.50,86.841
30.00,86.796
30.40,86.766
30.70,86.750
31.10,86.738
31.50,86.731
32.00,86.722
32.50,86.707
33.00,86.686
33.50,86.666
34.00,86.653
34.50,86.641
35.00,86.618
35.50,86.585
36.00,86.545
36.50,86.505
37.00,86.465
37.50,86.417
38.20,86.329
38.70,86.257
39.50,86.146
40.00,86.082
40.60,86.003
41.20,85.919
41.80,85.834
42.50,85.734
43.10,85.647
43.70,85.554
44.40,85.439
45.00,85.336
45.50,85.248
46.20,85.120
46.80,85.008
47.50,84.879
48.20,84.748
48.70,84.651
49.40,84.507
50.00,84.375
50.80,84.198
51.50,84.043
52.20,83.889
53.00,83.711
53.80,83.537
54.50,83.392
55.20,83.257
56.00,83.115
57.00,82.942
58.00,82.768
59.00,82.597
60.00,82.431
60.80,82.300
61.50,82.189
62.20,82.078
63.00,81.953
64.00,81.797
65.00,81.650
66.00,81.507
67.00,81.367
68.00,81.234
69.00,81.114
70.00,81.006
71.00,80.916
72.00,80.842
73.00,80.783
74.00,80.739
75.00,80.710
76.20,80.694
77.50,80.695
78.80,80.715
80.00,80.747
81.20,80.792
82.50,80.857
83.80,80.941
85.00,81.031
86.20,81.129
87.50,81.239
88.50,81.323
90.00,81.443
91.20,81.528
92.50,81.602
93.80,81.652
95.00,81.669
96.20,81.653
97.50,81.594
98.80,81.496
100.00,81.375
101.50,81.195
103.00,81.003
104.40,80.837
106.00,80.684
107.50,80.594
109.00,80.566
110.60,80.588
112.00,80.635
113.80,80.722
115.00,80.790
117.20,80.917
118.00,80.960
120.60,81.083
122.00,81.137
124.10,81.201
125.00,81.225
126.50,81.258
128.00,81.285
131.50,81.315
132.00,81.316
134.00,81.314
136.00,81.302
138.00,81.279
140.00,81.245
143.00,81.165
145.00,81.096
147.50,81.001
150.00,80.891
152.50,80.757
155.00,80.595
157.50,80.406
160.00,80.185
162.50,79.935
165.00,79.672
167.50,79.422
170.00,79.223
172.50,79.096
175.00,79.036
177.50,79.009
180.00,78.982
182.50,78.938
185.00,78.869
187.50,78.781
190.00,78.681
192.50,78.581
195.00,78.487
197.50,78.397
200.00,78.306
203.00,78.191
206.00,78.066
209.00,77.933
212.00,77.795
214.00,77.701
218.00,77.508
220.00,77.411
224.00,77.219
227.00,77.084
230.00,76.959
233.00,76.850
236.00,76.755
240.00,76.644
243.00,76.565
247.00,76.459
250.00,76.385
254.00,76.305
258.00,76.266
262.00,76.264
265.00,76.273
269.00,76.276
272.00,76.265
276.00,76.233
280.00,76.195
285.00,76.153
290.00,76.108
295.00,76.053
300.00,75.993
304.00,75.947
307.00,75.914
311.00,75.870
315.00,75.826
320.00,75.772
325.00,75.716
330.00,75.663
335.00,75.611
340.00,75.558
345.00,75.506
350.00,75.457
355.00,75.413
360.00,75.380
365.00,75.355
370.00,75.333
375.00,75.309
382.00,75.276
387.00,75.250
395.00,75.209
400.00,75.183
406.00,75.150
412.00,75.117
418.00,75.084
425.00,75.046
431.00,75.011
437.00,74.981
444.00,74.957
450.00,74.957
455.00,74.978
462.00,75.043
468.00,75.118
475.00,75.191
482.00,75.224
487.00,75.225
494.00,75.213
500.00,75.202
508.00,75.189
515.00,75.181
522.00,75.178
530.00,75.183
538.00,75.194
545.00,75.209
552.00,75.234
560.00,75.272
570.00,75.337
580.00,75.410
590.00,75.488
600.00,75.567
608.00,75.628
615.00,75.668
622.00,75.690
630.00,75.698
640.00,75.695
650.00,75.683
660.00,75.671
670.00,75.672
680.00,75.691
690.00,75.731
700.00,75.786
710.00,75.851
720.00,75.921
730.00,75.989
740.00,76.046
750.00,76.088
762.00,76.123
775.00,76.148
788.00,76.166
800.00,76.180
812.00,76.194
825.00,76.209
838.00,76.227
850.00,76.245
862.00,76.264
875.00,76.286
885.00,76.303
900.00,76.330
912.00,76.351
925.00,76.374
938.00,76.394
950.00,76.412
962.00,76.428
975.00,76.445
988.00,76.462
1000.00,76.476
1015.00,76.491
1030.00,76.503
1044.00,76.514
1060.00,76.526
1075.00,76.536
1090.00,76.546
1106.00,76.558
1120.00,76.569
1138.00,76.584
1150.00,76.594
1172.00,76.618
1180.00,76.626
1206.00,76.653
1220.00,76.666
1241.00,76.680
1250.00,76.685
1265.00,76.692
1280.00,76.698
1315.00,76.718
1320.00,76.721
1340.00,76.740
1360.00,76.769
1380.00,76.806
1400.00,76.852
1430.00,76.953
1450.00,77.054
1475.00,77.185
1500.00,77.291
1525.00,77.373
1550.00,77.442
1575.00,77.506
1600.00,77.561
1625.00,77.603
1650.00,77.624
1675.00,77.620
1700.00,77.591
1725.00,77.550
1750.00,77.517
1775.00,77.507
1800.00,77.531
1825.00,77.599
1850.00,77.706
1875.00,77.835
1900.00,77.970
1925.00,78.098
1950.00,78.218
1975.00,78.333
2000.00,78.447
2030.00,78.588
2060.00,78.737
2090.00,78.898
2120.00,79.076
2140.00,79.209
2180.00,79.525
2200.00,79.714
2240.00,80.166
2270.00,80.567
2300.00,81.004
2330.00,81.453
2360.00,81.880
2400.00,82.376
2430.00,82.675
2470.00,82.986
2500.00,83.162
2540.00,83.338
2580.00,83.463
2620.00,83.549
2650.00,83.591
2690.00,83.619
2720.00,83.618
2760.00,83.592
2800.00,83.543
2850.00,83.471
2900.00,83.394
2950.00,83.301
3000.00,83.162
3040.00,82.997
3070.00,82.842
3110.00,82.600
3150.00,82.334
3200.00,81.987
3250.00,81.638
3300.00,81.276
3350.00,80.864
3400.00,80.367
3450.00,79.760
3500.00,79.046
3550.00,78.241
3600.00,77.383
3650.00,76.543
3700.00,75.819
3750.00,75.276
3820.00,74.870
3870.00,74.892
3950.00,75.528
4000.00,76.181
4060.00,76.944
4120.00,77.458
4180.00,77.692
4250.00,77.879
4310.00,78.237
4370.00,78.855
4440.00,79.790
4500.00,80.639
4550.00,81.284
4620.00,81.983
4680.00,82.361
4750.00,82.585
4820.00,82.627
4870.00,82.564
4940.00,82.367
5000.00,82.130
5080.00,81.763
5150.00,81.427
5220.00,81.104
5300.00,80.806
5380.00,80.640
5450.00,80.632
5520.00,80.731
5600.00,80.887
5700.00,80.998
5800.00,80.946
5900.00,80.880
6000.00,81.099
6080.00,81.511
6150.00,81.903
6220.00,82.199
6300.00,82.311
6400.00,82.060
6500.00,81.488
6600.00,80.824
6700.00,80.198
6800.00,79.603
6900.00,78.992
7000.00,78.434
7100.00,78.195
7200.00,78.402
7300.00,78.838
7400.00,79.222
7500.00,79.451
