frequency,raw
20.00,4.592
20.30,4.600
20.60,4.613
20.90,4.626
21.20,4.639
21.40,4.646
21.80,4.655
22.00,4.658
22.40,4.663
22.70,4.667
23.00,4.670
23.30,4.673
23.60,4.674
24.00,4.674
24.30,4.673
24.70,4.668
25.00,4.663
25.40,4.656
25.80,4.648
26.20,4.637
26.50,4.627
26.90,4.608
27.20,4.590
27.60,4.564
28.00,4.537
28.50,4.504
29.00,4.473
29.50,4.441
30.00,4.406
30.40,4.377
30.70,4.354
31.10,4.321
31.50,4.285
32.00,4.236
32.50,4.184
33.00,4.132
33.50,4.080
34.00,4.026
34.50,3.969
35.00,3.905
35.50,3.839
36.00,3.773
36.50,3.706
37.00,3.640
37.50,3.572
38.20,3.472
38.70,3.399
39.50,3.284
40.00,3.215
40.60,3.136
41.20,3.059
41.80,2.983
42.50,2.892
43.10,2.814
43.70,2.736
44.40,2.647
45.00,2.572
45.50,2.509
46.20,2.422
46.80,2.345
47.50,2.253
48.20,2.158
48.70,2.089
49.40,1.990
50.00,1.902
50.80,1.779
51.50,1.663
52.20,1.541
53.00,1.396
53.80,1.247
54.50,1.116
55.20,0.982
56.00,0.828
57.00,0.633
58.00,0.440
59.00,0.253
60.00,0.074
60.80,-0.059
61.50,-0.168
62.20,-0.270
63.00,-0.377
64.00,-0.498
65.00,-0.603
66.00,-0.690
67.00,-0.759
68.00,-0.810
69.00,-0.846
70.00,-0.871
71.00,-0.891
72.00,-0.906
73.00,-0.917
74.00,-0.923
75.00,-0.922
76.20,-0.911
77.50,-0.892
78.80,-0.867
80.00,-0.839
81.20,-0.808
82.50,-0.771
83.80,-0.732
85.00,-0.694
86.20,-0.655
87.50,-0.616
88.50,-0.590
90.00,-0.561
91.20,-0.547
92.50,-0.540
93.80,-0.544
95.00,-0.557
96.20,-0.578
97.50,-0.608
98.80,-0.642
100.00,-0.674
101.50,-0.714
103.00,-0.749
104.40,-0.776
106.00,-0.796
107.50,-0.806
109.00,-0.810
110.60,-0.810
112.00,-0.809
113.80,-0.808
115.00,-0.809
117.20,-0.814
118.00,-0.816
120.60,-0.826
122.00,-0.836
124.10,-0.862
125.00,-0.877
126.50,-0.907
128.00,-0.941
131.50,-1.029
132.00,-1.043
134.00,-1.103
136.00,-1.169
138.00,-1.235
140.00,-1.294
