frequency,raw
20.14,90.999
20.29,91.013
20.43,91.026
20.58,91.039
20.73,91.052
20.88,91.064
21.03,91.075
21.18,91.087
21.34,91.097
21.49,91.108
21.65,91.118
21.80,91.128
21.96,91.137
22.12,91.146
22.28,91.155
22.44,91.164
22.61,91.173
22.77,91.181
22.94,91.190
23.10,91.198
23.27,91.207
23.44,91.215
23.61,91.224
23.78,91.233
23.95,91.242
24.12,91.251
24.30,91.260
24.48,91.269
24.65,91.278
24.83,91.287
25.01,91.296
25.19,91.304
25.37,91.312
25.56,91.320
25.74,91.327
25.93,91.334
26.12,91.340
26.31,91.345
26.50,91.350
26.69,91.355
26.88,91.359
27.08,91.363
27.27,91.367
27.47,91.371
27.67,91.376
27.87,91.380
28.07,91.385
28.28,91.391
28.48,91.397
28.69,91.404
28.90,91.411
29.11,91.419
29.32,91.426
29.53,91.434
29.74,91.441
29.96,91.448
30.18,91.453
30.39,91.458
30.61,91.461
30.84,91.463
31.06,91.463
31.29,91.461
31.51,91.457
31.74,91.451
31.97,91.444
32.20,91.435
32.44,91.424
32.67,91.412
32.91,91.399
33.15,91.386
33.39,91.371
33.63,91.356
33.87,91.340
34.12,91.325
34.36,91.309
34.61,91.293
34.86,91.277
35.12,91.261
35.37,91.244
35.63,91.228
35.89,91.211
36.15,91.195
36.41,91.177
36.67,91.160
36.94,91.142
37.20,91.123
37.47,91.105
37.75,91.086
38.02,91.066
38.29,91.046
38.57,91.026
38.85,91.006
39.13,90.985
39.42,90.963
39.70,90.941
39.99,90.918
40.28,90.895
40.57,90.870
40.87,90.845
41.16,90.819
41.46,90.793
41.76,90.765
42.06,90.737
42.37,90.707
42.68,90.676
42.98,90.643
43.30,90.608
43.61,90.571
43.93,90.532
44.24,90.491
44.56,90.448
44.89,90.403
45.21,90.355
45.54,90.305
45.87,90.253
46.20,90.199
46.54,90.142
46.87,90.084
47.21,90.023
47.56,89.961
47.90,89.896
48.25,89.830
48.60,89.762
48.95,89.693
49.31,89.622
49.66,89.550
50.02,89.478
50.38,89.404
50.75,89.329
51.12,89.253
51.49,89.177
51.86,89.100
52.24,89.023
52.62,88.946
53.00,88.870
53.38,88.795
53.77,88.720
54.16,88.647
54.55,88.574
54.94,88.501
55.34,88.429
55.74,88.357
56.15,88.286
56.55,88.217
56.96,88.150
57.38,88.087
57.79,88.028
58.21,87.974
58.63,87.926
59.06,87.882
59.49,87.844
59.92,87.810
60.35,87.783
60.79,87.762
61.23,87.749
61.67,87.744
62.12,87.748
62.57,87.758
63.02,87.772
63.48,87.790
63.94,87.809
64.40,87.828
64.87,87.848
65.34,87.869
65.81,87.891
66.29,87.912
66.77,87.931
67.26,87.946
67.74,87.955
68.23,87.960
68.73,87.961
69.23,87.959
69.73,87.957
70.23,87.955
70.74,87.952
71.25,87.947
71.77,87.938
72.29,87.926
72.81,87.908
73.34,87.885
73.87,87.857
74.41,87.824
74.95,87.786
75.49,87.743
76.04,87.696
76.59,87.643
77.14,87.585
77.70,87.519
78.27,87.447
78.83,87.367
79.41,87.281
79.98,87.191
80.56,87.098
81.14,87.003
81.73,86.905
82.32,86.806
82.92,86.703
83.52,86.597
84.13,86.492
84.74,86.388
85.35,86.288
85.97,86.192
86.59,86.104
87.22,86.024
87.85,85.953
88.49,85.888
89.13,85.821
89.78,85.743
90.43,85.647
91.08,85.531
91.74,85.396
92.41,85.250
93.08,85.099
93.75,84.950
94.43,84.807
95.11,84.679
95.80,84.576
96.50,84.501
97.20,84.446
97.90,84.394
98.61,84.330
99.32,84.249
100.04,84.158
100.77,84.064
101.50,83.974
102.24,83.896
102.98,83.841
103.72,83.817
104.47,83.821
105.23,83.827
105.99,83.805
106.76,83.736
107.54,83.631
108.31,83.516
109.10,83.419
109.89,83.357
110.69,83.334
111.49,83.345
112.30,83.378
113.11,83.424
113.93,83.478
114.75,83.538
115.59,83.598
116.42,83.644
117.27,83.660
118.12,83.639
118.97,83.591
119.84,83.554
120.70,83.572
121.58,83.661
122.46,83.799
123.35,83.955
124.24,84.101
125.14,84.218
126.05,84.288
126.96,84.318
127.88,84.334
128.81,84.358
129.74,84.389
130.68,84.426
131.63,84.478
132.58,84.550
133.54,84.620
134.51,84.657
135.49,84.655
136.47,84.634
137.46,84.619
138.45,84.614
139.46,84.615
140.47,84.620
141.48,84.626
142.51,84.629
143.54,84.628
144.58,84.619
145.63,84.597
146.69,84.561
147.75,84.530
148.82,84.528
149.90,84.558
150.98,84.598
152.08,84.628
153.18,84.643
154.29,84.653
155.41,84.675
156.53,84.716
157.67,84.761
158.81,84.778
159.96,84.756
161.12,84.719
162.29,84.700
163.46,84.702
164.65,84.704
165.84,84.689
167.04,84.657
168.25,84.620
169.47,84.590
170.70,84.570
171.94,84.560
173.18,84.557
174.44,84.556
175.70,84.544
176.98,84.510
178.26,84.460
179.55,84.413
180.85,84.367
182.16,84.304
183.48,84.223
184.81,84.144
186.15,84.076
187.50,84.017
188.86,83.948
190.23,83.863
191.61,83.777
192.99,83.704
194.39,83.648
195.80,83.609
197.22,83.588
198.65,83.565
200.09,83.519
201.54,83.454
203.00,83.387
204.47,83.325
205.95,83.270
207.44,83.220
208.95,83.167
210.46,83.107
211.99,83.043
213.52,82.980
215.07,82.913
216.63,82.841
218.20,82.772
219.78,82.712
221.37,82.661
222.98,82.614
224.59,82.555
226.22,82.482
227.86,82.423
229.51,82.381
231.17,82.331
232.85,82.267
234.54,82.198
236.24,82.130
237.95,82.060
239.67,82.001
241.41,81.969
243.16,81.939
244.92,81.883
246.69,81.816
248.48,81.753
250.28,81.688
252.10,81.616
253.92,81.553
255.76,81.506
257.62,81.467
259.48,81.426
261.36,81.394
263.26,81.387
265.16,81.391
267.09,81.382
269.02,81.360
270.97,81.351
272.93,81.363
274.91,81.383
276.90,81.401
278.91,81.418
280.93,81.435
282.97,81.452
285.02,81.463
287.08,81.470
289.16,81.464
291.26,81.443
293.37,81.415
295.50,81.396
297.64,81.391
299.79,81.392
301.97,81.393
304.15,81.390
306.36,81.387
308.58,81.381
310.82,81.371
313.07,81.362
315.34,81.355
317.62,81.349
319.92,81.339
322.24,81.327
324.58,81.310
326.93,81.290
329.30,81.267
331.68,81.237
334.09,81.208
336.51,81.183
338.95,81.163
341.40,81.148
343.88,81.131
346.37,81.100
348.88,81.055
351.41,81.010
353.95,80.979
356.52,80.963
359.10,80.948
361.70,80.928
364.32,80.902
366.96,80.879
369.62,80.856
372.30,80.832
375.00,80.803
377.72,80.773
380.45,80.744
383.21,80.715
385.99,80.686
388.79,80.660
391.60,80.643
394.44,80.630
397.30,80.620
400.18,80.609
403.08,80.593
406.00,80.574
408.94,80.555
411.90,80.534
414.89,80.514
417.89,80.496
420.92,80.478
423.97,80.455
427.05,80.427
430.14,80.396
433.26,80.365
436.40,80.335
439.56,80.306
442.74,80.280
445.95,80.259
449.18,80.238
452.44,80.214
455.72,80.186
459.02,80.159
462.35,80.136
465.70,80.115
469.07,80.095
472.47,80.080
475.89,80.070
479.34,80.061
482.82,80.051
486.31,80.040
489.84,80.029
493.39,80.018
496.96,80.009
500.56,80.000
504.19,79.999
507.85,80.007
511.53,80.017
515.23,80.028
518.97,80.035
522.73,80.039
526.51,80.041
530.33,80.038
534.17,80.033
538.04,80.025
541.94,80.017
545.87,80.008
549.83,79.996
553.81,79.985
557.82,79.979
561.86,79.979
565.94,79.986
570.04,80.003
574.17,80.032
578.33,80.073
582.52,80.123
586.74,80.179
590.99,80.241
595.28,80.305
599.59,80.367
603.93,80.427
608.31,80.485
612.72,80.541
617.16,80.600
621.63,80.663
626.13,80.729
630.67,80.797
635.24,80.862
639.85,80.921
644.48,80.973
649.15,81.016
653.86,81.050
658.59,81.076
663.37,81.098
668.17,81.120
673.02,81.139
677.89,81.147
682.80,81.138
687.75,81.112
692.74,81.075
697.76,81.031
702.81,80.993
707.91,80.978
713.04,81.001
718.20,81.060
723.41,81.139
728.65,81.220
733.93,81.289
739.25,81.343
744.60,81.386
750.00,81.417
755.43,81.440
760.91,81.454
766.42,81.462
771.98,81.469
777.57,81.475
783.20,81.481
788.88,81.485
794.60,81.489
800.35,81.496
806.15,81.502
812.00,81.508
817.88,81.514
823.81,81.520
829.78,81.527
835.79,81.530
841.85,81.528
847.95,81.524
854.09,81.518
860.28,81.512
866.51,81.507
872.79,81.505
879.12,81.503
885.49,81.501
891.90,81.498
898.37,81.494
904.88,81.488
911.43,81.481
918.04,81.475
924.69,81.470
931.39,81.465
938.14,81.460
944.94,81.454
951.79,81.450
958.68,81.446
965.63,81.444
972.63,81.442
979.68,81.440
986.78,81.441
993.93,81.442
1001.13,81.441
1008.38,81.441
1015.69,81.441
1023.05,81.441
1030.46,81.445
1037.93,81.450
1045.45,81.456
1053.03,81.463
1060.66,81.472
1068.35,81.481
1076.09,81.490
1083.88,81.501
1091.74,81.513
1099.65,81.527
1107.62,81.544
1115.65,81.563
1123.73,81.582
1131.87,81.599
1140.07,81.617
1148.34,81.637
