frequency,raw
20.00,81.247
20.30,81.279
20.60,81.297
20.90,81.312
21.20,81.329
21.40,81.340
21.80,81.358
22.00,81.363
22.40,81.364
22.70,81.360
23.00,81.356
23.30,81.356
23.60,81.363
24.00,81.380
24.30,81.397
24.70,81.418
25.00,81.433
25.40,81.448
25.80,81.462
26.20,81.476
26.50,81.487
26.90,81.504
27.20,81.517
27.60,81.535
28.00,81.553
28.50,81.573
29.00,81.589
29.50,81.598
30.00,81.604
30.40,81.611
30.70,81.617
31.10,81.629
31.50,81.642
32.00,81.657
32.50,81.668
33.00,81.678
33.50,81.688
34.00,81.699
34.50,81.712
35.00,81.721
35.50,81.727
36.00,81.728
36.50,81.728
37.00,81.730
37.50,81.737
38.20,81.751
38.70,81.757
39.50,81.758
40.00,81.759
40.60,81.761
41.20,81.762
41.80,81.757
42.50,81.748
43.10,81.739
43.70,81.734
44.40,81.727
45.00,81.720
45.50,81.710
46.20,81.695
46.80,81.682
47.50,81.671
48.20,81.662
48.70,81.656
49.40,81.647
50.00,81.635
50.80,81.617
51.50,81.600
52.20,81.579
53.00,81.553
53.80,81.523
54.50,81.495
55.20,81.463
56.00,81.428
57.00,81.386
58.00,81.345
59.00,81.296
60.00,81.235
60.80,81.183
61.50,81.132
62.20,81.079
63.00,81.015
64.00,80.922
65.00,80.816
66.00,80.699
67.00,80.566
68.00,80.413
69.00,80.240
70.00,80.043
71.00,79.826
72.00,79.602
73.00,79.379
74.00,79.179
75.00,79.020
76.20,78.871
77.50,78.751
78.80,78.696
80.00,78.688
81.20,78.682
82.50,78.641
83.80,78.542
85.00,78.398
86.20,78.207
87.50,77.962
88.50,77.752
90.00,77.406
91.20,77.109
92.50,76.776
93.80,76.441
95.00,76.138
96.20,75.849
97.50,75.556
98.80,75.285
100.00,75.061
101.50,74.841
103.00,74.717
104.40,74.698
106.00,74.817
107.50,75.080
109.00,75.476
110.60,75.994
112.00,76.477
113.80,77.076
115.00,77.442
117.20,78.016
118.00,78.188
120.60,78.616
122.00,78.774
124.10,78.934
125.00,78.978
126.50,79.023
128.00,79.035
131.50,78.954
132.00,78.931
134.00,78.819
136.00,78.670
138.00,78.492
140.00,78.296
143.00,77.983
145.00,77.773
147.50,77.512
150.00,77.234
152.50,76.918
155.00,76.551
157.50,76.142
160.00,75.725
162.50,75.351
165.00,75.065
167.50,74.855
170.00,74.669
172.50,74.462
175.00,74.211
177.50,73.913
180.00,73.577
182.50,73.215
185.00,72.837
187.50,72.446
190.00,72.044
192.50,71.633
195.00,71.215
197.50,70.796
200.00,70.378
203.00,69.884
206.00,69.403
209.00,68.941
212.00,68.498
214.00,68.214
218.00,67.677
220.00,67.425
224.00,66.963
227.00,66.662
230.00,66.413
233.00,66.221
236.00,66.090
240.00,66.010
243.00,66.016
247.00,66.090
250.00,66.184
254.00,66.341
258.00,66.525
262.00,66.733
265.00,66.910
269.00,67.168
272.00,67.375
276.00,67.657
280.00,67.923
285.00,68.227
290.00,68.510
295.00,68.781
300.00,69.047
304.00,69.255
307.00,69.407
311.00,69.603
315.00,69.787
320.00,69.999
325.00,70.193
330.00,70.368
335.00,70.532
340.00,70.688
345.00,70.833
350.00,70.969
355.00,71.093
360.00,71.206
365.00,71.306
370.00,71.400
375.00,71.490
382.00,71.607
387.00,71.681
395.00,71.786
400.00,71.845
406.00,71.915
412.00,71.979
418.00,72.036
425.00,72.096
431.00,72.144
437.00,72.196
444.00,72.258
450.00,72.320
455.00,72.382
462.00,72.475
468.00,72.548
475.00,72.611
482.00,72.649
487.00,72.669
494.00,72.694
500.00,72.714
508.00,72.736
515.00,72.754
522.00,72.770
530.00,72.792
538.00,72.817
545.00,72.843
552.00,72.865
560.00,72.885
570.00,72.904
580.00,72.925
590.00,72.947
600.00,72.965
608.00,72.980
615.00,72.993
622.00,73.007
630.00,73.025
640.00,73.046
650.00,73.061
660.00,73.073
670.00,73.084
680.00,73.094
690.00,73.106
700.00,73.122
710.00,73.143
720.00,73.169
730.00,73.202
740.00,73.239
750.00,73.283
762.00,73.344
775.00,73.415
788.00,73.495
800.00,73.575
812.00,73.660
825.00,73.761
838.00,73.869
850.00,73.976
862.00,74.092
875.00,74.221
885.00,74.317
900.00,74.455
912.00,74.555
925.00,74.648
938.00,74.721
950.00,74.780
962.00,74.838
975.00,74.912
988.00,74.999
1000.00,75.086
1015.00,75.197
1030.00,75.310
1044.00,75.415
1060.00,75.520
1075.00,75.596
1090.00,75.651
1106.00,75.688
1120.00,75.697
1138.00,75.681
1150.00,75.656
1172.00,75.593
1180.00,75.568
1206.00,75.492
1220.00,75.459
1241.00,75.425
1250.00,75.416
1265.00,75.411
1280.00,75.415
1315.00,75.465
1320.00,75.475
1340.00,75.526
1360.00,75.588
1380.00,75.655
1400.00,75.726
1430.00,75.831
1450.00,75.898
1475.00,75.976
1500.00,76.050
1525.00,76.127
1550.00,76.212
1575.00,76.305
1600.00,76.411
1625.00,76.534
1650.00,76.671
1675.00,76.827
1700.00,77.010
1725.00,77.228
1750.00,77.481
1775.00,77.754
1800.00,78.044
1825.00,78.350
1850.00,78.678
1875.00,79.025
1900.00,79.385
1925.00,79.746
1950.00,80.101
1975.00,80.447
2000.00,80.783
2030.00,81.173
2060.00,81.542
2090.00,81.887
2120.00,82.207
2140.00,82.406
2180.00,82.781
2200.00,82.961
2240.00,83.315
2270.00,83.578
2300.00,83.833
2330.00,84.067
2360.00,84.264
2400.00,84.454
2430.00,84.535
2470.00,84.557
2500.00,84.510
2540.00,84.363
2580.00,84.120
2620.00,83.787
2650.00,83.480
2690.00,82.993
2720.00,82.573
2760.00,81.945
2800.00,81.244
2850.00,80.268
2900.00,79.184
2950.00,78.032
3000.00,76.908
3040.00,76.114
3070.00,75.620
3110.00,75.140
3150.00,74.885
3200.00,74.863
3250.00,75.093
3300.00,75.480
3350.00,75.957
3400.00,76.481
3450.00,77.031
3500.00,77.596
3550.00,78.178
3600.00,78.774
3650.00,79.384
3700.00,79.987
3750.00,80.542
3820.00,81.127
3870.00,81.327
3950.00,81.169
4000.00,80.812
4060.00,80.257
4120.00,79.706
4180.00,79.219
4250.00,78.727
4310.00,78.386
4370.00,78.210
4440.00,78.329
4500.00,78.757
4550.00,79.328
4620.00,80.329
4680.00,81.208
4750.00,82.067
4820.00,82.655
4870.00,82.908
4940.00,83.070
5000.00,83.081
5080.00,82.977
5150.00,82.815
5220.00,82.617
5300.00,82.405
5380.00,82.292
5450.00,82.305
5520.00,82.404
5600.00,82.585
5700.00,82.880
5800.00,83.239
5900.00,83.666
6000.00,84.191
6080.00,84.704
6150.00,85.219
6220.00,85.776
6300.00,86.411
6400.00,87.084
6500.00,87.466
6600.00,87.448
6700.00,87.025
6800.00,86.288
6900.00,85.388
7000.00,84.450
7100.00,83.555
7200.00,82.761
7300.00,82.111
7400.00,81.626
7500.00,81.312
7620.00,81.162
7750.00,81.275
7880.00,81.672
8000.00,82.243
8120.00,82.870
8250.00,83.315
8380.00,83.097
8500.00,81.996
8620.00,79.927
8750.00,76.800
8850.00,74.204
9000.00,72.034
9120.00,72.299
9250.00,72.993
9380.00,73.763
9500.00,74.500
9620.00,75.183
9750.00,75.802
9880.00,76.301
10000.00,76.686
10150.00,77.105
10300.00,77.489
10440.00,77.860
10600.00,78.344
10750.00,78.804
10900.00,79.158
11060.00,79.377
11200.00,79.525
11380.00,79.883
11500.00,80.275
11720.00,80.985
11800.00,81.100
12060.00,80.439
12200.00,79.397
12410.00,77.160
12500.00,76.052
12650.00,74.151
12800.00,72.301
13150.00,68.474
13200.00,67.995
13400.00,66.306
13600.00,65.109
13800.00,64.585
14000.00,64.759
14300.00,66.051
14500.00,67.061
14750.00,67.950
15000.00,68.623
15250.00,69.446
15500.00,70.609
15750.00,72.040
16000.00,73.427
16250.00,74.468
16500.00,74.901
16750.00,74.652
17000.00,73.829
17250.00,72.544
17500.00,71.259
17750.00,70.678
18000.00,70.422
18250.00,69.962
18500.00,69.100
18750.00,67.722
19000.00,66.043
19250.00,64.519
19500.00,63.446
19750.00,63.023
20000.00,63.074
