frequency,raw
2.95,82.962
2.99,83.044
3.03,83.177
3.06,83.315
3.10,83.454
3.14,83.594
3.18,83.735
3.22,83.878
3.26,84.022
3.30,84.167
3.34,84.314
3.39,84.461
3.43,84.610
3.47,84.760
3.52,84.911
3.56,85.063
3.60,85.217
3.65,85.371
3.70,85.526
3.74,85.682
3.79,85.839
3.84,85.997
3.89,86.156
3.94,86.315
3.98,86.475
4.04,86.636
4.08,86.797
4.14,86.958
4.19,87.120
4.24,87.282
4.29,87.444
4.35,87.606
4.40,87.768
4.46,87.930
4.52,88.091
4.57,88.252
4.63,88.413
4.69,88.573
4.75,88.732
4.81,88.890
4.87,89.047
4.93,89.202
4.99,89.356
5.05,89.509
5.12,89.659
5.18,89.808
5.25,89.954
5.31,90.097
5.38,90.238
5.45,90.375
5.52,90.509
5.59,90.640
5.66,90.767
5.73,90.889
5.80,91.007
5.87,91.121
5.95,91.233
6.02,91.345
6.10,91.457
6.17,91.569
6.25,91.682
6.33,91.794
6.41,91.906
6.49,92.019
6.57,92.131
6.66,92.243
6.74,92.356
6.82,92.468
6.91,92.580
7.00,92.691
7.08,92.803
7.17,92.914
7.26,93.024
7.36,93.135
7.45,93.245
7.54,93.354
7.64,93.463
7.73,93.571
7.83,93.678
7.93,93.785
8.03,93.891
8.13,93.996
8.23,94.100
8.34,94.203
8.44,94.305
8.55,94.406
8.65,94.506
8.76,94.606
8.88,94.707
8.99,94.810
9.10,94.914
9.21,95.017
9.33,95.119
9.45,95.222
9.57,95.324
9.69,95.425
9.81,95.526
9.93,95.627
10.06,95.727
10.18,95.826
10.31,95.925
10.44,96.023
10.57,96.120
10.71,96.216
10.84,96.312
10.98,96.406
11.12,96.499
11.26,96.591
11.40,96.682
11.54,96.772
11.69,96.858
11.83,96.938
11.98,97.015
12.13,97.091
12.29,97.167
12.44,97.242
12.60,97.318
12.76,97.393
12.92,97.468
13.08,97.543
13.24,97.617
13.41,97.692
13.58,97.767
13.75,97.841
13.93,97.915
14.10,97.990
14.28,98.064
14.46,98.138
14.64,98.212
14.82,98.286
15.01,98.360
15.20,98.434
15.39,98.509
15.58,98.584
15.78,98.659
15.98,98.735
16.18,98.810
16.38,98.886
16.59,98.961
16.80,99.036
17.01,99.111
17.23,99.186
17.44,99.259
17.66,99.330
17.88,99.397
18.11,99.463
18.34,99.529
18.57,99.595
18.80,99.661
19.04,99.726
19.28,99.791
19.52,99.855
19.77,99.919
20.02,99.983
20.27,100.046
20.52,100.109
20.78,100.171
21.04,100.233
21.31,100.295
21.58,100.356
21.85,100.416
22.12,100.476
22.40,100.536
22.68,100.595
22.97,100.653
23.26,100.710
23.55,100.764
23.85,100.813
24.15,100.860
24.45,100.907
24.76,100.952
25.07,100.997
25.39,101.042
25.71,101.086
26.03,101.132
26.36,101.176
26.69,101.220
27.03,101.265
27.37,101.309
27.71,101.354
28.06,101.398
28.41,101.442
28.77,101.484
29.13,101.524
29.50,101.560
29.87,101.591
30.25,101.621
30.63,101.650
31.02,101.679
31.41,101.707
31.80,101.734
32.20,101.760
32.61,101.784
33.02,101.806
33.43,101.828
33.85,101.848
34.28,101.868
34.71,101.887
35.15,101.903
35.59,101.914
36.04,101.921
36.49,101.925
36.95,101.929
37.42,101.932
37.89,101.934
38.37,101.935
38.85,101.935
39.34,101.933
39.83,101.930
40.34,101.927
40.84,101.921
41.36,101.913
41.88,101.902
42.41,101.890
42.94,101.876
43.48,101.861
44.03,101.844
44.58,101.825
45.14,101.805
45.71,101.783
46.29,101.758
46.87,101.730
47.46,101.697
48.06,101.662
48.66,101.624
49.27,101.583
49.90,101.537
50.52,101.485
51.16,101.429
51.80,101.370
52.46,101.307
53.12,101.237
53.79,101.160
54.46,101.079
55.15,100.996
55.84,100.912
56.55,100.825
57.26,100.735
57.98,100.641
58.71,100.537
59.45,100.421
60.20,100.298
60.95,100.176
61.72,100.062
62.50,99.962
63.29,99.870
64.08,99.773
64.89,99.664
65.71,99.545
66.53,99.422
67.37,99.294
68.22,99.165
69.08,99.036
69.95,98.898
70.83,98.742
71.72,98.569
72.62,98.389
73.54,98.208
74.47,98.023
75.40,97.838
76.35,97.662
77.31,97.499
78.29,97.344
79.27,97.187
80.27,97.025
81.28,96.864
82.31,96.716
83.34,96.584
84.39,96.465
85.45,96.360
86.53,96.270
87.62,96.197
88.72,96.145
89.84,96.113
90.97,96.102
92.12,96.108
93.28,96.122
94.45,96.133
95.64,96.143
96.84,96.172
98.06,96.225
99.30,96.286
100.55,96.338
101.81,96.386
103.10,96.451
104.39,96.533
105.71,96.617
107.04,96.691
108.39,96.759
109.75,96.825
111.13,96.881
112.53,96.920
