frequency,raw
20.00,89.163
20.60,89.341
21.20,89.528
21.80,89.697
22.40,89.812
23.00,89.891
23.60,89.995
24.30,90.167
25.00,90.327
25.80,90.457
26.50,90.568
27.20,90.684
28.00,90.787
29.00,90.892
30.00,91.024
30.70,91.115
31.50,91.219
32.50,91.382
33.50,91.516
34.50,91.556
35.50,91.609
36.50,91.721
37.50,91.772
38.70,91.774
40.00,91.823
41.20,91.834
42.50,91.825
43.70,91.837
45.00,91.803
46.20,91.718
47.50,91.636
48.70,91.572
50.00,91.513
51.50,91.427
53.00,91.402
54.50,91.334
56.00,91.162
58.00,90.900
60.00,90.681
61.50,90.524
63.00,90.347
65.00,90.065
67.00,89.720
69.00,89.437
71.00,89.189
73.00,88.923
75.00,88.630
77.50,88.274
80.00,87.912
82.50,87.537
85.00,87.106
87.50,86.612
90.00,86.094
92.50,85.600
95.00,85.128
97.50,84.665
100.00,84.217
103.00,83.696
106.00,83.175
109.00,82.657
112.00,82.147
115.00,81.680
118.00,81.249
122.00,80.585
125.00,80.070
128.00,79.612
132.00,79.130
136.00,78.766
140.00,78.528
145.00,78.501
150.00,78.670
155.00,78.523
160.00,78.219
165.00,78.183
170.00,78.360
175.00,78.657
180.00,79.063
185.00,79.510
190.00,79.941
195.00,80.324
200.00,80.638
206.00,80.933
212.00,81.149
218.00,81.303
224.00,81.419
230.00,81.576
236.00,81.808
243.00,82.159
250.00,82.566
258.00,82.976
265.00,83.254
272.00,83.465
280.00,83.648
290.00,83.846
300.00,84.008
307.00,84.094
315.00,84.171
325.00,84.239
335.00,84.294
345.00,84.370
355.00,84.492
365.00,84.603
375.00,84.665
387.00,84.709
400.00,84.766
412.00,84.822
425.00,84.875
437.00,84.911
450.00,84.942
462.00,84.968
475.00,84.993
487.00,85.010
500.00,85.023
515.00,85.035
530.00,85.051
545.00,85.073
560.00,85.096
580.00,85.107
600.00,85.109
615.00,85.112
630.00,85.115
650.00,85.123
670.00,85.135
690.00,85.147
710.00,85.156
730.00,85.166
750.00,85.189
775.00,85.251
800.00,85.355
825.00,85.482
850.00,85.579
875.00,85.612
900.00,85.584
925.00,85.544
950.00,85.515
975.00,85.448
1000.00,85.374
1030.00,85.334
1060.00,85.375
1090.00,85.464
1120.00,85.548
1150.00,85.636
1180.00,85.760
1220.00,85.981
1250.00,86.166
1280.00,86.359
1320.00,86.614
1360.00,86.859
1400.00,87.113
1450.00,87.459
1500.00,87.839
1550.00,88.245
1600.00,88.675
1650.00,89.112
1700.00,89.554
1750.00,90.011
1800.00,90.487
1850.00,90.991
1900.00,91.544
1950.00,92.174
2000.00,92.846
2060.00,93.627
2120.00,94.391
2180.00,95.195
2240.00,96.023
2300.00,96.809
2360.00,97.524
2430.00,98.273
2500.00,98.927
2580.00,99.575
2650.00,100.125
2720.00,100.658
2800.00,101.091
2900.00,101.353
3000.00,101.398
3070.00,101.304
3150.00,101.077
3250.00,100.631
3350.00,100.033
3450.00,99.291
3550.00,98.436
3650.00,97.532
3750.00,96.631
3870.00,95.596
4000.00,94.583
4120.00,93.768
4250.00,92.973
4370.00,92.337
4500.00,91.821
4620.00,91.488
4750.00,91.252
4870.00,91.177
5000.00,91.284
5150.00,91.623
5300.00,92.037
5450.00,92.311
5600.00,92.284
5800.00,91.703
6000.00,90.969
6150.00,91.257
6300.00,92.469
6500.00,93.839
6700.00,93.927
6900.00,93.090
7100.00,91.917
7300.00,90.706
7500.00,89.587
7750.00,88.648
8000.00,88.352
8250.00,88.608
8500.00,89.197
8750.00,89.435
9000.00,88.447
9250.00,85.948
9500.00,82.561
9750.00,79.277
10000.00,76.999
10300.00,76.571
10600.00,78.445
10900.00,80.424
11200.00,80.898
11500.00,79.573
11800.00,76.937
12200.00,73.544
12500.00,74.971
12800.00,77.978
13200.00,79.302
13600.00,78.620
14000.00,78.141
14500.00,77.892
15000.00,77.704
15500.00,78.704
16000.00,80.147
16500.00,81.219
17000.00,80.913
17500.00,78.221
18000.00,73.218
18500.00,69.614
19000.00,72.688
19500.00,75.305
20000.00,76.026
