frequency,raw
20.00,106.072
20.30,106.001
20.60,105.928
20.90,105.855
21.20,105.780
21.40,105.731
21.80,105.630
22.00,105.579
22.40,105.477
22.70,105.400
23.00,105.323
23.30,105.245
23.60,105.168
24.00,105.063
24.30,104.984
24.70,104.879
25.00,104.799
25.40,104.691
25.80,104.583
26.20,104.475
26.50,104.396
26.90,104.290
27.20,104.212
27.60,104.108
28.00,104.005
28.50,103.879
29.00,103.755
29.50,103.635
30.00,103.523
30.40,103.440
30.70,103.379
31.10,103.299
31.50,103.221
32.00,103.126
32.50,103.032
33.00,102.940
33.50,102.850
34.00,102.766
34.50,102.685
35.00,102.614
35.50,102.559
36.00,102.519
36.50,102.485
37.00,102.448
37.50,102.403
38.20,102.324
38.70,102.257
39.50,102.136
40.00,102.049
40.60,101.928
41.20,101.791
41.80,101.641
42.50,101.455
43.10,101.285
43.70,101.106
44.40,100.890
45.00,100.705
45.50,100.552
46.20,100.343
46.80,100.165
47.50,99.965
48.20,99.774
48.70,99.648
49.40,99.493
50.00,99.381
50.80,99.264
51.50,99.202
52.20,99.172
53.00,99.161
53.80,99.166
54.50,99.178
55.20,99.200
56.00,99.239
57.00,99.320
58.00,99.441
59.00,99.608
60.00,99.822
60.80,100.026
61.50,100.232
62.20,100.466
63.00,100.762
64.00,101.146
65.00,101.522
66.00,101.880
67.00,102.222
68.00,102.545
69.00,102.848
70.00,103.137
71.00,103.412
72.00,103.671
73.00,103.901
74.00,104.102
75.00,104.271
76.20,104.434
77.50,104.565
78.80,104.651
80.00,104.696
81.20,104.708
82.50,104.686
83.80,104.636
85.00,104.568
86.20,104.485
87.50,104.380
88.50,104.288
90.00,104.132
91.20,103.996
92.50,103.838
93.80,103.673
95.00,103.516
96.20,103.356
97.50,103.178
98.80,103.001
100.00,102.836
101.50,102.630
103.00,102.425
104.40,102.237
106.00,102.023
107.50,101.826
109.00,101.631
110.60,101.428
112.00,101.253
113.80,101.030
115.00,100.885
117.20,100.623
118.00,100.529
120.60,100.231
122.00,100.072
124.10,99.835
125.00,99.734
126.50,99.567
128.00,99.404
131.50,99.025
132.00,98.971
134.00,98.757
136.00,98.542
138.00,98.327
140.00,98.114
143.00,97.799
145.00,97.597
147.50,97.352
150.00,97.108
152.50,96.864
155.00,96.623
157.50,96.386
160.00,96.156
162.50,95.934
165.00,95.719
167.50,95.511
170.00,95.312
172.50,95.130
175.00,94.952
177.50,94.763
180.00,94.572
182.50,94.400
185.00,94.243
187.50,94.079
190.00,93.907
192.50,93.730
195.00,93.546
197.50,93.359
200.00,93.174
203.00,92.963
206.00,92.775
209.00,92.588
212.00,92.401
214.00,92.268
218.00,91.982
220.00,91.855
224.00,91.632
227.00,91.468
230.00,91.326
233.00,91.203
236.00,91.076
240.00,90.915
243.00,90.802
247.00,90.656
250.00,90.553
254.00,90.422
258.00,90.297
262.00,90.180
265.00,90.098
269.00,89.999
272.00,89.939
276.00,89.875
280.00,89.822
285.00,89.750
290.00,89.679
295.00,89.642
300.00,89.638
304.00,89.645
307.00,89.659
311.00,89.695
315.00,89.742
320.00,89.803
325.00,89.878
330.00,89.977
335.00,90.083
340.00,90.193
345.00,90.316
350.00,90.435
355.00,90.540
360.00,90.650
365.00,90.769
370.00,90.885
375.00,90.998
382.00,91.165
387.00,91.291
395.00,91.518
400.00,91.672
406.00,91.852
412.00,92.026
418.00,92.227
425.00,92.445
431.00,92.604
437.00,92.810
444.00,93.089
450.00,93.288
455.00,93.416
462.00,93.565
468.00,93.669
475.00,93.761
482.00,93.828
487.00,93.861
494.00,93.892
500.00,93.913
508.00,93.936
515.00,93.945
522.00,93.950
530.00,93.957
538.00,93.968
545.00,93.977
552.00,93.993
560.00,94.019
570.00,94.041
580.00,94.058
590.00,94.080
600.00,94.092
608.00,94.102
615.00,94.114
622.00,94.127
630.00,94.139
640.00,94.153
650.00,94.166
660.00,94.178
670.00,94.188
680.00,94.198
690.00,94.211
700.00,94.231
710.00,94.253
720.00,94.261
730.00,94.255
740.00,94.276
750.00,94.314
762.00,94.352
775.00,94.387
788.00,94.421
800.00,94.453
812.00,94.489
825.00,94.531
838.00,94.574
850.00,94.616
862.00,94.660
875.00,94.711
885.00,94.752
900.00,94.817
912.00,94.871
925.00,94.930
938.00,94.989
950.00,95.040
962.00,95.087
975.00,95.135
988.00,95.181
1000.00,95.220
1015.00,95.262
1030.00,95.302
1044.00,95.336
1060.00,95.372
1075.00,95.403
1090.00,95.430
1106.00,95.456
1120.00,95.477
1138.00,95.501
1150.00,95.517
1172.00,95.555
1180.00,95.569
1206.00,95.618
1220.00,95.650
1241.00,95.715
1250.00,95.748
1265.00,95.805
1280.00,95.862
1315.00,95.971
1320.00,95.983
1340.00,96.029
1360.00,96.071
1380.00,96.106
1400.00,96.131
1430.00,96.135
1450.00,96.123
1475.00,96.111
1500.00,96.098
1525.00,96.094
1550.00,96.113
1575.00,96.143
1600.00,96.171
1625.00,96.201
1650.00,96.236
1675.00,96.263
1700.00,96.284
1725.00,96.310
1750.00,96.358
1775.00,96.433
1800.00,96.518
1825.00,96.594
1850.00,96.653
1875.00,96.705
1900.00,96.768
1925.00,96.862
1950.00,97.002
1975.00,97.214
2000.00,97.512
2030.00,97.959
2060.00,98.475
2090.00,99.049
2120.00,99.675
2140.00,100.127
2180.00,101.153
2200.00,101.723
2240.00,102.891
2270.00,103.766
2300.00,104.671
2330.00,105.609
2360.00,106.553
2400.00,107.672
2430.00,108.288
2470.00,108.907
2500.00,109.367
2540.00,109.950
2580.00,110.376
2620.00,110.673
