frequency,raw
20.00,77.423
20.30,77.516
20.60,77.590
20.90,77.651
21.20,77.704
21.40,77.737
21.80,77.796
22.00,77.825
22.40,77.883
22.70,77.926
23.00,77.964
23.30,77.990
23.60,78.003
24.00,77.995
24.30,77.981
24.70,77.971
25.00,77.987
25.40,78.057
25.80,78.183
26.20,78.344
26.50,78.470
26.90,78.627
27.20,78.730
27.60,78.846
28.00,78.941
28.50,79.043
29.00,79.132
29.50,79.212
30.00,79.284
30.40,79.337
30.70,79.376
31.10,79.425
31.50,79.474
32.00,79.535
32.50,79.595
33.00,79.654
33.50,79.713
34.00,79.767
34.50,79.820
35.00,79.868
35.50,79.915
36.00,79.958
36.50,79.999
37.00,80.035
37.50,80.070
38.20,80.114
38.70,80.144
39.50,80.186
40.00,80.210
40.60,80.234
41.20,80.251
41.80,80.263
42.50,80.269
43.10,80.268
43.70,80.260
44.40,80.239
45.00,80.212
45.50,80.184
46.20,80.142
46.80,80.114
47.50,80.100
48.20,80.112
48.70,80.133
49.40,80.173
50.00,80.207
50.80,80.242
51.50,80.257
52.20,80.257
53.00,80.238
53.80,80.201
54.50,80.153
55.20,80.091
56.00,80.009
57.00,79.889
58.00,79.761
59.00,79.635
60.00,79.515
60.80,79.421
61.50,79.332
62.20,79.233
63.00,79.101
64.00,78.904
65.00,78.671
66.00,78.401
67.00,78.102
68.00,77.787
69.00,77.470
70.00,77.177
71.00,76.934
72.00,76.761
73.00,76.663
74.00,76.627
75.00,76.623
76.20,76.619
77.50,76.576
78.80,76.471
80.00,76.321
81.20,76.135
82.50,75.919
83.80,75.722
85.00,75.588
86.20,75.522
87.50,75.540
88.50,75.614
90.00,75.797
91.20,75.969
92.50,76.136
93.80,76.248
95.00,76.273
96.20,76.215
97.50,76.059
98.80,75.834
100.00,75.608
101.50,75.391
103.00,75.339
104.40,75.478
106.00,75.822
107.50,76.242
109.00,76.678
110.60,77.107
112.00,77.429
113.80,77.759
115.00,77.930
117.20,78.158
118.00,78.216
120.60,78.335
122.00,78.359
124.10,78.350
125.00,78.330
126.50,78.279
128.00,78.207
131.50,77.981
132.00,77.944
134.00,77.780
136.00,77.596
138.00,77.395
140.00,77.179
143.00,76.830
145.00,76.580
147.50,76.249
150.00,75.900
152.50,75.537
155.00,75.163
157.50,74.788
160.00,74.416
162.50,74.044
165.00,73.672
167.50,73.300
170.00,72.934
172.50,72.579
175.00,72.234
177.50,71.897
180.00,71.569
182.50,71.257
185.00,70.977
187.50,70.740
190.00,70.550
192.50,70.406
195.00,70.298
197.50,70.222
