frequency,raw
2.73,82.225
2.75,82.280
2.77,82.355
2.79,82.438
2.81,82.523
2.83,82.610
2.85,82.696
2.87,82.783
2.89,82.869
2.91,82.955
2.93,83.043
2.95,83.132
2.97,83.220
2.99,83.309
3.02,83.399
3.04,83.489
3.06,83.578
3.08,83.669
3.10,83.761
3.13,83.854
3.15,83.946
3.17,84.037
3.20,84.130
3.22,84.223
3.24,84.316
3.27,84.409
3.29,84.504
3.31,84.598
3.34,84.693
3.36,84.788
3.39,84.884
3.41,84.979
3.43,85.075
3.46,85.172
3.48,85.269
3.51,85.366
3.54,85.463
3.56,85.561
3.59,85.659
3.61,85.757
3.64,85.854
3.67,85.952
3.69,86.050
3.72,86.148
3.75,86.247
3.77,86.346
3.80,86.445
3.83,86.544
3.86,86.643
3.88,86.743
3.91,86.843
3.94,86.942
3.97,87.041
4.00,87.140
4.03,87.239
4.06,87.338
4.08,87.438
4.11,87.536
4.14,87.634
4.17,87.733
4.20,87.831
4.23,87.929
4.27,88.027
4.30,88.126
4.33,88.222
4.36,88.318
4.39,88.414
4.42,88.510
4.45,88.607
4.49,88.703
4.52,88.798
4.55,88.892
4.59,88.986
4.62,89.078
4.65,89.170
4.69,89.261
4.72,89.351
4.75,89.441
4.79,89.530
4.82,89.618
4.86,89.705
4.89,89.791
4.93,89.877
4.96,89.962
5.00,90.045
5.04,90.127
5.07,90.207
5.11,90.286
5.15,90.363
5.18,90.439
5.22,90.514
5.26,90.588
5.30,90.660
5.34,90.730
5.37,90.799
5.41,90.867
5.45,90.934
5.49,91.001
5.53,91.067
5.57,91.134
5.61,91.201
5.65,91.268
5.69,91.334
5.74,91.400
5.78,91.467
5.82,91.534
5.86,91.600
5.90,91.667
5.95,91.732
5.99,91.798
6.03,91.864
6.08,91.930
6.12,91.996
6.16,92.061
6.21,92.127
6.25,92.192
6.30,92.257
6.35,92.322
6.39,92.387
6.44,92.452
6.48,92.517
6.53,92.581
6.58,92.644
6.63,92.708
6.67,92.771
6.72,92.834
6.77,92.897
6.82,92.959
6.87,93.021
6.92,93.082
6.97,93.143
7.02,93.204
7.07,93.265
7.12,93.325
7.17,93.385
7.23,93.444
7.28,93.504
7.33,93.562
7.38,93.620
7.44,93.677
7.49,93.734
7.55,93.791
7.60,93.847
7.66,93.902
7.71,93.957
7.77,94.011
7.82,94.065
7.88,94.118
7.94,94.170
7.99,94.222
8.05,94.274
8.11,94.326
8.17,94.378
8.23,94.430
8.29,94.483
8.35,94.535
8.41,94.588
8.47,94.640
8.53,94.692
8.59,94.745
8.66,94.797
8.72,94.849
8.78,94.901
8.84,94.952
8.91,95.004
8.97,95.056
9.04,95.107
9.10,95.158
9.17,95.209
9.24,95.260
9.30,95.311
9.37,95.361
9.44,95.412
9.51,95.462
9.58,95.512
9.65,95.562
9.72,95.612
9.79,95.661
9.86,95.710
9.93,95.759
10.00,95.808
10.07,95.856
10.15,95.904
10.22,95.952
10.29,95.999
10.37,96.046
10.44,96.093
10.52,96.140
10.59,96.186
10.67,96.231
10.75,96.276
10.83,96.321
10.91,96.366
10.98,96.410
11.06,96.455
11.14,96.500
11.22,96.544
11.31,96.588
11.39,96.633
11.47,96.677
11.55,96.722
11.64,96.766
11.72,96.811
11.81,96.855
11.89,96.899
11.98,96.943
12.07,96.987
12.15,97.031
12.24,97.075
12.33,97.119
12.42,97.163
12.51,97.206
12.60,97.249
12.69,97.293
12.78,97.336
12.88,97.379
12.97,97.422
13.06,97.465
13.16,97.507
13.25,97.550
13.35,97.592
13.45,97.634
13.54,97.676
13.64,97.718
13.74,97.759
13.84,97.801
13.94,97.842
14.04,97.884
14.14,97.925
14.24,97.967
14.35,98.008
14.45,98.049
14.56,98.090
14.66,98.131
14.77,98.173
14.88,98.213
14.98,98.255
15.09,98.295
15.20,98.336
15.31,98.377
15.42,98.417
15.53,98.457
15.65,98.498
15.76,98.538
15.87,98.578
15.99,98.617
16.10,98.655
16.22,98.692
16.34,98.729
16.46,98.765
16.58,98.800
16.70,98.835
16.82,98.869
16.94,98.904
17.06,98.939
17.19,98.973
17.31,99.008
17.44,99.042
17.56,99.077
17.69,99.111
17.82,99.145
17.95,99.179
18.08,99.213
18.21,99.246
18.34,99.280
18.47,99.313
18.61,99.346
18.74,99.379
18.88,99.409
19.01,99.439
19.15,99.468
19.29,99.496
19.43,99.524
19.57,99.551
19.71,99.578
19.86,99.605
20.00,99.632
20.14,99.659
20.29,99.686
20.44,99.713
20.59,99.740
20.74,99.768
20.89,99.796
21.04,99.824
21.19,99.852
21.34,99.881
21.50,99.910
21.65,99.939
21.81,99.968
21.97,99.997
22.13,100.026
22.29,100.055
22.45,100.085
22.61,100.114
22.78,100.144
22.94,100.174
23.11,100.204
23.27,100.233
23.44,100.262
23.61,100.291
23.78,100.320
23.96,100.347
24.13,100.374
24.30,100.399
24.48,100.422
24.66,100.444
24.84,100.464
25.02,100.485
25.20,100.504
25.38,100.524
25.56,100.543
25.75,100.562
25.94,100.582
26.12,100.602
26.31,100.622
26.50,100.642
26.70,100.663
26.89,100.683
27.09,100.703
27.28,100.723
27.48,100.742
27.68,100.762
27.88,100.782
28.08,100.802
28.28,100.822
28.49,100.842
28.70,100.862
28.90,100.882
29.11,100.901
29.32,100.919
29.54,100.936
29.75,100.952
29.97,100.966
30.18,100.979
30.40,100.991
30.62,101.002
30.84,101.014
31.07,101.026
31.29,101.037
31.52,101.049
31.75,101.062
31.98,101.075
32.21,101.089
32.44,101.103
32.68,101.118
32.92,101.133
33.15,101.150
33.39,101.166
33.64,101.184
33.88,101.201
34.13,101.218
34.37,101.235
34.62,101.250
34.87,101.263
35.13,101.272
35.38,101.278
35.64,101.281
35.89,101.282
36.15,101.282
36.42,101.282
36.68,101.281
36.95,101.282
37.21,101.284
37.48,101.288
37.75,101.295
38.03,101.305
38.30,101.315
38.58,101.327
38.86,101.340
39.14,101.353
39.43,101.366
39.71,101.379
40.00,101.392
40.29,101.405
40.58,101.418
40.88,101.432
41.17,101.447
41.47,101.461
41.77,101.477
42.07,101.492
42.38,101.506
42.69,101.520
42.99,101.533
43.31,101.546
43.62,101.557
43.94,101.567
44.25,101.577
44.58,101.587
44.90,101.596
45.22,101.604
45.55,101.611
45.88,101.616
46.21,101.619
46.55,101.621
46.89,101.621
47.23,101.620
47.57,101.617
47.91,101.612
48.26,101.603
48.61,101.589
48.96,101.570
49.32,101.547
49.67,101.521
50.03,101.494
50.40,101.467
50.76,101.440
51.13,101.413
51.50,101.386
51.87,101.359
52.25,101.332
52.63,101.305
53.01,101.279
53.39,101.254
53.78,101.233
54.17,101.214
54.56,101.199
54.96,101.187
55.36,101.176
55.76,101.164
56.16,101.148
56.57,101.127
56.98,101.100
57.39,101.069
57.81,101.034
58.23,100.998
58.65,100.961
59.07,100.925
59.50,100.892
59.93,100.859
60.37,100.828
60.80,100.797
61.24,100.764
61.69,100.729
62.14,100.692
62.59,100.652
63.04,100.610
63.50,100.567
63.96,100.525
64.42,100.484
64.89,100.444
65.36,100.404
65.83,100.366
66.31,100.329
66.79,100.295
67.27,100.265
67.76,100.240
68.25,100.220
68.74,100.201
69.24,100.184
69.74,100.166
70.25,100.147
70.76,100.126
71.27,100.104
71.79,100.081
72.31,100.057
72.83,100.032
73.36,100.006
73.89,99.979
74.43,99.954
74.97,99.934
75.51,99.921
76.06,99.917
76.61,99.922
77.16,99.933
77.72,99.950
78.29,99.974
78.85,100.002
79.42,100.036
80.00,100.077
80.58,100.124
81.16,100.178
81.75,100.239
82.34,100.304
82.94,100.370
83.54,100.435
84.15,100.498
84.76,100.559
85.37,100.617
85.99,100.674
86.61,100.728
87.24,100.781
87.87,100.836
88.51,100.898
89.15,100.968
89.80,101.046
90.45,101.129
91.10,101.210
91.76,101.287
92.43,101.356
93.10,101.421
93.77,101.481
94.45,101.540
95.14,101.599
95.83,101.656
96.52,101.713
97.22,101.768
97.92,101.822
98.63,101.875
99.35,101.926
100.07,101.977
100.79,102.025
101.52,102.072
102.26,102.115
103.00,102.155
103.75,102.191
104.50,102.221
105.26,102.245
106.02,102.265
106.79,102.283
107.56,102.302
108.34,102.324
109.13,102.346
109.92,102.365
110.71,102.377
111.52,102.380
112.32,102.374
113.14,102.361
113.96,102.343
114.78,102.322
115.61,102.301
116.45,102.278
117.30,102.254
118.15,102.225
119.00,102.189
119.86,102.145
120.73,102.093
121.61,102.033
122.49,101.968
123.38,101.895
124.27,101.815
125.17,101.729
126.08,101.643
126.99,101.558
127.91,101.477
128.84,101.397
129.77,101.316
130.71,101.233
131.66,101.152
132.61,101.073
133.58,100.998
134.54,100.926
135.52,100.857
136.50,100.789
137.49,100.724
138.49,100.666
139.49,100.616
140.50,100.575
141.52,100.536
142.54,100.496
143.58,100.450
144.62,100.400
145.67,100.347
146.72,100.295
147.78,100.241
148.85,100.183
149.93,100.120
151.02,100.051
152.11,99.977
153.22,99.900
154.33,99.821
155.45,99.742
156.57,99.663
157.71,99.583
158.85,99.499
160.00,99.410
161.16,99.317
162.33,99.219
163.50,99.119
164.69,99.015
165.88,98.908
167.08,98.797
168.29,98.685
169.51,98.573
170.74,98.464
171.98,98.357
173.23,98.253
174.48,98.151
175.75,98.048
177.02,97.941
178.30,97.827
179.59,97.705
180.90,97.579
182.21,97.454
183.53,97.331
184.86,97.211
186.20,97.091
187.55,96.969
188.90,96.847
190.27,96.723
191.65,96.597
193.04,96.466
194.44,96.329
195.85,96.191
197.27,96.058
198.70,95.930
200.14,95.808
201.59,95.684
203.05,95.557
204.52,95.426
206.00,95.293
207.49,95.159
209.00,95.025
210.51,94.893
212.04,94.764
213.57,94.635
215.12,94.506
216.68,94.377
218.25,94.249
219.83,94.123
221.43,93.999
223.03,93.876
224.65,93.753
226.27,93.628
227.91,93.502
229.57,93.378
231.23,93.257
232.90,93.143
234.59,93.039
236.29,92.946
238.00,92.864
239.73,92.793
241.47,92.732
243.22,92.679
244.98,92.635
246.75,92.601
248.54,92.575
250.34,92.552
252.16,92.532
253.98,92.514
255.82,92.495
257.68,92.476
259.55,92.459
261.43,92.446
263.32,92.437
265.23,92.434
267.15,92.435
269.09,92.438
271.04,92.442
273.00,92.447
274.98,92.452
276.97,92.459
278.98,92.467
281.00,92.477
283.04,92.489
285.09,92.501
287.15,92.514
289.23,92.528
291.33,92.544
293.44,92.562
295.57,92.581
297.71,92.597
299.87,92.612
302.04,92.624
304.23,92.639
