frequency,raw
10,93.9708
10.15,93.8934
10.3,93.8183
10.44,93.7475
10.6,93.6762
10.75,93.6257
10.9,93.5904
11.06,93.5830
11.2,93.6012
11.38,93.6594
11.5,93.7234
11.72,93.8772
11.8,93.9420
12.06,94.1783
12.2,94.3021
12.41,94.4797
12.5,94.5433
12.65,94.6358
12.8,94.7065
13.15,94.7721
13.2,94.7725
13.4,94.7475
13.6,94.7045
13.8,94.6492
14,94.6080
14.3,94.5854
14.5,94.6123
14.75,94.6802
15,94.7774
15.25,94.8739
15.5,94.9521
15.75,95.0043
16,95.0290
16.25,95.0437
16.5,95.0602
16.75,95.0968
17,95.1606
17.25,95.2474
17.5,95.3496
17.75,95.4468
18,95.5295
18.25,95.5876
18.5,95.6195
18.75,95.6314
19,95.6290
19.25,95.6248
19.5,95.6247
19.75,95.6330
20,95.6513
20.3,95.6822
20.6,95.7179
20.9,95.7517
21.2,95.7771
21.4,95.7859
21.8,95.7787
22,95.7612
22.4,95.7005
22.7,95.6408
23,95.5812
23.3,95.5321
23.6,95.4964
24,95.4639
24.3,95.4391
24.7,95.3915
25,95.3454
25.4,95.2862
25.8,95.2573
26.2,95.2713
26.5,95.2989
26.9,95.3311
27.2,95.3353
27.6,95.3115
28,95.2798
28.5,95.2817
29,95.3350
29.5,95.3757
30,95.3623
30.4,95.3555
30.7,95.3930
31.1,95.5224
31.5,95.6991
32,95.8409
32.5,95.7531
33,95.4315
33.5,95.0291
34,94.7462
34.5,94.6335
35,94.5817
35.5,94.4812
36,94.3268
36.5,94.1724
37,94.0593
37.5,93.9919
38.2,93.9456
38.7,93.9110
39.5,93.7870
40,93.6931
40.6,93.6188
41.2,93.5693
41.8,93.5060
42.5,93.4980
43.1,93.6344
43.7,93.7915
44.4,93.7908
45,93.6165
45.5,93.4331
46.2,93.1801
46.8,92.9238
47.5,92.5558
48.2,92.2113
48.7,92.0192
49.4,91.7879
50,91.5741
50.8,91.2456
51.5,90.9347
52.2,90.6324
53,90.3239
53.8,90.0256
54.5,89.7437
55.2,89.4771
56,89.2482
57,88.9659
58,88.4941
59,87.9988
60,87.7124
60.8,87.5622
61.5,87.3357
62.2,86.9208
63,86.3598
64,86.0823
65,86.2128
66,86.2916
67,86.3420
68,86.4120
69,86.4792
70,86.5777
71,86.7233
72,86.8533
73,86.9792
74,87.1426
75,87.3468
76.2,87.6194
77.5,87.8865
78.8,88.2074
80,88.4968
81.2,88.7054
82.5,88.9332
83.8,89.1354
85,89.2816
86.2,89.4317
87.5,89.6385
88.5,89.8062
90,90.0305
91.2,90.1962
92.5,90.4242
93.8,90.6994
95,90.9473
96.2,91.1704
97.5,91.3792
98.8,91.5548
100,91.6845
101.5,91.8015
103,91.8758
104.4,91.9194
106,91.9383
107.5,91.9505
