frequency,raw
10,78.8136
10.15,78.5190
10.3,78.2597
10.44,78.0384
10.6,77.8562
10.75,77.7943
10.9,77.8249
11.06,77.9831
11.2,78.2340
11.38,78.6455
11.5,78.9760
11.72,79.6358
11.8,79.8713
12.06,80.6261
12.2,80.9794
12.41,81.4390
12.5,81.5977
12.65,81.8155
12.8,81.9695
13.15,82.0644
13.2,82.0500
13.4,81.9155
13.6,81.6937
13.8,81.3875
14,81.0681
14.3,80.6210
14.5,80.4416
14.75,80.3980
15,80.5656
15.25,80.8813
15.5,81.2646
15.75,81.6714
16,82.0596
16.25,82.4201
16.5,82.7421
16.75,83.0134
17,83.2061
17.25,83.3052
17.5,83.2908
17.75,83.1661
18,82.9634
18.25,82.7191
18.5,82.5415
18.75,82.4856
19,82.6003
19.25,82.8570
19.5,83.1768
19.75,83.4994
20,83.7460
20.3,83.9332
20.6,84.0210
20.9,84.0677
21.2,84.1501
21.4,84.2469
21.8,84.5035
22,84.6296
22.4,84.7845
22.7,84.7721
23,84.6544
23.3,84.4908
23.6,84.3523
24,84.2943
24.3,84.3527
24.7,84.4947
25,84.5891
25.4,84.6663
25.8,84.7144
26.2,84.7694
26.5,84.8115
26.9,84.8389
27.2,84.8221
27.6,84.7620
28,84.7137
28.5,84.7412
29,84.8258
29.5,84.8443
30,84.7390
30.4,84.6124
30.7,84.5327
31.1,84.4750
31.5,84.4576
32,84.4297
32.5,84.3671
33,84.3480
33.5,84.4770
34,84.7467
34.5,85.0249
35,85.1990
35.5,85.2501
36,85.2226
36.5,85.1400
37,84.9970
37.5,84.8344
38.2,84.8106
38.7,85.0060
39.5,85.2708
40,85.2067
40.6,84.9636
41.2,84.7538
41.8,84.6649
42.5,84.6866
43.1,84.8154
43.7,84.9755
44.4,85.0239
45,84.9297
45.5,84.8662
46.2,84.9162
46.8,85.0353
47.5,85.1260
48.2,85.1185
48.7,85.0738
49.4,85.0036
50,84.9414
50.8,84.8059
51.5,84.6688
52.2,84.6129
53,84.6279
53.8,84.6069
54.5,84.5542
55.2,84.4930
56,84.3909
57,84.2094
58,84.0021
59,83.6551
60,83.2027
60.8,82.7556
61.5,82.1212
62.2,81.4888
63,81.5127
64,82.1425
65,82.1561
66,81.8902
67,81.7220
68,81.5733
69,81.4400
70,81.3799
71,81.3952
72,81.3630
73,81.3414
74,81.3334
75,81.2672
76.2,81.3061
77.5,81.4679
78.8,81.5305
80,81.5655
81.2,81.6578
82.5,81.8203
83.8,81.9464
85,82.0201
86.2,82.0802
87.5,82.1215
88.5,82.1230
90,82.1760
91.2,82.2446
92.5,82.2922
93.8,82.3637
95,82.4869
96.2,82.6096
97.5,82.6905
98.8,82.7797
100,82.8825
101.5,82.9717
103,83.0235
104.4,83.0891
106,83.1862
107.5,83.2435
109,83.2521
110.6,83.3230
112,83.4853
113.8,83.6354
115,83.6504
117.2,83.6390
118,83.6078
120.6,83.4116
122,83.3968
124.1,83.4436
125,83.4406
126.5,83.4651
128,83.5677
131.5,83.5826
132,83.5636
134,83.5253
136,83.5269
138,83.4889
140,83.4100
143,83.6296
145,83.8512
147.5,84.0832
150,84.2898
152.5,84.4605
155,84.6204
157.5,84.7518
160,84.8262
162.5,84.9928
165,85.1550
167.5,85.1564
170,84.9803
172.5,84.7427
175,84.6551
177.5,84.7524
180,84.9406
182.5,85.2066
185,85.5362
187.5,85.8584
190,86.0888
192.5,86.2636
195,86.4823
197.5,86.7326
200,86.9502
203,87.1037
206,87.2007
209,87.2747
212,87.3419
214,87.3562
218,87.3354
220,87.3553
224,87.4127
227,87.4176
230,87.4250
233,87.4421
236,87.4358
240,87.4156
243,87.4087
247,87.3828
250,87.3435
254,87.2521
258,87.1402
262,87.0079
265,86.9093
269,86.7606
272,86.6261
276,86.4866
280,86.5229
285,86.8149
290,87.0409
295,87.0936
300,87.0448
304,87.0218
307,87.0097
311,86.9502
315,86.8686
320,86.7656
325,86.6674
330,86.5898
335,86.5243
340,86.4614
345,86.3808
350,86.2884
355,86.2205
360,86.1700
365,86.1154
370,86.0796
375,86.0519
382,85.9738
387,85.9112
395,85.8061
400,85.7387
406,85.6727
412,85.6198
418,85.5770
425,85.5212
431,85.4491
437,85.3678
444,85.2980
450,85.2523
455,85.2101
462,85.1397
468,85.0796
475,85.0167
482,84.9436
487,84.8778
494,84.7817
500,84.7044
508,84.6122
515,84.5389
522,84.4659
530,84.3901
538,84.3307
545,84.2846
552,84.2350
560,84.1741
570,84.1095
580,84.0474
590,83.9750
600,83.8988
608,83.8517
615,83.8203
622,83.7891
630,83.7558
640,83.7172
650,83.6717
660,83.6380
670,83.6141
680,83.5807
690,83.5425
700,83.5115
710,83.4792
720,83.4459
730,83.4196
740,83.3896
750,83.3560
762,83.3140
775,83.2643
788,83.2203
800,83.1834
812,83.1426
825,83.0943
838,83.0387
850,82.9792
862,82.9233
875,82.8746
885,82.8394
900,82.8024
912,82.8073
925,82.8535
938,82.9243
950,82.9930
962,83.0446
975,83.0762
988,83.0924
1000,83.0975
1015,83.0999
1030,83.1116
1044,83.1378
1060,83.1786
1075,83.2293
1090,83.2938
1106,83.3778
1120,83.4685
1138,83.5906
1150,83.6676
1172,83.7960
1180,83.8288
1206,83.8516
1220,83.8070
1241,83.6568
1250,83.5682
1265,83.4013
1280,83.2268
1315,82.8876
1320,82.8532
1340,82.7515
1360,82.6899
1380,82.6601
1400,82.6416
1430,82.5977
1450,82.5576
1475,82.4757
1500,82.3293
1525,82.1205
1550,81.9673
1575,82.2282
1600,82.8194
1625,83.2021
1650,83.3842
1675,83.5267
1700,83.6800
1725,83.8449
1750,84.0229
1775,84.2083
1800,84.3925
1825,84.5726
1850,84.7510
1875,84.9284
1900,85.1063
1925,85.2874
1950,85.4687
1975,85.6461
2000,85.8175
2030,86.0147
2060,86.2041
2090,86.3854
2120,86.5662
2140,86.6927
2180,86.9690
2200,87.1227
2240,87.4569
2270,87.7101
2300,87.9549
2330,88.1921
2360,88.4289
2400,88.7479
2430,88.9600
2470,89.1728
2500,89.3019
2540,89.4740
2580,89.6784
2620,89.9130
2650,90.0770
2690,90.2425
2720,90.3163
2760,90.3485
2800,90.3239
2850,90.2493
2900,90.1498
2950,90.0284
3000,89.8795
3040,89.7405
3070,89.6260
3110,89.4610
3150,89.2838
3200,89.0517
3250,88.8225
3300,88.6190
3350,88.4653
3400,88.3764
3450,88.3570
3500,88.3698
3550,88.3077
3600,88.1604
3650,88.0508
3700,87.9756
3750,87.8467
3820,87.4876
3870,87.1125
3950,86.3533
4000,85.7944
4060,85.1584
4120,84.7761
4180,84.6487
4250,84.6568
4310,84.8272
4370,85.1978
4440,85.8385
4500,86.4276
4550,86.8516
4620,87.4159
4680,88.0890
4750,89.1585
4820,90.2659
4870,90.9395
4940,91.6926
5000,92.2197
5080,92.7910
5150,93.1604
5220,93.4685
5300,93.7192
5380,93.6852
5450,93.4496
5520,93.1228
5600,92.6965
5700,92.1109
5800,91.4387
5900,90.7345
6000,90.0966
6080,89.6940
6150,89.4640
6220,89.3516
6300,89.3186
6400,89.3206
6500,89.3280
6600,89.3514
6700,89.3696
6800,89.3226
6900,89.1499
7000,88.8996
7100,88.6922
7200,88.5817
7300,88.5561
7400,88.5987
7500,88.7086
7620,88.9389
7750,89.2604
7880,89.4200
8000,89.1698
8120,88.4211
8250,87.0932
8380,85.4539
8500,83.9324
8620,82.5770
8750,81.2576
8850,80.1731
9000,78.0155
9120,75.7602
9250,73.5736
9380,73.4695
9500,75.0097
9620,76.6814
9750,78.0980
9880,79.0820
10000,79.6924
10150,80.3025
10300,81.1734
10440,82.4735
10600,84.1380
10750,85.1040
10900,85.1274
11060,84.2960
11200,83.0973
11380,81.1705
11500,79.8440
11720,77.5304
11800,76.5255
12060,71.5496
12200,70.3856
12410,74.6242
12500,76.2673
12650,78.1169
12800,79.1258
13150,80.0930
13200,80.1680
13400,80.4202
13600,80.6256
13800,80.6009
14000,80.1187
14300,78.5813
14500,77.0301
14750,74.0251
15000,68.9470
15250,63.9878
15500,64.9903
15750,67.5912
16000,71.3684
16250,74.6811
16500,76.7316
16750,77.6222
17000,77.7621
17250,77.2985
17500,76.0229
17750,74.4409
18000,73.4133
18250,73.1726
18500,73.9732
18750,75.1922
19000,75.8826
19250,75.4891
19500,73.8537
19750,71.1223
20000,67.5273
