frequency,raw
20.00,78.715
20.30,78.940
20.60,79.157
20.90,79.370
21.20,79.575
21.40,79.708
21.80,79.969
22.00,80.097
22.40,80.350
22.70,80.538
23.00,80.725
23.30,80.909
23.60,81.091
24.00,81.331
24.30,81.508
24.70,81.743
25.00,81.916
25.40,82.144
25.80,82.369
26.20,82.590
26.50,82.754
26.90,82.969
27.20,83.127
27.60,83.337
28.00,83.543
28.50,83.795
29.00,84.041
29.50,84.284
30.00,84.519
30.40,84.704
30.70,84.841
31.10,85.020
31.50,85.196
32.00,85.412
32.50,85.632
33.00,85.856
33.50,86.078
34.00,86.296
34.50,86.510
35.00,86.720
35.50,86.925
36.00,87.127
36.50,87.325
37.00,87.518
37.50,87.708
38.20,87.966
38.70,88.146
39.50,88.425
40.00,88.594
40.60,88.792
41.20,88.984
41.80,89.169
42.50,89.379
43.10,89.549
43.70,89.710
44.40,89.888
45.00,90.035
45.50,90.151
46.20,90.307
46.80,90.434
47.50,90.574
48.20,90.706
48.70,90.794
49.40,90.911
50.00,91.004
50.80,91.120
51.50,91.211
52.20,91.294
53.00,91.377
53.80,91.444
54.50,91.481
55.20,91.498
56.00,91.498
57.00,91.475
58.00,91.435
59.00,91.386
60.00,91.334
60.80,91.297
61.50,91.272
62.20,91.255
63.00,91.251
64.00,91.272
65.00,91.326
66.00,91.407
67.00,91.506
68.00,91.616
69.00,91.737
70.00,91.864
71.00,91.995
72.00,92.127
73.00,92.256
74.00,92.380
75.00,92.495
76.20,92.619
77.50,92.749
78.80,92.882
80.00,93.005
81.20,93.126
82.50,93.249
83.80,93.361
85.00,93.450
86.20,93.522
87.50,93.579
88.50,93.615
90.00,93.657
91.20,93.684
92.50,93.704
93.80,93.716
95.00,93.720
96.20,93.715
97.50,93.702
98.80,93.680
100.00,93.656
101.50,93.622
103.00,93.584
104.40,93.545
106.00,93.496
107.50,93.448
109.00,93.397
110.60,93.338
112.00,93.281
113.80,93.206
115.00,93.156
117.20,93.077
118.00,93.057
120.60,93.038
122.00,93.047
124.10,93.069
125.00,93.078
126.50,93.091
128.00,93.097
131.50,93.091
132.00,93.088
134.00,93.068
136.00,93.037
138.00,92.993
140.00,92.923
143.00,92.750
145.00,92.608
147.50,92.421
150.00,92.229
152.50,92.025
155.00,91.806
157.50,91.581
160.00,91.350
162.50,91.130
165.00,90.923
167.50,90.723
170.00,90.523
172.50,90.324
175.00,90.125
177.50,89.927
180.00,89.733
182.50,89.553
185.00,89.390
187.50,89.240
190.00,89.106
192.50,88.990
195.00,88.908
197.50,88.858
200.00,88.827
203.00,88.796
206.00,88.767
209.00,88.735
212.00,88.701
214.00,88.674
218.00,88.612
220.00,88.576
224.00,88.504
227.00,88.451
230.00,88.401
233.00,88.350
236.00,88.302
240.00,88.246
243.00,88.217
247.00,88.246
250.00,88.380
254.00,88.692
258.00,89.024
262.00,89.328
265.00,89.536
269.00,89.738
272.00,89.817
276.00,89.868
280.00,89.916
285.00,90.002
290.00,90.117
295.00,90.257
300.00,90.409
304.00,90.531
307.00,90.624
311.00,90.748
315.00,90.872
320.00,91.027
325.00,91.183
330.00,91.339
335.00,91.498
340.00,91.660
345.00,91.833
350.00,92.011
355.00,92.188
360.00,92.350
365.00,92.495
370.00,92.625
375.00,92.742
382.00,92.892
387.00,92.993
395.00,93.148
400.00,93.239
406.00,93.342
412.00,93.439
418.00,93.529
425.00,93.630
431.00,93.711
437.00,93.785
444.00,93.859
450.00,93.916
455.00,93.957
462.00,94.011
468.00,94.055
475.00,94.102
482.00,94.142
487.00,94.169
494.00,94.203
500.00,94.227
508.00,94.257
515.00,94.279
522.00,94.302
530.00,94.328
538.00,94.352
545.00,94.373
552.00,94.391
560.00,94.410
570.00,94.421
580.00,94.430
590.00,94.459
600.00,94.475
608.00,94.477
615.00,94.489
622.00,94.505
630.00,94.526
640.00,94.549
650.00,94.565
660.00,94.579
670.00,94.593
680.00,94.610
690.00,94.632
700.00,94.660
710.00,94.698
720.00,94.752
730.00,94.820
740.00,94.894
750.00,94.971
762.00,95.061
775.00,95.151
788.00,95.229
800.00,95.297
812.00,95.367
825.00,95.444
838.00,95.519
850.00,95.587
862.00,95.649
875.00,95.709
885.00,95.745
900.00,95.796
912.00,95.831
925.00,95.867
938.00,95.909
950.00,95.956
962.00,96.010
975.00,96.072
988.00,96.127
1000.00,96.167
1015.00,96.205
1030.00,96.238
1044.00,96.270
1060.00,96.312
1075.00,96.358
1090.00,96.413
1106.00,96.488
1120.00,96.566
1138.00,96.663
1150.00,96.725
1172.00,96.837
