frequency,raw
20.00,77.824
20.30,78.044
20.60,78.261
20.90,78.473
21.20,78.681
21.40,78.817
21.80,79.085
22.00,79.218
22.40,79.480
22.70,79.674
23.00,79.867
23.30,80.056
23.60,80.245
24.00,80.493
24.30,80.677
24.70,80.919
25.00,81.099
25.40,81.334
25.80,81.567
26.20,81.796
26.50,81.965
26.90,82.189
27.20,82.353
27.60,82.570
28.00,82.783
28.50,83.045
29.00,83.302
29.50,83.553
30.00,83.797
30.40,83.990
30.70,84.132
31.10,84.319
31.50,84.502
32.00,84.727
32.50,84.953
33.00,85.181
33.50,85.406
34.00,85.627
34.50,85.844
35.00,86.056
35.50,86.263
36.00,86.466
36.50,86.666
37.00,86.859
37.50,87.049
38.20,87.307
38.70,87.486
39.50,87.763
40.00,87.930
40.60,88.125
41.20,88.314
41.80,88.496
42.50,88.699
43.10,88.858
43.70,88.998
44.40,89.143
45.00,89.259
45.50,89.351
46.20,89.471
46.80,89.569
47.50,89.676
48.20,89.778
48.70,89.848
49.40,89.942
50.00,90.020
50.80,90.123
51.50,90.210
52.20,90.299
53.00,90.400
53.80,90.499
54.50,90.577
55.20,90.642
56.00,90.707
57.00,90.775
58.00,90.834
59.00,90.886
60.00,90.939
60.80,90.983
61.50,91.025
62.20,91.072
63.00,91.133
64.00,91.228
65.00,91.353
66.00,91.506
67.00,91.671
68.00,91.841
69.00,92.016
70.00,92.189
71.00,92.359
72.00,92.524
73.00,92.680
74.00,92.823
75.00,92.952
76.20,93.084
77.50,93.210
78.80,93.323
80.00,93.419
81.20,93.506
82.50,93.590
83.80,93.665
85.00,93.724
86.20,93.768
87.50,93.799
88.50,93.814
90.00,93.834
91.20,93.846
92.50,93.856
93.80,93.862
95.00,93.864
96.20,93.864
97.50,93.862
98.80,93.856
100.00,93.851
101.50,93.840
103.00,93.828
104.40,93.814
106.00,93.798
107.50,93.778
109.00,93.749
110.60,93.706
112.00,93.662
113.80,93.603
115.00,93.565
117.20,93.506
118.00,93.490
120.60,93.468
122.00,93.464
124.10,93.460
125.00,93.459
126.50,93.454
128.00,93.448
131.50,93.428
132.00,93.425
134.00,93.409
136.00,93.390
138.00,93.364
140.00,93.315
143.00,93.177
145.00,93.056
147.50,92.889
150.00,92.701
152.50,92.478
155.00,92.217
157.50,91.942
160.00,91.689
162.50,91.502
165.00,91.380
167.50,91.287
170.00,91.210
172.50,91.150
175.00,91.106
177.50,91.075
180.00,91.043
182.50,90.996
185.00,90.923
187.50,90.833
190.00,90.733
192.50,90.626
195.00,90.514
197.50,90.397
200.00,90.276
203.00,90.130
206.00,89.984
209.00,89.840
212.00,89.696
214.00,89.604
218.00,89.442
220.00,89.373
224.00,89.254
227.00,89.177
230.00,89.107
233.00,89.047
236.00,89.015
240.00,89.043
243.00,89.109
247.00,89.249
250.00,89.416
254.00,89.701
258.00,89.943
262.00,90.088
265.00,90.161
269.00,90.247
272.00,90.309
276.00,90.389
280.00,90.465
285.00,90.547
290.00,90.612
295.00,90.658
300.00,90.659
304.00,90.595
307.00,90.514
311.00,90.425
315.00,90.434
320.00,90.620
325.00,91.011
330.00,91.518
335.00,91.936
340.00,92.210
345.00,92.427
350.00,92.632
355.00,92.826
360.00,93.005
365.00,93.168
370.00,93.314
375.00,93.444
382.00,93.598
387.00,93.696
395.00,93.838
400.00,93.917
406.00,93.998
412.00,94.069
418.00,94.135
425.00,94.202
431.00,94.254
437.00,94.299
444.00,94.345
450.00,94.376
455.00,94.398
462.00,94.424
468.00,94.447
475.00,94.471
482.00,94.494
487.00,94.509
494.00,94.529
500.00,94.546
508.00,94.564
515.00,94.573
522.00,94.577
530.00,94.576
538.00,94.571
545.00,94.564
552.00,94.559
560.00,94.559
570.00,94.561
580.00,94.567
590.00,94.599
600.00,94.637
608.00,94.661
615.00,94.683
622.00,94.704
630.00,94.726
640.00,94.743
650.00,94.753
660.00,94.757
670.00,94.761
680.00,94.763
690.00,94.777
700.00,94.808
710.00,94.856
720.00,94.919
730.00,94.995
740.00,95.080
750.00,95.162
762.00,95.257
775.00,95.353
788.00,95.444
800.00,95.522
812.00,95.597
825.00,95.672
838.00,95.742
850.00,95.803
862.00,95.856
875.00,95.904
885.00,95.933
900.00,95.971
912.00,95.996
925.00,96.018
938.00,96.035
950.00,96.055
962.00,96.083
975.00,96.126
988.00,96.174
1000.00,96.212
1015.00,96.245
1030.00,96.262
1044.00,96.270
1060.00,96.279
1075.00,96.292
1090.00,96.314
1106.00,96.349
1120.00,96.397
1138.00,96.480
1150.00,96.541
1172.00,96.653
1180.00,96.691
1206.00,96.811
1220.00,96.872
1241.00,96.962
1250.00,97.000
1265.00,97.060
1280.00,97.121
1315.00,97.270
1320.00,97.291
1340.00,97.375
1360.00,97.459
1380.00,97.536
1400.00,97.603
1430.00,97.704
1450.00,97.776
1475.00,97.869
1500.00,97.965
1525.00,98.059
1550.00,98.148
1575.00,98.229
1600.00,98.302
1625.00,98.362
1650.00,98.410
1675.00,98.468
1700.00,98.562
1725.00,98.678
1750.00,98.784
1775.00,98.877
1800.00,98.954
1825.00,99.007
1850.00,99.046
1875.00,99.081
1900.00,99.117
1925.00,99.161
1950.00,99.214
1975.00,99.264
2000.00,99.298
2030.00,99.309
2060.00,99.316
2090.00,99.383
2120.00,99.512
2140.00,99.602
2180.00,99.768
2200.00,99.855
2240.00,99.999
2270.00,100.061
2300.00,100.094
2330.00,100.108
2360.00,100.113
2400.00,100.103
2430.00,100.085
2470.00,100.038
2500.00,99.989
2540.00,99.905
2580.00,99.809
2620.00,99.705
2650.00,99.624
2690.00,99.517
2720.00,99.429
