frequency,raw
10,81.282
10.15,81.188
10.3,81.005
10.44,80.729
10.6,80.391
10.75,80.108
10.9,79.865
11.06,79.815
11.2,79.944
11.38,80.298
11.5,80.676
11.72,81.505
11.8,81.805
12.06,82.793
12.2,83.247
12.41,83.833
12.5,84.033
12.65,84.304
12.8,84.490
13.15,84.577
13.2,84.552
13.4,84.347
13.6,84.019
13.8,83.569
14,83.106
14.3,82.479
14.5,82.269
14.75,82.287
15,82.619
15.25,83.138
15.5,83.762
15.75,84.444
16,85.152
16.25,85.831
16.5,86.438
16.75,86.908
17,87.184
17.25,87.249
17.5,87.086
17.75,86.735
18,86.271
18.25,85.775
18.5,85.430
18.75,85.278
19,85.355
19.25,85.546
19.5,85.766
19.75,85.951
20,86.069
20.3,86.148
20.6,86.178
20.9,86.174
21.2,86.128
21.4,86.063
21.8,85.869
22,85.762
22.4,85.596
22.7,85.560
23,85.597
23.3,85.654
23.6,85.687
24,85.667
24.3,85.644
24.7,85.709
25,85.895
25.4,86.318
25.8,86.807
26.2,87.205
26.5,87.399
26.9,87.539
27.2,87.613
27.6,87.747
28,87.947
28.5,88.181
29,88.234
29.5,88.097
30,87.950
30.4,87.945
30.7,88.014
31.1,88.147
31.5,88.270
32,88.385
32.5,88.495
33,88.617
33.5,88.713
34,88.751
34.5,88.773
35,88.845
35.5,88.988
36,89.151
36.5,89.281
37,89.368
37.5,89.425
38.2,89.465
38.7,89.458
39.5,89.415
40,89.411
40.6,89.449
41.2,89.496
41.8,89.497
42.5,89.443
43.1,89.417
43.7,89.452
44.4,89.544
45,89.620
45.5,89.657
46.2,89.680
46.8,89.742
47.5,89.932
48.2,90.144
48.7,90.207
49.4,90.137
50,90.025
50.8,89.990
51.5,90.094
52.2,90.207
53,90.225
53.8,90.157
54.5,90.093
55.2,90.029
56,89.954
57,89.889
58,89.792
59,89.608
60,89.423
60.8,89.391
61.5,89.425
62.2,89.425
63,89.380
64,89.377
65,89.361
66,89.201
67,89.012
68,88.892
69,88.773
70,88.593
71,88.424
72,88.381
73,88.401
74,88.325
75,88.208
76.2,88.160
77.5,88.160
78.8,88.112
80,87.980
81.2,87.807
82.5,87.687
83.8,87.718
85,87.848
86.2,87.941
87.5,87.868
88.5,87.792
90,87.737
91.2,87.674
92.5,87.584
93.8,87.566
95,87.600
96.2,87.613
97.5,87.607
98.8,87.534
100,87.414
101.5,87.265
103,87.181
104.4,87.119
106,86.997
107.5,86.820
109,86.643
110.6,86.541
112,86.495
113.8,86.520
115,86.551
117.2,86.524
118,86.493
120.6,86.394
122,86.362
124.1,86.332
125,86.303
126.5,86.247
128,86.191
131.5,86.070
132,86.046
134,85.937
136,85.849
138,85.780
140,85.715
143,85.576
145,85.472
147.5,85.355
150,85.267
152.5,85.188
155,85.103
157.5,84.986
160,84.852
162.5,84.748
165,84.627
167.5,84.477
170,84.335
172.5,84.183
175,84.010
177.5,83.832
180,83.664
182.5,83.505
185,83.357
187.5,83.224
190,83.106
192.5,82.999
195,82.892
197.5,82.770
200,82.640
203,82.504
206,82.373
209,82.268
212,82.178
214,82.105
218,81.949
220,81.880
224,81.787
227,81.754
230,81.735
233,81.728
236,81.736
240,81.755
243,81.766
247,81.793
250,81.822
254,81.847
258,81.859
262,81.880
265,81.902
269,81.930
272,81.949
276,81.980
280,82.024
285,82.135
290,82.314
295,82.446
300,82.517
304,82.565
307,82.607
311,82.661
315,82.704
320,82.762
325,82.820
330,82.877
335,82.927
340,82.975
345,83.011
350,83.046
355,83.094
360,83.138
365,83.181
370,83.225
375,83.260
382,83.311
387,83.346
395,83.397
400,83.431
406,83.465
412,83.495
418,83.527
425,83.565
431,83.595
437,83.626
444,83.661
450,83.685
455,83.705
462,83.735
468,83.763
475,83.795
482,83.827
487,83.850
494,83.879
500,83.904
508,83.938
515,83.967
522,83.994
530,84.023
538,84.053
545,84.080
552,84.107
560,84.136
570,84.166
580,84.191
590,84.219
600,84.251
608,84.279
615,84.303
622,84.326
630,84.352
640,84.387
650,84.421
660,84.452
670,84.484
680,84.516
690,84.547
700,84.575
710,84.601
720,84.628
730,84.655
740,84.682
750,84.706
762,84.731
775,84.755
788,84.778
800,84.797
812,84.811
825,84.821
838,84.830
850,84.835
862,84.836
875,84.831
885,84.819
900,84.787
912,84.750
925,84.712
938,84.695
950,84.708
962,84.749
975,84.812
988,84.886
1000,84.958
1015,85.052
1030,85.147
1044,85.237
1060,85.340
1075,85.437
1090,85.533
1106,85.635
1120,85.726
1138,85.845
1150,85.929
1172,86.096
1180,86.164
1206,86.408
1220,86.553
1241,86.757
1250,86.824
1265,86.893
1280,86.924
1315,87.031
1320,87.058
1340,87.187
1360,87.336
1380,87.493
1400,87.653
1430,87.893
1450,88.046
1475,88.221
1500,88.388
1525,88.560
1550,88.741
1575,88.921
1600,89.096
1625,89.265
1650,89.431
1675,89.596
1700,89.760
1725,89.924
1750,90.087
1775,90.252
1800,90.421
1825,90.596
1850,90.776
1875,90.961
1900,91.148
1925,91.334
1950,91.516
1975,91.689
2000,91.846
2030,92.004
2060,92.125
2090,92.219
2120,92.313
2140,92.386
2180,92.574
2200,92.685
2240,92.930
2270,93.125
2300,93.332
2330,93.553
2360,93.783
2400,94.087
2430,94.315
2470,94.637
2500,94.900
2540,95.267
2580,95.636
2620,95.990
2650,96.242
2690,96.548
2720,96.745
2760,96.960
2800,97.124
2850,97.274
2900,97.369
2950,97.408
3000,97.387
3040,97.317
3070,97.219
3110,96.989
3150,96.582
3200,95.988
3250,95.873
3300,95.900
3350,95.712
3400,95.396
3450,95.037
3500,94.675
3550,94.333
3600,94.033
3650,93.785
3700,93.569
3750,93.356
3820,93.099
3870,93.011
3950,93.080
4000,93.231
4060,93.509
4120,93.895
4180,94.368
4250,94.957
4310,95.425
4370,95.797
4440,96.059
4500,96.115
4550,96.045
4620,95.795
4680,95.473
4750,95.019
4820,94.513
4870,94.134
4940,93.602
5000,93.174
5080,92.663
5150,92.271
5220,91.938
5300,91.644
5380,91.448
5450,91.350
5520,91.296
5600,91.254
5700,91.213
5800,91.200
5900,91.237
6000,91.327
6080,91.429
6150,91.529
6220,91.628
6300,91.729
6400,91.821
6500,91.866
6600,91.867
6700,91.835
6800,91.774
6900,91.671
7000,91.485
7100,91.186
7200,90.776
7300,90.308
7400,89.853
7500,89.466
7620,89.130
7750,88.928
7880,88.854
8000,88.818
8120,88.718
8250,88.462
8380,88.060
8500,87.649
8620,87.302
8750,87.013
8850,86.791
9000,86.354
9120,85.893
9250,85.300
9380,84.647
9500,84.043
9620,83.497
9750,83.032
9880,82.746
10000,82.676
10150,82.890
10300,83.449
10440,84.185
10600,85.008
10750,85.503
10900,85.585
11060,85.144
11200,84.304
11380,82.766
11500,81.644
11720,79.866
11800,79.388
12060,78.516
12200,78.376
12410,78.272
12500,78.161
12650,77.794
12800,77.185
13150,75.068
13200,74.704
13400,73.198
13600,71.740
13800,70.626
14000,70.287
14300,70.603
14500,70.944
14750,72.072
15000,73.818
15250,74.992
15500,75.185
15750,74.784
16000,74.381
16250,74.516
16500,75.132
16750,75.536
17000,75.207
17250,74.112
17500,72.585
17750,71.015
18000,69.789
18250,69.332
18500,69.568
18750,70.083
19000,70.502
19250,70.562
19500,70.378
19750,70.396
20000,70.787
