frequency,raw
2.95,76.601
2.97,76.650
2.99,76.716
3.02,76.803
3.04,76.895
3.06,76.988
3.08,77.082
3.10,77.177
3.13,77.271
3.15,77.364
3.17,77.459
3.20,77.553
3.22,77.648
3.24,77.744
3.27,77.840
3.29,77.936
3.31,78.035
3.34,78.135
3.36,78.233
3.39,78.332
3.41,78.430
3.43,78.530
3.46,78.630
3.48,78.731
3.51,78.831
3.54,78.932
3.56,79.034
3.59,79.136
3.61,79.238
3.64,79.341
3.67,79.445
3.69,79.548
3.72,79.651
3.75,79.754
3.77,79.859
3.80,79.963
3.83,80.067
3.86,80.172
3.88,80.278
3.91,80.384
3.94,80.489
3.97,80.594
4.00,80.700
4.03,80.807
4.06,80.915
4.08,81.023
4.11,81.129
4.14,81.234
4.17,81.342
4.20,81.448
4.23,81.555
4.27,81.662
4.30,81.770
4.33,81.878
4.36,81.984
4.39,82.091
4.42,82.198
4.45,82.306
4.49,82.411
4.52,82.517
4.55,82.625
4.59,82.731
4.62,82.837
4.65,82.942
4.69,83.047
4.72,83.153
4.75,83.257
4.79,83.361
4.82,83.464
4.86,83.566
4.89,83.668
4.93,83.772
4.96,83.873
5.00,83.974
5.04,84.074
5.07,84.173
5.11,84.273
5.15,84.371
5.18,84.468
5.22,84.564
5.26,84.660
5.30,84.754
5.34,84.846
5.37,84.939
5.41,85.029
5.45,85.119
5.49,85.208
5.53,85.295
5.57,85.380
5.61,85.465
5.65,85.547
5.69,85.629
5.74,85.708
5.78,85.785
5.82,85.861
5.86,85.935
5.90,86.009
5.95,86.083
5.99,86.157
6.03,86.231
6.08,86.303
6.12,86.376
6.16,86.448
6.21,86.520
6.25,86.593
6.30,86.666
6.35,86.739
6.39,86.810
6.44,86.882
6.48,86.953
6.53,87.024
6.58,87.096
6.63,87.167
6.67,87.239
6.72,87.308
6.77,87.379
6.82,87.449
6.87,87.518
6.92,87.588
6.97,87.656
7.02,87.726
7.07,87.794
7.12,87.862
7.17,87.930
7.23,87.998
7.28,88.064
7.33,88.131
7.38,88.197
7.44,88.262
7.49,88.328
7.55,88.393
7.60,88.458
7.66,88.521
7.71,88.584
7.77,88.646
7.82,88.708
7.88,88.769
7.94,88.830
7.99,88.891
8.05,88.951
8.11,89.009
8.17,89.067
8.23,89.124
8.29,89.181
8.35,89.237
8.41,89.292
8.47,89.346
8.53,89.400
8.59,89.453
8.66,89.505
8.72,89.555
