frequency,raw
20.00,84.421
20.30,84.301
20.60,84.231
20.90,84.268
21.20,84.410
21.40,84.534
21.80,84.758
22.00,84.827
22.40,84.856
22.70,84.810
23.00,84.761
23.30,84.762
23.60,84.838
24.00,85.029
24.30,85.188
24.70,85.355
25.00,85.422
25.40,85.439
25.80,85.412
26.20,85.393
26.50,85.406
26.90,85.463
27.20,85.526
27.60,85.617
28.00,85.697
28.50,85.765
29.00,85.806
29.50,85.848
30.00,85.921
30.40,86.001
30.70,86.068
31.10,86.151
31.50,86.220
32.00,86.290
32.50,86.364
33.00,86.468
33.50,86.620
34.00,86.823
34.50,87.070
35.00,87.331
35.50,87.568
36.00,87.740
36.50,87.837
37.00,87.877
37.50,87.900
38.20,87.945
38.70,87.978
39.50,87.986
40.00,87.947
40.60,87.864
41.20,87.775
41.80,87.725
42.50,87.738
43.10,87.791
43.70,87.855
44.40,87.921
45.00,87.960
45.50,87.987
46.20,88.042
46.80,88.131
47.50,88.272
48.20,88.410
48.70,88.502
49.40,88.650
50.00,88.819
50.80,89.106
51.50,89.394
52.20,89.691
53.00,90.011
53.80,90.282
54.50,90.481
55.20,90.661
56.00,90.868
57.00,91.128
58.00,91.359
59.00,91.551
60.00,91.718
60.80,91.851
61.50,91.975
62.20,92.102
63.00,92.240
64.00,92.390
65.00,92.505
66.00,92.585
67.00,92.640
68.00,92.674
69.00,92.703
70.00,92.733
71.00,92.761
72.00,92.784
73.00,92.797
74.00,92.802
75.00,92.807
76.20,92.814
77.50,92.821
78.80,92.833
80.00,92.848
81.20,92.861
82.50,92.868
83.80,92.869
85.00,92.865
86.20,92.856
87.50,92.841
88.50,92.829
90.00,92.811
91.20,92.799
92.50,92.787
93.80,92.768
95.00,92.748
96.20,92.725
97.50,92.703
98.80,92.680
100.00,92.656
101.50,92.624
103.00,92.587
104.40,92.550
106.00,92.503
107.50,92.454
109.00,92.401
110.60,92.345
112.00,92.293
113.80,92.224
115.00,92.177
117.20,92.083
118.00,92.047
120.60,91.934
122.00,91.876
124.10,91.786
125.00,91.745
126.50,91.678
128.00,91.609
131.50,91.446
132.00,91.422
134.00,91.327
136.00,91.233
138.00,91.145
140.00,91.062
143.00,90.946
145.00,90.873
147.50,90.785
150.00,90.706
152.50,90.635
155.00,90.570
157.50,90.511
160.00,90.465
162.50,90.431
165.00,90.402
167.50,90.380
170.00,90.368
172.50,90.365
175.00,90.375
177.50,90.391
180.00,90.403
182.50,90.403
185.00,90.386
187.50,90.352
190.00,90.305
192.50,90.246
195.00,90.179
197.50,90.102
200.00,90.016
203.00,89.899
206.00,89.772
209.00,89.634
212.00,89.488
214.00,89.389
218.00,89.188
220.00,89.089
224.00,88.887
227.00,88.731
230.00,88.569
233.00,88.409
236.00,88.261
240.00,88.074
243.00,87.937
247.00,87.757
250.00,87.625
254.00,87.444
258.00,87.249
262.00,87.049
265.00,86.899
269.00,86.697
272.00,86.544
276.00,86.341
280.00,86.140
285.00,85.894
290.00,85.654
295.00,85.428
300.00,85.219
304.00,85.060
307.00,84.946
311.00,84.797
315.00,84.656
320.00,84.489
325.00,84.335
330.00,84.192
335.00,84.059
340.00,83.934
345.00,83.815
350.00,83.699
355.00,83.588
360.00,83.482
365.00,83.380
370.00,83.285
375.00,83.197
