frequency,raw
20.00,70.584
20.30,70.803
20.60,71.012
20.90,71.213
21.20,71.405
21.40,71.528
21.80,71.765
22.00,71.882
22.40,72.112
22.70,72.283
23.00,72.453
23.30,72.620
23.60,72.786
24.00,73.005
24.30,73.168
24.70,73.382
25.00,73.540
25.40,73.749
25.80,73.956
26.20,74.158
26.50,74.308
26.90,74.507
27.20,74.654
27.60,74.846
28.00,75.036
28.50,75.270
29.00,75.499
29.50,75.724
30.00,75.944
30.40,76.116
30.70,76.244
31.10,76.411
31.50,76.576
32.00,76.780
32.50,76.982
33.00,77.185
33.50,77.387
34.00,77.588
34.50,77.785
35.00,77.982
35.50,78.177
36.00,78.368
36.50,78.559
37.00,78.747
37.50,78.934
38.20,79.191
38.70,79.373
39.50,79.659
40.00,79.835
40.60,80.044
41.20,80.251
41.80,80.454
42.50,80.686
43.10,80.879
43.70,81.061
44.40,81.266
45.00,81.435
45.50,81.575
46.20,81.767
46.80,81.928
47.50,82.114
48.20,82.299
48.70,82.430
49.40,82.612
50.00,82.768
50.80,82.977
51.50,83.162
52.20,83.349
53.00,83.564
53.80,83.781
54.50,83.971
55.20,84.158
56.00,84.373
57.00,84.641
58.00,84.907
59.00,85.172
60.00,85.434
60.80,85.642
61.50,85.821
62.20,85.998
63.00,86.196
64.00,86.439
65.00,86.678
66.00,86.917
67.00,87.151
68.00,87.381
69.00,87.607
70.00,87.828
71.00,88.044
72.00,88.257
73.00,88.463
74.00,88.666
75.00,88.864
76.20,89.089
77.50,89.322
78.80,89.543
80.00,89.739
81.20,89.925
82.50,90.118
83.80,90.299
85.00,90.459
86.20,90.608
87.50,90.759
88.50,90.868
90.00,91.019
91.20,91.131
92.50,91.242
93.80,91.343
95.00,91.425
96.20,91.498
97.50,91.556
98.80,91.593
100.00,91.613
101.50,91.630
103.00,91.638
104.40,91.645
106.00,91.655
107.50,91.669
109.00,91.685
110.60,91.698
112.00,91.707
113.80,91.712
115.00,91.712
117.20,91.703
118.00,91.696
120.60,91.639
122.00,91.590
124.10,91.507
125.00,91.471
126.50,91.416
128.00,91.371
131.50,91.328
132.00,91.326
134.00,91.322
136.00,91.316
138.00,91.305
140.00,91.288
143.00,91.252
145.00,91.221
147.50,91.180
150.00,91.143
152.50,91.123
155.00,91.109
157.50,91.092
160.00,91.067
162.50,91.020
165.00,90.946
167.50,90.857
170.00,90.771
172.50,90.696
175.00,90.630
177.50,90.572
180.00,90.524
182.50,90.490
185.00,90.475
187.50,90.475
190.00,90.476
192.50,90.475
195.00,90.469
197.50,90.459
200.00,90.448
203.00,90.431
206.00,90.410
209.00,90.384
212.00,90.356
214.00,90.336
218.00,90.297
220.00,90.278
224.00,90.237
227.00,90.203
230.00,90.165
233.00,90.124
236.00,90.081
240.00,90.023
243.00,89.977
247.00,89.917
250.00,89.871
254.00,89.808
258.00,89.750
262.00,89.696
265.00,89.659
269.00,89.608
272.00,89.571
276.00,89.520
280.00,89.465
285.00,89.383
290.00,89.297
295.00,89.219
300.00,89.142
304.00,89.072
307.00,89.016
311.00,88.939
315.00,88.866
320.00,88.779
325.00,88.707
330.00,88.659
335.00,88.640
340.00,88.660
345.00,88.745
350.00,88.933
355.00,89.258
360.00,89.724
365.00,90.291
370.00,90.919
375.00,91.547
382.00,92.309
387.00,92.728
395.00,93.157
400.00,93.299
406.00,93.394
412.00,93.448
418.00,93.486
425.00,93.525
431.00,93.561
437.00,93.596
444.00,93.639
450.00,93.679
455.00,93.714
462.00,93.764
468.00,93.809
475.00,93.862
482.00,93.917
487.00,93.955
494.00,94.007
500.00,94.052
508.00,94.113
515.00,94.169
522.00,94.226
530.00,94.291
538.00,94.351
545.00,94.397
552.00,94.441
560.00,94.489
570.00,94.540
580.00,94.583
590.00,94.619
600.00,94.649
608.00,94.667
615.00,94.682
622.00,94.695
630.00,94.710
640.00,94.728
650.00,94.748
660.00,94.767
670.00,94.787
680.00,94.806
690.00,94.824
700.00,94.840
710.00,94.856
720.00,94.874
730.00,94.898
740.00,94.927
750.00,94.959
762.00,95.003
775.00,95.055
788.00,95.111
800.00,95.167
812.00,95.224
825.00,95.286
838.00,95.353
850.00,95.416
862.00,95.477
875.00,95.539
885.00,95.584
900.00,95.641
912.00,95.674
925.00,95.695
938.00,95.691
950.00,95.662
962.00,95.614
975.00,95.557
988.00,95.511
1000.00,95.486
1015.00,95.474
1030.00,95.481
1044.00,95.505
1060.00,95.541
1075.00,95.582
1090.00,95.624
1106.00,95.670
1120.00,95.710
1138.00,95.766
1150.00,95.806
1172.00,95.884
1180.00,95.914
1206.00,96.022
1220.00,96.081
1241.00,96.168
1250.00,96.202
1265.00,96.257
1280.00,96.306
1315.00,96.408
1320.00,96.420
1340.00,96.463
1360.00,96.496
1380.00,96.516
1400.00,96.518
1430.00,96.470
1450.00,96.386
1475.00,96.256
1500.00,96.143
1525.00,96.096
1550.00,96.115
1575.00,96.141
1600.00,96.209
1625.00,96.345
1650.00,96.490
1675.00,96.600
1700.00,96.677
1725.00,96.733
1750.00,96.781
1775.00,96.828
1800.00,96.870
1825.00,96.900
1850.00,96.918
1875.00,96.921
1900.00,96.906
1925.00,96.876
1950.00,96.838
1975.00,96.793
2000.00,96.743
2030.00,96.684
2060.00,96.625
2090.00,96.565
2120.00,96.510
2140.00,96.479
2180.00,96.428
2200.00,96.406
2240.00,96.373
2270.00,96.359
2300.00,96.332
2330.00,96.257
2360.00,96.151
2400.00,96.019
2430.00,95.966
2470.00,96.014
2500.00,96.107
2540.00,96.235
2580.00,96.376
2620.00,96.553
2650.00,96.704
2690.00,96.921
2720.00,97.099
2760.00,97.356
2800.00,97.633
2850.00,97.995
2900.00,98.370
2950.00,98.741
3000.00,99.077
3040.00,99.371
3070.00,99.633
3110.00,100.020
3150.00,100.399
3200.00,100.816
3250.00,101.191
3300.00,101.538
3350.00,101.840
3400.00,102.050
3450.00,102.114
3500.00,101.993
3550.00,101.700
3600.00,101.293
