frequency,raw
20.00,75.87
20.30,76.00
20.60,76.26
20.90,76.58
21.20,76.87
21.40,77.04
21.80,77.31
22.00,77.44
22.40,77.71
22.70,77.94
23.00,78.20
23.30,78.45
23.60,78.68
24.00,78.94
24.30,79.11
24.70,79.32
25.00,79.49
25.40,79.72
25.80,79.95
26.20,80.16
26.50,80.31
26.90,80.49
27.20,80.64
27.60,80.87
28.00,81.12
28.50,81.45
29.00,81.72
29.50,81.95
30.00,82.16
30.40,82.36
30.70,82.51
31.10,82.70
31.50,82.85
32.00,82.97
32.50,83.07
33.00,83.26
33.50,83.52
34.00,83.73
34.50,83.83
35.00,83.88
35.50,84.03
36.00,84.35
36.50,84.67
37.00,84.82
37.50,84.83
38.20,85.00
38.70,85.28
39.50,85.81
40.00,86.00
40.60,86.18
41.20,86.41
41.80,86.65
42.50,86.85
43.10,87.02
43.70,87.23
44.40,87.42
45.00,87.54
45.50,87.68
46.20,87.95
46.80,88.14
47.50,88.30
48.20,88.52
48.70,88.71
49.40,88.93
50.00,89.02
50.80,89.18
51.50,89.38
52.20,89.59
53.00,89.79
53.80,89.91
54.50,89.97
55.20,90.05
56.00,90.21
57.00,90.37
58.00,90.44
59.00,90.59
60.00,90.55
60.80,90.47
61.50,90.55
62.20,90.63
63.00,90.64
64.00,90.69
65.00,90.64
66.00,90.76
67.00,90.91
68.00,90.95
69.00,91.10
70.00,91.27
71.00,91.46
72.00,91.66
73.00,91.87
74.00,91.97
75.00,92.14
76.20,92.31
77.50,92.38
78.80,92.40
80.00,92.57
81.20,92.50
82.50,92.51
83.80,92.60
85.00,92.61
86.20,92.77
87.50,92.79
88.50,93.01
90.00,93.19
91.20,93.29
92.50,93.47
93.80,93.61
95.00,93.74
96.20,93.88
97.50,93.97
98.80,94.07
100.00,94.18
101.50,94.27
103.00,94.44
104.40,94.49
106.00,94.63
107.50,94.71
109.00,94.77
110.60,94.82
112.00,94.88
113.80,94.97
115.00,95.02
117.20,95.09
118.00,95.12
120.60,95.20
122.00,95.23
124.10,95.28
125.00,95.31
126.50,95.29
128.00,95.32
131.50,95.25
132.00,95.20
134.00,95.02
136.00,94.85
138.00,94.75
140.00,94.90
143.00,95.06
145.00,95.23
147.50,95.28
150.00,95.34
152.50,95.40
155.00,95.38
157.50,95.50
160.00,95.46
162.50,95.53
165.00,95.55
167.50,95.56
170.00,95.66
172.50,95.59
175.00,95.60
177.50,95.62
180.00,95.64
182.50,95.69
185.00,95.65
187.50,95.68
190.00,95.64
192.50,95.62
195.00,95.60
197.50,95.59
200.00,95.63
203.00,95.58
206.00,95.53
209.00,95.54
212.00,95.51
214.00,95.49
218.00,95.45
220.00,95.45
224.00,95.44
227.00,95.42
230.00,95.43
233.00,95.42
236.00,95.43
240.00,95.41
243.00,95.43
247.00,95.44
250.00,95.42
254.00,95.40
258.00,95.40
262.00,95.40
265.00,95.41
269.00,95.42
272.00,95.36
276.00,95.40
280.00,95.35
285.00,95.29
290.00,95.21
295.00,95.21
300.00,95.13
304.00,95.11
307.00,95.05
311.00,95.00
315.00,95.06
320.00,95.17
325.00,95.22
330.00,95.23
335.00,95.26
340.00,95.25
345.00,95.24
350.00,95.15
355.00,95.12
360.00,95.02
365.00,94.93
370.00,94.85
375.00,94.80
382.00,94.77
387.00,94.74
395.00,94.71
400.00,94.62
406.00,94.57
412.00,94.54
418.00,94.50
425.00,94.42
431.00,94.37
437.00,94.31
444.00,94.24
450.00,94.17
455.00,94.16
462.00,94.15
468.00,94.12
475.00,94.10
482.00,94.04
487.00,94.04
494.00,94.00
500.00,93.99
508.00,93.98
515.00,93.88
522.00,93.92
530.00,93.92
538.00,93.91
545.00,93.91
552.00,93.90
560.00,93.87
570.00,93.87
580.00,93.86
590.00,93.87
600.00,93.86
608.00,93.84
615.00,93.85
622.00,93.86
630.00,93.86
640.00,93.87
650.00,93.89
660.00,93.87
670.00,93.93
680.00,93.92
690.00,93.95
700.00,94.00
710.00,94.02
720.00,94.06
730.00,94.09
740.00,94.13
750.00,94.17
762.00,94.22
775.00,94.27
788.00,94.35
800.00,94.41
812.00,94.50
825.00,94.58
838.00,94.67
850.00,94.77
862.00,94.86
875.00,94.97
885.00,95.04
900.00,95.14
912.00,95.23
925.00,95.32
938.00,95.38
950.00,95.45
962.00,95.46
975.00,95.47
988.00,95.55
1000.00,95.61
1015.00,95.71
1030.00,95.81
1044.00,95.87
1060.00,95.94
1075.00,95.99
1090.00,96.05
1106.00,96.11
1120.00,96.16
1138.00,96.21
1150.00,96.22
1172.00,96.20
1180.00,96.17
1206.00,96.03
1220.00,95.98
1241.00,95.97
1250.00,95.99
1265.00,96.06
1280.00,96.11
1315.00,96.27
1320.00,96.28
1340.00,96.37
1360.00,96.47
1380.00,96.56
1400.00,96.67
1430.00,96.84
1450.00,96.93
1475.00,97.06
1500.00,97.20
1525.00,97.34
1550.00,97.50
1575.00,97.64
1600.00,97.77
1625.00,97.91
1650.00,98.04
1675.00,98.17
1700.00,98.30
1725.00,98.45
1750.00,98.64
1775.00,98.84
1800.00,99.05
1825.00,99.30
1850.00,99.56
1875.00,99.77
1900.00,99.94
1925.00,100.12
1950.00,100.37
1975.00,100.66
2000.00,100.96
2030.00,101.28
2060.00,101.57
2090.00,101.85
2120.00,102.11
2140.00,102.27
2180.00,102.56
2200.00,102.70
2240.00,102.94
2270.00,103.10
2300.00,103.25
2330.00,103.37
2360.00,103.48
2400.00,103.59
2430.00,103.66
2470.00,103.74
2500.00,103.80
2540.00,103.87
2580.00,103.94
2620.00,103.99
2650.00,104.03
2690.00,104.08
2720.00,104.11
2760.00,104.16
2800.00,104.23
2850.00,104.32
2900.00,104.42
2950.00,104.52
3000.00,104.60
3040.00,104.67
3070.00,104.72
3110.00,104.80
3150.00,104.85
3200.00,104.89
3250.00,104.89
3300.00,104.91
3350.00,104.93
3400.00,104.90
3450.00,104.84
3500.00,104.75
3550.00,104.64
3600.00,104.53
3650.00,104.40
3700.00,104.28
3750.00,104.15
3820.00,103.97
3870.00,103.82
3950.00,103.42
4000.00,103.11
4060.00,102.42
4120.00,100.98
4180.00,98.85
4250.00,97.67
4310.00,97.83
4370.00,98.07
4440.00,98.18
4500.00,98.13
4550.00,98.05
4620.00,97.86
4680.00,97.69
4750.00,97.45
4820.00,97.21
4870.00,97.06
4940.00,96.87
5000.00,96.73
5080.00,96.66
5150.00,96.66
5220.00,96.67
5300.00,96.83
5380.00,96.92
5450.00,96.79
5520.00,96.52
5600.00,95.68
5700.00,94.27
5800.00,94.08
5900.00,94.54
6000.00,95.70
6080.00,96.58
6150.00,97.21
6220.00,97.53
6300.00,97.54
6400.00,97.25
6500.00,96.58
6600.00,95.68
6700.00,94.73
6800.00,94.00
6900.00,93.50
7000.00,93.36
7100.00,93.73
7200.00,94.40
7300.00,95.39
7400.00,96.53
7500.00,97.76
7620.00,99.15
7750.00,100.14
7880.00,101.47
8000.00,102.45
8120.00,102.84
8250.00,102.93
8380.00,102.77
8500.00,102.49
8620.00,102.07
8750.00,101.59
8850.00,101.38
9000.00,101.48
9120.00,101.62
9250.00,101.07
9380.00,99.58
9500.00,97.77
9620.00,95.92
9750.00,94.07
9880.00,92.53
10000.00,91.45
10150.00,90.58
10300.00,90.19
10440.00,90.11
10600.00,90.26
10750.00,90.49
10900.00,91.18
11060.00,92.75
11200.00,93.67
11380.00,93.65
11500.00,92.06
11720.00,88.45
11800.00,88.19
12060.00,90.88
12200.00,92.86
12410.00,93.99
12500.00,94.62
12650.00,95.73
12800.00,96.14
13150.00,96.02
13200.00,95.80
13400.00,94.06
13600.00,91.90
13800.00,90.13
14000.00,89.04
14300.00,89.07
14500.00,88.90
14750.00,86.42
15000.00,83.67
15250.00,81.95
15500.00,80.55
15750.00,79.43
16000.00,77.82
16250.00,76.96
16500.00,76.04
16750.00,74.44
17000.00,70.54
17250.00,68.72
17500.00,68.21
17750.00,68.14
18000.00,68.11
18250.00,68.60
18500.00,68.71
18750.00,68.07
19000.00,67.79
19250.00,67.03
19500.00,65.27
19750.00,61.81
