frequency,raw
20.29,78.684
20.65,79.137
21.02,79.558
21.38,79.959
21.75,80.356
22.12,80.763
22.48,81.177
22.85,81.588
23.22,81.975
23.58,82.326
23.95,82.643
24.31,82.936
24.68,83.221
25.05,83.510
25.41,83.810
25.78,84.115
26.14,84.421
26.51,84.717
26.88,85.000
27.24,85.270
27.61,85.529
27.98,85.773
28.34,86.006
28.71,86.226
29.07,86.434
29.44,86.634
29.81,86.829
30.17,87.020
30.54,87.210
30.91,87.396
31.27,87.578
31.64,87.754
32.00,87.924
32.37,88.090
32.74,88.251
33.10,88.405
33.47,88.554
33.84,88.698
34.20,88.837
34.57,88.972
34.93,89.108
35.30,89.243
35.67,89.380
36.03,89.514
36.40,89.648
36.76,89.776
37.13,89.901
37.50,90.023
37.86,90.141
38.23,90.255
38.60,90.365
38.96,90.472
39.33,90.575
39.69,90.674
40.06,90.770
40.43,90.864
40.79,90.955
41.16,91.047
41.53,91.138
41.89,91.230
42.26,91.320
42.62,91.410
42.99,91.495
43.36,91.574
43.72,91.649
44.09,91.719
44.46,91.785
44.82,91.846
45.19,91.904
45.55,91.957
45.92,92.006
46.29,92.052
46.65,92.099
47.02,92.148
47.39,92.203
47.75,92.267
48.12,92.340
48.48,92.419
48.85,92.505
49.22,92.595
49.58,92.686
49.95,92.776
50.31,92.864
50.68,92.945
51.05,93.018
51.41,93.083
51.78,93.139
52.15,93.185
52.51,93.224
52.88,93.252
53.24,93.273
53.61,93.286
53.98,93.291
54.34,93.287
54.71,93.275
55.08,93.254
55.44,93.224
55.81,93.186
56.17,93.141
56.54,93.089
56.91,93.031
57.27,92.969
57.64,92.906
58.01,92.843
58.37,92.782
58.74,92.727
59.10,92.679
59.47,92.641
59.84,92.612
60.20,92.594
60.57,92.588
60.93,92.594
61.30,92.611
61.67,92.641
62.03,92.681
62.40,92.733
62.77,92.793
63.13,92.862
63.50,92.937
63.86,93.018
64.23,93.102
64.60,93.190
64.96,93.278
65.33,93.367
65.70,93.456
66.06,93.543
66.43,93.630
66.79,93.716
67.16,93.799
67.53,93.882
67.89,93.964
68.26,94.044
68.63,94.125
68.99,94.205
69.36,94.286
69.72,94.367
70.09,94.449
70.46,94.533
70.82,94.618
71.19,94.703
71.55,94.790
71.92,94.876
72.29,94.963
72.65,95.050
73.02,95.136
73.39,95.222
73.75,95.306
74.12,95.389
74.48,95.470
74.85,95.549
75.22,95.626
75.58,95.701
75.95,95.774
76.32,95.845
76.68,95.912
77.05,95.978
77.41,96.041
77.78,96.102
78.15,96.160
78.51,96.216
78.88,96.270
79.25,96.323
79.61,96.374
79.98,96.423
80.34,96.472
80.71,96.519
81.08,96.566
81.44,96.612
81.81,96.656
82.18,96.701
82.54,96.744
82.91,96.787
83.27,96.828
83.64,96.870
84.01,96.910
84.37,96.949
84.74,96.987
85.10,97.024
85.47,97.060
85.84,97.095
86.20,97.129
86.57,97.161
86.94,97.192
87.30,97.222
87.67,97.251
88.03,97.279
88.40,97.306
88.77,97.332
89.13,97.356
89.50,97.380
89.87,97.404
90.23,97.426
90.60,97.447
90.96,97.468
91.33,97.487
91.70,97.507
92.06,97.525
92.43,97.543
92.80,97.560
93.16,97.577
93.53,97.593
93.89,97.608
94.26,97.623
94.63,97.637
94.99,97.651
95.36,97.665
95.72,97.678
96.09,97.690
96.46,97.702
96.82,97.713
97.19,97.724
97.56,97.735
97.92,97.745
98.29,97.755
98.65,97.763
99.02,97.772
99.39,97.780
99.75,97.787
100.12,97.795
100.49,97.802
100.85,97.807
101.22,97.812
101.58,97.817
101.95,97.822
102.32,97.826
102.68,97.829
103.05,97.832
103.42,97.835
103.78,97.837
104.15,97.839
104.51,97.841
104.88,97.843
105.25,97.845
105.61,97.846
105.98,97.848
106.34,97.850
106.71,97.852
107.08,97.853
107.44,97.855
107.81,97.857
108.18,97.858
108.54,97.860
108.91,97.862
109.27,97.864
109.64,97.865
110.01,97.867
110.37,97.868
110.74,97.868
111.11,97.868
111.47,97.868
111.84,97.868
112.20,97.866
112.57,97.864
112.94,97.862
113.30,97.858
113.67,97.854
114.04,97.850
114.40,97.844
114.77,97.838
115.13,97.832
115.50,97.825
115.87,97.816
116.23,97.808
116.60,97.799
116.97,97.791
117.33,97.781
117.70,97.772
118.06,97.761
118.43,97.751
118.80,97.741
119.16,97.730
119.53,97.719
119.89,97.708
120.26,97.697
120.63,97.684
120.99,97.672
121.36,97.660
121.73,97.647
122.09,97.633
122.46,97.620
122.82,97.606
123.19,97.591
123.56,97.577
123.92,97.562
124.29,97.546
124.66,97.530
125.02,97.514
125.39,97.498
125.75,97.481
126.12,97.463
126.49,97.445
126.85,97.427
127.22,97.407
127.59,97.388
127.95,97.369
128.32,97.348
128.68,97.327
129.05,97.305
129.42,97.282
129.78,97.260
130.15,97.236
130.51,97.212
130.88,97.187
131.25,97.162
131.61,97.136
131.98,97.109
132.35,97.082
132.71,97.054
133.08,97.026
133.44,96.997
133.81,96.968
134.18,96.939
134.54,96.909
134.91,96.879
135.28,96.848
135.64,96.817
136.01,96.787
136.37,96.755
136.74,96.725
137.11,96.695
137.47,96.664
137.84,96.634
138.21,96.604
138.57,96.575
138.94,96.546
