frequency,raw
20.00,92.558
20.30,92.816
20.60,93.154
20.90,93.499
21.20,93.763
21.40,93.856
21.80,93.816
22.00,93.698
22.40,93.380
22.70,93.218
23.00,93.209
23.30,93.341
23.60,93.532
24.00,93.715
24.30,93.738
24.70,93.638
25.00,93.547
25.40,93.526
25.80,93.649
26.20,93.846
26.50,93.997
26.90,94.169
27.20,94.279
27.60,94.423
28.00,94.554
28.50,94.616
29.00,94.512
29.50,94.335
30.00,94.275
30.40,94.363
30.70,94.455
31.10,94.527
31.50,94.507
32.00,94.406
32.50,94.365
33.00,94.492
33.50,94.697
34.00,94.842
34.50,94.872
35.00,94.834
35.50,94.826
36.00,94.875
36.50,94.954
37.00,95.002
37.50,94.994
38.20,95.079
38.70,95.260
39.50,95.464
40.00,95.462
40.60,95.457
41.20,95.529
41.80,95.591
42.50,95.565
43.10,95.547
43.70,95.576
44.40,95.615
45.00,95.682
45.50,95.788
46.20,95.902
46.80,95.888
47.50,95.863
48.20,95.915
48.70,95.940
49.40,95.937
50.00,95.971
50.80,96.028
51.50,95.999
52.20,96.003
53.00,96.101
53.80,96.080
54.50,96.056
55.20,96.170
56.00,96.256
57.00,96.197
58.00,96.274
59.00,96.287
60.00,96.355
60.80,96.504
61.50,96.516
62.20,96.464
63.00,96.503
64.00,96.557
65.00,96.533
66.00,96.639
67.00,96.644
68.00,96.610
69.00,96.660
70.00,96.586
71.00,96.564
72.00,96.623
73.00,96.584
74.00,96.614
75.00,96.656
76.20,96.514
77.50,96.498
78.80,96.415
80.00,96.366
81.20,96.363
82.50,96.281
83.80,96.369
85.00,96.345
86.20,96.363
87.50,96.432
88.50,96.386
90.00,96.441
91.20,96.460
92.50,96.477
93.80,96.553
95.00,96.536
96.20,96.542
97.50,96.565
98.80,96.524
100.00,96.532
101.50,96.511
103.00,96.448
104.40,96.464
106.00,96.447
107.50,96.468
109.00,96.483
110.60,96.454
112.00,96.475
113.80,96.447
115.00,96.464
117.20,96.521
118.00,96.524
120.60,96.630
122.00,96.646
124.10,96.728
125.00,96.747
126.50,96.748
128.00,96.786
131.50,96.808
132.00,96.823
134.00,96.859
136.00,96.865
138.00,96.892
140.00,96.867
143.00,96.839
145.00,96.772
147.50,96.706
150.00,96.612
152.50,96.538
155.00,96.439
157.50,96.362
160.00,96.278
162.50,96.212
165.00,96.146
167.50,96.075
170.00,96.017
172.50,95.934
175.00,95.876
177.50,95.796
180.00,95.725
182.50,95.648
185.00,95.555
187.50,95.486
190.00,95.406
192.50,95.335
195.00,95.278
197.50,95.206
200.00,95.149
203.00,95.079
206.00,94.995
209.00,94.926
212.00,94.838
214.00,94.782
218.00,94.683
220.00,94.626
224.00,94.523
227.00,94.449
230.00,94.360
233.00,94.272
236.00,94.177
240.00,94.024
243.00,93.911
247.00,93.741
250.00,93.596
254.00,93.415
258.00,93.226
262.00,93.032
265.00,92.896
269.00,92.713
272.00,92.578
276.00,92.414
280.00,92.265
285.00,92.090
290.00,91.929
295.00,91.778
300.00,91.636
304.00,91.517
307.00,91.418
311.00,91.279
315.00,91.143
320.00,90.984
325.00,90.825
330.00,90.669
335.00,90.540
340.00,90.455
345.00,90.409
350.00,90.382
355.00,90.361
360.00,90.340
365.00,90.310
370.00,90.266
375.00,90.208
382.00,90.098
387.00,90.005
395.00,89.843
400.00,89.743
406.00,89.624
412.00,89.509
418.00,89.404
425.00,89.305
431.00,89.247
437.00,89.213
444.00,89.194
450.00,89.189
455.00,89.192
462.00,89.205
468.00,89.219
475.00,89.237
482.00,89.261
487.00,89.282
494.00,89.320
500.00,89.359
508.00,89.414
515.00,89.455
522.00,89.485
530.00,89.507
538.00,89.519
545.00,89.523
552.00,89.524
560.00,89.522
570.00,89.517
580.00,89.513
590.00,89.516
600.00,89.532
608.00,89.554
615.00,89.579
622.00,89.607
630.00,89.642
640.00,89.686
650.00,89.728
660.00,89.768
670.00,89.806
680.00,89.843
690.00,89.883
700.00,89.926
710.00,89.972
720.00,90.019
730.00,90.069
740.00,90.122
750.00,90.175
762.00,90.242
775.00,90.318
788.00,90.393
800.00,90.458
812.00,90.517
825.00,90.575
838.00,90.627
850.00,90.672
862.00,90.714
875.00,90.760
885.00,90.796
900.00,90.853
912.00,90.900
925.00,90.955
938.00,91.014
950.00,91.073
962.00,91.134
975.00,91.202
988.00,91.267
1000.00,91.329
1015.00,91.416
1030.00,91.520
1044.00,91.623
1060.00,91.742
1075.00,91.852
1090.00,91.959
1106.00,92.069
1120.00,92.164
1138.00,92.280
1150.00,92.348
1172.00,92.432
1180.00,92.444
1206.00,92.410
1220.00,92.356
1241.00,92.266
1250.00,92.239
1265.00,92.232
1280.00,92.281
1315.00,92.539
1320.00,92.584
1340.00,92.765
1360.00,92.938
1380.00,93.096
1400.00,93.240
1430.00,93.438
1450.00,93.562
1475.00,93.713
1500.00,93.865
1525.00,94.022
1550.00,94.186
1575.00,94.359
1600.00,94.536
1625.00,94.715
1650.00,94.894
1675.00,95.074
1700.00,95.255
1725.00,95.439
1750.00,95.628
1775.00,95.824
1800.00,96.030
1825.00,96.243
1850.00,96.457
1875.00,96.662
1900.00,96.851
1925.00,97.028
1950.00,97.197
1975.00,97.364
2000.00,97.530
2030.00,97.734
2060.00,97.942
2090.00,98.144
2120.00,98.330
2140.00,98.444
2180.00,98.651
2200.00,98.755
2240.00,98.983
2270.00,99.188
2300.00,99.424
2330.00,99.681
2360.00,99.933
2400.00,100.231
2430.00,100.412
2470.00,100.600
2500.00,100.706
2540.00,100.812
2580.00,100.889
2620.00,100.949
2650.00,100.991
2690.00,101.048
2720.00,101.092
2760.00,101.151
2800.00,101.205
2850.00,101.251
2900.00,101.261
2950.00,101.234
3000.00,101.176
3040.00,101.113
3070.00,101.056
3110.00,100.965
3150.00,100.862
3200.00,100.736
3250.00,100.623
3300.00,100.502
3350.00,100.357
3400.00,100.184
3450.00,99.988
3500.00,99.771
3550.00,99.539
3600.00,99.298
3650.00,99.055
3700.00,98.813
3750.00,98.577
3820.00,98.266
3870.00,98.058
3950.00,97.656
4000.00,97.175
4060.00,96.102
4120.00,94.612
4180.00,93.007
4250.00,91.565
4310.00,91.223
4370.00,91.460
4440.00,91.801
4500.00,91.972
4550.00,92.048
4620.00,92.107
4680.00,92.121
4750.00,92.066
4820.00,91.946
4870.00,91.830
4940.00,91.628
5000.00,91.432
5080.00,91.178
5150.00,91.021
5220.00,90.971
5300.00,91.000
5380.00,90.982
5450.00,90.804
5520.00,90.417
5600.00,89.705
5700.00,88.516
5800.00,87.533
5900.00,87.425
6000.00,88.004
6080.00,88.796
6150.00,89.589
6220.00,90.337
6300.00,91.025
6400.00,91.585
6500.00,91.886
6600.00,91.965
6700.00,91.840
6800.00,91.578
6900.00,91.341
7000.00,91.298
7100.00,91.532
7200.00,92.127
7300.00,93.111
7400.00,94.397
7500.00,95.845
7620.00,97.600
7750.00,99.250
7880.00,100.529
8000.00,101.432
8120.00,102.069
8250.00,102.563
8380.00,102.960
8500.00,103.168
8620.00,103.039
8750.00,102.366
8850.00,101.483
9000.00,99.771
9120.00,98.260
9250.00,96.615
9380.00,95.006
9500.00,93.534
9620.00,92.031
9750.00,90.308
9880.00,88.507
10000.00,87.103
10150.00,86.115
10300.00,85.582
10440.00,85.927
10600.00,87.553
10750.00,88.765
10900.00,89.517
11060.00,89.930
11200.00,90.045
11380.00,89.894
11500.00,89.602
11720.00,88.675
11800.00,88.234
12060.00,86.573
12200.00,85.378
12410.00,82.635
12500.00,81.118
12650.00,78.780
12800.00,78.479
13150.00,83.004
13200.00,83.450
13400.00,84.042
13600.00,82.793
13800.00,80.733
14000.00,78.706
14300.00,76.349
14500.00,75.254
14750.00,73.288
15000.00,70.211
15250.00,67.380
15500.00,67.859
15750.00,70.680
16000.00,73.477
16250.00,75.432
16500.00,76.120
16750.00,75.485
17000.00,74.135
17250.00,72.992
17500.00,72.341
17750.00,71.968
18000.00,71.731
18250.00,71.471
18500.00,70.970
18750.00,70.069
19000.00,68.867
19250.00,67.440
19500.00,65.645
19750.00,63.419
20000.00,60.974
