frequency,raw
2.95,85.843
2.97,85.863
2.99,85.890
3.02,85.925
3.04,85.963
3.06,86.001
3.08,86.040
3.10,86.078
3.13,86.117
3.15,86.155
3.17,86.193
3.20,86.231
3.22,86.271
3.24,86.309
3.27,86.349
3.29,86.388
3.31,86.428
3.34,86.469
3.36,86.509
3.39,86.549
3.41,86.589
3.43,86.630
3.46,86.670
3.48,86.710
3.51,86.751
3.54,86.792
3.56,86.834
3.59,86.874
3.61,86.916
3.64,86.957
3.67,86.999
3.69,87.040
3.72,87.082
3.75,87.122
3.77,87.164
3.80,87.206
3.83,87.248
3.86,87.289
3.88,87.331
3.91,87.373
3.94,87.414
3.97,87.456
4.00,87.497
4.03,87.538
4.06,87.581
4.08,87.623
4.11,87.664
4.14,87.705
4.17,87.746
4.20,87.787
4.23,87.828
4.27,87.869
4.30,87.910
4.33,87.951
4.36,87.991
4.39,88.031
4.42,88.071
4.45,88.111
4.49,88.150
4.52,88.189
4.55,88.228
4.59,88.267
4.62,88.305
4.65,88.343
4.69,88.380
4.72,88.417
4.75,88.453
4.79,88.490
4.82,88.525
4.86,88.560
4.89,88.595
4.93,88.630
4.96,88.663
5.00,88.696
5.04,88.728
5.07,88.760
5.11,88.791
5.15,88.821
5.18,88.850
5.22,88.880
5.26,88.907
5.30,88.934
5.34,88.960
5.37,88.986
5.41,89.010
5.45,89.034
5.49,89.056
5.53,89.077
5.57,89.097
5.61,89.116
5.65,89.133
5.69,89.150
5.74,89.166
5.78,89.178
5.82,89.191
5.86,89.202
5.90,89.213
5.95,89.224
5.99,89.233
6.03,89.243
6.08,89.252
6.12,89.262
6.16,89.270
6.21,89.280
6.25,89.288
6.30,89.297
6.35,89.305
6.39,89.313
6.44,89.320
6.48,89.328
6.53,89.335
6.58,89.342
6.63,89.349
6.67,89.356
6.72,89.362
6.77,89.368
6.82,89.373
6.87,89.379
6.92,89.383
6.97,89.388
7.02,89.393
7.07,89.397
7.12,89.400
7.17,89.404
7.23,89.407
7.28,89.410
7.33,89.412
7.38,89.414
7.44,89.416
7.49,89.417
7.55,89.418
7.60,89.418
