frequency,raw
20.00,98.684
20.30,98.764
20.60,98.840
20.90,98.916
21.20,98.989
21.40,99.037
21.80,99.130
22.00,99.175
22.40,99.264
22.70,99.329
23.00,99.392
23.30,99.453
23.60,99.511
24.00,99.586
24.30,99.638
24.70,99.701
25.00,99.746
25.40,99.803
25.80,99.856
26.20,99.906
26.50,99.942
26.90,99.987
27.20,100.017
27.60,100.056
28.00,100.095
28.50,100.141
29.00,100.186
29.50,100.230
30.00,100.272
30.40,100.306
30.70,100.331
31.10,100.363
31.50,100.395
32.00,100.434
32.50,100.469
33.00,100.501
33.50,100.531
34.00,100.559
34.50,100.587
35.00,100.613
35.50,100.638
36.00,100.660
36.50,100.684
37.00,100.707
37.50,100.728
38.20,100.754
38.70,100.768
39.50,100.791
40.00,100.805
40.60,100.825
41.20,100.847
41.80,100.871
42.50,100.898
43.10,100.916
43.70,100.926
44.40,100.929
45.00,100.927
45.50,100.921
46.20,100.906
46.80,100.888
47.50,100.864
48.20,100.832
48.70,100.803
49.40,100.753
50.00,100.706
50.80,100.648
51.50,100.607
52.20,100.577
53.00,100.547
53.80,100.522
54.50,100.501
55.20,100.483
56.00,100.470
57.00,100.471
58.00,100.492
59.00,100.514
60.00,100.529
60.80,100.536
61.50,100.546
62.20,100.561
63.00,100.590
64.00,100.639
65.00,100.704
66.00,100.785
67.00,100.876
68.00,100.977
69.00,101.085
70.00,101.202
71.00,101.325
72.00,101.448
73.00,101.565
74.00,101.677
75.00,101.786
76.20,101.918
77.50,102.063
78.80,102.204
80.00,102.329
81.20,102.450
82.50,102.573
83.80,102.684
85.00,102.775
86.20,102.856
87.50,102.930
88.50,102.981
90.00,103.043
91.20,103.085
92.50,103.125
93.80,103.159
95.00,103.184
96.20,103.204
97.50,103.219
98.80,103.229
100.00,103.233
101.50,103.234
103.00,103.231
104.40,103.225
106.00,103.215
107.50,103.200
109.00,103.181
110.60,103.159
112.00,103.136
113.80,103.103
115.00,103.078
117.20,103.026
118.00,103.006
120.60,102.935
122.00,102.895
124.10,102.832
125.00,102.803
126.50,102.756
128.00,102.709
131.50,102.591
132.00,102.574
134.00,102.505
136.00,102.429
138.00,102.346
140.00,102.265
143.00,102.161
145.00,102.095
147.50,102.010
150.00,101.921
152.50,101.828
155.00,101.733
157.50,101.634
160.00,101.534
162.50,101.435
165.00,101.334
167.50,101.230
170.00,101.126
172.50,101.025
175.00,100.930
177.50,100.838
180.00,100.745
182.50,100.648
185.00,100.547
187.50,100.442
190.00,100.331
192.50,100.216
195.00,100.101
197.50,99.985
200.00,99.872
203.00,99.733
206.00,99.576
209.00,99.389
212.00,99.162
214.00,99.001
218.00,98.752
220.00,98.697
224.00,98.644
227.00,98.578
230.00,98.475
233.00,98.355
236.00,98.227
240.00,98.049
243.00,97.911
247.00,97.724
250.00,97.583
254.00,97.392
258.00,97.196
262.00,96.999
265.00,96.849
269.00,96.648
272.00,96.496
276.00,96.301
280.00,96.109
285.00,95.861
290.00,95.603
295.00,95.356
300.00,95.129
304.00,94.957
307.00,94.832
311.00,94.671
315.00,94.517
320.00,94.339
325.00,94.179
330.00,94.029
335.00,93.891
340.00,93.798
345.00,93.816
350.00,93.971
355.00,94.208
360.00,94.424
365.00,94.560
370.00,94.618
375.00,94.629
382.00,94.612
387.00,94.594
395.00,94.572
400.00,94.566
406.00,94.561
412.00,94.550
418.00,94.536
425.00,94.525
431.00,94.527
437.00,94.543
444.00,94.582
450.00,94.619
455.00,94.649
462.00,94.692
468.00,94.737
475.00,94.805
482.00,94.882
487.00,94.934
494.00,95.005
500.00,95.072
508.00,95.155
