frequency,raw
20.00,99.078
20.30,99.160
20.60,99.240
20.90,99.317
21.20,99.393
21.40,99.441
21.80,99.535
22.00,99.582
22.40,99.669
22.70,99.733
23.00,99.793
23.30,99.852
23.60,99.907
24.00,99.978
24.30,100.027
24.70,100.087
25.00,100.129
25.40,100.183
25.80,100.233
26.20,100.281
26.50,100.316
26.90,100.359
27.20,100.390
27.60,100.429
28.00,100.465
28.50,100.509
29.00,100.552
29.50,100.596
30.00,100.643
30.40,100.683
30.70,100.714
31.10,100.756
31.50,100.796
32.00,100.846
32.50,100.893
33.00,100.938
33.50,100.981
34.00,101.021
34.50,101.059
35.00,101.093
35.50,101.120
36.00,101.142
36.50,101.160
37.00,101.175
37.50,101.188
38.20,101.197
38.70,101.198
39.50,101.199
40.00,101.202
40.60,101.214
41.20,101.230
41.80,101.249
42.50,101.273
43.10,101.295
43.70,101.317
44.40,101.344
45.00,101.366
45.50,101.384
46.20,101.408
46.80,101.429
47.50,101.451
48.20,101.457
48.70,101.445
49.40,101.400
50.00,101.351
50.80,101.291
51.50,101.256
52.20,101.237
53.00,101.220
53.80,101.194
54.50,101.160
55.20,101.121
56.00,101.076
57.00,101.026
58.00,100.983
59.00,100.950
60.00,100.939
60.80,100.945
61.50,100.951
62.20,100.955
63.00,100.958
64.00,100.960
65.00,100.959
66.00,100.956
67.00,100.971
68.00,101.028
69.00,101.119
70.00,101.226
71.00,101.340
72.00,101.452
73.00,101.547
74.00,101.621
75.00,101.698
76.20,101.821
77.50,101.976
78.80,102.118
80.00,102.236
81.20,102.350
82.50,102.472
83.80,102.591
85.00,102.698
86.20,102.798
87.50,102.898
88.50,102.970
90.00,103.067
91.20,103.136
92.50,103.203
93.80,103.263
95.00,103.312
96.20,103.355
97.50,103.394
98.80,103.424
100.00,103.444
101.50,103.460
103.00,103.469
104.40,103.473
106.00,103.476
107.50,103.477
109.00,103.468
110.60,103.448
112.00,103.427
113.80,103.398
115.00,103.376
117.20,103.328
118.00,103.309
120.60,103.251
122.00,103.221
124.10,103.170
125.00,103.145
126.50,103.102
128.00,103.056
131.50,102.951
132.00,102.934
134.00,102.871
136.00,102.803
138.00,102.730
140.00,102.643
143.00,102.511
145.00,102.458
147.50,102.392
150.00,102.301
152.50,102.207
155.00,102.113
157.50,102.013
160.00,101.910
162.50,101.805
165.00,101.695
167.50,101.579
170.00,101.466
172.50,101.357
175.00,101.247
177.50,101.138
180.00,101.040
182.50,100.948
185.00,100.857
187.50,100.763
190.00,100.666
192.50,100.564
195.00,100.457
197.50,100.350
200.00,100.243
203.00,100.114
206.00,99.976
209.00,99.823
212.00,99.660
214.00,99.542
218.00,99.279
220.00,99.137
224.00,98.892
227.00,98.778
230.00,98.701
233.00,98.619
236.00,98.514
240.00,98.346
243.00,98.215
247.00,98.041
250.00,97.916
254.00,97.757
258.00,97.585
262.00,97.400
265.00,97.262
269.00,97.084
272.00,96.954
276.00,96.785
280.00,96.612
285.00,96.385
290.00,96.154
295.00,95.937
300.00,95.720
304.00,95.540
307.00,95.407
311.00,95.232
315.00,95.058
320.00,94.843
325.00,94.634
330.00,94.438
335.00,94.263
