frequency,raw
1.36,51.211
1.38,51.581
1.40,51.978
1.43,52.564
1.45,52.944
1.48,53.402
1.50,53.844
1.52,54.298
1.55,54.776
1.57,55.261
1.60,55.739
1.62,56.194
1.65,56.606
1.68,56.955
1.70,57.227
1.73,57.406
1.75,57.475
1.77,57.371
1.80,57.085
1.82,56.663
1.85,56.150
1.88,55.599
1.90,55.056
1.93,54.573
1.95,54.192
1.98,53.968
2.00,53.946
2.03,54.199
2.06,54.688
2.09,55.356
2.12,56.136
2.14,56.692
2.18,57.799
2.20,58.318
2.24,59.192
2.27,59.678
2.30,60.127
2.33,60.542
2.36,60.917
2.40,61.345
2.43,61.599
2.47,61.841
2.50,61.941
2.54,61.826
2.58,61.424
2.62,60.904
2.65,60.537
2.69,60.207
2.72,60.172
2.76,60.550
2.80,61.594
2.85,63.547
2.90,65.695
2.95,67.469
3.00,68.313
3.04,68.019
3.07,67.331
3.11,66.032
3.15,64.584
3.20,63.028
3.25,62.314
3.30,62.663
3.35,63.674
3.40,65.020
3.45,66.371
3.50,67.401
3.55,68.097
3.60,68.675
3.65,69.158
3.70,69.566
3.75,69.918
3.82,70.316
3.87,70.516
3.95,70.697
4.00,70.726
4.06,70.505
4.12,70.062
4.18,69.725
4.25,69.897
4.31,70.923
4.37,72.532
4.44,74.369
4.50,75.249
4.55,75.206
4.62,74.385
4.68,73.469
4.75,72.796
4.82,72.764
4.87,72.928
4.94,73.279
5.00,73.565
5.08,73.924
5.15,74.280
5.22,74.641
5.30,75.041
5.38,75.458
5.45,75.793
5.52,76.056
5.60,76.279
5.70,76.460
5.80,76.525
5.90,76.448
6.00,76.404
6.08,76.478
6.15,76.583
6.22,76.685
6.30,76.767
6.40,76.834
6.50,76.911
6.60,77.428
6.70,78.052
6.80,78.359
6.90,78.375
7.00,78.360
7.10,78.422
7.20,78.495
7.30,78.557
7.40,78.593
7.50,78.731
7.62,79.210
7.75,79.725
7.88,79.791
8.00,79.809
8.12,80.090
8.25,80.387
8.38,80.373
8.50,80.376
8.62,80.686
8.75,81.037
8.85,81.091
9.00,81.102
9.12,81.285
9.25,81.498
9.38,81.600
9.50,81.661
9.62,81.716
9.75,81.774
9.88,81.971
10.00,82.156
10.15,82.260
10.30,82.390
10.44,82.593
10.60,82.757
10.75,82.865
10.90,82.979
11.06,83.138
11.20,83.319
11.38,83.505
11.50,83.614
11.72,83.834
11.80,83.892
12.06,84.056
12.20,84.215
12.41,84.381
12.50,84.447
12.65,84.582
12.80,84.709
13.15,84.941
13.20,84.971
13.40,85.094
13.60,85.247
13.80,85.391
14.00,85.450
14.30,85.718
14.50,85.906
14.75,86.023
15.00,86.201
15.25,86.338
15.50,86.450
15.75,86.572
16.00,86.706
16.25,86.859
16.50,87.022
16.75,87.163
17.00,87.263
17.25,87.371
17.50,87.492
17.75,87.650
18.00,87.850
18.25,87.969
18.50,88.023
18.75,88.112
19.00,88.215
19.25,88.312
19.50,88.407
19.75,88.499
20.00,88.583
20.30,88.697
20.60,88.822
20.90,88.953
21.20,89.073
21.40,89.154
21.80,89.333
22.00,89.414
22.40,89.588
22.70,89.710
23.00,89.803
23.30,89.883
23.60,89.971
24.00,90.116
24.30,90.216
24.70,90.319
25.00,90.401
25.40,90.513
25.80,90.624
26.20,90.754
26.50,90.853
26.90,90.944
27.20,90.992
27.60,91.066
28.00,91.174
28.50,91.311
29.00,91.444
29.50,91.573
30.00,91.670
30.40,91.758
30.70,91.839
31.10,91.950
31.50,92.037
32.00,92.104
32.50,92.197
33.00,92.272
33.50,92.333
34.00,92.393
34.50,92.459
35.00,92.538
35.50,92.590
36.00,92.629
36.50,92.662
37.00,92.684
37.50,92.712
38.20,92.724
38.70,92.694
39.50,92.667
40.00,92.662
40.60,92.660
41.20,92.720
41.80,92.828
42.50,92.952
43.10,93.070
43.70,93.207
44.40,93.344
45.00,93.467
45.50,93.592
46.20,93.781
46.80,93.920
47.50,94.055
48.20,94.207
48.70,94.303
49.40,94.321
50.00,94.325
50.80,94.449
51.50,94.464
52.20,94.386
53.00,94.275
53.80,94.150
54.50,94.041
55.20,93.986
56.00,94.038
57.00,94.191
58.00,94.278
59.00,94.231
60.00,94.062
60.80,93.882
61.50,93.719
62.20,93.545
63.00,93.338
64.00,93.132
65.00,93.040
66.00,93.049
67.00,93.058
68.00,92.970
69.00,92.781
70.00,92.538
71.00,92.333
72.00,92.220
73.00,92.172
74.00,92.195
75.00,92.309
76.20,92.529
77.50,92.775
78.80,93.023
80.00,93.266
81.20,93.513
82.50,93.763
83.80,94.000
85.00,94.192
86.20,94.376
87.50,94.589
88.50,94.741
