frequency,raw
20,84.263
20.3,84.262
20.6,84.244
20.9,84.222
21.2,84.204
21.4,84.195
21.8,84.183
22,84.175
22.4,84.151
22.7,84.118
23,84.069
23.3,84.007
23.6,83.939
24,83.851
24.3,83.796
24.7,83.745
25,83.719
25.4,83.690
25.8,83.654
26.2,83.604
26.5,83.561
26.9,83.501
27.2,83.460
27.6,83.412
28,83.369
28.5,83.316
29,83.261
29.5,83.206
30,83.150
30.4,83.103
30.7,83.066
31.1,83.010
31.5,82.952
32,82.881
32.5,82.820
33,82.763
33.5,82.706
34,82.642
34.5,82.574
35,82.508
35.5,82.445
36,82.380
36.5,82.316
37,82.261
37.5,82.218
38.2,82.168
38.7,82.131
39.5,82.067
40,82.034
40.6,82.001
41.2,81.972
41.8,81.941
42.5,81.901
43.1,81.857
43.7,81.805
44.4,81.752
45,81.714
45.5,81.678
46.2,81.620
46.8,81.581
47.5,81.559
48.2,81.541
48.7,81.518
49.4,81.472
50,81.427
50.8,81.351
51.5,81.268
52.2,81.176
53,81.069
53.8,80.965
54.5,80.875
55.2,80.789
56,80.692
57,80.558
58,80.419
59,80.301
60,80.200
60.8,80.130
61.5,80.079
62.2,80.030
63,79.971
64,79.897
65,79.832
66,79.779
67,79.742
68,79.725
69,79.723
70,79.727
71,79.739
72,79.761
73,79.786
74,79.815
75,79.847
76.2,79.898
77.5,79.962
78.8,80.024
80,80.078
81.2,80.129
82.5,80.186
83.8,80.240
85,80.281
86.2,80.310
87.5,80.340
88.5,80.362
90,80.387
91.2,80.398
92.5,80.401
93.8,80.395
95,80.380
96.2,80.362
97.5,80.342
98.8,80.321
100,80.304
101.5,80.279
103,80.245
104.4,80.208
106,80.160
107.5,80.120
109,80.085
110.6,80.045
112,80.006
113.8,79.948
115,79.905
117.2,79.834
118,79.809
120.6,79.718
122,79.664
124.1,79.586
125,79.551
126.5,79.490
128,79.428
131.5,79.277
132,79.255
134,79.170
136,79.082
138,78.993
140,78.904
143,78.773
145,78.681
147.5,78.565
150,78.443
152.5,78.321
155,78.202
157.5,78.090
160,77.977
162.5,77.861
165,77.743
167.5,77.628
170,77.517
172.5,77.409
175,77.303
177.5,77.198
180,77.098
182.5,76.999
185,76.902
187.5,76.807
190,76.714
192.5,76.621
195,76.523
197.5,76.420
200,76.306
203,76.148
206,75.972
209,75.822
212,75.749
214,75.748
218,75.786
220,75.797
224,75.776
227,75.732
230,75.674
233,75.606
236,75.536
240,75.457
243,75.415
247,75.374
250,75.343
254,75.294
258,75.237
262,75.175
265,75.129
269,75.065
272,75.016
276,74.951
280,74.893
285,74.831
290,74.772
295,74.710
300,74.648
304,74.606
307,74.581
311,74.553
315,74.524
320,74.484
325,74.443
330,74.400
335,74.359
340,74.320
345,74.284
350,74.248
355,74.213
360,74.180
365,74.151
370,74.124
375,74.102
382,74.072
387,74.048
395,74.011
400,73.991
406,73.970
412,73.953
418,73.934
425,73.912
431,73.891
437,73.871
444,73.853
450,73.848
455,73.855
462,73.887
468,73.934
475,74.000
482,74.061
487,74.098
494,74.140
500,74.172
508,74.212
515,74.244
522,74.269
530,74.295
538,74.317
545,74.334
552,74.352
560,74.374
570,74.402
580,74.438
590,74.485
600,74.550
608,74.617
615,74.684
622,74.752
630,74.823
640,74.885
650,74.873
660,74.732
670,74.466
680,74.185
690,73.989
700,73.887
710,73.841
720,73.820
730,73.806
740,73.787
750,73.756
762,73.706
775,73.644
788,73.593
800,73.565
812,73.558
825,73.576
838,73.636
850,73.740
862,73.892
875,74.098
885,74.278
900,74.571
912,74.817
925,75.091
938,75.366
950,75.616
962,75.850
975,76.073
988,76.250
1000,76.372
1015,76.478
1030,76.552
1044,76.606
1060,76.658
1075,76.700
1090,76.737
1106,76.773
1120,76.796
1138,76.810
1150,76.810
1172,76.809
1180,76.817
1206,76.892
1220,76.950
1241,77.027
1250,77.050
1265,77.072
1280,77.076
1315,77.042
1320,77.037
1340,77.032
1360,77.065
1380,77.147
1400,77.273
1430,77.545
1450,77.779
1475,78.118
1500,78.487
1525,78.870
1550,79.251
1575,79.623
1600,79.972
1625,80.279
1650,80.540
1675,80.779
1700,81.035
1725,81.326
1750,81.635
1775,81.927
1800,82.193
1825,82.446
1850,82.692
1875,82.912
1900,83.075
1925,83.169
1950,83.207
1975,83.206
2000,83.184
2030,83.138
2060,83.060
2090,82.929
2120,82.755
2140,82.633
2180,82.436
2200,82.374
2240,82.316
2270,82.326
2300,82.389
2330,82.513
2360,82.688
2400,82.958
2430,83.156
2470,83.379
2500,83.509
2540,83.640
2580,83.734
2620,83.802
2650,83.846
2690,83.903
2720,83.946
2760,83.992
2800,84.000
2850,83.927
2900,83.770
2950,83.547
3000,83.274
3040,83.038
3070,82.856
3110,82.605
3150,82.337
3200,81.972
3250,81.587
3300,81.206
3350,80.847
3400,80.516
3450,80.201
3500,79.882
3550,79.544
3600,79.192
3650,78.843
3700,78.508
3750,78.207
3820,77.888
3870,77.738
3950,77.596
4000,77.557
4060,77.548
4120,77.568
4180,77.610
4250,77.684
4310,77.772
4370,77.886
4440,78.052
4500,78.217
4550,78.367
4620,78.608
4680,78.873
4750,79.230
4820,79.570
4870,79.795
4940,80.153
5000,80.553
5080,81.177
5150,81.666
5220,81.972
5300,82.022
5380,81.780
5450,81.398
5520,80.922
5600,80.308
5700,79.449
5800,78.495
5900,77.410
6000,76.122
6080,74.990
6150,73.953
6220,72.830
6300,71.361
6400,69.218
6500,67.335
6600,67.547
6700,69.180
6800,71.064
6900,73.075
7000,75.034
7100,76.630
7200,77.784
7300,78.617
7400,79.275
7500,79.831
7620,80.341
7750,80.595
7880,80.472
8000,80.123
8120,79.782
8250,79.713
8380,79.989
8500,80.272
8620,80.278
8750,79.859
8850,79.352
9000,78.646
9120,78.204
9250,77.631
9380,76.713
9500,75.490
9620,74.020
9750,72.535
9880,71.836
10000,72.106
10150,72.868
10300,73.303
10440,73.343
10600,73.119
10750,72.623
10900,71.749
11060,70.480
11200,69.296
11380,67.860
11500,66.952
11720,66.085
11800,66.413
12060,68.526
12200,68.886
12410,68.290
12500,67.852
12650,67.124
12800,66.428
13150,64.404
13200,64.111
13400,63.535
13600,64.617
13800,66.863
14000,69.005
14300,71.077
14500,71.737
14750,71.990
15000,72.587
15250,74.161
15500,75.727
15750,76.578
16000,76.797
16250,76.722
16500,76.483
16750,75.809
