frequency,raw
20,103.296
20.3,103.270
20.6,103.287
20.9,103.296
21.2,103.303
21.4,103.305
21.8,103.308
22,103.307
22.4,103.306
22.7,103.306
23,103.308
23.3,103.313
23.6,103.323
24,103.337
24.3,103.350
24.7,103.362
25,103.360
25.4,103.344
25.8,103.320
26.2,103.296
26.5,103.279
26.9,103.263
27.2,103.251
27.6,103.236
28,103.222
28.5,103.215
29,103.213
29.5,103.202
30,103.173
30.4,103.136
30.7,103.108
31.1,103.072
31.5,103.038
32,102.997
32.5,102.959
33,102.924
33.5,102.895
34,102.858
34.5,102.809
35,102.757
35.5,102.705
36,102.649
36.5,102.589
37,102.536
37.5,102.505
38.2,102.479
38.7,102.433
39.5,102.319
40,102.263
40.6,102.222
41.2,102.168
41.8,102.093
42.5,102.019
43.1,101.975
43.7,101.916
44.4,101.827
45,101.767
45.5,101.728
46.2,101.657
46.8,101.582
47.5,101.491
48.2,101.389
48.7,101.313
49.4,101.245
50,101.213
50.8,101.115
51.5,100.964
52.2,100.839
53,100.733
53.8,100.600
54.5,100.475
55.2,100.368
56,100.250
57,100.081
58,99.899
59,99.745
60,99.566
60.8,99.416
61.5,99.316
62.2,99.221
63,99.103
64,98.968
65,98.826
66,98.703
67,98.603
68,98.492
69,98.410
70,98.352
71,98.284
72,98.218
73,98.212
74,98.197
75,98.166
76.2,98.166
77.5,98.178
78.8,98.207
80,98.237
81.2,98.270
82.5,98.280
83.8,98.344
85,98.396
86.2,98.461
87.5,98.496
88.5,98.538
90,98.614
91.2,98.660
92.5,98.724
93.8,98.760
95,98.800
96.2,98.837
97.5,98.876
98.8,98.899
100,98.912
101.5,98.948
103,98.963
104.4,98.983
106,98.998
107.5,98.993
109,98.966
110.6,98.964
112,98.896
113.8,98.889
115,98.865
117.2,98.827
118,98.797
120.6,98.677
122,98.622
124.1,98.517
125,98.498
126.5,98.435
128,98.394
131.5,98.210
132,98.180
134,98.119
136,98.017
138,97.964
140,97.885
143,97.746
145,97.632
147.5,97.519
150,97.433
152.5,97.293
155,97.166
157.5,97.049
160,96.916
162.5,96.780
165,96.633
167.5,96.474
170,96.367
172.5,96.219
175,96.107
177.5,95.983
180,95.754
182.5,95.531
185,95.513
187.5,95.583
190,95.621
192.5,95.585
195,95.516
197.5,95.466
200,95.392
203,95.367
206,95.262
209,95.178
212,95.098
214,95.059
218,94.976
220,94.895
224,94.754
227,94.751
230,94.634
233,94.562
236,94.542
240,94.429
243,94.381
247,94.328
250,94.250
254,94.167
258,94.083
262,94.048
265,93.974
269,93.907
272,93.857
276,93.780
280,93.736
285,93.657
290,93.568
295,93.504
300,93.439
304,93.425
307,93.379
311,93.316
315,93.256
320,93.084
325,93.047
330,92.939
335,92.871
340,93.047
345,93.167
350,93.136
355,93.105
360,93.094
365,93.077
370,93.023
375,92.954
382,93.036
387,93.001
395,92.978
400,92.964
406,92.953
412,92.965
418,92.963
425,92.905
431,92.934
437,92.933
444,92.930
450,92.950
455,92.957
462,92.915
468,92.936
475,92.944
482,92.935
487,92.957
494,92.982
