frequency,raw
10,91.563
10.15,91.632
10.3,91.699
10.44,91.759
10.6,91.825
10.75,91.885
10.9,91.942
11.06,92.001
11.2,92.049
11.38,92.109
11.5,92.146
11.72,92.211
11.8,92.233
12.06,92.301
12.2,92.335
12.41,92.382
12.5,92.401
12.65,92.432
12.8,92.462
13.15,92.526
13.2,92.534
13.4,92.567
13.6,92.599
13.8,92.628
14,92.656
14.3,92.694
14.5,92.718
14.75,92.745
15,92.769
15.25,92.792
15.5,92.812
15.75,92.830
16,92.846
16.25,92.860
16.5,92.872
16.75,92.883
17,92.892
17.25,92.900
17.5,92.906
17.75,92.911
18,92.915
18.25,92.917
18.5,92.919
18.75,92.920
19,92.920
19.25,92.921
19.5,92.922
19.75,92.922
20,92.923
20.3,92.922
20.6,92.919
20.9,92.913
21.2,92.903
21.4,92.894
21.8,92.872
22,92.858
22.4,92.828
22.7,92.803
23,92.777
23.3,92.752
23.6,92.726
24,92.692
24.3,92.666
24.7,92.628
25,92.596
25.4,92.550
25.8,92.501
26.2,92.449
26.5,92.411
26.9,92.359
27.2,92.320
27.6,92.266
28,92.209
28.5,92.137
29,92.064
29.5,91.994
30,91.926
30.4,91.871
30.7,91.830
31.1,91.774
31.5,91.720
32,91.658
32.5,91.608
33,91.575
33.5,91.559
34,91.552
34.5,91.549
35,91.548
35.5,91.550
36,91.556
36.5,91.563
37,91.569
37.5,91.573
38.2,91.580
38.7,91.588
39.5,91.598
40,91.595
40.6,91.581
41.2,91.558
41.8,91.533
42.5,91.496
43.1,91.455
43.7,91.404
44.4,91.332
45,91.258
45.5,91.184
46.2,91.061
46.8,90.945
47.5,90.809
48.2,90.677
48.7,90.582
49.4,90.447
50,90.333
50.8,90.188
51.5,90.064
52.2,89.942
53,89.802
53.8,89.662
54.5,89.543
55.2,89.432
56,89.320
57,89.200
58,89.105
59,89.035
60,88.993
60.8,88.985
61.5,88.989
62.2,88.993
63,88.995
64,89.002
65,89.016
66,89.036
67,89.062
68,89.087
69,89.112
70,89.135
71,89.157
72,89.183
73,89.215
74,89.246
75,89.265
76.2,89.279
77.5,89.296
