frequency,raw
20.00,93.484
20.30,93.568
20.60,93.648
20.90,93.726
21.20,93.798
21.40,93.845
21.80,93.931
22.00,93.971
22.40,94.046
22.70,94.097
23.00,94.144
23.30,94.187
23.60,94.228
24.00,94.278
24.30,94.312
24.70,94.355
25.00,94.386
25.40,94.424
25.80,94.462
26.20,94.497
26.50,94.522
26.90,94.552
27.20,94.572
27.60,94.593
28.00,94.609
28.50,94.619
29.00,94.622
29.50,94.618
30.00,94.608
30.40,94.598
30.70,94.588
31.10,94.574
31.50,94.556
32.00,94.532
32.50,94.505
33.00,94.476
33.50,94.445
34.00,94.412
34.50,94.379
35.00,94.346
35.50,94.314
36.00,94.285
36.50,94.261
37.00,94.243
37.50,94.232
38.20,94.228
38.70,94.235
39.50,94.261
40.00,94.290
40.60,94.335
41.20,94.393
41.80,94.463
42.50,94.556
43.10,94.647
43.70,94.747
44.40,94.876
45.00,94.996
45.50,95.103
46.20,95.259
46.80,95.395
47.50,95.549
48.20,95.692
48.70,95.784
49.40,95.894
50.00,95.972
50.80,96.054
51.50,96.106
52.20,96.140
53.00,96.156
53.80,96.151
54.50,96.129
55.20,96.090
56.00,96.031
57.00,95.939
58.00,95.834
59.00,95.725
60.00,95.618
60.80,95.540
61.50,95.478
62.20,95.425
63.00,95.379
64.00,95.342
65.00,95.333
66.00,95.353
67.00,95.401
68.00,95.478
69.00,95.576
70.00,95.697
71.00,95.838
72.00,95.995
73.00,96.168
74.00,96.355
75.00,96.550
76.20,96.793
77.50,97.057
78.80,97.314
80.00,97.539
81.20,97.747
82.50,97.950
83.80,98.131
85.00,98.279
86.20,98.413
87.50,98.544
88.50,98.637
90.00,98.765
91.20,98.859
92.50,98.953
93.80,99.040
95.00,99.114
96.20,99.180
97.50,99.244
98.80,99.300
100.00,99.343
101.50,99.385
103.00,99.413
104.40,99.427
106.00,99.428
107.50,99.414
109.00,99.386
110.60,99.342
112.00,99.291
113.80,99.209
115.00,99.147
117.20,99.013
118.00,98.958
120.60,98.759
122.00,98.637
124.10,98.431
125.00,98.334
126.50,98.160
128.00,97.968
131.50,97.457
132.00,97.377
134.00,97.052
136.00,96.728
138.00,96.431
140.00,96.191
143.00,95.977
145.00,95.927
147.50,95.925
150.00,95.931
152.50,95.898
155.00,95.806
157.50,95.657
160.00,95.463
162.50,95.242
165.00,95.004
167.50,94.763
170.00,94.523
172.50,94.290
175.00,94.063
177.50,93.844
180.00,93.629
182.50,93.419
185.00,93.214
187.50,93.013
190.00,92.817
192.50,92.631
195.00,92.455
197.50,92.292
200.00,92.142
203.00,91.978
206.00,91.834
209.00,91.709
212.00,91.602
214.00,91.538
218.00,91.435
220.00,91.394
224.00,91.330
227.00,91.297
230.00,91.275
233.00,91.265
236.00,91.264
240.00,91.279
243.00,91.302
247.00,91.349
250.00,91.394
254.00,91.471
258.00,91.561
262.00,91.661
265.00,91.741
269.00,91.852
272.00,91.936
276.00,92.047
280.00,92.157
285.00,92.292
290.00,92.424
295.00,92.554
300.00,92.683
304.00,92.785
307.00,92.862
311.00,92.963
315.00,93.066
320.00,93.193
325.00,93.317
330.00,93.437
335.00,93.549
340.00,93.653
345.00,93.746
350.00,93.832
355.00,93.912
360.00,93.985
365.00,94.054
370.00,94.119
375.00,94.182
382.00,94.265
387.00,94.322
395.00,94.410
400.00,94.464
406.00,94.526
412.00,94.589
418.00,94.650
425.00,94.721
431.00,94.781
437.00,94.841
444.00,94.907
450.00,94.963
455.00,95.008
462.00,95.069
468.00,95.118
475.00,95.175
482.00,95.231
487.00,95.269
494.00,95.323
500.00,95.370
508.00,95.430
515.00,95.484
522.00,95.539
530.00,95.602
538.00,95.666
545.00,95.722
552.00,95.779
560.00,95.845
570.00,95.927
580.00,96.011
590.00,96.097
600.00,96.185
608.00,96.258
615.00,96.323
622.00,96.388
630.00,96.462
640.00,96.551
650.00,96.629
660.00,96.684
670.00,96.707
680.00,96.683
690.00,96.597
700.00,96.441
710.00,96.207
720.00,95.895
730.00,95.517
740.00,95.101
750.00,94.683
762.00,94.240
775.00,93.894
788.00,93.715
800.00,93.678
812.00,93.729
825.00,93.839
838.00,93.971
850.00,94.090
862.00,94.202
875.00,94.309
885.00,94.382
900.00,94.478
912.00,94.546
925.00,94.608
938.00,94.661
950.00,94.702
962.00,94.737
975.00,94.767
988.00,94.791
1000.00,94.808
1015.00,94.825
1030.00,94.835
1044.00,94.840
1060.00,94.838
1075.00,94.829
1090.00,94.816
1106.00,94.797
1120.00,94.781
1138.00,94.766
1150.00,94.758
1172.00,94.754
1180.00,94.756
1206.00,94.776
1220.00,94.797
1241.00,94.841
1250.00,94.865
1265.00,94.910
1280.00,94.962
1315.00,95.094
1320.00,95.113
1340.00,95.188
1360.00,95.260
1380.00,95.328
1400.00,95.393
1430.00,95.489
1450.00,95.555
1475.00,95.640
1500.00,95.730
1525.00,95.825
1550.00,95.930
1575.00,96.052
1600.00,96.195
1625.00,96.362
1650.00,96.550
1675.00,96.756
1700.00,96.974
1725.00,97.197
1750.00,97.422
1775.00,97.644
1800.00,97.862
1825.00,98.074
1850.00,98.282
1875.00,98.490
1900.00,98.701
1925.00,98.918
1950.00,99.143
1975.00,99.377
2000.00,99.621
2030.00,99.922
2060.00,100.231
2090.00,100.541
2120.00,100.847
2140.00,101.048
2180.00,101.441
2200.00,101.632
2240.00,102.012
2270.00,102.297
2300.00,102.582
2330.00,102.867
2360.00,103.146
2400.00,103.501
2430.00,103.742
2470.00,104.014
