frequency,raw
11.80,89.896
11.93,89.920
12.06,89.962
12.18,90.006
12.31,90.050
12.45,90.094
12.58,90.138
12.71,90.182
12.85,90.226
12.98,90.270
13.12,90.313
13.26,90.357
13.40,90.400
13.54,90.444
13.69,90.487
13.84,90.530
13.98,90.573
14.13,90.615
14.28,90.658
14.43,90.700
14.59,90.742
14.74,90.784
14.90,90.825
15.06,90.866
15.22,90.907
15.38,90.947
15.54,90.987
15.71,91.027
15.88,91.066
16.04,91.105
16.21,91.143
16.39,91.180
16.56,91.218
16.74,91.254
16.92,91.290
17.10,91.326
17.28,91.360
17.46,91.394
17.65,91.428
17.84,91.460
18.02,91.492
18.22,91.523
18.41,91.553
18.61,91.583
18.80,91.611
19.00,91.638
19.21,91.664
19.41,91.690
19.62,91.714
19.83,91.737
20.04,91.759
20.25,91.779
20.47,91.799
20.68,91.816
20.91,91.833
21.13,91.848
21.35,91.862
21.58,91.874
21.81,91.884
22.04,91.893
22.27,91.900
22.51,91.905
22.75,91.908
22.99,91.910
23.24,91.909
23.49,91.905
23.74,91.898
23.99,91.886
24.24,91.868
24.50,91.846
24.76,91.818
25.03,91.786
25.29,91.749
25.56,91.707
25.83,91.660
26.11,91.610
26.39,91.555
26.67,91.496
26.95,91.434
27.24,91.368
27.53,91.299
27.82,91.227
28.12,91.153
28.41,91.076
28.72,90.997
29.02,90.916
29.33,90.834
29.64,90.751
29.96,90.668
30.28,90.585
30.60,90.503
30.93,90.422
31.25,90.343
31.59,90.265
31.92,90.191
32.26,90.121
32.61,90.055
32.95,89.994
33.30,89.938
33.66,89.890
34.02,89.850
34.38,89.818
34.74,89.796
35.11,89.793
35.49,89.811
35.87,89.845
36.25,89.885
36.63,89.928
37.02,89.976
37.42,90.026
37.81,90.080
38.22,90.137
38.62,90.197
39.03,90.259
39.45,90.324
39.87,90.390
40.29,90.458
40.72,90.528
41.16,90.598
41.59,90.669
42.04,90.740
42.48,90.811
42.94,90.882
43.39,90.951
43.85,91.019
44.32,91.084
44.79,91.147
45.27,91.206
45.75,91.261
46.24,91.312
46.73,91.361
47.23,91.411
47.73,91.462
48.24,91.509
48.75,91.552
49.27,91.591
49.79,91.627
50.32,91.659
50.86,91.689
51.40,91.717
51.95,91.744
52.50,91.770
53.06,91.796
53.62,91.822
54.19,91.851
54.77,91.881
55.35,91.915
55.94,91.953
56.54,91.996
57.14,92.046
57.75,92.103
58.36,92.178
58.98,92.279
59.61,92.406
60.24,92.550
60.88,92.707
61.53,92.875
62.19,93.051
62.85,93.235
63.52,93.426
64.19,93.620
64.88,93.818
65.57,94.016
66.27,94.213
66.97,94.407
67.68,94.595
68.40,94.774
69.13,94.944
69.87,95.102
70.61,95.252
71.36,95.397
72.12,95.539
72.89,95.677
73.66,95.812
74.45,95.942
75.24,96.069
76.04,96.191
76.85,96.308
77.67,96.421
78.49,96.529
79.33,96.633
80.17,96.730
81.03,96.823
81.89,96.909
82.76,96.989
83.64,97.062
84.53,97.129
85.43,97.191
86.34,97.248
87.26,97.299
88.19,97.344
89.12,97.382
90.07,97.414
91.03,97.440
92.00,97.459
92.98,97.470
93.97,97.472
94.97,97.466
95.98,97.453
97.00,97.434
98.03,97.410
99.08,97.380
100.13,97.344
101.19,97.302
102.27,97.253
103.36,97.198
104.46,97.135
105.57,97.067
106.69,96.992
107.83,96.912
108.98,96.828
110.14,96.739
111.31,96.644
112.49,96.545
113.69,96.441
114.90,96.331
116.12,96.215
117.36,96.093
118.61,95.964
119.87,95.830
121.14,95.693
122.43,95.552
123.73,95.409
125.05,95.262
126.38,95.114
127.73,94.964
129.09,94.812
130.46,94.658
131.85,94.500
133.25,94.339
134.67,94.176
136.10,94.011
137.55,93.845
139.01,93.679
140.49,93.513
141.99,93.349
143.50,93.184
145.03,93.019
146.57,92.851
148.13,92.682
149.71,92.511
151.30,92.338
152.91,92.163
154.53,91.985
156.18,91.805
157.84,91.623
159.52,91.440
161.22,91.257
162.93,91.075
164.67,90.896
166.42,90.721
168.19,90.549
169.98,90.380
171.79,90.213
173.62,90.048
175.46,89.886
177.33,89.728
179.22,89.572
181.12,89.420
183.05,89.271
185.00,89.126
186.97,88.986
188.96,88.851
190.97,88.722
193.00,88.597
195.05,88.476
197.13,88.359
199.23,88.246
201.35,88.136
203.49,88.029
205.65,87.928
207.84,87.831
210.05,87.741
212.29,87.661
214.55,87.594
216.83,87.540
219.14,87.502
221.47,87.487
223.83,87.505
226.21,87.549
228.62,87.606
231.05,87.665
233.51,87.724
235.99,87.785
238.50,87.846
241.04,87.908
243.60,87.970
246.20,88.029
248.82,88.085
251.46,88.137
254.14,88.189
256.84,88.243
259.58,88.298
262.34,88.354
265.13,88.411
267.95,88.469
270.80,88.528
273.68,88.587
276.60,88.648
279.54,88.710
282.51,88.773
285.52,88.836
288.56,88.899
291.63,88.964
294.73,89.030
297.87,89.099
301.04,89.170
304.24,89.245
307.48,89.325
310.75,89.408
314.06,89.492
317.40,89.577
320.77,89.661
324.19,89.747
327.64,89.836
331.12,89.928
334.65,90.024
338.21,90.125
341.81,90.229
345.44,90.338
349.12,90.452
352.83,90.570
356.59,90.692
360.38,90.818
364.22,90.947
368.09,91.078
372.01,91.212
375.97,91.348
379.97,91.487
384.01,91.628
388.10,91.769
392.23,91.910
396.40,92.050
400.62,92.187
404.88,92.319
409.19,92.446
413.55,92.568
417.94,92.684
422.39,92.795
426.89,92.901
431.43,93.001
436.02,93.094
440.66,93.179
445.35,93.255
450.09,93.322
454.88,93.379
459.72,93.427
464.61,93.468
469.55,93.504
474.55,93.536
479.60,93.562
484.70,93.583
489.86,93.601
495.07,93.618
500.34,93.633
505.66,93.648
511.04,93.663
516.48,93.677
521.98,93.692
527.53,93.708
533.14,93.726
538.82,93.749
544.55,93.775
550.35,93.804
556.20,93.837
562.12,93.872
568.10,93.908
574.14,93.944
580.25,93.981
586.43,94.019
592.67,94.058
598.98,94.095
605.35,94.126
611.79,94.152
618.30,94.171
624.88,94.180
631.53,94.171
638.25,94.137
645.04,94.071
651.90,93.966
658.84,93.824
665.85,93.657
672.93,93.478
680.10,93.299
687.33,93.119
694.64,92.932
702.04,92.728
709.51,92.512
717.06,92.304
724.69,92.135
732.40,92.028
740.19,91.977
748.07,91.953
756.03,91.931
764.07,91.901
772.20,91.865
780.42,91.828
788.72,91.795
797.12,91.768
805.60,91.749
814.17,91.737
822.83,91.733
831.59,91.738
840.44,91.752
849.38,91.777
858.42,91.815
867.55,91.862
876.78,91.915
886.11,91.970
895.54,92.024
905.07,92.074
914.70,92.120
924.43,92.161
934.27,92.196
944.21,92.225
954.26,92.249
964.41,92.268
974.67,92.282
985.04,92.292
995.53,92.296
1006.12,92.296
1016.82,92.291
1027.64,92.284
1038.58,92.276
1049.63,92.268
1060.80,92.261
1072.09,92.257
1083.49,92.262
1095.02,92.276
1106.67,92.298
1118.45,92.321
1130.35,92.342
1142.38,92.362
1154.53,92.383
1166.82,92.404
1179.23,92.424
1191.78,92.442
1204.46,92.459
1217.28,92.477
1230.23,92.496
1243.32,92.517
1256.55,92.542
1269.92,92.570
1283.44,92.602
1297.09,92.635
1310.89,92.668
1324.84,92.700
1338.94,92.732
1353.19,92.762
1367.59,92.794
1382.14,92.827
1396.85,92.862
1411.71,92.900
1426.73,92.939
1441.91,92.978
1457.25,93.024
1472.76,93.073
1488.43,93.124
1504.27,93.175
1520.28,93.230
1536.45,93.292
1552.80,93.358
1569.32,93.428
1586.02,93.499
1602.90,93.571
1619.95,93.643
1637.19,93.715
1654.61,93.788
1672.22,93.865
1690.01,93.949
1707.99,94.042
1726.17,94.148
1744.54,94.271
1763.10,94.414
1781.86,94.577
1800.82,94.753
1819.98,94.939
1839.35,95.138
1858.92,95.343
1878.70,95.549
1898.69,95.755
1918.89,95.970
1939.31,96.199
1959.95,96.439
1980.80,96.681
2001.88,96.911
2023.18,97.110
2044.71,97.267
2066.46,97.381
2088.45,97.469
2110.67,97.548
2133.13,97.636
2155.83,97.747
2178.77,97.886
2201.95,98.048
2225.38,98.238
2249.06,98.471
2272.99,98.787
2297.18,99.150
2321.62,99.538
2346.33,99.918
2371.29,100.297
2396.53,100.685
2422.03,101.055
2447.80,101.416
2473.84,101.736
2500.17,102.023
2526.77,102.284
2553.66,102.502
2580.83,102.668
2608.29,102.775
2636.05,102.847
2664.09,102.893
2692.44,102.915
2721.09,102.926
2750.05,102.923
2779.31,102.907
2808.88,102.872
2838.77,102.821
2868.97,102.764
2899.50,102.705
2930.36,102.648
2961.54,102.589
2993.05,102.528
3024.90,102.465
3057.08,102.398
3089.61,102.331
3122.49,102.258
3155.71,102.180
3189.29,102.095
3223.23,102.004
3257.53,101.907
3292.19,101.794
3327.22,101.653
3362.62,101.468
3398.40,101.225
3434.56,100.934
3471.11,100.609
3508.04,100.261
3545.37,99.875
3583.10,99.410
3621.22,98.767
3659.75,97.776
3698.70,96.294
3738.05,94.095
3777.83,91.184
3818.03,88.005
3858.65,87.427
3899.71,89.418
3941.21,91.609
3983.14,93.615
4025.53,95.272
4068.36,96.629
4111.65,97.642
4155.40,98.337
4199.62,98.781
4244.30,99.036
4289.46,99.182
4335.11,99.244
4381.23,99.238
4427.85,99.178
4474.97,99.078
4522.59,98.952
4570.71,98.811
4619.34,98.659
4668.50,98.496
4718.17,98.323
4768.38,98.192
4819.11,98.168
4870.39,98.291
4922.22,98.472
4974.59,98.604
5027.52,98.633
5081.02,98.594
5135.09,98.503
5189.73,98.318
5244.95,97.929
5300.76,97.280
5357.16,96.394
5414.16,95.433
5471.77,94.538
5530.00,93.820
5588.84,93.362
5648.31,93.272
5708.41,93.475
5769.15,93.793
5830.54,94.076
5892.58,94.304
5955.28,94.492
6018.65,94.660
6082.69,94.801
6147.41,94.974
6212.82,95.399
6278.93,96.165
6345.74,96.992
6413.27,97.568
6481.51,97.795
6550.48,97.762
6620.18,97.587
6690.62,97.362
6761.81,97.162
6833.76,97.033
6906.48,97.005
6979.97,97.094
7054.24,97.299
7129.30,97.634
7205.16,98.086
7281.82,98.684
7359.31,99.368
7437.61,100.047
7516.76,100.605
7596.74,100.994
7677.57,101.245
7759.27,101.421
7841.83,101.598
7925.27,101.830
8009.60,102.145
8094.83,102.555
8180.96,103.023
8268.01,103.410
8355.99,103.580
8444.90,103.471
8534.76,103.143
8625.58,102.650
8717.36,102.013
8810.11,101.265
8903.86,100.508
8998.60,99.840
9094.35,99.237
9191.12,98.581
9288.92,97.738
9387.76,96.702
9487.65,95.512
9588.61,94.274
9690.64,92.985
9793.75,91.707
9897.96,90.493
10003.28,89.294
10109.72,88.045
10217.30,86.763
10326.01,85.752
10435.89,85.506
10546.93,86.076
10659.16,87.040
10772.58,88.066
10887.21,88.959
11003.05,89.797
11120.13,90.797
11238.46,91.717
11358.04,92.165
11478.90,91.994
11601.04,91.296
11724.48,90.279
11849.24,89.201
11975.32,88.181
12102.75,87.388
12231.52,86.981
12361.68,86.920
12493.21,87.030
12626.15,87.172
12760.50,87.384
12896.28,87.718
13033.50,88.063
13172.19,88.107
13312.35,87.535
13454.00,86.177
13597.16,84.221
13741.84,82.931
13888.06,83.816
14035.84,85.407
14185.19,86.601
14336.12,87.255
14488.67,87.355
14642.84,86.990
14798.65,86.507
14956.11,86.309
15115.26,86.363
15276.09,86.353
15438.64,86.158
15602.92,85.910
15768.94,85.762
15936.73,85.852
16106.31,86.313
16277.69,87.084
16450.89,87.871
16625.94,88.228
16802.85,87.745
16981.64,86.084
17162.34,83.293
17344.96,80.333
17529.52,79.772
17716.04,81.059
17904.55,82.549
18095.06,84.404
18287.61,86.162
18482.20,87.412
18678.86,88.272
18877.62,88.913
19078.48,89.273
19281.49,89.170
19486.66,88.608
19694.01,87.987
19903.56,87.622
20115.35,87.389
20329.39,86.942
20545.71,86.195
20764.32,85.526
20985.27,85.397
21208.56,85.467
21434.24,85.089
21662.31,83.919
21892.81,82.375
22125.76,82.041
22361.19,83.534
22599.13,84.783
22839.60,84.732
23082.63,83.210
23328.24,80.351
23576.47,76.794
23827.33,73.777
