frequency,raw
20.00,80.379
20.30,80.406
20.60,80.414
20.90,80.415
21.20,80.412
21.40,80.409
21.80,80.400
22.00,80.395
22.40,80.383
22.70,80.371
23.00,80.358
23.30,80.341
23.60,80.322
24.00,80.288
24.30,80.260
24.70,80.222
25.00,80.196
25.40,80.165
25.80,80.137
26.20,80.105
26.50,80.078
26.90,80.038
27.20,80.006
27.60,79.962
28.00,79.921
28.50,79.876
29.00,79.841
29.50,79.815
30.00,79.788
30.40,79.757
30.70,79.725
31.10,79.670
31.50,79.605
32.00,79.522
32.50,79.452
33.00,79.395
33.50,79.347
34.00,79.297
34.50,79.237
35.00,79.166
35.50,79.089
36.00,79.011
36.50,78.933
37.00,78.846
37.50,78.750
38.20,78.638
38.70,78.599
39.50,78.587
40.00,78.578
40.60,78.552
41.20,78.536
41.80,78.538
42.50,78.537
43.10,78.521
43.70,78.502
44.40,78.489
45.00,78.475
45.50,78.463
46.20,78.457
46.80,78.464
47.50,78.474
48.20,78.475
48.70,78.472
49.40,78.465
50.00,78.462
50.80,78.471
51.50,78.488
52.20,78.495
53.00,78.487
53.80,78.469
54.50,78.453
55.20,78.441
56.00,78.437
57.00,78.442
58.00,78.412
59.00,78.356
60.00,78.341
60.80,78.340
61.50,78.323
62.20,78.296
63.00,78.271
64.00,78.261
65.00,78.267
66.00,78.278
67.00,78.298
68.00,78.342
69.00,78.404
70.00,78.468
71.00,78.525
72.00,78.582
73.00,78.641
74.00,78.703
75.00,78.775
76.20,78.876
77.50,78.989
78.80,79.099
80.00,79.190
81.20,79.285
82.50,79.401
83.80,79.518
85.00,79.624
86.20,79.737
87.50,79.867
88.50,79.967
90.00,80.118
91.20,80.238
92.50,80.368
93.80,80.492
95.00,80.598
96.20,80.691
97.50,80.775
98.80,80.846
100.00,80.900
101.50,80.954
103.00,80.990
104.40,81.004
106.00,80.995
107.50,80.969
109.00,80.929
110.60,80.875
112.00,80.816
113.80,80.727
115.00,80.662
117.20,80.529
118.00,80.480
120.60,80.311
122.00,80.202
124.10,80.030
125.00,79.953
126.50,79.819
128.00,79.672
131.50,79.318
132.00,79.268
134.00,79.064
136.00,78.858
138.00,78.647
140.00,78.431
143.00,78.101
145.00,77.874
147.50,77.585
150.00,77.297
152.50,77.013
155.00,76.734
157.50,76.457
160.00,76.177
162.50,75.898
165.00,75.626
167.50,75.360
170.00,75.097
172.50,74.841
175.00,74.586
177.50,74.340
180.00,74.105
182.50,73.881
185.00,73.665
187.50,73.457
190.00,73.262
192.50,73.080
195.00,72.910
197.50,72.751
200.00,72.605
203.00,72.445
206.00,72.300
209.00,72.170
212.00,72.055
214.00,71.987
218.00,71.869
220.00,71.823
224.00,71.759
227.00,71.733
230.00,71.730
233.00,71.745
236.00,71.775
240.00,71.829
243.00,71.879
247.00,71.953
250.00,72.011
254.00,72.088
258.00,72.162
262.00,72.236
265.00,72.292
269.00,72.373
272.00,72.436
276.00,72.517
280.00,72.596
285.00,72.691
290.00,72.782
295.00,72.879
300.00,72.992
304.00,73.090
307.00,73.168
311.00,73.273
315.00,73.376
320.00,73.492
325.00,73.594
330.00,73.686
335.00,73.767
340.00,73.840
345.00,73.910
350.00,73.975
355.00,74.034
360.00,74.091
365.00,74.144
370.00,74.195
375.00,74.242
382.00,74.301
387.00,74.340
395.00,74.399
400.00,74.438
406.00,74.482
412.00,74.526
418.00,74.569
425.00,74.614
431.00,74.649
437.00,74.683
444.00,74.729
450.00,74.779
455.00,74.828
462.00,74.900
468.00,74.964
