frequency,raw
20.00,87.64
20.30,87.67
20.60,87.72
20.90,87.77
21.20,87.85
21.40,87.90
21.80,88.02
22.00,88.06
22.40,88.12
22.70,88.12
23.00,88.07
23.30,87.98
23.60,87.89
24.00,87.84
24.30,87.89
24.70,88.10
25.00,88.32
25.40,88.62
25.80,88.81
26.20,88.81
26.50,88.71
26.90,88.49
27.20,88.35
27.60,88.30
28.00,88.41
28.50,88.62
29.00,88.68
29.50,88.52
30.00,88.25
30.40,88.08
30.70,88.01
31.10,87.97
31.50,87.95
32.00,87.88
32.50,87.80
33.00,87.78
33.50,87.81
34.00,87.84
34.50,87.83
35.00,87.80
35.50,87.81
36.00,87.84
36.50,87.80
37.00,87.62
37.50,87.31
38.20,87.07
38.70,87.23
39.50,87.67
40.00,87.76
40.60,87.66
41.20,87.44
41.80,87.20
42.50,86.96
43.10,86.85
43.70,86.81
44.40,86.76
45.00,86.69
45.50,86.64
46.20,86.64
46.80,86.61
47.50,86.47
48.20,86.29
48.70,86.20
49.40,86.09
50.00,85.96
50.80,85.75
51.50,85.63
52.20,85.53
53.00,85.40
53.80,85.28
54.50,85.19
55.20,85.10
56.00,85.02
57.00,84.95
58.00,84.86
59.00,84.83
60.00,84.86
60.80,84.93
61.50,84.99
62.20,85.05
63.00,85.13
64.00,85.27
65.00,85.41
66.00,85.51
67.00,85.66
68.00,85.85
69.00,86.07
70.00,86.34
71.00,86.60
72.00,86.79
73.00,86.96
74.00,87.10
75.00,87.28
76.20,87.57
77.50,87.89
78.80,88.12
80.00,88.29
81.20,88.43
82.50,88.54
83.80,88.63
85.00,88.73
86.20,88.84
87.50,88.96
88.50,89.03
90.00,89.10
91.20,89.13
92.50,89.11
93.80,89.03
95.00,88.93
96.20,88.82
97.50,88.70
98.80,88.58
100.00,88.47
101.50,88.35
103.00,88.20
104.40,88.05
106.00,87.94
107.50,87.85
109.00,87.78
110.60,87.73
112.00,87.68
113.80,87.59
115.00,87.52
117.20,87.43
118.00,87.40
120.60,87.19
122.00,87.03
124.10,86.80
125.00,86.73
126.50,86.63
128.00,86.55
131.50,86.32
132.00,86.28
134.00,86.09
136.00,85.90
138.00,85.65
140.00,85.41
143.00,85.04
145.00,84.78
147.50,84.38
150.00,83.92
152.50,83.47
155.00,83.10
157.50,82.86
160.00,82.79
162.50,82.83
165.00,82.93
167.50,83.05
170.00,83.13
172.50,83.14
175.00,83.07
177.50,82.96
180.00,82.86
182.50,82.78
185.00,82.70
187.50,82.64
190.00,82.58
192.50,82.53
195.00,82.48
197.50,82.41
200.00,82.36
203.00,82.40
206.00,82.50
209.00,82.64
212.00,82.79
214.00,82.88
218.00,83.00
220.00,83.02
224.00,83.07
227.00,83.14
230.00,83.22
233.00,83.30
236.00,83.36
240.00,83.43
243.00,83.47
247.00,83.51
250.00,83.54
254.00,83.55
258.00,83.57
262.00,83.58
265.00,83.58
269.00,83.58
272.00,83.60
276.00,83.65
280.00,83.72
285.00,83.80
290.00,83.86
295.00,83.90
300.00,83.91
304.00,83.93
307.00,83.93
311.00,83.94
315.00,83.95
320.00,83.97
325.00,84.00
330.00,84.02
335.00,84.03
340.00,84.04
345.00,84.04
350.00,84.04
355.00,84.04
360.00,84.04
365.00,84.05
370.00,84.06
375.00,84.06
382.00,84.07
387.00,84.08
395.00,84.09
400.00,84.10
406.00,84.12
412.00,84.14
418.00,84.17
425.00,84.22
431.00,84.26
437.00,84.29
444.00,84.31
450.00,84.34
455.00,84.36
462.00,84.40
468.00,84.43
475.00,84.48
482.00,84.52
487.00,84.55
494.00,84.60
500.00,84.64
508.00,84.69
515.00,84.74
522.00,84.79
530.00,84.85
538.00,84.91
545.00,84.96
552.00,85.02
560.00,85.08
570.00,85.16
580.00,85.23
590.00,85.32
600.00,85.41
608.00,85.48
615.00,85.54
622.00,85.61
630.00,85.69
640.00,85.80
650.00,85.90
660.00,86.01
670.00,86.11
680.00,86.22
690.00,86.32
700.00,86.43
710.00,86.54
720.00,86.64
730.00,86.73
740.00,86.83
750.00,86.92
762.00,87.02
775.00,87.13
788.00,87.24
800.00,87.33
812.00,87.43
825.00,87.55
838.00,87.70
850.00,87.86
862.00,88.05
875.00,88.24
885.00,88.36
900.00,88.44
912.00,88.40
925.00,88.29
938.00,88.16
950.00,88.06
