frequency,raw
20.000,88.544
20.300,88.700
20.600,88.817
20.900,88.888
21.200,88.913
21.400,88.910
21.800,88.892
22.000,88.891
22.400,88.928
22.700,88.993
23.000,89.082
23.300,89.182
23.600,89.281
24.000,89.402
24.300,89.488
24.700,89.611
25.000,89.709
25.400,89.837
25.800,89.952
26.200,90.056
26.500,90.138
26.900,90.271
27.200,90.399
27.600,90.603
28.000,90.814
28.500,91.037
29.000,91.190
29.500,91.309
30.000,91.452
30.400,91.593
30.700,91.704
31.100,91.836
31.500,91.931
32.000,91.998
32.500,92.035
33.000,92.084
33.500,92.167
34.000,92.274
34.500,92.383
35.000,92.480
35.500,92.570
36.000,92.672
36.500,92.793
37.000,92.917
37.500,93.019
38.200,93.099
38.700,93.137
39.500,93.231
40.000,93.304
40.600,93.374
41.200,93.423
41.800,93.473
42.500,93.547
43.100,93.613
43.700,93.677
44.400,93.743
45.000,93.782
45.500,93.801
46.200,93.829
46.800,93.871
47.500,93.925
48.200,93.963
48.700,93.985
49.400,94.018
50.000,94.047
50.800,94.083
51.500,94.112
52.200,94.139
53.000,94.166
53.800,94.193
54.500,94.215
55.200,94.229
56.000,94.233
57.000,94.237
58.000,94.239
59.000,94.229
60.000,94.220
60.800,94.212
61.500,94.208
62.200,94.212
63.000,94.220
64.000,94.223
65.000,94.217
66.000,94.205
67.000,94.188
68.000,94.168
69.000,94.152
70.000,94.132
71.000,94.108
72.000,94.086
73.000,94.062
74.000,94.028
75.000,93.988
76.200,93.959
77.500,93.936
78.800,93.903
80.000,93.868
81.200,93.830
82.500,93.801
83.800,93.785
85.000,93.763
86.200,93.730
87.500,93.694
88.500,93.670
90.000,93.641
91.200,93.622
92.500,93.576
93.800,93.523
95.000,93.471
96.200,93.414
97.500,93.359
98.800,93.317
100.000,93.284
101.500,93.245
103.000,93.209
104.400,93.176
106.000,93.137
107.500,93.087
109.000,93.019
110.600,92.935
112.000,92.866
113.800,92.794
115.000,92.749
117.200,92.675
118.000,92.650
120.600,92.582
122.000,92.549
124.100,92.492
125.000,92.465
126.500,92.416
128.000,92.355
131.500,92.176
132.000,92.152
134.000,92.065
136.000,91.993
138.000,91.926
140.000,91.846
143.000,91.716
145.000,91.649
147.500,91.584
150.000,91.501
152.500,91.407
155.000,91.336
157.500,91.275
160.000,91.206
162.500,91.133
165.000,91.071
167.500,91.016
170.000,90.950
172.500,90.875
175.000,90.795
177.500,90.700
180.000,90.586
182.500,90.473
185.000,90.362
187.500,90.250
190.000,90.134
192.500,90.022
195.000,89.923
197.500,89.832
200.000,89.748
203.000,89.670
206.000,89.626
209.000,89.603
212.000,89.581
214.000,89.563
218.000,89.527
220.000,89.523
224.000,89.551
227.000,89.576
230.000,89.590
233.000,89.610
236.000,89.644
240.000,89.688
243.000,89.717
247.000,89.769
250.000,89.809
254.000,89.854
258.000,89.905
262.000,89.955
265.000,89.988
269.000,90.032
272.000,90.066
276.000,90.108
280.000,90.144
285.000,90.177
290.000,90.196
295.000,90.201
300.000,90.191
304.000,90.173
307.000,90.156
311.000,90.133
315.000,90.116
320.000,90.117
325.000,90.152
330.000,90.230
335.000,90.353
340.000,90.521
345.000,90.746
350.000,91.020
355.000,91.303
360.000,91.542
365.000,91.702
370.000,91.769
375.000,91.757
382.000,91.657
387.000,91.565
395.000,91.437
400.000,91.376
406.000,91.317
412.000,91.269
418.000,91.232
425.000,91.201
431.000,91.189
437.000,91.194
444.000,91.236
450.000,91.288
455.000,91.323
462.000,91.346
468.000,91.342
475.000,91.312
482.000,91.269
487.000,91.243
494.000,91.216
500.000,91.191
508.000,91.135
515.000,91.048
522.000,90.919
530.000,90.745
538.000,90.593
545.000,90.512
552.000,90.490
560.000,90.524
570.000,90.606
580.000,90.687
590.000,90.741
600.000,90.767
608.000,90.773
615.000,90.775
622.000,90.783
630.000,90.804
640.000,90.850
650.000,90.908
660.000,90.964
670.000,91.013
680.000,91.056
690.000,91.093
700.000,91.127
710.000,91.160
720.000,91.190
730.000,91.217
740.000,91.241
750.000,91.261
762.000,91.282
775.000,91.300
788.000,91.313
800.000,91.322
812.000,91.330
825.000,91.338
838.000,91.343
850.000,91.348
862.000,91.355
875.000,91.363
885.000,91.368
900.000,91.371
912.000,91.366
925.000,91.351
938.000,91.323
950.000,91.287
962.000,91.241
975.000,91.184
988.000,91.121
1000.000,91.060
1015.000,90.982
1030.000,90.909
1044.000,90.851
1060.000,90.808
1075.000,90.797
1090.000,90.819
1106.000,90.871
1120.000,90.931
1138.000,91.022
1150.000,91.089
1172.000,91.221
1180.000,91.271
1206.000,91.435
1220.000,91.522
1241.000,91.647
1250.000,91.699
1265.000,91.784
1280.000,91.865
1315.000,92.052
1320.000,92.078
1340.000,92.181
1360.000,92.282
1380.000,92.381
1400.000,92.477
1430.000,92.615
1450.000,92.709
1475.000,92.831
1500.000,92.956
1525.000,93.085
1550.000,93.217
1575.000,93.352
1600.000,93.491
1625.000,93.630
1650.000,93.770
1675.000,93.906
1700.000,94.036
1725.000,94.160
1750.000,94.279
1775.000,94.395
1800.000,94.509
1825.000,94.622
1850.000,94.737
1875.000,94.863
1900.000,95.008
1925.000,95.164
1950.000,95.313
1975.000,95.445
2000.000,95.565
2030.000,95.712
2060.000,95.867
2090.000,96.026
2120.000,96.182
2140.000,96.283
2180.000,96.479
2200.000,96.579
2240.000,96.800
2270.000,96.990
2300.000,97.204
2330.000,97.434
2360.000,97.673
2400.000,97.995
2430.000,98.231
2470.000,98.537
2500.000,98.758
2540.000,99.042
2580.000,99.313
2620.000,99.566
2650.000,99.742
2690.000,99.960
2720.000,100.108
2760.000,100.283
2800.000,100.433
2850.000,100.579
2900.000,100.670
2950.000,100.696
3000.000,100.669
3040.000,100.653
3070.000,100.652
3110.000,100.644
3150.000,100.603
3200.000,100.498
3250.000,100.346
3300.000,100.158
3350.000,99.946
3400.000,99.712
3450.000,99.457
3500.000,99.174
3550.000,98.856
3600.000,98.494
3650.000,98.086
3700.000,97.628
3750.000,97.123
3820.000,96.364
3870.000,95.818
3950.000,94.977
4000.000,94.473
4060.000,93.884
4120.000,93.312
4180.000,92.763
4250.000,92.156
4310.000,91.668
4370.000,91.213
4440.000,90.733
4500.000,90.366
4550.000,90.082
4620.000,89.693
4680.000,89.343
4750.000,88.896
4820.000,88.404
4870.000,88.034
4940.000,87.510
5000.000,87.081
5080.000,86.587
5150.000,86.268
5220.000,86.073
5300.000,85.998
5380.000,86.064
5450.000,86.211
5520.000,86.426
5600.000,86.729
5700.000,87.123
5800.000,87.432
5900.000,87.550
6000.000,87.416
6080.000,87.125
6150.000,86.767
6220.000,86.353
6300.000,85.851
6400.000,85.216
6500.000,84.609
6600.000,84.086
6700.000,83.763
6800.000,83.763
6900.000,84.129
7000.000,84.852
7100.000,85.905
7200.000,87.193
7300.000,88.579
7400.000,89.975
7500.000,91.328
7620.000,92.777
7750.000,94.061
7880.000,95.036
8000.000,95.634
8120.000,95.871
8250.000,95.627
8380.000,94.679
8500.000,92.998
8620.000,90.621
8750.000,87.773
8850.000,86.012
9000.000,84.864
9120.000,85.045
9250.000,85.876
9380.000,86.948
9500.000,87.919
9620.000,88.836
9750.000,89.808
9880.000,90.552
10000.000,90.760
10150.000,90.341
10300.000,89.438
10440.000,88.345
10600.000,87.116
10750.000,86.474
