frequency,raw
2.95,63.950
2.99,64.052
3.03,64.215
3.06,64.383
3.10,64.554
3.14,64.726
3.18,64.899
3.22,65.074
3.26,65.251
3.30,65.430
3.34,65.609
3.39,65.791
3.43,65.974
3.47,66.158
3.52,66.344
3.56,66.531
3.60,66.719
3.65,66.909
3.70,67.099
3.74,67.291
3.79,67.484
3.84,67.678
3.89,67.873
3.94,68.068
3.98,68.264
4.04,68.461
4.08,68.658
4.14,68.856
4.19,69.054
4.24,69.252
4.29,69.450
4.35,69.648
4.40,69.845
4.46,70.043
4.52,70.239
4.57,70.435
4.63,70.630
4.69,70.824
4.75,71.016
4.81,71.207
4.87,71.396
4.93,71.583
4.99,71.767
5.05,71.949
5.12,72.129
5.18,72.304
5.25,72.477
5.31,72.646
5.38,72.810
5.45,72.971
5.52,73.126
5.59,73.276
5.66,73.420
5.73,73.558
5.80,73.690
5.87,73.816
5.95,73.940
6.02,74.063
6.10,74.186
6.17,74.309
6.25,74.433
6.33,74.557
6.41,74.681
6.49,74.805
6.57,74.929
6.66,75.054
6.74,75.178
6.82,75.302
6.91,75.426
7.00,75.550
7.08,75.674
7.17,75.798
7.26,75.922
7.36,76.045
7.45,76.168
7.54,76.290
7.64,76.412
7.73,76.533
7.83,76.654
7.93,76.775
8.03,76.894
8.13,77.013
8.23,77.131
8.34,77.248
8.44,77.364
8.55,77.479
8.65,77.593
8.76,77.707
8.88,77.823
8.99,77.940
9.10,78.056
9.21,78.172
9.33,78.287
9.45,78.401
9.57,78.515
9.69,78.629
9.81,78.742
9.93,78.856
10.06,78.969
10.18,79.083
10.31,79.196
10.44,79.310
10.57,79.425
10.71,79.541
10.84,79.657
10.98,79.775
11.12,79.894
11.26,80.014
11.40,80.137
11.54,80.262
11.69,80.390
11.83,80.522
11.98,80.659
12.13,80.799
12.29,80.942
12.44,81.088
12.60,81.237
12.76,81.388
12.92,81.542
13.08,81.698
13.24,81.855
13.41,82.014
13.58,82.173
13.75,82.333
13.93,82.493
14.10,82.653
14.28,82.811
14.46,82.969
14.64,83.127
14.82,83.287
15.01,83.449
15.20,83.611
15.39,83.773
15.58,83.935
15.78,84.097
15.98,84.258
16.18,84.419
16.38,84.581
16.59,84.741
16.80,84.901
17.01,85.060
17.23,85.219
17.44,85.374
17.66,85.519
17.88,85.654
18.11,85.784
18.34,85.915
18.57,86.045
18.80,86.176
19.04,86.307
19.28,86.438
19.52,86.569
19.77,86.700
20.02,86.831
20.27,86.962
20.52,87.095
20.78,87.230
21.04,87.366
21.31,87.503
21.58,87.640
21.85,87.777
22.12,87.914
22.40,88.051
22.68,88.188
22.97,88.325
23.26,88.460
23.55,88.591
23.85,88.716
24.15,88.840
24.45,88.963
24.76,89.087
25.07,89.211
25.39,89.335
25.71,89.461
26.03,89.587
26.36,89.713
26.69,89.840
27.03,89.967
27.37,90.095
27.71,90.224
28.06,90.353
28.41,90.482
28.77,90.611
29.13,90.737
29.50,90.855
29.87,90.965
30.25,91.073
30.63,91.180
31.02,91.289
31.41,91.399
31.80,91.512
32.20,91.628
32.61,91.748
33.02,91.871
33.43,91.997
33.85,92.125
34.28,92.254
34.71,92.382
35.15,92.507
35.59,92.626
36.04,92.740
36.49,92.852
36.95,92.962
37.42,93.072
37.89,93.181
38.37,93.293
38.85,93.406
39.34,93.521
39.83,93.638
40.34,93.756
40.84,93.875
41.36,93.995
41.88,94.116
42.41,94.238
42.94,94.360
43.48,94.483
44.03,94.602
44.58,94.716
45.14,94.825
45.71,94.931
46.29,95.034
46.87,95.139
47.46,95.250
48.06,95.365
48.66,95.478
49.27,95.582
49.90,95.668
50.52,95.730
51.16,95.772
51.80,95.813
52.46,95.871
53.12,95.960
53.79,96.079
54.46,96.211
55.15,96.333
55.84,96.418
56.55,96.462
57.26,96.482
57.98,96.498
58.71,96.513
59.45,96.526
60.20,96.538
60.95,96.551
61.72,96.575
62.50,96.614
63.29,96.658
64.08,96.691
64.89,96.701
65.71,96.687
66.53,96.664
67.37,96.652
68.22,96.657
69.08,96.672
69.95,96.690
70.83,96.714
71.72,96.744
72.62,96.780
73.54,96.823
74.47,96.873
75.40,96.923
76.35,96.965
77.31,96.997
78.29,97.023
79.27,97.047
80.27,97.069
81.28,97.090
82.31,97.114
83.34,97.141
84.39,97.169
85.45,97.194
86.53,97.215
87.62,97.227
88.72,97.217
89.84,97.191
