frequency,raw
20.02,99.89
20.27,99.95
20.52,100.01
20.78,100.07
21.04,100.13
21.31,100.19
21.58,100.24
21.85,100.30
22.12,100.36
22.40,100.42
22.68,100.47
22.97,100.53
23.26,100.58
23.55,100.64
23.85,100.70
24.15,100.75
24.45,100.81
24.76,100.86
25.07,100.91
25.39,100.97
25.71,101.02
26.03,101.06
26.36,101.11
26.69,101.14
27.03,101.17
27.37,101.19
27.71,101.21
28.06,101.23
28.41,101.25
28.77,101.27
29.13,101.29
29.50,101.32
29.87,101.34
30.25,101.37
30.63,101.40
31.02,101.43
31.41,101.46
31.80,101.49
32.20,101.51
32.61,101.51
33.02,101.52
33.43,101.52
33.85,101.51
34.28,101.51
34.71,101.51
35.15,101.51
35.59,101.51
36.04,101.52
36.49,101.52
36.95,101.53
37.42,101.53
37.89,101.53
38.37,101.51
38.85,101.47
39.34,101.43
39.83,101.38
40.34,101.33
40.84,101.27
41.36,101.21
41.88,101.14
42.41,101.06
42.94,100.98
43.48,100.91
44.03,100.85
44.58,100.81
45.14,100.78
45.71,100.75
46.29,100.73
46.87,100.72
47.46,100.72
48.06,100.72
48.66,100.73
49.27,100.73
49.90,100.72
50.52,100.69
51.16,100.64
51.80,100.59
52.46,100.52
53.12,100.45
53.79,100.37
54.46,100.29
55.15,100.23
55.84,100.18
56.55,100.16
57.26,100.14
57.98,100.13
58.71,100.10
59.45,100.07
60.20,100.04
60.95,100.02
61.72,100.02
62.50,100.05
63.29,100.11
64.08,100.16
64.89,100.21
65.71,100.25
66.53,100.28
67.37,100.33
68.22,100.38
69.08,100.44
69.95,100.51
70.83,100.57
71.72,100.64
72.62,100.71
73.54,100.78
74.47,100.85
75.40,100.91
76.35,100.96
77.31,100.99
78.29,101.01
79.27,101.04
80.27,101.09
81.28,101.14
82.31,101.17
83.34,101.18
84.39,101.18
85.45,101.18
86.53,101.19
87.62,101.19
88.72,101.19
89.84,101.20
90.97,101.20
92.12,101.18
93.28,101.15
94.45,101.14
95.64,101.12
96.84,101.10
98.06,101.06
99.30,101.01
100.55,100.98
101.81,100.95
103.10,100.92
104.39,100.86
105.71,100.79
107.04,100.71
108.39,100.64
109.75,100.60
111.13,100.55
112.53,100.49
113.95,100.42
115.39,100.35
116.84,100.29
118.31,100.22
119.80,100.14
121.31,100.04
122.83,99.94
124.38,99.84
125.95,99.74
127.53,99.64
129.14,99.52
130.76,99.39
132.41,99.25
134.08,99.09
135.77,98.93
137.48,98.76
139.21,98.60
140.96,98.43
142.73,98.26
144.53,98.08
146.35,97.91
148.19,97.76
150.06,97.62
151.95,97.50
153.86,97.41
155.80,97.32
157.76,97.22
159.75,97.12
161.76,97.00
163.80,96.89
165.86,96.77
167.95,96.65
170.06,96.53
172.20,96.40
174.37,96.26
176.57,96.10
178.79,95.94
181.04,95.77
183.32,95.58
185.63,95.39
187.97,95.19
190.33,94.98
192.73,94.76
195.16,94.54
197.61,94.31
200.10,94.10
202.62,93.88
205.17,93.67
207.75,93.45
210.37,93.22
213.02,92.99
215.70,92.74
218.42,92.49
221.17,92.23
223.95,91.96
226.77,91.69
229.63,91.43
232.52,91.20
235.45,90.98
238.41,90.77
241.41,90.62
244.45,90.54
247.53,90.51
250.65,90.53
253.80,90.61
257.00,90.73
260.24,90.85
263.51,90.97
266.83,91.07
270.19,91.16
273.59,91.25
277.04,91.31
280.52,91.32
284.06,91.28
287.63,91.22
291.25,91.14
294.92,91.03
298.63,90.93
302.39,90.84
306.20,90.77
310.06,90.67
313.96,90.56
317.92,90.47
321.92,90.40
325.97,90.35
330.07,90.30
334.23,90.27
338.44,90.24
342.70,90.22
347.02,90.21
351.38,90.23
355.81,90.27
360.29,90.31
364.83,90.37
369.42,90.45
374.07,90.55
378.78,90.66
383.55,90.75
388.38,90.85
393.27,90.95
398.22,91.04
403.24,91.15
408.31,91.26
413.45,91.37
418.66,91.48
423.93,91.61
429.27,91.74
434.67,91.89
440.15,92.04
445.69,92.19
451.30,92.37
456.98,92.54
462.74,92.71
468.56,92.88
474.46,93.05
480.44,93.23
486.49,93.38
492.61,93.51
498.81,93.63
505.09,93.73
511.45,93.83
517.89,93.93
524.41,94.03
531.02,94.11
537.70,94.18
