frequency,raw
20.0000,93.0065
20.3000,93.0252
20.6000,93.1018
20.9000,93.2250
21.2000,93.3655
21.4000,93.4445
21.8000,93.5172
22.0000,93.5057
22.4000,93.4190
22.7000,93.3533
23.0000,93.3363
23.3000,93.3960
23.6000,93.5275
24.0000,93.7400
24.3000,93.8693
24.7000,93.9652
25.0000,93.9907
25.4000,93.9955
25.8000,93.9927
26.2000,94.0005
26.5000,94.0278
26.9000,94.1013
27.2000,94.1788
27.6000,94.2902
28.0000,94.3910
28.5000,94.4932
29.0000,94.6040
29.5000,94.7655
30.0000,94.9393
30.4000,95.0312
30.7000,95.0527
31.1000,95.0263
31.5000,94.9872
32.0000,95.0057
32.5000,95.1163
33.0000,95.2378
33.5000,95.2913
34.0000,95.2808
34.5000,95.2657
35.0000,95.2693
35.5000,95.2648
36.0000,95.2388
36.5000,95.2267
37.0000,95.2722
37.5000,95.3733
38.2000,95.5207
38.7000,95.5972
39.5000,95.7350
40.0000,95.8585
40.6000,96.0013
41.2000,96.0850
41.8000,96.1053
42.5000,96.1037
43.1000,96.1187
43.7000,96.1390
44.4000,96.1412
45.0000,96.1370
45.5000,96.1567
46.2000,96.2337
46.8000,96.3070
47.5000,96.3378
48.2000,96.3218
48.7000,96.3213
49.4000,96.3668
50.0000,96.4213
50.8000,96.4687
51.5000,96.4980
52.2000,96.5420
53.0000,96.6190
53.8000,96.7115
54.5000,96.7750
55.2000,96.8085
56.0000,96.8385
57.0000,96.9088
58.0000,96.9525
59.0000,96.9402
60.0000,96.9783
60.8000,97.0467
61.5000,97.0880
62.2000,97.1100
63.0000,97.1318
64.0000,97.1680
65.0000,97.1977
66.0000,97.1972
67.0000,97.1875
68.0000,97.1938
69.0000,97.1993
70.0000,97.1928
71.0000,97.1867
72.0000,97.2015
73.0000,97.2393
74.0000,97.2702
75.0000,97.2797
76.2000,97.2895
77.5000,97.3090
78.8000,97.3100
80.0000,97.3063
81.2000,97.2930
82.5000,97.2707
83.8000,97.2365
85.0000,97.1942
86.2000,97.1518
87.5000,97.1263
88.5000,97.1123
90.0000,97.0607
91.2000,97.0088
92.5000,96.9577
93.8000,96.9198
95.0000,96.8737
96.2000,96.8033
97.5000,96.7192
98.8000,96.6607
100.0000,96.6332
101.5000,96.6072
103.0000,96.5652
104.4000,96.5207
106.0000,96.4947
107.5000,96.4830
