frequency,raw
20,78.977
20.3,79.278
20.6,79.559
20.9,79.803
21.2,80.011
21.4,80.143
21.8,80.408
22,80.547
22.4,80.835
22.7,81.047
23,81.240
23.3,81.412
23.6,81.573
24,81.791
24.3,81.972
24.7,82.242
25,82.457
25.4,82.739
25.8,83.004
26.2,83.248
26.5,83.419
26.9,83.638
27.2,83.800
27.6,84.019
28,84.246
28.5,84.541
29,84.834
29.5,85.101
30,85.329
30.4,85.484
30.7,85.588
31.1,85.713
31.5,85.832
32,85.983
32.5,86.139
33,86.299
33.5,86.469
34,86.648
34.5,86.836
35,87.038
35.5,87.259
36,87.494
36.5,87.728
37,87.942
37.5,88.132
38.2,88.394
38.7,88.612
39.5,88.989
40,89.186
40.6,89.359
41.2,89.505
41.8,89.650
42.5,89.781
43.1,89.817
43.7,89.830
44.4,89.926
45,90.089
45.5,90.224
46.2,90.354
46.8,90.424
47.5,90.486
48.2,90.492
48.7,90.447
49.4,90.367
50,90.346
50.8,90.377
51.5,90.346
52.2,90.271
53,90.270
53.8,90.301
54.5,90.268
55.2,90.248
56,90.141
57,89.778
58,89.844
59,89.991
60,89.783
60.8,89.737
61.5,89.742
62.2,89.740
63,89.794
64,89.893
65,90.015
66,90.133
67,90.219
68,90.316
69,90.429
70,90.517
71,90.596
72,90.715
73,90.785
74,90.826
75,90.840
76.2,90.868
77.5,90.941
78.8,90.899
80,90.857
81.2,90.744
82.5,90.813
83.8,90.793
85,90.790
86.2,90.737
87.5,90.823
88.5,90.881
90,90.825
91.2,90.816
92.5,90.773
93.8,90.741
95,90.744
96.2,90.709
97.5,90.701
98.8,90.662
100,90.651
101.5,90.567
103,90.581
104.4,90.547
106,90.550
107.5,90.516
109,90.489
110.6,90.513
112,90.514
113.8,90.523
115,90.520
117.2,90.505
118,90.499
120.6,90.461
122,90.405
124.1,90.319
125,90.285
126.5,90.156
128,89.900
131.5,88.871
132,88.857
134,88.963
136,89.095
138,89.240
140,89.342
143,89.388
145,89.398
147.5,89.383
150,89.240
152.5,89.204
155,89.192
157.5,89.126
160,88.992
162.5,88.822
165,88.805
167.5,88.790
170,88.726
172.5,88.608
175,88.583
177.5,88.577
180,88.445
182.5,88.335
185,88.338
187.5,88.183
190,88.083
192.5,88.001
195,87.915
197.5,87.820
200,87.796
203,87.738
206,87.642
209,87.606
212,87.612
214,87.605
218,87.601
220,87.594
224,87.635
227,87.611
230,87.656
233,87.770
236,87.749
240,87.913
243,87.968
247,88.125
250,88.195
254,88.310
258,88.465
262,88.607
265,88.761
269,88.997
272,89.109
276,89.259
280,89.478
285,89.695
290,89.941
295,90.145
300,90.386
304,90.605
307,90.718
311,90.934
315,91.162
320,91.368
325,91.611
330,91.788
335,91.972
340,92.153
345,92.286
350,92.439
355,92.590
