frequency,raw
20.56,3.96
21.13,4.05
21.71,4.05
22.32,4.08
22.96,4.05
23.60,4.05
24.26,4.05
24.93,4.05
25.62,4.05
26.33,4.05
27.07,4.05
27.82,4.02
28.59,4.02
29.42,3.99
30.24,3.99
31.07,3.96
31.94,3.96
32.82,3.93
33.74,3.93
34.67,3.90
35.64,3.87
36.63,3.84
37.64,3.81
38.73,3.78
39.81,3.75
40.92,3.72
42.05,3.69
43.22,3.66
44.42,3.60
45.65,3.54
46.92,3.51
48.22,3.45
49.62,3.36
51.00,3.30
52.42,3.24
53.87,3.18
55.37,3.09
56.91,3.03
58.49,2.97
60.11,2.91
61.78,2.82
63.57,2.73
65.34,2.67
67.15,2.58
69.02,2.49
70.93,2.40
72.90,2.31
74.93,2.22
77.01,2.13
79.15,2.04
81.35,1.95
83.71,1.83
86.03,1.74
88.42,1.62
90.87,1.50
93.40,1.38
95.99,1.26
98.66,1.11
101.40,0.99
104.21,0.84
107.24,0.72
110.21,0.57
113.27,0.42
116.42,0.27
119.65,0.12
122.98,0.00
126.39,-0.15
129.90,-0.30
133.51,-0.42
137.38,-0.57
141.20,-0.66
145.12,-0.78
149.15,-0.87
153.29,-0.99
157.55,-1.11
161.92,-1.20
166.42,-1.32
171.04,-1.41
175.79,-1.53
180.89,-1.62
185.91,-1.71
191.07,-1.80
196.38,-1.89
201.83,-1.95
207.44,-2.01
213.20,-2.04
219.12,-2.04
225.21,-2.07
231.74,-2.04
238.17,-2.04
244.79,-2.01
251.59,-1.95
258.57,-1.92
265.75,-1.86
273.13,-1.80
280.72,-1.74
288.51,-1.68
296.88,-1.62
305.13,-1.56
313.60,-1.50
322.31,-1.44
331.26,-1.38
340.46,-1.32
349.91,-1.26
359.63,-1.23
369.62,-1.17
380.34,-1.14
390.90,-1.11
401.75,-1.08
412.91,-1.05
424.38,-1.02
436.16,-0.99
448.28,-0.96
460.73,-0.93
473.52,-0.87
486.67,-0.84
500.78,-0.78
514.69,-0.72
528.99,-0.69
543.68,-0.63
558.77,-0.60
574.29,-0.54
590.24,-0.51
606.63,-0.45
623.48,-0.42
641.56,-0.36
659.38,-0.33
677.69,-0.30
696.51,-0.27
715.85,-0.24
735.73,-0.21
756.16,-0.18
777.16,-0.15
798.75,-0.15
821.91,-0.12
844.73,-0.12
868.19,-0.09
892.30,-0.06
917.08,-0.06
942.55,-0.03
968.73,0.00
995.63,0.06
1023.28,0.06
1051.70,0.06
1082.20,0.06
1112.25,0.06
1143.14,0.03
1174.89,0.03
1207.51,0.03
1241.05,0.03
1275.51,0.03
1310.94,0.06
1347.34,0.09
1386.41,0.12
1424.91,0.09
1464.49,0.12
1505.16,0.15
1546.96,0.21
1589.92,0.24
1634.07,0.21
1679.45,0.24
1726.09,0.24
1776.14,0.27
1825.47,0.30
1876.17,0.24
1928.27,0.21
1981.82,0.21
2036.86,0.24
2093.43,0.33
2151.56,0.42
2211.32,0.60
2275.44,0.72
2338.63,0.81
2403.57,0.87
2470.33,0.99
2538.93,1.02
2609.44,1.05
2681.91,1.14
2756.39,1.20
2832.94,1.32
2911.61,1.53
2996.04,1.80
3079.24,2.10
3164.76,2.52
3252.65,2.94
3342.98,3.30
3435.82,3.69
3531.23,4.02
3629.30,4.29
3730.09,4.56
3838.25,4.83
3944.85,5.10
4054.40,5.34
4167.00,5.52
4282.72,5.67
4401.66,5.70
4523.90,5.67
4649.53,5.55
4778.66,5.31
4917.22,4.98
5053.78,4.59
5194.13,4.23
5338.38,3.96
5486.63,3.78
5639.00,3.63
5795.61,3.45
5956.56,3.18
6121.98,2.76
6292.00,2.67
6474.44,2.49
6654.25,2.28
6839.05,2.10
7028.98,1.89
7224.18,1.71
7424.81,1.53
7631.00,1.35
7842.93,1.17
8060.74,0.99
8294.47,0.81
8524.82,0.63
8761.57,0.48
9004.89,0.30
9254.97,0.15
9511.99,-0.03
9776.15,-0.18
10047.65,-0.33
10326.69,-0.48
10626.12,-0.63
10921.23,-0.78
11224.52,-0.90
11536.25,-1.05
11856.62,-1.20
12185.90,-1.32
12524.32,-1.44
12872.14,-1.92
13229.62,-2.79
13597.02,-3.66
13991.28,-4.38
14379.84,-4.98
14779.19,-5.55
15189.63,-6.03
15611.47,-6.48
16045.02,-6.90
16490.62,-7.29
16948.58,-7.62
17419.27,-7.77
17924.37,-7.56
18422.15,-7.29
18933.76,-7.26
19459.58,-7.47
