frequency,raw
19.2308,100.8193
20.8333,101.4978
22.4359,101.4532
24.0385,101.9845
25.6410,102.0445
27.2436,102.3549
28.8462,102.4862
30.4487,102.6188
32.0513,102.8086
33.6538,102.8449
35.2564,103.0371
36.8590,103.0275
38.4615,103.1552
40.0641,103.1632
41.6667,103.2178
43.2692,103.2371
44.8718,103.2158
46.4744,103.2149
48.0769,103.1397
49.6795,103.1136
51.2821,102.9878
52.8846,102.8772
54.4872,102.7134
56.0897,102.5708
57.6923,102.4932
59.2949,102.4039
60.8974,102.3028
62.5000,102.1057
64.1026,101.8371
65.7051,101.4326
67.3077,100.9588
68.9103,100.3728
70.5128,99.7030
72.1154,98.9236
73.7179,98.0310
75.3205,97.0950
76.9231,96.2213
78.5256,95.5625
80.1282,95.2377
81.7308,95.3296
83.3333,95.7258
84.9359,96.3427
86.5385,97.0219
88.1410,97.6879
89.7436,98.2821
91.3462,98.8162
92.9487,99.2803
94.5513,99.6884
96.1538,100.0374
97.7564,100.3259
99.3590,100.5672
100.9615,100.7734
102.5641,100.9586
104.1667,101.1099
105.7692,101.2299
107.3718,101.3160
108.9744,101.3745
110.5769,101.3968
112.1795,101.3713
113.7821,101.2772
115.3846,101.1050
116.9872,100.8215
118.5897,100.3932
120.1923,99.8256
121.7949,99.2235
123.3974,98.7929
125.0000,98.7195
126.6026,98.9516
128.2051,99.3157
129.8077,99.6800
131.4103,99.9762
133.0128,100.2250
134.6154,100.4119
136.2179,100.5690
137.8205,100.6723
139.4231,100.7567
141.0256,100.8217
142.6282,100.8658
144.2308,100.9007
145.8333,100.9114
147.4359,100.9231
149.0385,100.9212
150.6410,100.9099
152.2436,100.8905
153.8462,100.8718
155.4487,100.8391
157.0513,100.8076
158.6538,100.7685
160.2564,100.7315
161.8590,100.6904
163.4615,100.6490
165.0641,100.6056
166.6667,100.5615
168.2692,100.5254
169.8718,100.4841
170.8463,100.4493
172.4661,100.4116
174.1014,100.3740
175.7521,100.3387
177.4185,100.2934
179.1007,100.2536
180.7988,100.2093
182.5131,100.1583
184.2949,100.1118
185.8974,100.0581
185.9905,100.0074
187.7539,99.9536
189.5341,99.9031
191.3312,99.8412
193.1453,99.8062
194.9766,99.7412
196.8253,99.6842
198.7179,99.6287
200.3205,99.5690
200.5754,99.5047
202.4771,99.4496
204.3969,99.3849
206.3349,99.3084
208.3333,99.2366
209.9359,99.1755
210.2662,99.1090
212.2598,99.0409
214.2723,98.9736
216.3462,98.8927
217.9487,98.8247
218.3549,98.7531
220.4252,98.6735
222.7564,98.5943
224.3590,98.5028
224.6249,98.4208
226.7547,98.3150
229.1667,98.2100
230.7692,98.0904
231.0750,97.9631
233.2660,97.8310
235.5769,97.7369
237.1795,97.6942
237.7103,97.7094
239.9642,97.7323
241.9872,97.7391
243.5897,97.7385
244.5362,97.7011
246.7949,97.7189
248.3974,97.6403
249.1953,97.5705
251.6026,97.5211
253.2051,97.4674
253.9432,97.3997
256.4103,97.3391
258.0128,97.2787
258.7816,97.2165
261.2179,97.1567
262.8205,97.0948
263.7121,97.0391
266.0256,96.9760
267.6282,96.9205
268.7366,96.8560
270.8333,96.7918
272.4359,96.7357
274.0385,96.6706
275.6410,96.6233
276.4534,96.5592
278.8462,96.5112
280.4487,96.4515
282.0513,96.4010
283.6538,96.3446
284.3917,96.2938
286.8590,96.2477
288.4615,96.1949
290.0641,96.1486
291.6667,96.0937
292.5580,96.0508
