frequency,raw
20.0000,80.3680
20.3000,80.5790
20.6000,80.7645
20.9000,80.9335
21.2000,81.0980
21.4000,81.2120
21.8000,81.4515
22.0000,81.5765
22.4000,81.8265
22.7000,82.0050
23.0000,82.1700
23.3000,82.3220
23.6000,82.4655
24.0000,82.6550
24.3000,82.8035
24.7000,83.0155
25.0000,83.1810
25.4000,83.4010
25.8000,83.6080
26.2000,83.7970
26.5000,83.9300
26.9000,84.1025
27.2000,84.2335
27.6000,84.4135
28.0000,84.5940
28.5000,84.8115
29.0000,85.0120
29.5000,85.2000
30.0000,85.3835
30.4000,85.5290
30.7000,85.6355
31.1000,85.7725
31.5000,85.9000
32.0000,86.0455
32.5000,86.1790
33.0000,86.3065
33.5000,86.4330
34.0000,86.5590
34.5000,86.6795
35.0000,86.7915
35.5000,86.8955
36.0000,86.9940
36.5000,87.0885
37.0000,87.1770
37.5000,87.2600
38.2000,87.3655
38.7000,87.4365
39.5000,87.5415
40.0000,87.5995
40.6000,87.6600
41.2000,87.7105
41.8000,87.7560
42.5000,87.8075
43.1000,87.8455
43.7000,87.8695
44.4000,87.8805
45.0000,87.8865
45.5000,87.8955
46.2000,87.9015
46.8000,87.8895
47.5000,87.8670
48.2000,87.8545
48.7000,87.8435
49.4000,87.8035
50.0000,87.7470
50.8000,87.6880
51.5000,87.6750
52.2000,87.6790
53.0000,87.6770
53.8000,87.6735
54.5000,87.6785
55.2000,87.6865
56.0000,87.6935
57.0000,87.7170
58.0000,87.7720
59.0000,87.8465
60.0000,87.9310
60.8000,87.9995
61.5000,88.0580
62.2000,88.1150
63.0000,88.1750
64.0000,88.2415
65.0000,88.3020
66.0000,88.3565
67.0000,88.4040
68.0000,88.4400
69.0000,88.4685
70.0000,88.4945
71.0000,88.5200
72.0000,88.5455
73.0000,88.5650
74.0000,88.5760
75.0000,88.5760
76.2000,88.5585
77.5000,88.5335
78.8000,88.5155
80.0000,88.4930
81.2000,88.4395
82.5000,88.3345
83.8000,88.1945
85.0000,88.0560
86.2000,87.9330
87.5000,87.8415
88.5000,87.7920
90.0000,87.7325
91.2000,87.7230
92.5000,87.7670
93.8000,87.8330
95.0000,87.8855
96.2000,87.9250
97.5000,87.9560
98.8000,87.9750
100.0000,87.9830
101.5000,87.9825
103.0000,87.9740
104.4000,87.9655
106.0000,87.9610
107.5000,87.9620
109.0000,87.9635
110.6000,87.9645
112.0000,87.9645
113.8000,87.9620
115.0000,87.9585
117.2000,87.9425
118.0000,87.9350
120.6000,87.8830
122.0000,87.8270
124.1000,87.7235
125.0000,87.6845
126.5000,87.6430
128.0000,87.6260
131.5000,87.6420
132.0000,87.6470
134.0000,87.6655
136.0000,87.6770
138.0000,87.6815
140.0000,87.6835
143.0000,87.6930
145.0000,87.7030
147.5000,87.7130
150.0000,87.7125
152.5000,87.7015
155.0000,87.6910
157.5000,87.6770
160.0000,87.6555
162.5000,87.6310
165.0000,87.6015
167.5000,87.5680
170.0000,87.5270
172.5000,87.4765
175.0000,87.4180
177.5000,87.3545
180.0000,87.2825
182.5000,87.2030
185.0000,87.1110
187.5000,87.0065
190.0000,86.8905
192.5000,86.7660
195.0000,86.6295
197.5000,86.4810
200.0000,86.3295
203.0000,86.1550
206.0000,85.9965
209.0000,85.8555
212.0000,85.7265
214.0000,85.6430
218.0000,85.4760
220.0000,85.3910
224.0000,85.2170
227.0000,85.0810
230.0000,84.9380
233.0000,84.7870
236.0000,84.6260
240.0000,84.3935
243.0000,84.2070
247.0000,83.9375
250.0000,83.7250
254.0000,83.4280
258.0000,83.1210
262.0000,82.8135
265.0000,82.5810
269.0000,82.2680
272.0000,82.0350
276.0000,81.7330
280.0000,81.4475
285.0000,81.1070
290.0000,80.7835
295.0000,80.4755
300.0000,80.1780
304.0000,79.9560
307.0000,79.7995
311.0000,79.5990
315.0000,79.4050
320.0000,79.1815
325.0000,78.9735
330.0000,78.7735
335.0000,78.5900
340.0000,78.4215
345.0000,78.2645
350.0000,78.1195
355.0000,77.9755
360.0000,77.8335
365.0000,77.6970
370.0000,77.5700
375.0000,77.4495
382.0000,77.2950
387.0000,77.2015
395.0000,77.0715
400.0000,76.9880
406.0000,76.8865
412.0000,76.7955
418.0000,76.7255
425.0000,76.6445
431.0000,76.5745
437.0000,76.5095
444.0000,76.4535
450.0000,76.4280
455.0000,76.4165
462.0000,76.4160
468.0000,76.4240
475.0000,76.4405
482.0000,76.4745
487.0000,76.5140
494.0000,76.5890
500.0000,76.6675
508.0000,76.7960
515.0000,76.9255
522.0000,77.0625
530.0000,77.2380
538.0000,77.4240
545.0000,77.5915
552.0000,77.7590
560.0000,77.9340
570.0000,78.1215
580.0000,78.3255
590.0000,78.5300
600.0000,78.7190
608.0000,78.8535
615.0000,78.9500
622.0000,79.0335
630.0000,79.1175
640.0000,79.2015
650.0000,79.2695
660.0000,79.3205
670.0000,79.3585
680.0000,79.3880
690.0000,79.4120
700.0000,79.4270
710.0000,79.4285
720.0000,79.4210
730.0000,79.4035
740.0000,79.3800
750.0000,79.3520
762.0000,79.3090
775.0000,79.2530
788.0000,79.1895
800.0000,79.1280
812.0000,79.0720
825.0000,79.0215
838.0000,78.9820
850.0000,78.9545
862.0000,78.9340
875.0000,78.9255
885.0000,78.9290
900.0000,78.9405
912.0000,78.9565
925.0000,78.9850
938.0000,79.0250
950.0000,79.0675
962.0000,79.1110
975.0000,79.1580
988.0000,79.2085
1000.0000,79.2630
1015.0000,79.3475
1030.0000,79.4550
1044.0000,79.5770
1060.0000,79.7325
1075.0000,79.8895
1090.0000,80.0570
1106.0000,80.2465
1120.0000,80.4125
1138.0000,80.6205
1150.0000,80.7555
1172.0000,80.9935
1180.0000,81.0770
1206.0000,81.3385
1220.0000,81.4715
1241.0000,81.6610
1250.0000,81.7395
1265.0000,81.8690
1280.0000,81.9975
1315.0000,82.3190
1320.0000,82.3690
1340.0000,82.5725
1360.0000,82.7730
1380.0000,82.9505
1400.0000,83.0935
1430.0000,83.2650
1450.0000,83.3685
1475.0000,83.5055
1500.0000,83.6600
1525.0000,83.8315
1550.0000,84.0175
1575.0000,84.2120
1600.0000,84.4060
1625.0000,84.5890
1650.0000,84.7625
1675.0000,84.9315
1700.0000,85.0995
1725.0000,85.2695
1750.0000,85.4490
1775.0000,85.6465
1800.0000,85.8595
1825.0000,86.0835
1850.0000,86.3145
1875.0000,86.5470
1900.0000,86.7760
1925.0000,87.0010
1950.0000,87.2255
1975.0000,87.4520
2000.0000,87.6830
2030.0000,87.9670
2060.0000,88.2600
2090.0000,88.5600
2120.0000,88.8630
2140.0000,89.0665
2180.0000,89.4790
2200.0000,89.6885
2240.0000,90.1110
2270.0000,90.4320
2300.0000,90.7585
2330.0000,91.0905
2360.0000,91.4225
2400.0000,91.8605
2430.0000,92.1955
2470.0000,92.6655
2500.0000,93.0340
2540.0000,93.5250
2580.0000,93.9745
2620.0000,94.3680
2650.0000,94.6415
2690.0000,94.9945
2720.0000,95.2520
2760.0000,95.5755
2800.0000,95.8605
2850.0000,96.1460
2900.0000,96.3350
2950.0000,96.4210
3000.0000,96.4005
3040.0000,96.3035
3070.0000,96.1815
3110.0000,95.9510
3150.0000,95.6525
3200.0000,95.2190
3250.0000,94.7905
3300.0000,94.4180
3350.0000,94.0775
3400.0000,93.7205
3450.0000,93.3245
3500.0000,92.8880
3550.0000,92.4120
3600.0000,91.8995
3650.0000,91.3605
3700.0000,90.8065
3750.0000,90.2425
3820.0000,89.4500
3870.0000,88.8910
3950.0000,88.0450
4000.0000,87.5650
4060.0000,87.0480
4120.0000,86.5965
4180.0000,86.2110
4250.0000,85.8405
4310.0000,85.5925
4370.0000,85.4125
4440.0000,85.2975
4500.0000,85.2750
4550.0000,85.2950
4620.0000,85.3540
4680.0000,85.4095
4750.0000,85.4585
4820.0000,85.4800
4870.0000,85.4795
4940.0000,85.4690
5000.0000,85.4645
5080.0000,85.4890
5150.0000,85.5620
5220.0000,85.7085
5300.0000,85.9875
5380.0000,86.3835
5450.0000,86.8020
5520.0000,87.2555
5600.0000,87.7600
5700.0000,88.2680
5800.0000,88.5945
5900.0000,88.9010
6000.0000,89.1365
6080.0000,89.0440
6150.0000,88.7530
6220.0000,88.3080
6300.0000,87.6525
6400.0000,86.6900
6500.0000,85.6685
6600.0000,84.6680
6700.0000,83.7360
6800.0000,82.9175
6900.0000,82.2685
7000.0000,81.8200
7100.0000,81.5665
7200.0000,81.5325
7300.0000,81.7645
7400.0000,82.2800
7500.0000,83.0525
7620.0000,84.2630
7750.0000,85.7600
7880.0000,87.1360
8000.0000,88.1225
8120.0000,88.7050
8250.0000,88.7740
8380.0000,88.2515
8500.0000,87.3790
8620.0000,86.3365
8750.0000,85.2575
8850.0000,84.6300
9000.0000,84.0390
9120.0000,83.6055
9250.0000,82.9045
9380.0000,81.8355
9500.0000,80.5050
9620.0000,78.8945
9750.0000,76.9195
9880.0000,75.1820
10000.0000,75.0215
10150.0000,76.2515
10300.0000,77.6860
10440.0000,78.9245
10600.0000,80.0925
10750.0000,80.8370
10900.0000,81.1920
11060.0000,81.1555
11200.0000,80.7935
11380.0000,79.9285
11500.0000,79.1460
11720.0000,77.4230
11800.0000,76.7360
12060.0000,74.1560
12200.0000,72.7440
12410.0000,70.9205
12500.0000,69.9610
12650.0000,68.0425
12800.0000,65.8945
13150.0000,61.8990
13200.0000,61.6290
13400.0000,61.5590
13600.0000,62.7295
13800.0000,64.4685
14000.0000,66.8835
14300.0000,70.2890
14500.0000,71.4890
14750.0000,72.0250
15000.0000,72.5475
15250.0000,73.8840
15500.0000,75.3805
15750.0000,76.5235
16000.0000,77.1335
16250.0000,76.9670
16500.0000,75.9080
16750.0000,74.1330
17000.0000,72.3870
17250.0000,71.2955
17500.0000,70.6350
17750.0000,69.9900
18000.0000,69.0765
18250.0000,67.6805
18500.0000,65.6435
18750.0000,63.0235
19000.0000,60.1180
19250.0000,57.4255
19500.0000,55.4340
19750.0000,53.7515
