frequency,raw
2.95,82.683
2.99,82.761
3.03,82.887
3.06,83.017
3.10,83.148
3.14,83.280
3.18,83.414
3.22,83.548
3.26,83.684
3.30,83.821
3.34,83.959
3.39,84.099
3.43,84.239
3.47,84.380
3.52,84.523
3.56,84.666
3.60,84.811
3.65,84.956
3.70,85.103
3.74,85.250
3.79,85.398
3.84,85.547
3.89,85.697
3.94,85.848
3.98,85.999
4.04,86.151
4.08,86.303
4.14,86.456
4.19,86.610
4.24,86.764
4.29,86.918
4.35,87.072
4.40,87.227
4.46,87.382
4.52,87.537
4.57,87.691
4.63,87.846
4.69,88.000
4.75,88.154
4.81,88.308
4.87,88.461
4.93,88.613
4.99,88.764
5.05,88.915
5.12,89.064
5.18,89.212
5.25,89.358
5.31,89.503
5.38,89.646
5.45,89.787
5.52,89.926
5.59,90.063
5.66,90.197
5.73,90.328
5.80,90.456
5.87,90.582
5.95,90.706
6.02,90.831
6.10,90.955
6.17,91.079
6.25,91.203
6.33,91.328
6.41,91.452
6.49,91.576
6.57,91.700
6.66,91.824
6.74,91.947
6.82,92.070
6.91,92.193
7.00,92.316
7.08,92.438
7.17,92.559
7.26,92.680
7.36,92.801
7.45,92.920
7.54,93.039
7.64,93.157
7.73,93.275
7.83,93.391
7.93,93.506
8.03,93.620
8.13,93.733
8.23,93.845
8.34,93.955
8.44,94.064
8.55,94.172
8.65,94.278
8.76,94.383
8.88,94.490
8.99,94.599
9.10,94.707
9.21,94.816
9.33,94.923
9.45,95.030
9.57,95.137
9.69,95.242
9.81,95.347
9.93,95.452
10.06,95.555
10.18,95.658
10.31,95.759
10.44,95.860
10.57,95.959
10.71,96.057
10.84,96.154
10.98,96.250
11.12,96.344
11.26,96.437
11.40,96.528
11.54,96.617
11.69,96.702
11.83,96.780
11.98,96.854
12.13,96.928
12.29,97.002
12.44,97.075
12.60,97.149
12.76,97.223
12.92,97.297
13.08,97.371
13.24,97.445
13.41,97.519
13.58,97.594
13.75,97.668
13.93,97.743
14.10,97.818
14.28,97.893
14.46,97.968
14.64,98.042
14.82,98.117
15.01,98.192
15.20,98.268
15.39,98.344
15.58,98.420
15.78,98.497
15.98,98.574
16.18,98.652
16.38,98.730
16.59,98.808
16.80,98.886
17.01,98.964
17.23,99.043
17.44,99.120
17.66,99.192
17.88,99.258
18.11,99.323
18.34,99.387
18.57,99.451
18.80,99.515
19.04,99.579
19.28,99.642
19.52,99.706
19.77,99.769
20.02,99.833
20.27,99.895
20.52,99.956
20.78,100.014
21.04,100.070
21.31,100.128
21.58,100.185
21.85,100.243
22.12,100.302
22.40,100.362
22.68,100.422
22.97,100.482
23.26,100.543
23.55,100.603
23.85,100.662
24.15,100.720
24.45,100.778
24.76,100.835
25.07,100.892
25.39,100.948
25.71,101.005
26.03,101.060
26.36,101.112
26.69,101.157
27.03,101.199
27.37,101.240
27.71,101.280
28.06,101.319
28.41,101.357
28.77,101.393
29.13,101.428
29.50,101.462
29.87,101.493
30.25,101.524
30.63,101.555
31.02,101.586
31.41,101.617
31.80,101.649
32.20,101.680
32.61,101.711
33.02,101.741
33.43,101.770
33.85,101.800
34.28,101.828
34.71,101.856
35.15,101.881
35.59,101.902
36.04,101.919
36.49,101.935
36.95,101.948
37.42,101.959
37.89,101.967
38.37,101.973
38.85,101.975
39.34,101.973
39.83,101.969
40.34,101.964
40.84,101.960
41.36,101.956
41.88,101.953
42.41,101.952
42.94,101.951
43.48,101.947
44.03,101.938
44.58,101.922
45.14,101.902
45.71,101.880
46.29,101.855
46.87,101.829
47.46,101.800
48.06,101.770
48.66,101.738
49.27,101.702
49.90,101.660
50.52,101.611
51.16,101.557
51.80,101.499
52.46,101.440
53.12,101.380
53.79,101.318
54.46,101.255
55.15,101.188
55.84,101.118
56.55,101.043
57.26,100.962
57.98,100.875
58.71,100.776
59.45,100.662
60.20,100.535
60.95,100.406
61.72,100.280
62.50,100.160
63.29,100.046
64.08,99.948
64.89,99.889
65.71,99.878
66.53,99.878
67.37,99.817
68.22,99.667
69.08,99.461
69.95,99.254
70.83,99.060
71.72,98.875
72.62,98.693
73.54,98.513
74.47,98.335
75.40,98.159
76.35,97.986
77.31,97.817
78.29,97.649
79.27,97.482
80.27,97.318
81.28,97.155
82.31,96.987
83.34,96.814
84.39,96.640
85.45,96.471
86.53,96.312
87.62,96.176
88.72,96.073
89.84,95.996
90.97,95.930
92.12,95.867
93.28,95.806
94.45,95.746
95.64,95.691
96.84,95.666
98.06,95.685
99.30,95.727
100.55,95.761
101.81,95.787
103.10,95.816
104.39,95.855
105.71,95.917
107.04,96.005
108.39,96.106
109.75,96.205
111.13,96.294
112.53,96.371
113.95,96.448
115.39,96.540
116.84,96.609
118.31,96.606
119.80,96.544
121.31,96.477
122.83,96.398
124.38,96.279
125.95,96.134
127.53,95.983
129.14,95.800
130.76,95.566
132.41,95.292
134.08,94.966
135.77,94.534
137.48,93.979
139.21,93.353
140.96,92.733
142.73,92.200
144.53,91.824
146.35,91.610
148.19,91.489
150.06,91.376
151.95,91.273
153.86,91.223
155.80,91.201
157.76,91.190
159.75,91.221
161.76,91.272
163.80,91.299
165.86,91.325
167.95,91.363
170.06,91.381
172.20,91.370
174.37,91.347
176.57,91.334
178.79,91.331
181.04,91.347
183.32,91.375
185.63,91.398
187.97,91.424
190.33,91.487
192.73,91.574
195.16,91.651
197.61,91.710
200.10,91.751
202.62,91.778
205.17,91.813
207.75,91.848
210.37,91.867
213.02,91.883
215.70,91.909
218.42,91.928
221.17,91.940
223.95,91.950
226.77,91.962
229.63,91.969
232.52,91.970
235.45,91.970
238.41,91.969
241.41,91.975
244.45,91.989
247.53,92.016
250.65,92.052
253.80,92.087
257.00,92.112
260.24,92.124
263.51,92.131
266.83,92.135
270.19,92.141
273.59,92.147
277.04,92.154
280.52,92.159
284.06,92.157
287.63,92.145
291.25,92.128
294.92,92.110
298.63,92.091
302.39,92.061
306.20,92.022
310.06,91.984
313.96,91.955
317.92,91.934
321.92,91.928
325.97,91.958
330.07,92.021
334.23,92.091
338.44,92.155
342.70,92.224
347.02,92.297
351.38,92.374
355.81,92.455
360.29,92.540
364.83,92.630
369.42,92.716
374.07,92.795
378.78,92.862
383.55,92.928
388.38,92.999
393.27,93.074
398.22,93.166
403.24,93.271
408.31,93.373
413.45,93.463
418.66,93.544
423.93,93.614
429.27,93.673
434.67,93.725
440.15,93.775
445.69,93.826
451.30,93.874
456.98,93.923
462.74,93.969
468.56,94.008
474.46,94.051
480.44,94.101
486.49,94.146
492.61,94.181
498.81,94.214
505.09,94.246
511.45,94.276
517.89,94.302
524.41,94.319
531.02,94.325
537.70,94.328
544.47,94.330
551.33,94.326
558.27,94.315
565.30,94.302
572.42,94.290
579.63,94.282
586.92,94.284
594.31,94.297
601.80,94.321
609.37,94.351
617.05,94.381
624.82,94.403
632.68,94.416
640.65,94.424
648.72,94.425
656.88,94.417
665.15,94.401
673.53,94.383
682.01,94.364
690.60,94.343
699.29,94.322
708.10,94.307
717.01,94.298
726.04,94.293
735.18,94.289
744.44,94.283
753.81,94.270
763.30,94.254
772.91,94.236
782.65,94.217
792.50,94.193
802.48,94.162
812.58,94.128
822.82,94.092
833.18,94.057
843.67,94.026
854.29,94.004
865.04,93.992
875.94,93.992
886.97,94.000
898.13,94.013
909.44,94.034
920.89,94.065
932.49,94.102
944.23,94.146
956.12,94.200
968.16,94.267
980.35,94.338
992.69,94.409
1005.19,94.478
1017.85,94.556
1030.66,94.644
1043.64,94.738
1056.78,94.840
1070.09,94.948
1083.56,95.047
1097.20,95.135
1111.02,95.220
1125.01,95.304
1139.17,95.391
1153.52,95.483
1168.04,95.580
1182.75,95.681
1197.64,95.787
1212.72,95.899
1227.99,96.021
1243.45,96.148
1259.11,96.278
1274.96,96.416
1291.01,96.567
1307.27,96.723
1323.73,96.886
1340.39,97.056
1357.27,97.230
1374.36,97.400
1391.66,97.564
1409.19,97.716
1426.93,97.856
1444.90,97.987
1463.09,98.114
1481.51,98.239
1500.17,98.360
1519.05,98.480
1538.18,98.593
1557.55,98.699
1577.16,98.802
1597.02,98.911
1617.13,99.023
1637.49,99.141
1658.11,99.266
1678.98,99.398
1700.12,99.532
1721.53,99.671
1743.20,99.819
1765.15,99.974
1787.38,100.135
1809.88,100.297
1832.67,100.454
1855.75,100.602
1879.11,100.746
1902.77,100.894
1926.73,101.047
1950.99,101.199
1975.56,101.354
2000.43,101.518
2025.62,101.698
2051.12,101.899
2076.95,102.119
2103.10,102.359
2129.58,102.622
2156.39,102.908
2183.55,103.204
2211.04,103.496
2238.88,103.785
2267.07,104.079
2295.61,104.372
2324.52,104.656
2353.78,104.931
2383.42,105.191
2413.43,105.432
2443.82,105.652
2474.59,105.853
2505.75,106.039
2537.30,106.211
2569.24,106.368
2601.59,106.525
2634.35,106.696
2667.52,106.882
2701.11,107.078
2735.12,107.270
2769.56,107.439
2804.43,107.573
2839.74,107.674
2875.49,107.747
2911.70,107.797
2948.36,107.828
2985.48,107.842
3023.07,107.838
3061.14,107.812
3099.68,107.766
3138.71,107.698
3178.23,107.607
3218.25,107.492
3258.77,107.357
3299.80,107.206
3341.35,107.034
3383.42,106.839
3426.02,106.618
3469.16,106.373
3512.84,106.102
3557.07,105.808
3601.86,105.489
3647.21,105.145
3693.13,104.780
3739.63,104.399
3786.72,104.006
3834.39,103.601
3882.67,103.193
3931.56,102.792
3981.06,102.414
4031.19,102.079
4081.95,101.786
4133.34,101.523
4185.39,101.273
4238.08,101.036
4291.45,100.825
4345.48,100.643
4400.19,100.492
4455.60,100.370
4511.70,100.265
4568.51,100.165
4626.03,100.060
4684.27,99.942
4743.26,99.812
4802.98,99.676
4863.45,99.541
4924.69,99.416
4986.70,99.309
5049.48,99.227
5113.06,99.176
5177.44,99.168
5242.63,99.211
5308.64,99.308
5375.48,99.457
5443.17,99.646
5511.70,99.851
5581.10,100.049
5651.37,100.220
5722.53,100.353
5794.58,100.469
5867.54,100.636
5941.42,101.000
6016.23,101.725
6091.98,102.847
6168.69,104.199
6246.36,105.500
6325.01,106.546
6404.64,107.268
6485.28,107.682
6566.94,107.838
6649.63,107.794
6733.35,107.598
6818.13,107.292
6903.98,106.914
6990.91,106.502
7078.93,106.077
7168.06,105.650
7258.32,105.223
7349.71,104.788
7442.25,104.345
7535.95,103.910
7630.84,103.519
7726.92,103.203
7824.21,102.957
7922.73,102.737
8022.48,102.484
8123.49,102.164
8225.78,101.768
8329.35,101.300
8434.23,100.773
8540.42,100.204
8647.95,99.610
8756.84,99.003
8867.10,98.397
8978.75,97.816
9091.80,97.275
9206.27,96.790
9322.19,96.369
9439.57,96.021
9558.42,95.747
9678.77,95.546
9800.64,95.407
9924.04,95.319
10048.99,95.269
10175.52,95.244
10303.64,95.217
10433.38,95.146
10564.74,94.996
10697.77,94.735
10832.46,94.322
10968.85,93.728
11106.97,92.960
11246.81,92.039
11388.42,90.973
11531.82,89.773
11677.01,88.452
11824.04,87.114
11972.92,86.065
12123.67,85.681
12276.32,85.970
12430.89,86.664
12587.41,87.512
12745.90,88.334
12906.39,88.982
13068.89,89.366
13233.44,89.500
13400.07,89.502
13568.79,89.501
13739.63,89.545
13912.63,89.609
14087.81,89.665
14265.19,89.709
14444.80,89.758
14626.67,89.811
14810.84,89.808
14997.33,89.642
15186.16,89.218
15377.37,88.510
15570.99,87.580
15767.04,86.565
15965.57,85.644
16166.59,84.953
16370.15,84.535
16576.26,84.293
16784.98,84.086
16996.32,83.865
17210.32,83.657
17427.02,83.469
17646.44,83.378
17868.63,83.531
18093.62,84.024
18321.43,84.915
18552.12,86.142
18785.71,87.290
19022.24,87.729
19261.75,87.189
19504.28,85.972
19749.86,84.954
19998.53,84.614
20250.34,84.554
20505.31,84.488
20763.49,84.388
21024.93,84.181
21289.66,83.846
21557.72,83.372
21829.15,82.571
22104.00,81.253
22382.32,79.323
22664.13,77.005
22949.50,75.058
23238.46,73.939
23531.06,72.865
23827.34,71.850
