frequency,raw
20.00,88.037
20.60,88.248
21.20,88.429
21.80,88.548
22.40,88.677
23.00,88.890
23.60,89.147
24.30,89.411
25.00,89.619
25.80,89.781
26.50,89.846
27.20,89.920
28.00,90.114
29.00,90.412
30.00,90.638
30.70,90.720
31.50,90.727
32.50,90.778
33.50,90.993
34.50,91.158
35.50,91.317
36.50,91.541
37.50,91.681
38.70,91.770
40.00,91.843
41.20,91.971
42.50,92.007
43.70,91.959
45.00,91.968
46.20,91.942
47.50,91.842
48.70,91.804
50.00,91.792
51.50,91.780
53.00,91.854
54.50,91.995
56.00,92.021
58.00,91.752
60.00,91.546
61.50,91.477
63.00,91.374
65.00,91.204
67.00,91.016
69.00,90.662
71.00,90.281
73.00,90.042
75.00,89.820
77.50,89.528
80.00,89.159
82.50,88.851
85.00,88.583
87.50,88.249
90.00,87.898
92.50,87.601
95.00,87.225
97.50,86.797
100.00,86.442
103.00,86.120
106.00,85.815
109.00,85.356
112.00,84.916
115.00,84.553
118.00,84.250
122.00,83.946
125.00,83.753
128.00,83.620
132.00,83.501
136.00,83.526
140.00,83.715
145.00,84.026
150.00,84.310
155.00,84.380
160.00,84.047
165.00,83.636
170.00,83.700
175.00,84.072
180.00,84.416
185.00,84.656
190.00,84.816
195.00,84.919
200.00,85.013
206.00,85.136
212.00,85.251
218.00,85.326
224.00,85.371
230.00,85.424
236.00,85.544
243.00,85.774
250.00,86.019
258.00,86.284
265.00,86.472
272.00,86.600
280.00,86.678
290.00,86.726
300.00,86.740
307.00,86.733
315.00,86.727
325.00,86.719
335.00,86.715
345.00,86.716
355.00,86.737
365.00,86.793
375.00,86.838
387.00,86.833
400.00,86.785
412.00,86.767
425.00,86.826
437.00,86.876
450.00,86.865
462.00,86.833
475.00,86.798
487.00,86.767
500.00,86.729
515.00,86.684
530.00,86.639
545.00,86.596
560.00,86.555
580.00,86.492
600.00,86.421
615.00,86.366
630.00,86.313
650.00,86.243
670.00,86.184
690.00,86.140
710.00,86.090
730.00,86.037
750.00,85.995
775.00,85.983
800.00,86.007
825.00,86.072
850.00,86.160
875.00,86.232
900.00,86.257
925.00,86.287
950.00,86.311
975.00,86.274
1000.00,86.252
1030.00,86.249
1060.00,86.239
1090.00,86.230
1120.00,86.228
1150.00,86.252
1180.00,86.325
1220.00,86.493
1250.00,86.639
1280.00,86.774
1320.00,86.909
1360.00,87.007
1400.00,87.102
1450.00,87.279
1500.00,87.550
1550.00,87.891
1600.00,88.285
1650.00,88.733
1700.00,89.231
1750.00,89.785
1800.00,90.394
1850.00,91.079
1900.00,91.840
1950.00,92.637
2000.00,93.440
2060.00,94.404
2120.00,95.361
2180.00,96.274
2240.00,97.109
2300.00,97.867
2360.00,98.536
2430.00,99.172
2500.00,99.678
2580.00,100.199
2650.00,100.577
2720.00,100.838
2800.00,100.995
2900.00,100.946
3000.00,100.659
3070.00,100.345
3150.00,99.913
3250.00,99.346
3350.00,98.784
3450.00,98.239
3550.00,97.730
3650.00,97.204
3750.00,96.595
3870.00,95.738
4000.00,94.708
4120.00,93.734
4250.00,92.736
4370.00,91.898
4500.00,91.092
4620.00,90.418
4750.00,89.723
4870.00,89.139
5000.00,88.642
5150.00,88.299
5300.00,88.156
5450.00,88.099
5600.00,88.031
5800.00,87.864
6000.00,88.244
6150.00,89.936
6300.00,92.285
6500.00,94.334
6700.00,94.644
6900.00,93.859
7100.00,92.659
7300.00,91.399
7500.00,90.225
7750.00,89.212
8000.00,88.854
8250.00,89.038
8500.00,89.495
8750.00,89.631
9000.00,88.790
9250.00,86.837
9500.00,84.401
9750.00,82.428
10000.00,81.472
10300.00,81.420
10600.00,82.117
10900.00,83.161
11200.00,83.639
11500.00,83.103
11800.00,81.816
12200.00,79.738
12500.00,78.279
12800.00,77.505
13200.00,78.474
13600.00,80.808
14000.00,82.657
14500.00,83.832
15000.00,83.393
15500.00,80.800
16000.00,78.980
16500.00,79.390
17000.00,79.028
17500.00,75.823
18000.00,70.251
18500.00,64.123
19000.00,60.496
19500.00,63.325
20000.00,65.400
