frequency,raw
10.00,87.883
10.07,87.934
10.15,87.984
10.22,88.033
10.29,88.082
10.37,88.131
10.44,88.179
10.52,88.227
10.59,88.276
10.67,88.326
10.75,88.376
10.83,88.426
10.91,88.477
10.98,88.529
11.06,88.583
11.14,88.637
11.22,88.693
11.31,88.749
11.39,88.806
11.47,88.865
11.55,88.924
11.64,88.984
11.72,89.045
11.81,89.105
11.89,89.167
11.98,89.228
12.07,89.290
12.15,89.350
12.24,89.411
12.33,89.471
12.42,89.531
12.51,89.589
12.60,89.646
12.69,89.703
12.78,89.758
12.88,89.813
12.97,89.866
13.06,89.918
13.16,89.969
13.25,90.019
13.35,90.069
13.45,90.117
13.54,90.165
13.64,90.213
13.74,90.259
13.84,90.306
13.94,90.353
14.04,90.400
14.14,90.446
14.24,90.493
14.35,90.540
14.45,90.588
14.56,90.636
14.66,90.684
14.77,90.732
14.88,90.781
14.98,90.829
15.09,90.878
15.20,90.927
15.31,90.976
15.42,91.024
15.53,91.072
15.65,91.120
15.76,91.167
15.87,91.213
15.99,91.259
16.10,91.304
16.22,91.348
16.34,91.392
16.46,91.435
16.58,91.477
16.70,91.518
16.82,91.559
16.94,91.600
17.06,91.640
17.19,91.681
17.31,91.721
17.44,91.762
17.56,91.803
17.69,91.844
17.82,91.885
17.95,91.927
18.08,91.969
18.21,92.011
18.34,92.053
18.47,92.095
18.61,92.137
18.74,92.179
18.88,92.221
19.01,92.262
19.15,92.302
19.29,92.342
19.43,92.381
19.57,92.420
19.71,92.458
19.86,92.495
20.00,92.532
20.14,92.568
20.29,92.603
20.44,92.638
20.59,92.672
20.74,92.706
20.89,92.739
21.04,92.772
21.19,92.805
21.34,92.838
21.50,92.870
21.65,92.903
21.81,92.936
21.97,92.970
22.13,93.005
22.29,93.040
22.45,93.076
22.61,93.112
22.78,93.148
22.94,93.184
23.11,93.219
23.27,93.253
23.44,93.286
23.61,93.318
23.78,93.348
23.96,93.377
24.13,93.405
24.30,93.432
24.48,93.459
24.66,93.487
24.84,93.515
25.02,93.545
25.20,93.576
25.38,93.607
25.56,93.639
25.75,93.671
25.94,93.702
26.12,93.731
26.31,93.759
26.50,93.784
26.70,93.806
26.89,93.826
27.09,93.845
27.28,93.862
27.48,93.878
27.68,93.895
27.88,93.912
28.08,93.931
28.28,93.952
28.49,93.973
28.70,93.996
28.90,94.019
29.11,94.042
29.32,94.063
29.54,94.084
29.75,94.103
29.97,94.120
30.18,94.136
30.40,94.152
30.62,94.166
30.84,94.181
31.07,94.196
31.29,94.211
31.52,94.226
31.75,94.241
31.98,94.256
32.21,94.270
32.44,94.283
32.68,94.295
32.92,94.307
33.15,94.318
33.39,94.330
33.64,94.342
33.88,94.356
34.13,94.370
