frequency,raw
20,99.314
20.3,99.325
20.6,99.333
20.9,99.339
21.2,99.341
21.4,99.342
21.8,99.340
22,99.337
22.4,99.330
22.7,99.323
23,99.314
23.3,99.303
23.6,99.292
24,99.275
24.3,99.261
24.7,99.240
25,99.224
25.4,99.202
25.8,99.178
26.2,99.154
26.5,99.135
26.9,99.110
27.2,99.091
27.6,99.066
28,99.042
28.5,99.013
29,98.985
29.5,98.959
30,98.936
30.4,98.920
30.7,98.909
31.1,98.897
31.5,98.887
32,98.879
32.5,98.874
33,98.873
33.5,98.874
34,98.879
34.5,98.886
35,98.895
35.5,98.906
36,98.919
36.5,98.934
37,98.948
37.5,98.964
38.2,98.986
38.7,99.001
39.5,99.024
40,99.036
40.6,99.049
41.2,99.059
41.8,99.065
42.5,99.065
43.1,99.056
43.7,99.037
44.4,99.005
45,98.977
45.5,98.952
46.2,98.914
46.8,98.880
47.5,98.840
48.2,98.797
48.7,98.766
49.4,98.721
50,98.680
50.8,98.626
51.5,98.578
52.2,98.529
53,98.471
53.8,98.415
54.5,98.363
55.2,98.308
56,98.241
57,98.151
58,98.058
59,97.963
60,97.868
60.8,97.793
61.5,97.731
62.2,97.672
63,97.609
64,97.553
65,97.566
66,97.656
67,97.772
68,97.892
69,98.018
70,98.144
71,98.271
72,98.397
73,98.521
74,98.642
75,98.758
76.2,98.897
77.5,99.047
78.8,99.196
80,99.331
81.2,99.465
82.5,99.606
83.8,99.743
85,99.864
86.2,99.970
87.5,100.061
88.5,100.120
90,100.198
91.2,100.253
92.5,100.305
93.8,100.349
95,100.383
96.2,100.409
97.5,100.424
98.8,100.429
100,100.430
101.5,100.429
103,100.429
104.4,100.428
106,100.430
107.5,100.433
109,100.437
110.6,100.442
112,100.450
113.8,100.459
115,100.465
117.2,100.471
118,100.469
120.6,100.438
122,100.411
124.1,100.366
125,100.346
126.5,100.310
128,100.273
131.5,100.177
132,100.162
134,100.100
136,100.032
138,99.960
140,99.875
143,99.723
145,99.608
147.5,99.451
150,99.280
152.5,99.093
155,98.892
157.5,98.687
160,98.480
162.5,98.270
165,98.060
167.5,97.848
170,97.635
172.5,97.426
175,97.225
177.5,97.031
180,96.842
182.5,96.656
185,96.475
187.5,96.296
190,96.119
192.5,95.933
195,95.728
197.5,95.501
200,95.261
203,94.965
206,94.657
209,94.338
212,94.011
214,93.791
218,93.340
220,93.112
224,92.657
227,92.340
230,92.058
233,91.814
236,91.618
240,91.460
243,91.394
247,91.293
250,91.177
254,90.989
258,90.791
262,90.594
265,90.453
269,90.286
272,90.184
276,90.073
280,89.977
285,89.870
290,89.766
295,89.669
300,89.597
304,89.580
307,89.588
311,89.602
315,89.610
320,89.605
325,89.569
330,89.503
335,89.429
340,89.368
345,89.368
350,89.490
355,89.735
360,90.056
365,90.401
370,90.728
375,91.026
382,91.388
387,91.617
395,91.963
400,92.181
406,92.447
412,92.705
418,92.950
425,93.214
431,93.419
437,93.606
444,93.805
450,93.958
455,94.069
462,94.201
468,94.299
475,94.392
482,94.449
487,94.470
494,94.488
500,94.514
508,94.579
515,94.633
522,94.647
530,94.642
538,94.644
545,94.626
552,94.594
560,94.558
570,94.510
580,94.441
590,94.361
600,94.279
608,94.213
615,94.152
622,94.088
630,94.007
640,93.898
650,93.790
660,93.697
670,93.625
680,93.558
690,93.482
700,93.395
710,93.302
