frequency,raw
20.00,101.142
20.30,101.136
20.60,101.129
20.90,101.122
21.20,101.111
21.40,101.102
21.80,101.082
22.00,101.073
22.40,101.054
22.70,101.041
23.00,101.029
23.30,101.018
23.60,101.005
24.00,100.985
24.30,100.968
24.70,100.948
25.00,100.936
25.40,100.923
25.80,100.911
26.20,100.899
26.50,100.890
26.90,100.877
27.20,100.871
27.60,100.862
28.00,100.852
28.50,100.828
29.00,100.795
29.50,100.764
30.00,100.748
30.40,100.743
30.70,100.740
31.10,100.731
31.50,100.714
32.00,100.686
32.50,100.658
33.00,100.633
33.50,100.608
34.00,100.583
34.50,100.558
35.00,100.534
35.50,100.507
36.00,100.474
36.50,100.437
37.00,100.401
37.50,100.366
38.20,100.313
38.70,100.272
39.50,100.209
40.00,100.172
40.60,100.124
41.20,100.068
41.80,100.007
42.50,99.940
43.10,99.888
43.70,99.836
44.40,99.764
45.00,99.691
45.50,99.623
46.20,99.528
46.80,99.450
47.50,99.359
48.20,99.266
48.70,99.198
49.40,99.103
50.00,99.022
50.80,98.919
51.50,98.839
52.20,98.762
53.00,98.659
53.80,98.546
54.50,98.463
55.20,98.389
56.00,98.283
57.00,98.108
58.00,97.928
59.00,97.747
60.00,97.598
60.80,97.515
61.50,97.442
62.20,97.357
63.00,97.260
64.00,97.136
65.00,97.007
66.00,96.865
67.00,96.707
68.00,96.543
69.00,96.366
70.00,96.188
71.00,96.015
72.00,95.849
73.00,95.690
74.00,95.529
75.00,95.362
76.20,95.178
77.50,94.991
78.80,94.792
80.00,94.618
81.20,94.465
82.50,94.318
83.80,94.190
85.00,94.086
86.20,93.995
87.50,93.901
88.50,93.831
90.00,93.733
91.20,93.637
92.50,93.535
93.80,93.465
95.00,93.401
96.20,93.326
97.50,93.250
98.80,93.185
100.00,93.125
101.50,93.052
103.00,92.984
104.40,92.926
106.00,92.853
107.50,92.773
109.00,92.689
110.60,92.603
112.00,92.533
113.80,92.451
115.00,92.411
117.20,92.377
118.00,92.378
120.60,92.423
122.00,92.476
124.10,92.581
125.00,92.631
126.50,92.714
128.00,92.798
131.50,92.972
132.00,92.993
134.00,93.067
136.00,93.120
138.00,93.149
140.00,93.151
143.00,93.101
145.00,93.030
147.50,92.892
150.00,92.716
152.50,92.524
155.00,92.330
157.50,92.145
160.00,91.983
162.50,91.854
165.00,91.757
167.50,91.692
170.00,91.645
172.50,91.606
175.00,91.568
177.50,91.529
180.00,91.484
182.50,91.436
185.00,91.387
187.50,91.338
190.00,91.287
192.50,91.233
195.00,91.177
197.50,91.120
200.00,91.063
203.00,90.993
206.00,90.920
209.00,90.847
212.00,90.775
214.00,90.728
218.00,90.643
220.00,90.608
224.00,90.554
227.00,90.529
230.00,90.511
233.00,90.495
236.00,90.475
240.00,90.438
243.00,90.405
247.00,90.355
250.00,90.315
254.00,90.262
258.00,90.211
262.00,90.163
265.00,90.130
269.00,90.087
272.00,90.055
276.00,90.015
280.00,89.976
285.00,89.929
290.00,89.879
295.00,89.827
300.00,89.779
304.00,89.750
307.00,89.733
311.00,89.722
315.00,89.724
320.00,89.739
325.00,89.761
330.00,89.784
335.00,89.805
340.00,89.822
345.00,89.835
350.00,89.844
355.00,89.854
360.00,89.867
365.00,89.884
370.00,89.903
375.00,89.922
382.00,89.942
387.00,89.950
395.00,89.951
400.00,89.942
406.00,89.925
412.00,89.931
418.00,90.000
425.00,90.174
431.00,90.385
437.00,90.542
444.00,90.605
450.00,90.610
455.00,90.605
462.00,90.596
468.00,90.585
475.00,90.570
482.00,90.559
487.00,90.557
494.00,90.567
500.00,90.586
508.00,90.623
515.00,90.657
522.00,90.686
530.00,90.717
538.00,90.744
545.00,90.769
552.00,90.798
560.00,90.839
570.00,90.900
580.00,90.965
590.00,91.027
600.00,91.084
608.00,91.127
615.00,91.163
622.00,91.200
630.00,91.245
640.00,91.304
650.00,91.365
660.00,91.422
670.00,91.475
680.00,91.520
690.00,91.556
700.00,91.587
710.00,91.616
720.00,91.647
730.00,91.682
740.00,91.719
750.00,91.760
762.00,91.812
775.00,91.861
788.00,91.898
800.00,91.925
812.00,91.957
825.00,91.999
838.00,92.044
850.00,92.085
862.00,92.121
875.00,92.154
885.00,92.175
900.00,92.197
912.00,92.207
925.00,92.209
938.00,92.199
950.00,92.176
962.00,92.140
975.00,92.091
988.00,92.030
1000.00,91.959
1015.00,91.843
1030.00,91.706
1044.00,91.590
1060.00,91.525
1075.00,91.569
1090.00,91.720
1106.00,91.962
1120.00,92.201
1138.00,92.500
1150.00,92.680
1172.00,92.962
1180.00,93.051
1206.00,93.293
1220.00,93.399
1241.00,93.531
1250.00,93.579
1265.00,93.651
1280.00,93.715
1315.00,93.844
1320.00,93.862
1340.00,93.934
1360.00,94.010
1380.00,94.088
1400.00,94.166
1430.00,94.279
1450.00,94.350
1475.00,94.436
1500.00,94.516
1525.00,94.591
1550.00,94.661
1575.00,94.728
1600.00,94.789
1625.00,94.843
1650.00,94.888
1675.00,94.928
1700.00,94.966
1725.00,95.008
1750.00,95.067
1775.00,95.178
1800.00,95.368
1825.00,95.617
1850.00,95.867
1875.00,96.075
1900.00,96.243
1925.00,96.389
1950.00,96.529
1975.00,96.668
2000.00,96.807
2030.00,96.971
2060.00,97.129
2090.00,97.277
2120.00,97.414
2140.00,97.500
2180.00,97.664
2200.00,97.746
2240.00,97.922
2270.00,98.071
2300.00,98.237
2330.00,98.415
2360.00,98.600
2400.00,98.839
2430.00,99.001
2470.00,99.174
2500.00,99.264
2540.00,99.327
2580.00,99.333
2620.00,99.298
2650.00,99.253
2690.00,99.175
2720.00,99.103
2760.00,98.990
2800.00,98.856
2850.00,98.651
2900.00,98.412
2950.00,98.146
3000.00,97.802
3040.00,97.437
3070.00,97.123
3110.00,96.693
3150.00,96.301
3200.00,95.883
3250.00,95.464
3300.00,95.013
3350.00,94.620
3400.00,94.320
3450.00,94.059
3500.00,93.792
3550.00,93.502
3600.00,93.171
3650.00,92.777
3700.00,92.297
3750.00,91.729
3820.00,90.883
3870.00,90.395
3950.00,90.079
4000.00,90.147
4060.00,90.322
4120.00,90.468
4180.00,90.612
4250.00,90.979
4310.00,91.565
4370.00,92.319
4440.00,93.171
4500.00,93.699
4550.00,93.950
4620.00,94.049
4680.00,93.975
4750.00,93.747
4820.00,93.341
4870.00,92.943
4940.00,92.283
5000.00,91.691
5080.00,90.966
5150.00,90.485
5220.00,90.245
5300.00,90.263
5380.00,90.348
5450.00,90.331
5520.00,90.292
5600.00,90.373
5700.00,90.935
5800.00,92.182
5900.00,93.772
6000.00,95.284
6080.00,96.283
6150.00,96.940
6220.00,97.365
6300.00,97.562
6400.00,97.403
6500.00,96.854
6600.00,96.019
6700.00,95.042
6800.00,94.079
6900.00,93.208
7000.00,92.508
7100.00,92.062
7200.00,91.827
7300.00,91.679
7400.00,91.474
7500.00,91.158
7620.00,90.777
7750.00,90.635
7880.00,90.895
8000.00,91.553
8120.00,92.628
8250.00,93.928
8380.00,94.784
8500.00,94.865
8620.00,94.363
8750.00,93.587
8850.00,93.061
9000.00,92.428
9120.00,91.995
9250.00,91.660
9380.00,91.628
9500.00,91.930
9620.00,92.394
9750.00,92.772
9880.00,92.700
10000.00,92.019
10150.00,90.235
10300.00,87.515
10440.00,84.360
10600.00,80.597
10750.00,78.334
10900.00,79.545
11060.00,83.240
11200.00,86.686
11380.00,89.841
11500.00,91.039
11720.00,91.601
11800.00,91.415
12060.00,89.903
12200.00,88.675
12410.00,86.866
12500.00,86.364
12650.00,86.289
12800.00,87.121
13150.00,89.200
13200.00,89.383
13400.00,89.926
13600.00,90.090
13800.00,89.531
14000.00,88.019
14300.00,84.292
14500.00,81.883
14750.00,81.972
15000.00,83.333
15250.00,84.243
15500.00,85.005
15750.00,86.171
16000.00,87.983
16250.00,89.563
16500.00,89.630
16750.00,87.872
17000.00,85.183
17250.00,82.665
17500.00,81.039
17750.00,80.573
18000.00,80.612
18250.00,80.567
18500.00,80.483
18750.00,80.544
19000.00,80.752
19250.00,80.878
19500.00,80.698
19750.00,80.025
20000.00,78.598
