frequency,raw
20.00,106.558
20.14,106.565
20.29,106.572
20.44,106.577
20.59,106.582
20.74,106.587
20.89,106.590
21.04,106.594
21.19,106.597
21.34,106.600
21.50,106.603
21.65,106.606
21.81,106.608
21.97,106.611
22.13,106.613
22.29,106.614
22.45,106.615
22.61,106.617
22.78,106.618
22.94,106.619
23.11,106.620
23.27,106.620
23.44,106.620
23.61,106.620
23.78,106.620
23.96,106.619
24.13,106.619
24.30,106.617
24.48,106.615
24.66,106.613
24.84,106.611
25.02,106.608
25.20,106.604
25.38,106.601
25.56,106.597
25.75,106.593
25.94,106.589
26.12,106.584
26.31,106.576
26.50,106.565
26.70,106.552
26.89,106.537
27.09,106.521
27.28,106.505
27.48,106.489
27.68,106.473
27.88,106.456
28.08,106.439
28.28,106.422
28.49,106.404
28.70,106.386
28.90,106.368
29.11,106.349
29.32,106.329
29.54,106.310
29.75,106.291
29.97,106.271
30.18,106.250
30.40,106.230
30.62,106.209
30.84,106.186
31.07,106.164
31.29,106.141
31.52,106.119
31.75,106.094
31.98,106.069
32.21,106.041
32.44,106.011
32.68,105.978
32.92,105.941
33.15,105.904
33.39,105.866
33.64,105.827
33.88,105.788
34.13,105.749
34.37,105.710
34.62,105.672
34.87,105.635
35.13,105.598
35.38,105.562
35.64,105.527
35.89,105.492
36.15,105.457
36.42,105.422
36.68,105.388
36.95,105.353
37.21,105.320
37.48,105.285
37.75,105.249
38.03,105.209
38.30,105.168
38.58,105.123
38.86,105.076
39.14,105.028
39.43,104.977
39.71,104.926
40.00,104.874
40.29,104.821
40.58,104.766
40.88,104.710
41.17,104.654
41.47,104.595
41.77,104.535
42.07,104.474
42.38,104.412
42.69,104.352
42.99,104.296
43.31,104.248
43.62,104.205
43.94,104.168
44.25,104.135
44.58,104.105
44.90,104.076
45.22,104.050
45.55,104.026
45.88,104.005
46.21,103.986
46.55,103.971
46.89,103.959
47.23,103.952
47.57,103.950
47.91,103.954
48.26,103.963
48.61,103.979
48.96,104.002
49.32,104.034
49.67,104.071
50.03,104.114
50.40,104.161
50.76,104.210
51.13,104.258
51.50,104.305
51.87,104.346
52.25,104.382
52.63,104.411
53.01,104.433
53.39,104.447
53.78,104.456
54.17,104.457
54.56,104.451
54.96,104.436
55.36,104.414
55.76,104.383
56.16,104.343
56.57,104.293
56.98,104.237
57.39,104.176
57.81,104.112
58.23,104.047
58.65,103.989
59.07,103.942
59.50,103.909
59.93,103.887
60.37,103.873
60.80,103.863
61.24,103.855
61.69,103.847
62.14,103.840
62.59,103.832
63.04,103.827
63.50,103.819
63.96,103.810
64.42,103.797
64.89,103.779
65.36,103.754
65.83,103.725
66.31,103.694
66.79,103.665
67.27,103.637
67.76,103.613
68.25,103.590
68.74,103.568
69.24,103.547
69.74,103.525
70.25,103.504
70.76,103.484
71.27,103.465
71.79,103.447
72.31,103.430
72.83,103.413
73.36,103.397
73.89,103.383
74.43,103.371
74.97,103.363
75.51,103.357
76.06,103.355
76.61,103.356
77.16,103.361
77.72,103.370
78.29,103.385
78.85,103.405
79.42,103.432
80.00,103.464
80.58,103.503
81.16,103.549
81.75,103.603
82.34,103.665
82.94,103.733
83.54,103.805
84.15,103.879
84.76,103.952
85.37,104.020
85.99,104.087
86.61,104.150
87.24,104.212
87.87,104.270
88.51,104.328
89.15,104.383
89.80,104.437
90.45,104.489
91.10,104.541
91.76,104.593
92.43,104.643
93.10,104.694
93.77,104.744
94.45,104.794
95.14,104.846
95.83,104.897
96.52,104.946
97.22,104.994
97.92,105.037
98.63,105.077
99.35,105.113
100.07,105.145
100.79,105.174
101.52,105.201
102.26,105.227
103.00,105.254
103.75,105.281
104.50,105.308
105.26,105.335
106.02,105.361
106.79,105.387
107.56,105.411
108.34,105.434
109.13,105.454
109.92,105.473
110.71,105.489
111.52,105.502
112.32,105.513
113.14,105.519
113.96,105.519
114.78,105.511
115.61,105.499
116.45,105.484
117.30,105.469
118.15,105.453
119.00,105.435
119.86,105.416
120.73,105.396
121.61,105.373
122.49,105.345
123.38,105.313
124.27,105.275
125.17,105.237
126.08,105.201
126.99,105.167
127.91,105.134
128.84,105.098
129.77,105.056
130.71,105.012
131.66,104.966
132.61,104.922
133.58,104.883
134.54,104.845
135.52,104.805
136.50,104.762
137.49,104.715
138.49,104.662
139.49,104.608
140.50,104.555
141.52,104.505
142.54,104.457
143.58,104.409
144.62,104.361
145.67,104.308
146.72,104.254
147.78,104.197
148.85,104.138
149.93,104.080
151.02,104.022
152.11,103.962
153.22,103.903
154.33,103.841
155.45,103.780
156.57,103.719
157.71,103.660
158.85,103.607
160.00,103.555
161.16,103.505
162.33,103.451
163.50,103.394
164.69,103.334
165.88,103.270
167.08,103.203
168.29,103.134
169.51,103.060
170.74,102.984
171.98,102.908
173.23,102.834
174.48,102.762
175.75,102.691
177.02,102.614
178.30,102.530
179.59,102.439
180.90,102.341
182.21,102.239
183.53,102.134
184.86,102.029
186.20,101.924
187.55,101.819
188.90,101.712
190.27,101.603
191.65,101.493
193.04,101.382
194.44,101.274
195.85,101.173
197.27,101.078
198.70,100.990
200.14,100.903
201.59,100.809
203.05,100.712
204.52,100.612
206.00,100.511
207.49,100.409
209.00,100.306
210.51,100.207
212.04,100.106
213.57,100.004
215.12,99.901
216.68,99.793
218.25,99.682
219.83,99.575
221.43,99.471
223.03,99.370
224.65,99.270
226.27,99.168
227.91,99.066
229.57,98.962
231.23,98.857
232.90,98.753
234.59,98.648
236.29,98.546
238.00,98.443
239.73,98.343
241.47,98.243
243.22,98.139
244.98,98.034
246.75,97.927
248.54,97.822
250.34,97.722
252.16,97.619
253.98,97.513
255.82,97.403
257.68,97.291
259.55,97.179
261.43,97.068
263.32,96.959
265.23,96.847
267.15,96.733
269.09,96.621
271.04,96.513
273.00,96.403
274.98,96.302
276.97,96.212
278.98,96.119
281.00,96.017
283.04,95.904
285.09,95.793
287.15,95.690
289.23,95.601
291.33,95.522
293.44,95.434
295.57,95.337
297.71,95.235
299.87,95.135
302.04,95.038
304.23,94.941
306.43,94.842
308.65,94.743
310.89,94.648
313.14,94.558
315.41,94.474
317.70,94.395
320.00,94.322
322.32,94.250
324.65,94.178
327.01,94.103
329.38,94.028
331.76,93.951
334.17,93.875
336.59,93.798
339.03,93.722
341.48,93.648
343.96,93.578
346.45,93.511
348.96,93.449
351.49,93.389
354.04,93.329
356.60,93.274
359.19,93.224
361.79,93.179
364.41,93.143
367.05,93.116
369.71,93.097
372.39,93.085
375.09,93.082
377.81,93.084
380.55,93.093
383.30,93.109
386.08,93.132
388.88,93.162
391.70,93.197
394.54,93.237
397.39,93.278
400.27,93.322
403.17,93.369
406.10,93.416
409.04,93.464
412.00,93.513
414.99,93.561
418.00,93.608
421.02,93.654
424.08,93.697
427.15,93.738
430.24,93.779
433.36,93.822
436.50,93.864
439.67,93.907
442.85,93.950
446.06,93.993
449.29,94.037
452.55,94.084
455.83,94.135
459.13,94.186
462.46,94.238
465.81,94.291
469.18,94.346
472.58,94.407
476.01,94.471
479.46,94.533
482.93,94.591
486.43,94.644
489.96,94.696
493.51,94.746
497.08,94.799
500.69,94.851
504.31,94.897
507.97,94.943
511.65,94.992
515.36,95.041
519.09,95.090
522.85,95.131
526.64,95.163
530.46,95.190
534.30,95.219
538.17,95.256
542.07,95.299
546.00,95.339
549.96,95.370
553.94,95.392
557.96,95.403
562.00,95.414
566.07,95.430
570.18,95.457
574.31,95.492
578.47,95.530
582.66,95.568
586.88,95.606
591.14,95.642
595.42,95.678
599.73,95.715
604.08,95.751
608.46,95.787
612.87,95.822
617.31,95.854
621.78,95.883
626.29,95.909
630.82,95.933
635.40,95.954
640.00,95.972
644.64,95.984
649.31,95.992
654.01,95.994
658.75,95.992
663.53,95.987
668.34,95.982
673.18,95.981
678.06,95.987
682.97,96.004
687.92,96.032
692.90,96.073
697.92,96.122
702.98,96.175
708.08,96.231
713.21,96.284
718.38,96.337
723.58,96.388
728.82,96.439
734.11,96.490
739.43,96.541
744.78,96.592
750.18,96.642
755.62,96.691
761.09,96.734
766.61,96.774
772.16,96.809
777.76,96.840
783.39,96.868
789.07,96.894
794.79,96.919
800.55,96.940
806.35,96.958
812.19,96.973
818.08,96.986
824.01,96.996
829.98,97.007
835.99,97.017
842.05,97.024
848.15,97.031
854.30,97.038
860.49,97.043
866.72,97.049
873.00,97.054
879.33,97.060
885.70,97.064
892.12,97.067
898.59,97.071
905.10,97.076
911.66,97.080
918.26,97.084
924.92,97.087
931.62,97.087
938.37,97.085
945.17,97.083
952.02,97.082
958.92,97.079
965.87,97.078
972.86,97.076
979.91,97.074
987.01,97.073
994.17,97.072
1001.37,97.070
1008.63,97.069
1015.94,97.067
1023.30,97.066
1030.71,97.064
1038.18,97.060
1045.71,97.055
1053.28,97.050
1060.92,97.042
1068.60,97.029
1076.35,97.014
1084.15,96.998
1092.00,96.983
1099.92,96.969
1107.89,96.957
1115.92,96.945
1124.00,96.930
1132.15,96.915
1140.35,96.899
1148.61,96.884
1156.94,96.870
1165.32,96.857
1173.77,96.846
1182.27,96.837
1190.84,96.830
1199.47,96.829
1208.16,96.831
1216.91,96.838
1225.73,96.847
1234.61,96.859
1243.56,96.870
1252.57,96.881
1261.65,96.889
1270.79,96.894
1280.00,96.896
1289.28,96.893
1298.62,96.886
1308.03,96.870
1317.51,96.844
1327.05,96.800
1336.67,96.731
1346.36,96.648
1356.11,96.562
1365.94,96.490
1375.84,96.443
1385.81,96.427
1395.85,96.441
1405.96,96.476
1416.15,96.525
1426.42,96.578
1436.75,96.620
1447.16,96.651
1457.65,96.670
1468.21,96.680
1478.85,96.684
1489.57,96.684
1500.36,96.680
1511.23,96.673
1522.19,96.665
1533.22,96.654
1544.33,96.644
1555.52,96.630
1566.79,96.614
1578.14,96.594
1589.58,96.567
1601.10,96.535
1612.70,96.499
1624.39,96.459
1636.16,96.422
1648.01,96.394
1659.95,96.379
1671.98,96.385
1684.10,96.409
1696.30,96.450
1708.59,96.501
1720.98,96.559
1733.45,96.621
1746.01,96.685
1758.66,96.749
1771.40,96.811
1784.24,96.872
1797.17,96.933
1810.19,96.997
1823.31,97.068
1836.52,97.145
1849.83,97.228
1863.24,97.317
1876.74,97.410
1890.34,97.507
1904.04,97.606
1917.83,97.707
1931.73,97.808
1945.73,97.911
1959.83,98.015
1974.03,98.124
1988.33,98.234
2002.74,98.347
2017.26,98.463
2031.87,98.581
2046.60,98.702
2061.43,98.828
2076.37,98.960
2091.41,99.101
2106.57,99.250
2121.83,99.409
2137.21,99.579
2152.69,99.760
2168.29,99.951
2184.01,100.148
2199.83,100.346
2215.77,100.542
2231.83,100.733
2248.00,100.920
2264.29,101.105
2280.70,101.289
2297.23,101.474
2313.87,101.661
2330.64,101.851
2347.53,102.043
2364.54,102.239
