frequency,raw
10,94.5194
10.15,94.4974
10.3,94.4859
10.44,94.4844
10.6,94.4945
10.75,94.5178
10.9,94.5529
11.06,94.6001
11.2,94.6507
11.38,94.7210
11.5,94.7707
11.72,94.8627
11.8,94.8946
12.06,94.9934
12.2,95.0402
12.41,95.1026
12.5,95.1263
12.65,95.1615
12.8,95.1925
13.15,95.2504
13.2,95.2574
13.4,95.2824
13.6,95.3036
13.8,95.3214
14,95.3365
14.3,95.3547
14.5,95.3650
14.75,95.3772
15,95.3896
15.25,95.4033
15.5,95.4180
15.75,95.4339
16,95.4507
16.25,95.4695
16.5,95.4917
16.75,95.5198
17,95.5563
17.25,95.6010
17.5,95.6534
17.75,95.7076
18,95.7587
18.25,95.8011
18.5,95.8288
18.75,95.8417
19,95.8398
19.25,95.8286
19.5,95.8136
19.75,95.7988
20,95.7890
20.3,95.7823
20.6,95.7780
20.9,95.7704
21.2,95.7542
21.4,95.7383
21.8,95.6984
22,95.6775
22.4,95.6410
22.7,95.6224
23,95.6129
23.3,95.6119
23.6,95.6176
24,95.6299
24.3,95.6346
24.7,95.6213
25,95.5892
25.4,95.5179
25.8,95.4380
26.2,95.3917
26.5,95.3986
26.9,95.4619
27.2,95.5278
27.6,95.5986
28,95.6121
28.5,95.5402
29,95.4191
29.5,95.3030
30,95.2051
30.4,95.1292
30.7,95.0707
31.1,94.9951
31.5,94.9261
32,94.8430
32.5,94.7437
33,94.6200
33.5,94.4889
34,94.3734
34.5,94.2785
35,94.1928
35.5,94.0996
36,93.9814
36.5,93.8271
37,93.6539
37.5,93.5141
38.2,93.4543
38.7,93.4718
39.5,93.4283
40,93.3533
40.6,93.2896
41.2,93.2793
41.8,93.2760
42.5,93.2450
43.1,93.2059
43.7,93.1523
44.4,93.0654
45,92.9882
45.5,92.9269
46.2,92.8180
46.8,92.6786
47.5,92.4725
48.2,92.2563
48.7,92.1110
49.4,91.9125
50,91.7156
50.8,91.3945
51.5,91.1090
52.2,90.8361
53,90.4682
53.8,90.0599
54.5,89.7709
55.2,89.5426
56,89.2656
57,88.8703
58,88.5060
59,88.1863
60,87.7822
60.8,87.4547
61.5,87.2531
62.2,87.0846
63,86.8645
64,86.6214
65,86.4856
66,86.4676
67,86.5534
68,86.6539
69,86.7571
70,86.9049
71,87.0820
72,87.2425
73,87.4018
74,87.6102
75,87.8683
76.2,88.1806
