frequency,raw
2.95,82.205
2.97,82.233
2.99,82.268
3.02,82.314
3.04,82.364
3.06,82.412
3.08,82.462
3.10,82.511
3.13,82.561
3.15,82.609
3.17,82.659
3.20,82.708
3.22,82.758
3.24,82.808
3.27,82.858
3.29,82.909
3.31,82.959
3.34,83.011
3.36,83.062
3.39,83.114
3.41,83.164
3.43,83.216
3.46,83.267
3.48,83.320
3.51,83.370
3.54,83.423
3.56,83.475
3.59,83.528
3.61,83.579
3.64,83.633
3.67,83.686
3.69,83.739
3.72,83.791
3.75,83.844
3.77,83.898
3.80,83.951
3.83,84.004
3.86,84.057
3.88,84.112
3.91,84.165
3.94,84.219
3.97,84.272
4.00,84.326
4.03,84.380
4.06,84.434
4.08,84.490
4.11,84.543
4.14,84.597
4.17,84.651
4.20,84.706
4.23,84.760
4.27,84.814
4.30,84.869
4.33,84.924
4.36,84.977
4.39,85.031
4.42,85.087
4.45,85.141
4.49,85.195
4.52,85.248
4.55,85.303
4.59,85.358
4.62,85.411
4.65,85.465
4.69,85.519
4.72,85.573
4.75,85.627
4.79,85.680
4.82,85.733
4.86,85.787
4.89,85.840
4.93,85.893
4.96,85.946
5.00,85.999
5.04,86.051
5.07,86.103
5.11,86.156
5.15,86.207
5.18,86.258
5.22,86.310
5.26,86.361
5.30,86.412
5.34,86.463
5.37,86.512
5.41,86.562
5.45,86.612
5.49,86.662
5.53,86.710
5.57,86.758
5.61,86.806
5.65,86.853
5.69,86.901
5.74,86.947
5.78,86.993
5.82,87.037
5.86,87.083
5.90,87.128
5.95,87.172
5.99,87.217
6.03,87.261
6.08,87.305
6.12,87.347
6.16,87.390
6.21,87.433
6.25,87.475
6.30,87.517
6.35,87.559
6.39,87.599
6.44,87.639
6.48,87.680
6.53,87.719
6.58,87.758
6.63,87.797
6.67,87.837
6.72,87.874
6.77,87.912
6.82,87.948
6.87,87.985
6.92,88.021
6.97,88.056
7.02,88.091
7.07,88.125
7.12,88.159
7.17,88.192
7.23,88.224
7.28,88.255
7.33,88.287
7.38,88.316
7.44,88.346
7.49,88.375
7.55,88.403
7.60,88.430
7.66,88.457
7.71,88.482
7.77,88.507
7.82,88.531
7.88,88.554
7.94,88.577
7.99,88.597
8.05,88.618
8.11,88.638
8.17,88.656
8.23,88.673
8.29,88.690
8.35,88.705
8.41,88.719
8.47,88.732
8.53,88.745
8.59,88.756
8.66,88.766
8.72,88.772
8.78,88.774
8.84,88.772
8.91,88.766
8.97,88.757
9.04,88.745
9.10,88.732
9.17,88.718
9.24,88.702
9.30,88.685
9.37,88.668
9.44,88.649
9.51,88.630
9.58,88.608
9.65,88.587
9.72,88.564
9.79,88.540
9.86,88.516
9.93,88.492
10.00,88.466
10.07,88.440
10.15,88.413
10.22,88.386
10.29,88.360
10.37,88.333
10.44,88.305
10.52,88.279
10.59,88.251
10.67,88.225
10.75,88.199
10.83,88.173
10.91,88.148
10.98,88.124
11.06,88.101
11.14,88.079
11.22,88.058
11.31,88.038
11.39,88.020
11.47,88.004
11.55,87.989
11.64,87.976
11.72,87.963
11.81,87.952
11.89,87.941
11.98,87.931
12.07,87.922
12.15,87.913
12.24,87.906
12.33,87.901
12.42,87.896
12.51,87.892
12.60,87.888
12.69,87.886
12.78,87.884
12.88,87.882
12.97,87.881
13.06,87.880
13.16,87.879
13.25,87.879
13.35,87.877
13.45,87.876
13.54,87.875
13.64,87.872
13.74,87.870
13.84,87.866
13.94,87.862
14.04,87.856
14.14,87.849
14.24,87.840
14.35,87.831
14.45,87.819
14.56,87.804
14.66,87.788
14.77,87.770
14.88,87.750
14.98,87.728
15.09,87.704
15.20,87.679
15.31,87.654
15.42,87.626
15.53,87.597
15.65,87.567
15.76,87.537
15.87,87.505
15.99,87.472
16.10,87.439
16.22,87.406
16.34,87.371
16.46,87.337
16.58,87.302
16.70,87.267
16.82,87.233
16.94,87.199
17.06,87.165
17.19,87.132
17.31,87.100
17.44,87.069
17.56,87.041
17.69,87.014
17.82,86.988
17.95,86.964
18.08,86.940
18.21,86.915
18.34,86.891
18.47,86.866
18.61,86.842
18.74,86.818
18.88,86.795
19.01,86.773
19.15,86.751
19.29,86.730
19.43,86.712
19.57,86.694
19.71,86.678
19.86,86.663
20.00,86.651
20.14,86.642
20.29,86.638
20.44,86.646
20.59,86.666
20.74,86.701
20.89,86.745
21.04,86.797
21.19,86.851
21.34,86.909
21.50,86.970
