frequency,raw
2.95,79.928
2.97,79.971
2.99,80.023
3.02,80.095
3.04,80.169
3.06,80.243
3.08,80.319
3.10,80.394
3.13,80.470
3.15,80.544
3.17,80.618
3.20,80.694
3.22,80.770
3.24,80.845
3.27,80.921
3.29,80.997
3.31,81.075
3.34,81.153
3.36,81.231
3.39,81.308
3.41,81.385
3.43,81.463
3.46,81.541
3.48,81.619
3.51,81.697
3.54,81.776
3.56,81.856
3.59,81.934
3.61,82.013
3.64,82.094
3.67,82.174
3.69,82.254
3.72,82.332
3.75,82.412
3.77,82.493
3.80,82.573
3.83,82.653
3.86,82.733
3.88,82.815
3.91,82.895
3.94,82.976
3.97,83.056
4.00,83.137
4.03,83.219
4.06,83.300
4.08,83.383
4.11,83.464
4.14,83.544
4.17,83.626
4.20,83.707
4.23,83.787
4.27,83.869
4.30,83.951
4.33,84.033
4.36,84.114
4.39,84.194
4.42,84.275
4.45,84.357
4.49,84.437
4.52,84.517
4.55,84.599
4.59,84.679
4.62,84.759
4.65,84.839
4.69,84.919
4.72,84.999
4.75,85.078
4.79,85.157
4.82,85.235
4.86,85.313
4.89,85.392
4.93,85.470
4.96,85.548
5.00,85.625
5.04,85.701
5.07,85.778
5.11,85.855
5.15,85.930
5.18,86.005
5.22,86.079
5.26,86.154
5.30,86.227
5.34,86.300
5.37,86.373
5.41,86.444
5.45,86.515
5.49,86.586
5.53,86.656
5.57,86.724
5.61,86.792
5.65,86.860
5.69,86.928
5.74,86.993
5.78,87.057
5.82,87.120
5.86,87.183
5.90,87.246
5.95,87.308
5.99,87.369
6.03,87.431
6.08,87.492
6.12,87.550
6.16,87.609
6.21,87.667
6.25,87.725
6.30,87.783
6.35,87.839
6.39,87.895
6.44,87.950
6.48,88.004
6.53,88.058
6.58,88.110
6.63,88.162
6.67,88.214
6.72,88.264
6.77,88.314
6.82,88.362
6.87,88.410
6.92,88.457
6.97,88.502
7.02,88.547
7.07,88.591
7.12,88.633
7.17,88.675
7.23,88.716
7.28,88.755
7.33,88.793
7.38,88.830
7.44,88.865
7.49,88.900
7.55,88.934
7.60,88.966
7.66,88.996
7.71,89.025
7.77,89.053
7.82,89.079
7.88,89.105
7.94,89.127
7.99,89.150
8.05,89.171
8.11,89.189
8.17,89.206
8.23,89.221
8.29,89.234
8.35,89.246
8.41,89.256
8.47,89.264
8.53,89.270
8.59,89.275
8.66,89.277
8.72,89.275
8.78,89.269
8.84,89.258
8.91,89.241
8.97,89.220
9.04,89.196
9.10,89.167
9.17,89.136
9.24,89.101
9.30,89.064
9.37,89.025
9.44,88.983
9.51,88.938
9.58,88.891
9.65,88.841
9.72,88.790
9.79,88.736
9.86,88.681
9.93,88.625
10.00,88.567
10.07,88.508
10.15,88.448
10.22,88.387
10.29,88.326
10.37,88.264
10.44,88.201
10.52,88.141
10.59,88.079
10.67,88.018
10.75,87.960
10.83,87.901
10.91,87.845
10.98,87.790
11.06,87.737
11.14,87.688
11.22,87.641
11.31,87.597
11.39,87.557
11.47,87.522
11.55,87.490
11.64,87.462
11.72,87.437
11.81,87.415
11.89,87.395
11.98,87.377
12.07,87.363
12.15,87.352
12.24,87.345
12.33,87.340
12.42,87.337
12.51,87.337
12.60,87.339
12.69,87.343
12.78,87.349
12.88,87.356
12.97,87.364
13.06,87.373
13.16,87.382
13.25,87.391
13.35,87.400
13.45,87.409
13.54,87.416
13.64,87.424
13.74,87.428
13.84,87.430
13.94,87.431
14.04,87.428
14.14,87.422
14.24,87.412
14.35,87.397
14.45,87.376
14.56,87.352
14.66,87.323
14.77,87.288
14.88,87.249
14.98,87.202
15.09,87.150
15.20,87.091
15.31,87.028
15.42,86.959
15.53,86.886
15.65,86.808
15.76,86.728
15.87,86.645
15.99,86.560
16.10,86.474
16.22,86.387
16.34,86.299
16.46,86.213
16.58,86.129
