frequency,raw
2.95,80.941
2.97,80.970
2.99,81.005
3.02,81.052
3.04,81.102
3.06,81.150
3.08,81.201
3.10,81.251
3.13,81.300
3.15,81.350
3.17,81.399
3.20,81.450
3.22,81.500
3.24,81.550
3.27,81.601
3.29,81.652
3.31,81.704
3.34,81.756
3.36,81.808
3.39,81.860
3.41,81.911
3.43,81.964
3.46,82.016
3.48,82.069
3.51,82.121
3.54,82.174
3.56,82.228
3.59,82.280
3.61,82.334
3.64,82.388
3.67,82.442
3.69,82.495
3.72,82.549
3.75,82.603
3.77,82.657
3.80,82.712
3.83,82.766
3.86,82.821
3.88,82.876
3.91,82.930
3.94,82.984
3.97,83.039
4.00,83.095
4.03,83.150
4.06,83.206
4.08,83.262
4.11,83.317
4.14,83.371
4.17,83.427
4.20,83.483
4.23,83.538
4.27,83.594
4.30,83.650
4.33,83.706
4.36,83.761
4.39,83.816
4.42,83.871
4.45,83.927
4.49,83.983
4.52,84.037
4.55,84.094
4.59,84.149
4.62,84.204
4.65,84.259
4.69,84.314
4.72,84.369
4.75,84.423
4.79,84.477
4.82,84.532
4.86,84.585
4.89,84.639
4.93,84.694
4.96,84.748
5.00,84.801
5.04,84.854
5.07,84.907
5.11,84.960
5.15,85.012
5.18,85.063
5.22,85.114
5.26,85.166
5.30,85.218
5.34,85.267
5.37,85.317
5.41,85.367
5.45,85.416
5.49,85.465
5.53,85.513
5.57,85.560
5.61,85.608
5.65,85.655
5.69,85.701
5.74,85.746
5.78,85.790
5.82,85.834
5.86,85.877
5.90,85.921
5.95,85.963
5.99,86.007
6.03,86.049
6.08,86.091
6.12,86.132
6.16,86.174
6.21,86.215
6.25,86.257
6.30,86.298
6.35,86.339
6.39,86.380
6.44,86.419
6.48,86.459
6.53,86.499
6.58,86.537
6.63,86.577
6.67,86.615
6.72,86.653
6.77,86.692
6.82,86.728
6.87,86.766
6.92,86.802
6.97,86.839
7.02,86.874
7.07,86.910
7.12,86.945
7.17,86.980
7.23,87.012
7.28,87.046
7.33,87.079
7.38,87.112
7.44,87.144
7.49,87.175
7.55,87.206
7.60,87.236
7.66,87.266
7.71,87.295
7.77,87.323
7.82,87.351
7.88,87.377
7.94,87.404
7.99,87.430
8.05,87.455
8.11,87.479
8.17,87.502
8.23,87.525
8.29,87.547
8.35,87.567
8.41,87.588
8.47,87.608
8.53,87.626
8.59,87.644
8.66,87.660
8.72,87.673
8.78,87.684
8.84,87.689
8.91,87.691
8.97,87.691
9.04,87.690
9.10,87.688
9.17,87.684
9.24,87.681
9.30,87.677
9.37,87.673
9.44,87.668
9.51,87.663
9.58,87.657
9.65,87.651
9.72,87.644
9.79,87.638
9.86,87.631
9.93,87.623
10.00,87.614
10.07,87.606
10.15,87.596
10.22,87.587
10.29,87.578
10.37,87.567
10.44,87.557
10.52,87.547
10.59,87.536
10.67,87.525
10.75,87.514
10.83,87.504
10.91,87.492
10.98,87.481
11.06,87.469
11.14,87.459
11.22,87.447
11.31,87.436
11.39,87.425
11.47,87.415
11.55,87.404
11.64,87.393
11.72,87.382
11.81,87.372
11.89,87.362
11.98,87.352
12.07,87.342
12.15,87.332
12.24,87.322
12.33,87.312
12.42,87.303
12.51,87.294
12.60,87.284
12.69,87.275
12.78,87.265
12.88,87.255
12.97,87.245
13.06,87.234
13.16,87.225
13.25,87.213
13.35,87.203
13.45,87.191
13.54,87.179
13.64,87.166
13.74,87.153
13.84,87.139
13.94,87.125
14.04,87.109
14.14,87.093
14.24,87.076
14.35,87.058
14.45,87.038
14.56,87.017
14.66,86.993
14.77,86.965
14.88,86.933
14.98,86.900
15.09,86.867
15.20,86.832
15.31,86.797
15.42,86.762
15.53,86.726
15.65,86.689
15.76,86.653
15.87,86.614
15.99,86.577
16.10,86.538
16.22,86.500
16.34,86.461
16.46,86.422
16.58,86.383
16.70,86.344
16.82,86.305
16.94,86.266
17.06,86.227
17.19,86.189
17.31,86.150
17.44,86.112
17.56,86.073
17.69,86.035
17.82,85.995
17.95,85.956
18.08,85.916
18.21,85.876
18.34,85.837
18.47,85.797
18.61,85.757
18.74,85.719
18.88,85.679
19.01,85.641
19.15,85.602
19.29,85.564
19.43,85.525
19.57,85.486
19.71,85.448
19.86,85.410
20.00,85.373
20.14,85.334
20.29,85.303
20.44,85.285
20.59,85.284
20.74,85.303
20.89,85.336
21.04,85.380
21.19,85.427
21.34,85.478
21.50,85.532
21.65,85.591
21.81,85.654
21.97,85.721
22.13,85.792
22.29,85.868
22.45,85.948
22.61,86.034
22.78,86.124
22.94,86.219
23.11,86.317
23.27,86.420
23.44,86.529
23.61,86.643
23.78,86.766
23.96,86.899
24.13,87.041
24.30,87.192
24.48,87.351
24.66,87.514
24.84,87.682
25.02,87.851
25.20,88.019
25.38,88.186
25.56,88.348
25.75,88.504
25.94,88.650
26.12,88.781
26.31,88.895
26.50,88.989
26.70,89.067
26.89,89.132
27.09,89.188
27.28,89.238
27.48,89.280
27.68,89.316
27.88,89.344
28.08,89.365
28.28,89.378
28.49,89.383
28.70,89.381
28.90,89.371
29.11,89.355
29.32,89.329
29.54,89.293
29.75,89.244
29.97,89.181
30.18,89.104
30.40,89.017
30.62,88.922
30.84,88.823
31.07,88.726
31.29,88.633
31.52,88.550
31.75,88.482
31.98,88.440
32.21,88.428
32.44,88.455
32.68,88.517
32.92,88.610
33.15,88.726
33.39,88.857
33.64,88.998
33.88,89.142
34.13,89.282
34.37,89.412
34.62,89.526
34.87,89.615
35.13,89.678
35.38,89.711
35.64,89.719
35.89,89.708
36.15,89.681
36.42,89.648
36.68,89.608
36.95,89.572
37.21,89.540
37.48,89.518
37.75,89.513
38.03,89.525
38.30,89.556
38.58,89.604
38.86,89.665
39.14,89.734
39.43,89.809
39.71,89.885
40.00,89.958
40.29,90.023
40.58,90.077
40.88,90.120
41.17,90.151
41.47,90.172
41.77,90.186
42.07,90.191
42.38,90.191
42.69,90.182
42.99,90.166
43.31,90.143
43.62,90.111
43.94,90.069
44.25,90.011
44.58,89.939
44.90,89.850
45.22,89.748
45.55,89.641
45.88,89.535
46.21,89.443
46.55,89.386
46.89,89.373
47.23,89.416
47.57,89.501
47.91,89.620
48.26,89.751
48.61,89.882
48.96,90.007
49.32,90.119
49.67,90.214
50.03,90.294
50.40,90.363
50.76,90.423
51.13,90.477
51.50,90.526
51.87,90.569
52.25,90.603
52.63,90.629
53.01,90.645
53.39,90.654
53.78,90.655
54.17,90.655
54.56,90.654
54.96,90.654
55.36,90.656
55.76,90.662
56.16,90.672
56.57,90.685
56.98,90.701
57.39,90.716
57.81,90.730
58.23,90.739
58.65,90.743
59.07,90.738
59.50,90.728
59.93,90.712
60.37,90.694
60.80,90.677
61.24,90.661
61.69,90.647
62.14,90.636
62.59,90.627
63.04,90.619
63.50,90.611
63.96,90.601
64.42,90.588
64.89,90.576
65.36,90.560
65.83,90.546
66.31,90.530
66.79,90.514
67.27,90.499
67.76,90.483
68.25,90.466
68.74,90.450
69.24,90.433
69.74,90.413
70.25,90.391
70.76,90.364
71.27,90.332
71.79,90.294
72.31,90.254
72.83,90.207
73.36,90.156
73.89,90.101
74.43,90.042
74.97,89.981
75.51,89.918
76.06,89.855
76.61,89.790
77.16,89.726
77.72,89.662
78.29,89.608
78.85,89.576
79.42,89.573
80.00,89.607
80.58,89.673
81.16,89.769
81.75,89.888
82.34,90.031
82.94,90.196
83.54,90.368
84.15,90.535
84.76,90.683
85.37,90.808
85.99,90.906
86.61,90.984
87.24,91.046
87.87,91.094
88.51,91.129
89.15,91.154
89.80,91.169
90.45,91.178
91.10,91.183
91.76,91.182
92.43,91.179
93.10,91.175
93.77,91.171
94.45,91.167
95.14,91.163
95.83,91.160
96.52,91.160
97.22,91.162
97.92,91.166
98.63,91.171
99.35,91.175
100.07,91.177
100.79,91.176
101.52,91.174
102.26,91.169
103.00,91.163
103.75,91.156
104.50,91.150
105.26,91.146
106.02,91.143
106.79,91.143
107.56,91.144
108.34,91.142
109.13,91.138
109.92,91.132
110.71,91.125
111.52,91.115
112.32,91.106
113.14,91.096
113.96,91.087
114.78,91.078
115.61,91.070
116.45,91.065
117.30,91.062
118.15,91.064
119.00,91.067
119.86,91.073
120.73,91.077
121.61,91.081
122.49,91.084
123.38,91.086
124.27,91.088
125.17,91.090
126.08,91.091
126.99,91.093
127.91,91.093
128.84,91.091
129.77,91.088
130.71,91.083
131.66,91.077
132.61,91.072
133.58,91.069
134.54,91.066
135.52,91.066
136.50,91.064
137.49,91.060
138.49,91.052
139.49,91.042
140.50,91.033
141.52,91.028
142.54,91.025
143.58,91.026
144.62,91.027
145.67,91.028
146.72,91.027
147.78,91.026
148.85,91.023
149.93,91.022
151.02,91.020
152.11,91.022
153.22,91.026
154.33,91.031
155.45,91.037
156.57,91.042
157.71,91.048
158.85,91.055
160.00,91.062
161.16,91.069
162.33,91.077
163.50,91.086
164.69,91.097
165.88,91.112
167.08,91.129
168.29,91.147
169.51,91.165
170.74,91.184
171.98,91.204
173.23,91.222
174.48,91.242
175.75,91.260
177.02,91.279
178.30,91.299
179.59,91.322
180.90,91.346
182.21,91.370
183.53,91.392
184.86,91.412
186.20,91.430
187.55,91.447
188.90,91.463
190.27,91.478
191.65,91.494
193.04,91.507
194.44,91.519
195.85,91.529
197.27,91.539
198.70,91.548
200.14,91.558
201.59,91.568
203.05,91.579
204.52,91.594
206.00,91.608
207.49,91.620
209.00,91.631
210.51,91.639
212.04,91.647
213.57,91.656
215.12,91.665
216.68,91.674
218.25,91.683
219.83,91.691
221.43,91.701
223.03,91.710
224.65,91.719
226.27,91.728
227.91,91.736
229.57,91.742
231.23,91.747
232.90,91.751
234.59,91.753
236.29,91.755
238.00,91.755
239.73,91.757
241.47,91.761
243.22,91.764
244.98,91.769
246.75,91.773
248.54,91.778
250.34,91.782
252.16,91.786
253.98,91.790
255.82,91.795
257.68,91.802
259.55,91.808
261.43,91.815
263.32,91.822
265.23,91.829
267.15,91.836
269.09,91.843
271.04,91.850
273.00,91.856
274.98,91.862
276.97,91.868
278.98,91.871
281.00,91.873
283.04,91.872
285.09,91.870
287.15,91.869
289.23,91.868
291.33,91.865
293.44,91.863
295.57,91.860
297.71,91.856
299.87,91.849
302.04,91.840
304.23,91.832
306.43,91.824
308.65,91.818
310.89,91.812
313.14,91.805
315.41,91.794
317.70,91.779
320.00,91.762
322.32,91.745
324.65,91.728
327.01,91.714
329.38,91.701
331.76,91.691
334.17,91.686
336.59,91.686
339.03,91.692
341.48,91.706
343.96,91.726
346.45,91.754
348.96,91.791
351.49,91.838
354.04,91.893
356.60,91.953
359.19,92.019
361.79,92.090
364.41,92.166
367.05,92.245
369.71,92.327
372.39,92.410
375.09,92.496
377.81,92.582
380.55,92.668
383.30,92.753
386.08,92.836
388.88,92.916
391.70,92.994
394.54,93.070
397.39,93.144
400.27,93.218
403.17,93.289
406.10,93.357
409.04,93.421
412.00,93.480
414.99,93.535
418.00,93.585
421.02,93.632
424.08,93.677
427.15,93.719
430.24,93.761
433.36,93.799
436.50,93.837
439.67,93.874
442.85,93.910
446.06,93.946
449.29,93.981
452.55,94.018
455.83,94.055
459.13,94.096
462.46,94.135
465.81,94.177
469.18,94.221
472.58,94.272
476.01,94.329
479.46,94.392
482.93,94.457
486.43,94.521
489.96,94.583
493.51,94.641
497.08,94.696
500.69,94.745
504.31,94.791
507.97,94.833
511.65,94.870
515.36,94.904
519.09,94.935
522.85,94.964
526.64,94.989
530.46,95.011
534.30,95.036
538.17,95.062
542.07,95.089
546.00,95.116
549.96,95.143
553.94,95.169
557.96,95.196
562.00,95.223
566.07,95.249
570.18,95.275
574.31,95.299
578.47,95.322
582.66,95.345
586.88,95.368
591.14,95.391
595.42,95.415
599.73,95.440
604.08,95.466
608.46,95.492
612.87,95.519
617.31,95.544
621.78,95.571
626.29,95.598
630.82,95.626
635.40,95.651
640.00,95.675
644.64,95.698
649.31,95.722
654.01,95.748
658.75,95.774
663.53,95.800
668.34,95.825
673.18,95.850
678.06,95.876
682.97,95.903
687.92,95.934
692.90,95.966
697.92,96.001
702.98,96.036
708.08,96.072
713.21,96.109
718.38,96.145
723.58,96.183
728.82,96.220
734.11,96.257
739.43,96.293
744.78,96.328
750.18,96.361
755.62,96.392
761.09,96.421
766.61,96.450
772.16,96.477
777.76,96.505
783.39,96.531
789.07,96.558
794.79,96.584
800.55,96.609
806.35,96.632
812.19,96.654
818.08,96.673
824.01,96.691
829.98,96.705
835.99,96.719
842.05,96.732
848.15,96.744
854.30,96.755
860.49,96.764
866.72,96.774
873.00,96.781
879.33,96.788
885.70,96.794
892.12,96.799
898.59,96.806
905.10,96.815
911.66,96.826
918.26,96.838
924.92,96.852
931.62,96.867
938.37,96.882
945.17,96.898
952.02,96.913
958.92,96.930
965.87,96.946
972.86,96.963
979.91,96.981
987.01,96.999
994.17,97.017
1001.37,97.039
1008.63,97.063
1015.94,97.091
1023.30,97.124
1030.71,97.161
1038.18,97.203
1045.71,97.248
1053.28,97.297
1060.92,97.352
1068.60,97.410
1076.35,97.470
1084.15,97.530
1092.00,97.590
1099.92,97.650
1107.89,97.712
1115.92,97.774
1124.00,97.835
1132.15,97.895
1140.35,97.955
1148.61,98.013
1156.94,98.072
1165.32,98.130
1173.77,98.186
1182.27,98.242
1190.84,98.296
1199.47,98.350
1208.16,98.405
1216.91,98.463
1225.73,98.522
1234.61,98.582
1243.56,98.639
1252.57,98.696
1261.65,98.751
1270.79,98.808
1280.00,98.866
1289.28,98.926
1298.62,98.988
1308.03,99.048
1317.51,99.109
1327.05,99.168
1336.67,99.225
1346.36,99.280
1356.11,99.333
1365.94,99.386
1375.84,99.441
1385.81,99.497
1395.85,99.553
1405.96,99.609
1416.15,99.662
1426.42,99.713
1436.75,99.760
1447.16,99.802
1457.65,99.840
1468.21,99.877
1478.85,99.913
1489.57,99.948
1500.36,99.987
1511.23,100.031
1522.19,100.081
1533.22,100.138
1544.33,100.204
1555.52,100.278
1566.79,100.363
1578.14,100.453
1589.58,100.549
1601.10,100.647
1612.70,100.740
1624.39,100.828
1636.16,100.911
1648.01,100.990
1659.95,101.067
1671.98,101.144
1684.10,101.217
1696.30,101.287
1708.59,101.355
1720.98,101.418
1733.45,101.480
1746.01,101.537
1758.66,101.594
1771.40,101.648
1784.24,101.703
1797.17,101.758
1810.19,101.813
1823.31,101.867
1836.52,101.918
1849.83,101.967
1863.24,102.013
1876.74,102.058
1890.34,102.100
1904.04,102.144
1917.83,102.186
1931.73,102.226
1945.73,102.265
1959.83,102.302
1974.03,102.336
1988.33,102.370
2002.74,102.404
2017.26,102.440
2031.87,102.478
2046.60,102.519
2061.43,102.562
2076.37,102.608
2091.41,102.654
2106.57,102.703
2121.83,102.755
2137.21,102.812
2152.69,102.876
2168.29,102.949
2184.01,103.030
2199.83,103.120
2215.77,103.218
2231.83,103.321
2248.00,103.430
2264.29,103.541
2280.70,103.651
2297.23,103.758
2313.87,103.859
2330.64,103.956
2347.53,104.049
2364.54,104.142
2381.68,104.235
2398.93,104.328
2416.32,104.420
2433.83,104.507
2451.46,104.590
2469.23,104.666
2487.12,104.737
2505.14,104.800
2523.30,104.857
2541.58,104.907
2560.00,104.952
2578.55,104.996
2597.24,105.043
2616.06,105.095
2635.01,105.155
2654.11,105.222
2673.34,105.296
2692.71,105.371
2712.23,105.444
2731.88,105.509
2751.68,105.562
2771.62,105.606
2791.70,105.642
2811.93,105.680
2832.31,105.722
2852.83,105.773
2873.50,105.834
2894.33,105.902
2915.30,105.974
2936.42,106.045
2957.70,106.112
2979.14,106.171
3000.72,106.218
3022.47,106.249
3044.37,106.263
3066.43,106.255
3088.65,106.221
3111.03,106.165
3133.58,106.083
3156.28,105.980
3179.16,105.858
3202.19,105.720
3225.40,105.567
3248.77,105.397
3272.31,105.212
3296.02,105.010
3319.91,104.792
3343.97,104.561
3368.20,104.321
3392.61,104.072
3417.19,103.817
3441.95,103.550
3466.89,103.270
3492.02,102.975
3517.32,102.666
3542.81,102.345
3568.48,102.012
3594.34,101.671
3620.39,101.320
3646.62,100.967
3673.05,100.620
3699.66,100.282
3726.47,99.959
3753.48,99.644
3780.68,99.332
3808.07,99.013
3835.67,98.691
3863.46,98.368
3891.46,98.055
3919.66,97.763
3948.06,97.499
3976.67,97.273
4005.49,97.099
4034.51,96.977
4063.75,96.908
4093.19,96.876
4122.86,96.874
4152.73,96.896
4182.82,96.951
4213.13,97.053
4243.66,97.213
4274.42,97.435
4305.39,97.708
4336.59,98.019
4368.01,98.351
4399.67,98.696
4431.55,99.044
4463.66,99.393
4496.01,99.738
4528.59,100.069
4561.40,100.377
4594.46,100.658
4627.75,100.907
4661.28,101.123
4695.06,101.303
4729.08,101.453
4763.35,101.573
4797.87,101.672
4832.64,101.752
4867.66,101.821
4902.93,101.879
4938.46,101.930
4974.24,101.978
5010.29,102.026
5046.60,102.075
5083.17,102.120
5120.00,102.169
5157.10,102.223
5194.47,102.293
5232.11,102.385
5270.03,102.504
5308.22,102.648
5346.68,102.816
5385.43,103.003
5424.45,103.204
5463.76,103.416
5503.35,103.630
5543.23,103.839
5583.40,104.043
5623.86,104.237
5664.61,104.428
5705.66,104.620
5747.01,104.810
5788.65,104.996
5830.60,105.170
5872.85,105.323
5915.41,105.446
5958.27,105.542
6001.45,105.614
6044.94,105.677
6088.74,105.739
6132.86,105.814
6177.30,105.891
6222.07,105.960
6267.15,106.002
6312.57,105.998
6358.31,105.935
6404.39,105.809
6450.80,105.620
6497.54,105.383
6544.62,105.113
6592.05,104.835
6639.82,104.566
6687.93,104.320
6736.40,104.094
6785.21,103.880
6834.38,103.677
6883.90,103.487
6933.79,103.322
6984.03,103.197
7034.64,103.120
7085.62,103.099
7136.96,103.144
7188.68,103.261
7240.77,103.448
7293.24,103.690
7346.09,103.948
7399.33,104.171
7452.94,104.347
7506.95,104.469
7561.35,104.552
7616.14,104.606
7671.33,104.639
7726.92,104.648
7782.91,104.627
7839.31,104.584
7896.12,104.524
7953.34,104.441
8010.97,104.327
8069.02,104.154
8127.49,103.940
8186.39,103.701
8245.71,103.501
8305.46,103.377
8365.65,103.303
8426.27,103.230
8487.33,103.056
8548.83,102.799
8610.78,102.470
8673.18,102.108
8736.03,101.737
8799.33,101.379
8863.09,101.011
8927.32,100.596
8992.01,100.097
9057.17,99.479
9122.80,98.731
9188.91,97.867
9255.50,96.935
9322.57,96.018
9390.12,95.215
9458.17,94.572
9526.70,94.131
9595.74,93.850
9665.27,93.701
9735.31,93.639
9805.86,93.633
9876.92,93.650
9948.49,93.661
10020.58,93.634
10093.19,93.557
10166.33,93.405
10240.00,93.149
10314.20,92.755
10388.94,92.177
10464.23,91.385
10540.05,90.472
10616.43,89.876
10693.36,89.787
10770.85,90.510
10848.90,91.468
10927.52,92.200
11006.70,92.641
11086.46,92.727
11166.80,92.492
11247.72,92.107
11329.22,91.807
11411.32,91.721
11494.01,91.953
11577.30,92.297
11661.20,92.684
11745.70,93.088
11830.81,93.512
11916.54,93.971
12002.89,94.416
12089.87,94.825
12177.48,95.209
12265.72,95.576
12354.61,95.939
12444.13,96.285
12534.31,96.603
12625.14,96.878
12716.62,97.089
12808.77,97.215
12901.59,97.213
12995.08,97.022
13089.25,96.650
13184.10,96.104
13279.64,95.458
13375.87,94.749
13472.79,94.013
13570.42,93.200
13668.76,92.238
13767.81,91.070
13867.58,89.712
13968.07,88.647
14069.29,88.136
14171.24,88.441
14273.93,89.385
14377.36,90.779
14481.55,92.231
14586.49,93.474
14692.19,94.491
14798.65,95.256
14905.89,95.783
15013.90,96.047
15122.70,96.025
15232.29,95.740
15342.66,95.262
15453.84,94.754
15565.83,94.418
15678.62,94.576
15792.24,95.070
15906.68,95.791
16021.94,96.410
16138.04,96.773
16254.99,96.853
16372.78,96.762
16491.42,96.664
16610.92,96.685
16731.29,96.911
16852.54,97.152
16974.66,97.247
17097.66,96.953
17221.56,96.267
17346.35,95.172
17472.05,93.868
17598.66,92.471
17726.19,91.048
