frequency,raw
2.95,85.167
2.97,85.192
2.99,85.222
3.02,85.263
3.04,85.306
3.06,85.350
3.08,85.394
3.10,85.437
3.13,85.481
3.15,85.524
3.17,85.567
3.20,85.612
3.22,85.655
3.24,85.699
3.27,85.743
3.29,85.788
3.31,85.833
3.34,85.879
3.36,85.924
3.39,85.969
3.41,86.013
3.43,86.059
3.46,86.105
3.48,86.150
3.51,86.195
3.54,86.242
3.56,86.287
3.59,86.333
3.61,86.379
3.64,86.426
3.67,86.472
3.69,86.518
3.72,86.565
3.75,86.611
3.77,86.657
3.80,86.703
3.83,86.750
3.86,86.797
3.88,86.843
3.91,86.890
3.94,86.936
3.97,86.982
4.00,87.029
4.03,87.075
4.06,87.122
4.08,87.168
4.11,87.215
4.14,87.260
4.17,87.306
4.20,87.352
4.23,87.398
4.27,87.444
4.30,87.489
4.33,87.535
4.36,87.579
4.39,87.624
4.42,87.669
4.45,87.714
4.49,87.758
4.52,87.802
4.55,87.845
4.59,87.889
4.62,87.931
4.65,87.975
4.69,88.017
4.72,88.059
4.75,88.101
4.79,88.142
4.82,88.182
4.86,88.222
4.89,88.262
4.93,88.302
4.96,88.340
5.00,88.379
5.04,88.416
5.07,88.453
5.11,88.490
5.15,88.525
5.18,88.559
5.22,88.594
5.26,88.627
5.30,88.660
5.34,88.691
5.37,88.722
5.41,88.752
5.45,88.781
5.49,88.810
5.53,88.838
5.57,88.864
5.61,88.888
5.65,88.912
5.69,88.935
5.74,88.957
5.78,88.977
5.82,88.996
5.86,89.014
5.90,89.031
5.95,89.047
5.99,89.062
6.03,89.077
6.08,89.091
6.12,89.103
6.16,89.115
6.21,89.126
6.25,89.136
6.30,89.147
6.35,89.156
6.39,89.164
6.44,89.172
6.48,89.178
6.53,89.184
6.58,89.190
6.63,89.195
6.67,89.200
6.72,89.203
6.77,89.206
6.82,89.208
6.87,89.210
6.92,89.211
6.97,89.212
7.02,89.212
7.07,89.212
7.12,89.211
7.17,89.210
7.23,89.208
7.28,89.207
7.33,89.204
7.38,89.202
7.44,89.200
7.49,89.197
7.55,89.194
7.60,89.191
7.66,89.188
7.71,89.184
7.77,89.181
7.82,89.178
7.88,89.175
7.94,89.172
7.99,89.170
8.05,89.168
8.11,89.166
8.17,89.165
8.23,89.164
8.29,89.164
8.35,89.164
8.41,89.165
8.47,89.168
8.53,89.170
8.59,89.174
8.66,89.179
8.72,89.185
8.78,89.191
8.84,89.198
8.91,89.205
8.97,89.213
9.04,89.221
9.10,89.230
9.17,89.239
9.24,89.249
9.30,89.260
9.37,89.271
9.44,89.282
9.51,89.294
9.58,89.307
9.65,89.320
9.72,89.333
9.79,89.346
9.86,89.361
9.93,89.374
10.00,89.388
10.07,89.403
10.15,89.417
10.22,89.430
10.29,89.444
10.37,89.458
10.44,89.471
10.52,89.484
10.59,89.497
10.67,89.508
10.75,89.520
10.83,89.531
