frequency,raw
20.00,78.77
20.30,78.92
20.60,79.06
20.90,79.21
21.20,79.38
21.40,79.49
21.80,79.75
22.00,79.89
22.40,80.15
22.70,80.33
23.00,80.47
23.30,80.57
23.60,80.64
24.00,80.69
24.30,80.74
24.70,80.86
25.00,80.99
25.40,81.22
25.80,81.49
26.20,81.74
26.50,81.90
26.90,82.09
27.20,82.23
27.60,82.40
28.00,82.59
28.50,82.82
29.00,83.03
29.50,83.22
30.00,83.38
30.40,83.51
30.70,83.61
31.10,83.74
31.50,83.87
32.00,84.03
32.50,84.18
33.00,84.33
33.50,84.47
34.00,84.60
34.50,84.71
35.00,84.82
35.50,84.92
36.00,85.03
36.50,85.15
37.00,85.26
37.50,85.36
38.20,85.50
38.70,85.60
39.50,85.77
40.00,85.90
40.60,86.07
41.20,86.25
41.80,86.43
42.50,86.62
43.10,86.78
43.70,86.92
44.40,87.06
45.00,87.18
45.50,87.26
46.20,87.37
46.80,87.44
47.50,87.52
48.20,87.58
48.70,87.61
49.40,87.66
50.00,87.70
50.80,87.76
51.50,87.83
52.20,87.91
53.00,88.02
53.80,88.14
54.50,88.25
55.20,88.36
56.00,88.48
57.00,88.62
58.00,88.75
59.00,88.86
60.00,88.94
60.80,88.99
61.50,89.01
62.20,89.02
63.00,89.02
64.00,89.00
65.00,88.95
66.00,88.91
67.00,88.88
68.00,88.85
69.00,88.80
70.00,88.71
71.00,88.56
72.00,88.36
73.00,88.15
74.00,87.92
75.00,87.71
76.20,87.48
77.50,87.29
78.80,87.16
80.00,87.10
81.20,87.10
82.50,87.15
83.80,87.21
85.00,87.25
86.20,87.29
87.50,87.30
88.50,87.31
90.00,87.33
91.20,87.35
92.50,87.37
93.80,87.39
95.00,87.40
96.20,87.41
97.50,87.41
98.80,87.39
100.00,87.36
101.50,87.31
103.00,87.24
104.40,87.17
106.00,87.08
107.50,86.99
109.00,86.88
110.60,86.72
112.00,86.54
113.80,86.27
115.00,86.10
117.20,85.90
118.00,85.87
120.60,85.86
122.00,85.87
124.10,85.91
125.00,85.94
126.50,85.98
128.00,86.02
131.50,86.09
132.00,86.09
134.00,86.11
136.00,86.12
138.00,86.13
140.00,86.16
143.00,86.19
145.00,86.21
147.50,86.21
150.00,86.19
152.50,86.14
155.00,86.06
157.50,85.95
160.00,85.82
162.50,85.64
165.00,85.43
167.50,85.17
170.00,84.86
172.50,84.51
175.00,84.13
177.50,83.75
180.00,83.42
182.50,83.16
185.00,82.97
187.50,82.83
190.00,82.70
192.50,82.57
195.00,82.42
197.50,82.23
200.00,82.02
203.00,81.74
206.00,81.44
209.00,81.12
212.00,80.80
214.00,80.58
218.00,80.11
220.00,79.88
224.00,79.42
227.00,79.08
230.00,78.75
233.00,78.44
236.00,78.14
240.00,77.80
243.00,77.60
247.00,77.36
250.00,77.21
254.00,77.05
258.00,76.96
262.00,76.93
265.00,76.94
269.00,76.97
272.00,77.01
276.00,77.09
280.00,77.20
285.00,77.37
290.00,77.56
295.00,77.76
300.00,77.97
304.00,78.14
307.00,78.26
311.00,78.44
315.00,78.60
320.00,78.80
325.00,78.99
330.00,79.16
335.00,79.33
340.00,79.48
345.00,79.62
350.00,79.76
355.00,79.89
360.00,80.03
365.00,80.15
370.00,80.28
375.00,80.39
382.00,80.54
387.00,80.63
395.00,80.77
400.00,80.85
406.00,80.95
412.00,81.05
418.00,81.15
425.00,81.27
431.00,81.36
437.00,81.45
444.00,81.56
450.00,81.64
455.00,81.71
462.00,81.81
